Name,Team,POS,playerStatsSnapsOffenseTotal,DropbacksTotal,AttemptsTotal,AttemptsCatchablePercentage,CompletionsTotal,CompletionsPercentage,CompletionsAdjustedPercentage,CompletionsOverExpected,OpportunitiesTotal,YardsTotal,YardsPerAttempt,YardsAfterCatchPercentage,YardsAdjustedNetPercentage,YardsAirTotal,PlayActionLabel,PressuredLabel,PressuredExpected,PressuredOverExpected,BlitzedLabel,TargetedReadFirstPercentage,ThrowAccuracyHighlyAccuratePercentage,AverageTimeToThrow,AverageDepthOfTarget,PasserRating,TargetsContestedLabel,TargetsCatchableLabel,playerStatsFirstDownsPassing,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,DropsYardsLost,DropsPercentage,PressuredTotal,PressuredPercentage,OffTargetThrowAttemptsPercentage,TargetedReadCheckdownPercentage,AverageTimeToPressure,AttemptsInEndzoneTotal,IncompletionsThrownAway,IncompletionsBatted,TouchdownsTotal,InterceptionsTotal,RunPassOptionPercentage,DeepThrowAttemptsTotal,DeepThrowAttemptsPercentage,HeroThrowPercentage,TowThrowPercentage
Teddy Bridgewater,TB,QB,3,3,3,1,2,0.6667,0.6667,-0.1341,3,17,5.6667,1.0588,5.6667,9,No,No,0.7374,-0.2458,Yes,1,1,2,3,81.3,No,Yes,1,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.85,0.85,4,,,,,,,,,,,,,,,,,
Kenny Pickett,LV,QB,5,5,5,0.8,3,0.6,0.8,-0.0177,5,18,3.6,0.2778,3.6,19,No,No,1.988,0.0024,No,0.4,0.4,2.88,3.8,67.1,No,No,,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.9,0.9,6,2,0.2,2,0.4,0.2,0.6,2.1,,,,,,,,,,
Nick Mullens,JAX,QB,1,1,1,1,1,1,1,0.0643,1,3,3,1.6667,3,-2,No,No,0.2975,-0.2975,No,1,,2.3,-2,79.2,No,No,,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.15,0.15,5,,,,,,,,,,,,,,,,,
Lamar Jackson,BLT,QB,62,62,62,0.871,50,0.8065,0.9298,0.1875,62,577,9.3065,0.435,8.8226,409,Yes,No,22.5709,0.0069,No,0.4839,0.6774,2.6855,7.2414,108.1,No,Yes,28,33.08,33.08,33.08,33.08,33.08,36.08,36.08,31.08,31.08,31.08,31.08,38.85,36.85,13,26,0.0484,23,0.371,0.0484,0.0968,2.5087,7,1,3,3,2,0.0161,,,,
Chris Oladokun,KC,QB,4,4,4,1,4,1,1,0.1774,4,21,5.25,0.3333,5.25,14,No,No,2.0182,-0.0046,No,0.75,1,3.5,3.5,88.5,No,Yes,,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,1.05,1.05,3,,,2,0.5,,,2.55,,,,,,,,,,
Jayden Daniels,WAS,QB,30,30,30,0.9,19,0.6333,0.8929,0.166,30,187,6.2333,0.4278,7.5667,220,No,No,8.9437,-0.0981,No,0.7,0.7,2.3033,7.8571,103.1,Yes,Yes,12,15.48,15.48,15.48,15.48,15.48,15.48,15.48,15.48,15.48,15.48,15.48,17.35,17.35,7,69,0.2,6,0.2,0.0333,0.0667,2.35,3,,2,2,,,1,0.0333,0.0333,
Brandon Allen,TEN,QB,1,1,1,,,,,-0.819,1,,,,-45,5,No,Yes,0.4183,0.5817,No,1,,3,5,,No,No,,-1,-1,-1,-1,-1,-1,-1,-2,-2,-2,-2,-1,-2,1,,,1,1,1,,2.4,,,,,1,,,,,1
Andy Dalton,CAR,QB,3,3,3,1,2,0.6667,0.6667,-0.0001,3,25,8.3333,0.28,8.3333,34,No,Yes,0.9272,0.0243,Yes,0.6667,0.6667,2.3667,11.3333,92.4,No,Yes,1,1,1,1,1,1,1,1,1,1,1,1,1.25,1.25,4,,,1,0.3333,,,2.6,1,,,,,,,,,
Sam Darnold,SEA,QB,94,94,94,0.7979,67,0.7128,0.8588,0.0949,94,763,8.117,0.4784,6.5745,545,Yes,No,29.3799,-0.0572,No,0.4787,0.7128,2.3851,6.4118,87.3,No,Yes,40,41.52,41.52,41.52,41.52,41.52,44.52,44.52,36.52,36.52,36.52,36.52,49.15,44.15,17,44,0.0638,24,0.2553,0.0851,0.1064,2.25,4,2,7,4,5,,,,0.0106,0.0426
Trevor Lawrence,JAX,QB,101,101,101,0.8317,66,0.6535,0.8298,0.0697,101,673,6.6634,0.4695,6.3663,604,No,No,32.86,-0.0679,No,0.604,0.5941,2.4604,6.3579,86,No,Yes,36,36.92,36.92,36.92,36.92,36.92,39.92,39.92,34.92,34.92,34.92,34.92,43.65,41.65,17,87,0.1188,26,0.2574,0.099,0.0495,2.5808,7,2,4,3,2,,2,0.0198,,0.0198
