Name,Team,POS,playerStatsSnapsOffenseTotal,DropbacksTotal,AttemptsTotal,AttemptsCatchablePercentage,AttemptsInEndzoneTotal,CompletionsAdjustedPercentage,CompletionsOverExpected,OpportunitiesTotal,IncompletionsSpiked,IncompletionsBatted,DropsYardsLost,DropsPercentage,YardsAirTotal,PlayActionLabel,PressuredLabel,PressuredTotal,PressuredPercentage,PressuredExpected,PressuredOverExpected,BlitzedLabel,OffTargetThrowAttemptsPercentage,DeepThrowAttemptsTotal,DeepThrowAttemptsPercentage,TowThrowPercentage,HeroThrowPercentage,TargetedReadFirstPercentage,TargetedReadCheckdownPercentage,ThrowAccuracyHighlyAccuratePercentage,AverageTimeToThrow,AverageTimeToPressure,AverageDepthOfTarget,PasserRating,TargetsContestedLabel,TargetsCatchableLabel,playerStatsGamesPlayed,IncompletionsThrownAway,RunPassOptionPercentage
Kenny Pickett,LV,QB,15,15,15,0.4667,1,0.3333,-0.3857,15,1,1,8,0.2667,119,No,No,4,0.2667,5.1662,-0.0777,No,0.3333,1,0.0667,0.0667,0.0667,0.6,0.1333,0.2,2.56,2.075,9.1538,39.6,Yes,No,6,,
Lamar Jackson,BLT,QB,104,103,103,0.2524,16,0.2532,-0.3801,103,2,7,191,0.1942,1078,No,Yes,43,0.4175,43.4731,-0.0046,Yes,0.4757,24,0.233,0.0388,0.0097,0.5534,0.0485,0.0874,3.0184,2.4814,13.378,39.6,No,No,13,12,
Chris Oladokun,KC,QB,20,20,20,0.35,2,0.2,-0.4677,20,1,2,5,0.15,192,No,Yes,10,0.5,7.9305,0.1035,No,0.35,5,0.25,0.1,,0.6,0.05,0.2,2.865,2.5,12.8,39.6,No,No,3,2,0.05
Brandon Allen,TEN,QB,12,12,12,0.0833,,0.0909,-0.5351,12,,1,-2,0.0833,88,No,Yes,8,0.6667,5.1059,0.2412,No,0.8333,1,0.0833,0.25,,0.6667,0.0833,,3.0417,2.5125,8,39.6,No,No,1,,0.0833
Jayden Daniels,WAS,QB,71,71,71,0.2817,4,0.283,-0.3845,71,2,4,143,0.2113,596,No,No,28,0.3944,25.8095,0.0309,No,0.4648,10,0.1408,0.0141,0.0141,0.5493,0.0563,0.1408,2.6775,2.4071,11.2453,39.6,No,No,7,12,0.0141
Sam Darnold,SEA,QB,140,140,140,0.2357,15,0.1596,-0.4917,140,4,15,134,0.1071,1192,Yes,No,51,0.3643,52.4038,-0.01,Yes,0.3714,18,0.1286,0.0214,0.0286,0.5071,0.0357,0.1786,2.74,2.5529,11.99,39.6,No,No,17,21,0.0143
Andy Dalton,CAR,QB,11,11,11,0.4545,1,,-0.6185,11,,,,,136,No,Yes,6,0.5455,4.2736,0.1569,Yes,0.3636,1,0.0909,,,0.6364,,0.1818,2.8273,2.6333,13.6,39.6,Yes,Yes,4,1,
Trevor Lawrence,JAX,QB,207,207,207,0.4058,18,0.2874,-0.3465,207,3,16,397,0.2319,2316,Yes,No,66,0.3188,79.727,-0.0663,No,0.3623,45,0.2174,0.0338,0.0242,0.5845,0.029,0.1594,2.8048,2.6364,13.3391,39.6,No,Yes,17,14,0.0145
Bo Nix,DEN,QB,214,213,213,0.2817,20,0.2202,-0.4281,213,1,12,280,0.1737,2401,Yes,Yes,97,0.4554,92.5091,0.0211,No,0.4789,43,0.2019,0.0376,0.0282,0.5164,0.0845,0.1502,3.092,2.4701,13.8902,39.6,No,No,17,27,0.0235
Anthony Richardson,IND,QB,1,1,1,,,,-0.3363,1,,,,,36,No,No,,,0.3665,-0.3665,No,,1,1,,,1,,,2.7,,36,39.6,No,No,2,,
Russell Wilson,NYG,QB,47,47,47,0.234,4,0.2143,-0.4493,47,,3,21,0.1277,377,No,Yes,25,0.5319,18.5216,0.1378,Yes,0.3191,6,0.1277,0.0213,,0.4043,0.0851,0.0851,2.8596,2.568,12.1613,39.6,No,No,6,13,0.0213
Joe Burrow,CIN,QB,81,81,81,0.4074,9,0.1667,-0.4756,81,,4,53,0.1358,865,No,Yes,32,0.3951,33.7443,-0.0215,No,0.3827,18,0.2222,0.037,0.037,0.5432,0.0617,0.2593,2.9901,2.5688,12.9104,39.6,No,No,8,10,
Joshua Dobbs,NE,QB,3,3,3,0.3333,,,-0.3963,3,,,,,95,No,Yes,,,1.2894,-0.4298,Yes,0.6667,2,0.6667,,0.3333,1,,0.3333,3.0667,,31.6667,39.6,No,No,4,,
Mac Jones,SF,QB,82,82,82,0.3049,3,0.2,-0.4656,82,3,6,158,0.1463,724,No,No,28,0.3415,27.2152,0.0096,No,0.4024,12,0.1463,0.0366,0.061,0.5854,0.0366,0.1707,2.4927,2.4071,11.5079,39.6,No,No,11,10,
Kirk Cousins,ATL,QB,98,98,98,0.3571,7,0.1429,-0.4804,98,3,2,97,0.1122,1071,No,Yes,48,0.4898,34.943,0.1332,No,0.398,21,0.2143,0.0306,0.0306,0.5816,0.0408,0.2755,2.6357,2.4104,13.3875,39.6,No,No,10,13,
Jameis Winston,NYG,QB,27,27,27,0.2222,3,0.1429,-0.5437,27,,1,13,0.1111,225,Yes,Yes,10,0.3704,10.5696,-0.0211,Yes,0.5185,3,0.1111,0.1481,,0.6296,0.037,0.0741,2.8444,2.87,10.2273,39.6,No,No,3,4,0.037
Philip Rivers,IND,QB,31,31,31,0.3226,1,0.1111,-0.5108,31,,2,8,0.0968,404,No,No,11,0.3548,9.9313,0.0345,No,0.5161,7,0.2258,0.0645,,0.7419,0.0645,0.0645,2.4323,2.2091,14.963,39.6,Yes,No,3,2,
Clayton Tune,GB,QB,7,7,7,0.4286,,0.4,-0.363,7,,1,10,0.2857,32,Yes,Yes,4,0.5714,2.4623,0.2197,Yes,0.2857,,,0.1429,,0.5714,,0.2857,2.6143,2.55,6.4,39.6,No,No,2,1,
Tyrod Taylor,NYJ,QB,49,49,49,0.4082,5,0.3611,-0.2629,49,1,6,126,0.2653,543,No,No,20,0.4082,19.4747,0.0107,Yes,0.3265,12,0.2449,0.0816,0.0204,0.6122,0.0204,0.1837,2.8755,2.285,15.0833,39.6,Yes,Yes,6,6,
Michael Penix,ATL,QB,106,106,106,0.2075,8,0.1667,-0.4766,106,,2,132,0.1321,1081,No,Yes,49,0.4623,42.6148,0.0602,Yes,0.5094,18,0.1698,0.0472,0.0189,0.5849,0.0094,0.1415,2.9057,2.5551,12.4253,39.6,No,No,9,17,0.0094
Max Brosmer,MIN,QB,20,20,20,0.45,1,0.2941,-0.3918,20,,,33,0.25,170,No,No,5,0.25,7.055,-0.1027,No,0.4,2,0.1,0.05,,0.5,0.05,0.15,2.62,2.64,9.4444,39.6,Yes,Yes,7,2,
Josh Allen,BUF,QB,131,131,131,0.3435,8,0.217,-0.4383,131,1,8,171,0.1756,1355,No,No,56,0.4275,59.554,-0.0271,No,0.4504,27,0.2061,0.0382,0.0458,0.5038,0.0611,0.2137,3.2084,2.6661,12.6636,39.6,No,No,17,15,0.0305
Drew Lock,SEA,QB,1,1,1,,,,-0.743,1,,,,,7,No,No,,,0.2631,-0.2631,No,1,,,1,,1,,,2.1,,7,39.6,No,No,5,,
Shedeur Sanders,CLV,QB,82,82,82,0.2317,5,0.1207,-0.532,82,,4,63,0.0854,761,No,No,48,0.5854,42.1148,0.0718,Yes,0.4512,14,0.1707,0.0976,0.0122,0.439,0.0366,0.1585,3.5524,2.9187,12.2951,39.6,No,No,8,17,
Davis Mills,HST,QB,67,67,67,0.3284,9,0.1964,-0.4756,67,,2,34,0.1642,643,No,No,27,0.403,23.8344,0.0472,Yes,0.4925,13,0.194,0.0597,,0.6119,0.0597,0.1791,2.6373,2.3667,11.1207,39.6,No,Yes,6,7,0.0149
Riley Leonard,IND,QB,25,25,25,0.4,5,0.1579,-0.4978,25,,1,28,0.12,237,Yes,Yes,10,0.4,9.6813,0.0127,No,0.4,3,0.12,0.16,0.08,0.64,0.04,0.28,2.82,2.64,11.75,39.6,No,No,5,4,0.08
Malik Willis,GB,QB,5,5,5,0.6,2,0.4,-0.2576,5,,,8,0.4,66,Yes,Yes,1,0.2,1.436,-0.0872,No,0.4,1,0.2,,,0.8,,0.2,2.24,3.3,13.2,39.6,No,No,4,,0.2
Jalen Hurts,PHI,QB,154,154,154,0.2922,9,0.1695,-0.4529,154,2,5,167,0.1299,1790,No,No,64,0.4156,70.5851,-0.0428,No,0.4351,36,0.2338,0.0195,0.0195,0.5649,0.0455,0.1623,3.2299,2.4734,14.6613,39.6,Yes,Yes,16,24,0.0195
Tyler Shough,NO,QB,101,100,100,0.28,8,0.1975,-0.4232,100,3,6,149,0.16,1207,No,Yes,41,0.41,36.9008,0.041,No,0.48,28,0.28,0.02,0.02,0.66,0.05,0.16,2.709,2.3659,14.5422,39.6,No,No,11,9,0.01
Cooper Rush,BLT,QB,14,14,14,0.4286,,0.1818,-0.5272,14,,,-1,0.1429,98,No,No,8,0.5714,4.9937,0.2147,No,0.3571,,,,,0.6429,,0.2143,2.6429,2.0875,7.5385,39.6,No,No,4,1,
Trey Lance,LAC,QB,29,29,29,0.2069,1,,-0.5608,29,4,,,,370,No,Yes,12,0.4138,9.595,0.0829,No,0.4828,9,0.3103,0.1034,,0.5862,0.0345,0.1724,2.469,2.1167,16.087,39.6,No,No,4,2,
Patrick Mahomes,KC,QB,176,176,176,0.2614,12,0.1955,-0.4484,176,2,7,179,0.1477,1935,Yes,Yes,82,0.4659,72.3012,0.0551,No,0.4489,34,0.1932,0.0455,0.0341,0.5625,0.0341,0.1477,2.9545,2.6744,14.0217,39.6,No,No,14,29,0.0341
J.J. McCarthy,MIN,QB,91,91,91,0.2637,11,0.274,-0.3747,91,,9,209,0.2198,912,Yes,No,38,0.4176,38.5828,-0.0064,No,0.5165,16,0.1758,0.022,0.044,0.6703,0.022,0.1429,3.033,2.8816,12,39.6,No,No,10,6,0.011
Matthew Stafford,LA,QB,201,201,201,0.3333,26,0.2105,-0.4303,201,3,4,287,0.1791,2301,Yes,No,85,0.4229,77.2862,0.0384,No,0.4478,42,0.209,0.0398,0.0149,0.6119,0.0547,0.0896,2.8015,2.5988,13.5314,39.6,No,No,17,19,0.0199
