Name,Team,POS,playerStatsSnapsOffenseTotal,DropbacksTotal,OpportunitiesTotal,ScramblesTotal,ScramblesYards,ScramblesTouchdowns,PlayActionLabel,PressuredLabel,PressuredTotal,PressuredPercentage,PressuredOverExpected,BlitzedLabel,AverageTimeToScramble,AverageTimeToPressure,AttemptsTotal,TargetsContestedLabel,TargetsCatchableLabel,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,RunPassOptionPercentage
Brock Purdy,SF,QB,18,18,18,18,131,1,No,Yes,16,0.8889,0.8889,Yes,5.1667,2.9062,18,No,No,19.1,19.1,19.1,19.1,19.1,22.1,22.1,19.1,19.1,19.1,19.1,19.1,19.1,9,
Kenny Pickett,LV,QB,3,3,3,3,23,,No,Yes,3,1,1,No,5.3,2.7333,3,No,No,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,6,
Chris Oladokun,KC,QB,4,4,4,4,18,,No,Yes,4,1,1,No,5.25,2.425,4,No,No,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,3,
Lamar Jackson,BLT,QB,30,30,30,30,219,1,Yes,Yes,30,1,1,Yes,5.43,2.88,30,No,No,27.9,27.9,27.9,27.9,27.9,30.9,30.9,27.9,27.9,27.9,27.9,27.9,27.9,13,
Bo Nix,DEN,QB,36,36,36,36,307,3,No,Yes,34,0.9444,0.9444,No,4.7472,2.7471,36,No,No,48.7,48.7,48.7,48.7,48.7,51.7,51.7,48.7,48.7,48.7,48.7,48.7,48.7,17,0.0278
Trevor Lawrence,JAX,QB,42,42,42,42,309,4,Yes,Yes,38,0.9048,0.9048,No,5.2571,2.9184,42,No,No,54.9,54.9,54.9,54.9,54.9,57.9,57.9,54.9,54.9,54.9,54.9,54.9,54.9,17,
Sam Darnold,SEA,QB,14,14,14,14,89,,No,Yes,13,0.9286,0.9286,No,4.8,2.5538,14,No,No,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,17,
Andy Dalton,CAR,QB,1,1,1,1,1,,No,Yes,1,1,1,No,5.6,3.8,1,No,No,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-1.9,-1.9,-1.9,-1.9,-1.9,-0.9,-1.9,4,
Jayden Daniels,WAS,QB,38,38,38,38,246,,No,Yes,32,0.8421,0.8421,No,4.3737,2.6531,38,No,No,24.6,24.6,24.6,24.6,24.6,27.6,27.6,24.6,24.6,24.6,24.6,24.6,24.6,7,
Joshua Dobbs,NE,QB,1,1,1,1,2,,Yes,Yes,1,1,1,No,7,3.6,1,No,No,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,4,
Kirk Cousins,ATL,QB,2,2,2,2,8,,No,Yes,2,1,1,No,4,2.9,2,No,No,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,10,
Mac Jones,SF,QB,8,8,8,8,55,,No,No,8,1,1,No,5.1625,3.25,8,No,No,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,11,
Joe Burrow,CIN,QB,8,8,8,8,26,,No,Yes,8,1,1,No,5.6125,2.75,8,No,No,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,8,
Russell Wilson,NYG,QB,12,12,12,12,91,,No,Yes,12,1,1,No,4.3167,2.2667,12,No,No,9.1,9.1,9.1,9.1,9.1,9.1,9.1,9.1,9.1,9.1,9.1,9.1,9.1,6,
Clayton Tune,GB,QB,2,2,2,2,17,,Yes,Yes,2,1,1,Yes,5.5,1.8,2,No,No,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,2,
Jameis Winston,NYG,QB,1,1,1,1,11,,No,No,1,1,1,No,5.4,2.6,1,No,No,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,3,
Max Brosmer,MIN,QB,2,2,2,2,16,,No,No,2,1,1,No,5.55,2.95,2,No,No,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,7,
Josh Allen,BUF,QB,48,48,48,48,426,3,No,No,45,0.9375,0.9375,No,5.2354,2.6267,48,No,No,60.6,60.6,60.6,60.6,60.6,63.6,63.6,60.6,60.6,60.6,60.6,60.6,60.6,17,
Tyrod Taylor,NYJ,QB,22,22,22,22,141,1,No,No,22,1,1,No,5.4182,2.9682,22,No,No,20.1,20.1,20.1,20.1,20.1,23.1,23.1,20.1,20.1,20.1,20.1,20.1,20.1,6,
Michael Penix,ATL,QB,13,13,13,13,77,1,Yes,Yes,13,1,1,No,5.2462,2.8077,13,No,No,13.7,13.7,13.7,13.7,13.7,13.7,13.7,13.7,13.7,13.7,13.7,13.7,13.7,9,
Shedeur Sanders,CLV,QB,18,18,18,18,167,1,No,Yes,18,1,1,No,5.1889,2.9389,18,No,No,22.7,22.7,22.7,22.7,22.7,25.7,25.7,22.7,22.7,22.7,22.7,22.7,22.7,8,
Jalen Hurts,PHI,QB,40,40,40,40,266,2,No,Yes,38,0.95,0.95,No,5.455,2.6289,40,No,No,38.6,38.6,38.6,38.6,38.6,41.6,41.6,38.6,38.6,38.6,38.6,38.6,38.6,16,0.025
Riley Leonard,IND,QB,3,3,3,3,26,1,Yes,Yes,2,0.6667,0.6667,No,4.6667,2.75,3,No,No,8.6,8.6,8.6,8.6,8.6,8.6,8.6,8.6,8.6,8.6,8.6,8.6,8.6,5,0.3333
Malik Willis,GB,QB,9,9,9,9,67,1,Yes,Yes,9,1,1,No,5.6889,2.8667,9,No,No,12.7,12.7,12.7,12.7,12.7,12.7,12.7,12.7,12.7,12.7,12.7,12.7,12.7,4,
Davis Mills,HST,QB,8,7,7,7,58,1,Yes,Yes,7,1,1,Yes,4.5857,2.7429,7,No,No,11.8,11.8,11.8,11.8,11.8,11.8,11.8,11.8,11.8,11.8,11.8,11.8,11.8,6,
Trey Lance,LAC,QB,7,7,7,7,75,,No,Yes,7,1,1,No,6.0714,2.6143,7,No,No,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,4,
Tyler Shough,NO,QB,20,20,20,20,125,2,No,Yes,20,1,1,No,4.63,2.53,20,No,No,24.5,24.5,24.5,24.5,24.5,27.5,27.5,24.5,24.5,24.5,24.5,24.5,24.5,11,0.05
Justin Herbert,LAC,QB,49,49,49,49,439,1,No,Yes,44,0.898,0.898,No,4.4184,2.5273,49,No,No,49.9,49.9,49.9,49.9,49.9,52.9,52.9,49.9,49.9,49.9,49.9,49.9,49.9,16,0.0204
Drake Maye,NE,QB,62,62,62,62,429,3,No,Yes,62,1,1,No,4.8097,2.8355,62,No,No,60.9,60.9,60.9,60.9,60.9,63.9,63.9,60.9,60.9,60.9,60.9,60.9,60.9,17,
Geno Smith,LV,QB,18,18,18,18,109,,Yes,Yes,18,1,1,No,5.5222,2.7833,18,No,No,10.9,10.9,10.9,10.9,10.9,13.9,13.9,10.9,10.9,10.9,10.9,10.9,10.9,15,0.0556
Matthew Stafford,LA,QB,7,7,7,7,22,,Yes,Yes,6,0.8571,0.8571,No,4.7857,3.5167,7,No,No,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,17,
Patrick Mahomes,KC,QB,52,52,52,52,420,3,No,Yes,51,0.9808,0.9808,No,5.0327,2.8961,52,No,No,60,60,60,60,60,63,63,60,60,60,60,60,60,14,
J.J. McCarthy,MIN,QB,17,17,17,17,156,2,Yes,Yes,17,1,1,Yes,5.0647,2.8706,17,No,No,27.6,27.6,27.6,27.6,27.6,30.6,30.6,27.6,27.6,27.6,27.6,27.6,27.6,10,
Tyson Bagent,CHI,QB,1,1,1,1,7,,No,No,1,1,1,No,4.6,3.3,1,No,No,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,3,
Marcus Mariota,WAS,QB,18,18,18,18,163,1,No,No,16,0.8889,0.8889,No,4.7778,2.3875,18,No,No,21.3,21.3,21.3,21.3,21.3,24.3,23.3,20.3,20.3,20.3,20.3,21.3,20.3,11,
Aidan O'Connell,LV,QB,1,1,1,1,7,,No,Yes,1,1,1,No,3.8,2.2,1,No,No,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,1,
Tyler Huntley,BLT,QB,7,7,7,7,84,,No,Yes,7,1,1,Yes,4.8286,2.6571,7,No,No,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,5,
Mason Rudolph,PIT,QB,1,1,1,1,3,,No,No,1,1,1,No,6.6,4.9,1,No,No,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,5,
Aaron Rodgers,PIT,QB,12,12,12,12,68,1,No,Yes,12,1,1,No,5.6833,2.7917,12,No,No,12.8,12.8,12.8,12.8,12.8,12.8,12.8,12.8,12.8,12.8,12.8,12.8,12.8,16,0.0833
Joe Milton,DAL,QB,3,3,3,3,22,,Yes,Yes,3,1,1,No,4.9333,2.9667,3,No,No,1.2,1.2,1.2,1.2,1.2,1.2,0.2,0.2,0.2,0.2,0.2,1.2,0.2,4,
Baker Mayfield,TB,QB,42,42,42,42,373,1,No,Yes,42,1,1,No,5.4071,2.7571,42,No,No,43.3,43.3,43.3,43.3,43.3,46.3,46.3,43.3,43.3,43.3,43.3,43.3,43.3,17,
Dak Prescott,DAL,QB,26,26,26,26,176,1,No,No,26,1,1,No,4.8923,2.8462,26,No,No,23.6,23.6,23.6,23.6,23.6,26.6,26.6,23.6,23.6,23.6,23.6,23.6,23.6,17,
Carson Wentz,MIN,QB,9,9,9,9,57,,No,No,9,1,1,No,5.2667,2.9556,9,No,No,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5,
Spencer Rattler,NO,QB,16,16,16,16,114,,No,No,16,1,1,No,4.2188,2.3875,16,No,No,10.4,10.4,10.4,10.4,10.4,13.4,12.4,9.4,9.4,9.4,9.4,10.4,9.4,9,0.0625
Quinn Ewers,MIA,QB,3,3,3,3,21,,Yes,Yes,3,1,1,No,4.0333,2.7,3,No,No,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,4,
