Name,Team,POS,playerStatsSnapsOffenseTotal,DropbacksTotal,AttemptsTotal,AttemptsCatchablePercentage,AttemptsInEndzoneTotal,CompletionsTotal,CompletionsPercentage,CompletionsAdjustedPercentage,CompletionsOverExpected,OpportunitiesTotal,IncompletionsThrownAway,YardsTotal,YardsPerAttempt,YardsAfterCatchPercentage,YardsAdjustedNetPercentage,YardsAirTotal,TouchdownsTotal,InterceptionsTotal,SackedTotal,SackedPressuredPercentage,SackedYardsLost,SackedPercentage,PlayActionLabel,PressuredLabel,PressuredTotal,PressuredPercentage,PressuredExpected,PressuredOverExpected,BlitzedLabel,RunPassOptionPercentage,OffTargetThrowAttemptsPercentage,DeepThrowAttemptsTotal,DeepThrowAttemptsPercentage,TowThrowPercentage,TargetedReadFirstPercentage,TargetedReadCheckdownPercentage,ThrowAccuracyHighlyAccuratePercentage,AverageTimeToThrow,AverageTimeToSack,AverageTimeToPressure,AverageDepthOfTarget,PasserRating,TargetsContestedLabel,TargetsCatchableLabel,playerStatsFirstDownsPassing,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,IncompletionsBatted,ScramblesTotal,ScramblesYards,ScramblesTouchdowns,AverageTimeToScramble,SackedFaultTotal,DropsYardsLost,DropsPercentage,HeroThrowPercentage
Jake Browning,CIN,QB,31,31,30,0.7667,1,21,0.7,0.75,0.0016,31,2,181,6.0333,0.4917,3.3548,202,1,2,1,0.0769,-7,0.0323,No,No,13,0.4194,12.6007,0.0129,No,0.1613,0.1667,3,0.1,0.0667,0.7,0.1333,0.4,3.01,3.4,2.6077,7.2143,68.9,No,No,10,9.24,9.24,9.24,9.24,9.24,9.24,9.24,7.24,7.24,7.24,7.24,11.05,9.05,5,,,,,,,,,
Josh Johnson,WAS,QB,21,21,4,0.6471,1,8,0.4706,0.6667,-0.0923,21,3,122,7.1765,0.7623,5.7059,73,1,1,,,,,Yes,Yes,13,0.619,7.8356,0.2459,Yes,0.0476,0.0588,,,0.0588,0.5294,,0.4706,3.2471,,2.8154,6.0833,66.3,No,No,6,15.68,15.68,15.68,15.68,15.68,15.68,15.68,14.68,14.68,14.68,14.68,16.9,15.9,5,2,4,18,1,4.475,,,,
Philip Rivers,IND,QB,20,20,17,0.7059,1,12,0.7059,0.75,-0.0264,20,,83,4.8824,0.6506,4.35,103,1,,3,0.75,-16,0.15,Yes,Yes,4,0.2,4.6444,-0.0322,No,0.15,0.2353,1,0.0588,0.1176,0.6471,0.1765,0.6471,2.1588,4.5,2.525,6.4375,100.9,No,No,5,7.32,7.32,7.32,7.32,7.32,7.32,7.32,7.32,7.32,7.32,7.32,8.15,8.15,3,1,,,,,1,,,
Kyler Murray,ARZ,QB,52,52,6,0.8462,2,29,0.7436,0.8919,0.1145,52,1,246,6.3077,0.6707,5.4348,217,2,,7,0.3043,-36,0.1346,Yes,No,23,0.4423,16.7795,0.1196,No,0.0577,0.1026,5,0.1282,0.0256,0.5897,0.2051,0.6667,3.0692,4.5429,2.8783,5.7105,107.4,No,Yes,8,24.04,24.04,24.04,24.04,24.04,24.04,24.04,24.04,24.04,24.04,24.04,26.5,26.5,5,,6,62,,6.65,,54,0.1026,0.0256
Tanner McKee,PHI,QB,16,16,2,0.6923,,9,0.6923,0.9,0.2092,16,3,149,11.4615,0.4564,10.6429,91,,,1,0.1111,,0.0625,Yes,Yes,9,0.5625,5.8174,0.1989,Yes,0.125,0.0769,1,0.0769,,0.4615,0.1538,0.6923,3.1692,6.1,3.2111,9.1,107.5,No,No,8,6.26,6.26,6.26,6.26,6.26,6.26,6.26,6.26,6.26,6.26,6.26,7.75,7.75,4,,2,3,,5.85,1,,,
Brandon Allen,TEN,QB,9,9,9,0.6667,,5,0.5556,0.6667,-0.1601,9,,33,3.6667,1.1212,3.6667,26,,,,,,,Yes,No,2,0.2222,2.7297,-0.0811,No,0.4444,0.3333,,,,0.8889,,0.5556,2.3333,,3.05,2.8889,63.7,No,Yes,1,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.65,1.65,1,,,,,,,-2,0.1111,
Jared Goff,DET,QB,185,183,2,0.7688,3,125,0.7225,0.8258,0.0555,183,14,1651,9.5434,0.6566,9.4862,978,10,2,8,0.1311,-44,0.0437,Yes,Yes,61,0.3333,63.8444,-0.0155,Yes,0.0437,0.1272,12,0.0694,0.0116,0.6763,0.0694,0.6069,2.7145,3.3375,2.7246,6.3654,116.5,No,Yes,77,104.14,104.14,104.14,104.14,104.14,107.14,106.14,101.14,101.14,101.14,101.14,120.65,117.65,17,3,2,11,,5,,8,0.0173,0.0347
Cam Ward,TEN,QB,154,154,7,0.7226,3,89,0.6496,0.7833,-0.0002,154,17,841,6.1387,0.6385,5.9864,669,6,,10,0.1695,-81,0.0649,Yes,No,59,0.3831,55.7373,0.0212,No,0.2013,0.1533,11,0.0803,0.0073,0.6131,0.1095,0.5547,2.9336,3.9,2.8542,5.575,96.4,No,Yes,41,58.44,58.44,58.44,58.44,58.44,61.44,59.44,56.44,56.44,56.44,56.44,66.85,64.85,17,,7,28,,6.0714,2,41,0.0365,0.0292
C.J. Stroud,HST,QB,119,119,7,0.7315,5,70,0.6481,0.72,-0.0132,119,7,902,8.3519,0.5044,8.1339,862,6,2,4,0.0909,-21,0.0336,Yes,Yes,44,0.3697,44.1069,-0.0009,Yes,0.0756,0.1852,15,0.1389,0.0278,0.6667,0.1296,0.5093,2.9426,3.95,2.9227,8.5347,101.7,No,Yes,38,60.58,60.58,60.58,60.58,60.58,63.58,63.58,58.58,58.58,58.58,58.58,69.6,67.6,14,1,7,25,,5.4857,2,15,0.0185,0.0556
Jacoby Brissett,ARZ,QB,151,151,7,0.7023,5,84,0.6412,0.7699,0.0244,151,16,982,7.4962,0.5642,6.4653,863,6,2,13,0.194,-81,0.0861,Yes,No,67,0.4437,58.782,0.0544,No,0.0397,0.145,11,0.084,0.0076,0.5496,0.1145,0.542,3.1763,3.4923,2.8134,7.5702,95.7,Yes,Yes,50,64.88,64.88,64.88,64.88,64.88,67.88,66.88,61.88,61.88,61.88,61.88,74.7,71.7,14,1,7,46,,5.6143,4,10,0.0229,
