Name,Team,POS,playerStatsSnapsOffenseTotal,DropbacksTotal,AttemptsTotal,AttemptsCatchablePercentage,AttemptsInEndzoneTotal,CompletionsTotal,CompletionsPercentage,CompletionsAdjustedPercentage,CompletionsOverExpected,OpportunitiesTotal,DropsYardsLost,DropsPercentage,YardsTotal,YardsPerAttempt,YardsAfterCatchPercentage,YardsAdjustedNetPercentage,YardsAirTotal,TouchdownsTotal,InterceptionsTotal,PlayActionLabel,PressuredLabel,PressuredTotal,PressuredPercentage,PressuredExpected,PressuredOverExpected,BlitzedLabel,RunPassOptionPercentage,OffTargetThrowAttemptsPercentage,DeepThrowAttemptsTotal,DeepThrowAttemptsPercentage,TowThrowPercentage,HeroThrowPercentage,TargetedReadFirstPercentage,ThrowAccuracyHighlyAccuratePercentage,AverageTimeToThrow,AverageTimeToPressure,AverageDepthOfTarget,PasserRating,TargetsContestedLabel,TargetsCatchableLabel,playerStatsFirstDownsPassing,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed
Bryce Young,CAR,QB,243,243,243,0.7984,22,160,0.6584,0.7149,0.0008,243,89,0.0535,1705,7.0165,0.3302,6.6049,2210,13,8,No,No,51,0.2099,70.0276,-0.0783,No,0.0165,0.1646,27,0.1111,0.037,0.0617,1,0.5473,2.2457,2.202,9.1646,90.3,No,Yes,89,112.2,112.2,112.2,112.2,112.2,115.2,115.2,104.2,104.2,104.2,104.2,129.25,121.25,16
Jordan Love,GB,QB,231,231,231,0.8355,16,167,0.7229,0.7609,0.09,231,79,0.0346,2246,9.7229,0.3059,10.3939,2905,19,5,No,No,48,0.2078,72.6498,-0.1067,No,0.0346,0.1602,46,0.1991,0.026,0.0866,1,0.5931,2.3983,2.2604,12.645,121.2,No,Yes,112,160.84,160.84,160.84,160.84,160.84,163.84,163.84,155.84,155.84,155.84,155.84,183.3,178.3,15
Clayton Tune,GB,QB,8,8,8,0.875,,3,0.375,0.75,-0.0376,8,15,0.375,23,2.875,0.3913,-2.75,43,,1,Yes,No,2,0.25,2.3459,-0.0432,Yes,,0.125,,,,,1,0.5,2.275,2,5.375,6.3,No,Yes,1,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-1.08,-1.08,-1.08,-1.08,0.15,-0.85,2
Jameis Winston,NYG,QB,44,43,43,0.6977,4,24,0.5581,0.6279,-0.0707,43,13,0.0698,308,7.1628,0.2565,5.5349,417,1,2,Yes,Yes,11,0.2558,14.1229,-0.0726,Yes,0.0233,0.2791,4,0.093,0.1163,0.0698,1,0.3953,2.4791,2.5636,9.6977,66.8,No,No,15,23.62,24.62,24.12,24.62,24.62,27.62,27.12,22.62,22.62,22.62,22.12,27.7,25.7,3
Drew Lock,SEA,QB,1,1,1,,,,,,-0.743,1,,,,,,,7,,,No,No,,,0.2631,-0.2631,No,,1,,,1,,1,,2.1,,7,39.6,No,No,,,,,,,,,,,,,,,5
Josh Allen,BUF,QB,232,232,232,0.819,9,167,0.7198,0.7759,0.0667,232,127,0.056,2058,8.8707,0.4155,8.5259,2258,14,8,No,No,37,0.1595,70.4978,-0.1444,No,0.0431,0.1767,35,0.1509,0.0474,0.0517,1,0.6509,2.3366,2.6189,9.7328,104.8,No,No,100,130.32,130.32,130.32,130.32,130.32,133.32,133.32,122.32,122.32,122.32,122.32,150.9,142.9,17
Max Brosmer,MIN,QB,33,33,33,0.8182,1,21,0.6364,0.6667,-0.0552,33,5,0.0303,196,5.9394,0.3265,1.8485,282,,3,No,No,4,0.1212,7.6112,-0.1094,No,,0.1818,5,0.1515,0.0606,0.0606,1,0.3636,1.9121,2.05,8.5455,42,Yes,Yes,11,4.84,4.84,4.84,4.84,4.84,4.84,4.84,1.84,1.84,1.84,1.84,6.8,3.8,7
Tyrod Taylor,NYJ,QB,79,79,79,0.7975,7,45,0.5696,0.7089,0.0093,79,106,0.1392,447,5.6582,0.2752,3.8228,861,4,5,No,No,21,0.2658,25.3177,-0.0547,No,,0.2025,12,0.1519,0.0886,0.0127,1,0.5696,2.4329,2.3,10.8987,63.6,No,Yes,24,28.88,28.88,28.88,28.88,28.88,31.88,31.88,23.88,23.88,23.88,23.88,33.35,28.35,6
Michael Penix,ATL,QB,165,165,165,0.7152,10,103,0.6242,0.6788,-0.014,165,111,0.0545,1378,8.3515,0.3643,8.6545,1710,7,2,No,Yes,33,0.2,52.6148,-0.1189,Yes,,0.2364,19,0.1152,0.0242,0.0424,1,0.5152,2.4236,2.3515,10.3636,98,No,Yes,71,81.12,81.12,81.12,81.12,81.12,84.12,84.12,79.12,79.12,79.12,79.12,94.9,92.9,9
Shedeur Sanders,CLV,QB,90,90,90,0.7333,6,54,0.6,0.6556,-0.0041,90,46,0.0556,790,8.7778,0.3544,7.6111,1130,6,5,No,No,22,0.2444,30.4883,-0.0943,Yes,,0.2556,19,0.2111,0.0889,0.0778,1,0.5889,2.5389,2.4591,12.5556,87.7,No,No,35,50.6,50.6,50.6,50.6,50.6,53.6,53.6,45.6,45.6,45.6,45.6,58.5,53.5,8
Jalen Hurts,PHI,QB,266,266,266,0.7782,14,175,0.6579,0.7083,0.0221,266,110,0.0451,2290,8.609,0.3105,9.1165,2982,18,5,No,No,64,0.2406,84.5993,-0.0774,No,0.0714,0.1917,46,0.1729,0.0301,0.0639,1,0.5526,2.4188,2.2437,11.3158,107.5,Yes,Yes,106,157.6,157.6,157.6,157.6,157.6,160.6,159.6,151.6,151.6,151.6,151.6,180.5,174.5,16
Cooper Rush,BLT,QB,25,25,25,0.84,,15,0.6,0.68,-0.0168,25,9,0.08,167,6.68,0.2814,3.08,251,,2,No,No,5,0.2,7.111,-0.0844,No,0.04,0.12,2,0.08,,0.04,1,0.48,2.224,2.12,10.04,46.6,No,No,8,4.68,4.68,4.68,4.68,4.68,4.68,4.68,2.68,2.68,2.68,2.68,6.35,4.35,4
Davis Mills,HST,QB,105,105,105,0.7714,10,63,0.6,0.6857,-0.0179,105,43,0.0857,678,6.4571,0.2006,6.4095,1056,2,1,No,No,15,0.1429,28.4827,-0.1284,Yes,0.0286,0.219,17,0.1619,0.019,0.0381,1,0.5905,2.1476,2.1667,10.0571,81.4,No,Yes,37,34.12,34.12,34.12,34.12,34.12,37.12,37.12,33.12,33.12,33.12,33.12,40.9,39.9,6
Riley Leonard,IND,QB,41,41,41,0.8293,6,23,0.561,0.6341,-0.0618,41,28,0.0732,287,7,0.3171,5.7805,470,2,2,No,No,9,0.2195,13.0966,-0.0999,No,0.0732,0.1707,7,0.1707,0.0732,0.122,1,0.7073,2.4268,2.6667,11.4634,73.9,No,Yes,13,16.18,16.18,16.18,16.18,16.18,16.18,15.18,13.18,13.18,13.18,13.18,19.05,16.05,5
Malik Willis,GB,QB,24,24,24,0.9583,2,20,0.8333,0.9167,0.2525,24,8,0.0833,297,12.375,0.2424,14.0417,286,2,,No,No,7,0.2917,7.9692,-0.0404,Yes,0.0417,0.0417,5,0.2083,,0.0833,1,0.7083,2.5,2.6286,11.9167,146,No,Yes,14,19.88,19.88,19.88,19.88,19.88,19.88,19.88,19.88,19.88,19.88,19.88,22.85,22.85,4
Tyler Shough,NO,QB,200,200,200,0.775,10,129,0.645,0.71,0.023,200,149,0.065,1478,7.39,0.2747,6.865,2207,6,5,No,Yes,36,0.18,57.8195,-0.1091,No,,0.2,34,0.17,0.025,0.055,1,0.555,2.251,2.2278,11.035,86.2,No,Yes,73,78.12,78.12,78.12,78.12,78.12,81.12,81.12,73.12,73.12,73.12,73.12,92.9,87.9,11
Trey Lance,LAC,QB,35,35,35,0.6857,1,17,0.4857,0.5143,-0.159,35,2,0.0286,170,4.8571,0.4235,3.5714,422,,1,No,No,6,0.1714,8.9135,-0.0832,No,0.0286,0.3143,8,0.2286,0.0857,,1,0.5714,2.0514,1.6667,12.0571,50.9,No,No,8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,4.8,4.8,4.8,4.8,7.5,6.5,4
Kenny Pickett,LV,QB,26,26,26,0.8462,1,16,0.6154,0.7308,-0.0185,26,6,0.1154,131,5.0385,0.2977,4.0769,205,1,1,No,No,4,0.1538,7.9261,-0.151,No,,0.1538,2,0.0769,0.0769,0.0769,1,0.6154,2.3423,2.2,7.8846,71.2,Yes,No,7,8.24,8.24,8.24,8.24,8.24,8.24,8.24,7.24,7.24,7.24,7.24,9.55,8.55,6
Chris Oladokun,KC,QB,24,24,24,0.7083,2,13,0.5417,0.625,-0.0889,24,3,0.0833,94,3.9167,0.383,3.9167,237,,,No,Yes,7,0.2917,7.2792,-0.0116,Yes,0.0417,0.25,5,0.2083,0.0417,,1,0.4583,2.3333,2.2857,9.875,63.5,No,Yes,4,3.76,3.76,3.76,3.76,3.76,3.76,3.76,3.76,3.76,3.76,3.76,4.7,4.7,3
Lamar Jackson,BLT,QB,159,158,158,0.7848,18,105,0.6646,0.7532,0.0958,158,167,0.0886,1554,9.8354,0.3153,11.6076,1938,14,,No,Yes,21,0.1329,48.6172,-0.1748,Yes,0.0127,0.1835,31,0.1962,0.019,0.0443,1,0.538,2.3589,2.3095,12.2658,128,Yes,Yes,72,118.16,118.16,118.16,118.16,118.16,121.16,121.16,118.16,118.16,118.16,118.16,133.7,133.7,13
