Name,Team,POS,playerStatsSnapsOffenseTotal,DropbacksTotal,AttemptsTotal,AttemptsCatchablePercentage,CompletionsTotal,CompletionsPercentage,CompletionsAdjustedPercentage,CompletionsOverExpected,OpportunitiesTotal,DropsYardsLost,DropsPercentage,YardsTotal,YardsPerAttempt,YardsAfterCatchPercentage,YardsAdjustedNetPercentage,YardsAirTotal,PlayActionLabel,PressuredLabel,PressuredTotal,PressuredPercentage,PressuredExpected,PressuredOverExpected,BlitzedLabel,TargetedReadFirstPercentage,AverageTimeToThrow,AverageTimeToPressure,AverageDepthOfTarget,PasserRating,TargetsContestedLabel,TargetsCatchableLabel,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,AttemptsInEndzoneTotal,TouchdownsTotal,RunPassOptionPercentage,TargetedReadCheckdownPercentage,playerStatsFirstDownsPassing,DeepThrowAttemptsTotal,DeepThrowAttemptsPercentage,InterceptionsTotal,TowThrowPercentage,HeroThrowPercentage
Russell Wilson,NYG,QB,5,5,5,1,4,0.8,1,0.2127,5,4,0.2,28,5.6,0.2143,5.6,26,No,No,2,0.4,1.5568,0.0886,No,0.6,2.38,2.15,5.2,90,No,No,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.4,1.4,6,,,,,,,,,,
Joe Flacco,CIN,QB,15,15,15,1,9,0.6,0.9333,0.1023,15,,0.3333,58,3.8667,0.4828,5.2,44,No,No,6,0.4,4.5495,0.0967,No,0.5333,2.3333,2.2,2.9333,90.4,No,No,6.32,6.32,6.32,6.32,6.32,6.32,6.32,6.32,6.32,6.32,6.32,6.9,6.9,13,1,1,0.2,0.3333,2,,,,,
Daniel Jones,IND,QB,17,17,17,1,11,0.6471,0.9412,0.1805,17,12,0.2941,121,7.1176,0.2231,7.1176,113,No,No,5,0.2941,5.1273,-0.0075,No,0.8235,2.3235,2.24,6.6471,85.7,No,No,4.84,4.84,4.84,4.84,4.84,4.84,4.84,4.84,4.84,4.84,4.84,6.05,6.05,13,,,0.0588,0.0588,4,1,0.0588,,,
Kyle Allen,DET,QB,1,1,1,1,,,,-0.8798,1,,,,,,,1,Yes,No,,,0.1768,-0.1768,No,1,1.6,,1,39.6,Yes,Yes,,,,,,,,,,,,,,3,,,,,,,,,,
C.J. Stroud,HST,QB,12,12,12,1,10,0.8333,0.9167,0.1549,12,3,0.0833,98,8.1667,0.4388,8.1667,70,No,Yes,6,0.5,5.1059,0.0745,No,0.4167,3.0417,2.65,5.8333,100.7,No,Yes,3.92,3.92,3.92,3.92,3.92,3.92,3.92,3.92,3.92,3.92,3.92,4.9,4.9,14,,,,0.1667,6,,,,,
Jacoby Brissett,ARZ,QB,14,14,14,1,12,0.8571,0.9286,0.1798,14,2,0.0714,111,7.9286,0.2432,7.9286,102,No,No,5,0.3571,5.4939,-0.0353,No,0.6429,2.85,2.62,7.2857,99.7,No,Yes,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,5.55,5.55,14,1,,,0.1429,6,,,,,
Jared Goff,DET,QB,23,23,23,1,18,0.7826,1,0.238,23,54,0.2174,180,7.8261,0.4111,8.6957,160,No,No,7,0.3043,8.4479,-0.063,No,0.6957,2.7043,2.3143,6.9565,113.8,No,No,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,13,13,17,,1,,0.1739,10,,,,,
Cam Ward,TEN,QB,20,20,20,1,18,0.9,0.95,0.1846,20,6,0.05,166,8.3,0.3193,8.3,131,Yes,Yes,4,0.2,7.1757,-0.1588,Yes,0.55,2.655,3.125,6.55,101.3,No,Yes,6.64,6.64,6.64,6.64,6.64,6.64,6.64,6.64,6.64,6.64,6.64,8.3,8.3,17,,,0.05,,9,,,,,
Kyler Murray,ARZ,QB,2,2,2,1,1,0.5,1,0.437,2,20,0.5,11,5.5,,5.5,31,No,No,1,0.5,0.7849,0.1076,No,1,2.85,1.8,15.5,66.7,No,No,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.55,0.55,5,,,,,,1,0.5,,,
Josh Johnson,WAS,QB,2,2,2,1,1,0.5,0.5,-0.3714,2,,,9,4.5,0.4444,-18,4,Yes,Yes,1,0.5,0.9228,0.0386,No,0.5,3.25,2.7,2,22.9,Yes,Yes,-0.64,-0.64,-0.64,-0.64,-0.64,-0.64,-0.64,-1.64,-1.64,-1.64,-1.64,-0.55,-1.55,5,,,,,1,,,1,0.5,
Jake Browning,CIN,QB,3,3,3,1,3,1,1,0.3727,3,,,37,12.3333,-0.027,12.3333,38,No,No,2,0.6667,1.2204,0.2599,No,1,2.9333,2.55,12.6667,118.1,No,No,1.48,1.48,1.48,1.48,1.48,1.48,1.48,1.48,1.48,1.48,1.48,1.85,1.85,5,,,,,2,,,,,
Tua Tagovailoa,MIA,QB,9,9,9,1,7,0.7778,1,0.2655,9,18,0.2222,70,7.7778,0.2286,7.7778,72,No,No,3,0.3333,3.161,-0.0179,No,0.5556,2.6111,2.5333,8,99.1,No,No,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,3.5,3.5,14,,,,,4,1,0.1111,,,
