Name,Team,POS,playerStatsSnapsOffenseTotal,DropbacksTotal,AttemptsTotal,AttemptsCatchablePercentage,AttemptsInEndzoneTotal,CompletionsTotal,CompletionsPercentage,CompletionsAdjustedPercentage,CompletionsOverExpected,OpportunitiesTotal,DropsYardsLost,DropsPercentage,YardsTotal,YardsPerAttempt,YardsAfterCatchPercentage,YardsAdjustedNetPercentage,YardsAirTotal,PlayActionLabel,PressuredLabel,PressuredTotal,PressuredPercentage,PressuredExpected,PressuredOverExpected,BlitzedLabel,DeepThrowAttemptsTotal,DeepThrowAttemptsPercentage,HeroThrowPercentage,TargetedReadFirstPercentage,TargetedReadCheckdownPercentage,AverageTimeToThrow,AverageTimeToPressure,AverageDepthOfTarget,PasserRating,TargetsContestedLabel,TargetsCatchableLabel,playerStatsFirstDownsPassing,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,RunPassOptionPercentage,TouchdownsTotal,InterceptionsTotal,TowThrowPercentage
Mac Jones,SF,QB,18,18,18,1,2,14,0.7778,0.8333,0.1243,18,4,0.0556,182,10.1111,0.2747,10.1111,176,No,No,6,0.3333,5.2869,0.0396,No,2,0.1111,0.0556,0.8889,0.0556,2.2778,2.3167,9.7778,108.8,No,No,11,7.28,7.28,7.28,7.28,7.28,7.28,7.28,7.28,7.28,7.28,7.28,9.1,9.1,11,,,,
Kirk Cousins,ATL,QB,9,9,9,1,,9,1,1,0.1388,9,,,77,8.5556,0.7792,8.5556,17,No,No,2,0.2222,2.6607,-0.0734,No,,,,0.6667,0.1111,2.2889,2.15,1.8889,102.3,No,No,5,3.08,3.08,3.08,3.08,3.08,3.08,3.08,3.08,3.08,3.08,3.08,3.85,3.85,10,,,,
C.J. Stroud,HST,QB,14,14,14,1,,14,1,1,0.2256,14,,,135,9.6429,0.2296,9.6429,104,No,No,3,0.2143,4.3555,-0.0968,No,1,0.0714,0.0714,0.7857,0.1429,2.3786,2.4,7.4286,106.8,No,No,8,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,6.75,6.75,14,0.0714,,,
Jacoby Brissett,ARZ,QB,10,10,10,1,,8,0.8,1,0.2295,10,9,0.2,82,8.2,0.3659,10.2,61,No,Yes,4,0.4,3.2342,0.0766,No,1,0.1,,0.8,0.1,2.45,2.7,6.1,134.2,Yes,Yes,5,7.28,7.28,7.28,7.28,7.28,7.28,7.28,7.28,7.28,7.28,7.28,8.1,8.1,14,,1,,
Joe Flacco,CIN,QB,11,11,11,1,,7,0.6364,0.9091,0.0944,11,7,0.2727,97,8.8182,0.567,6.5455,51,No,No,3,0.2727,3.342,-0.0311,No,1,0.0909,,0.7273,0.0909,2.3364,2.1333,4.6364,84.3,No,No,5,6.88,6.88,6.88,6.88,6.88,6.88,6.88,5.88,5.88,5.88,5.88,7.85,6.85,13,,1,1,
Daniel Jones,IND,QB,16,16,16,1,2,7,0.4375,0.5625,-0.1323,16,22,0.125,83,5.1875,0.494,6.4375,167,No,No,3,0.1875,5.7613,-0.1726,No,1,0.0625,0.125,0.8125,,2.6625,2.4,10.4375,81,No,No,5,7.32,7.32,7.32,7.32,7.32,7.32,7.32,7.32,7.32,7.32,7.32,8.15,8.15,13,,1,,0.0625
Jake Browning,CIN,QB,4,4,4,1,,4,1,1,0.2711,4,,,55,13.75,0.4364,13.75,31,No,No,2,0.5,1.1729,0.2068,No,1,0.25,,1,,2.275,2,7.75,118.8,No,No,2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.75,2.75,5,,,,
Josh Johnson,WAS,QB,4,4,4,1,,3,0.75,0.75,-0.0573,4,,,17,4.25,0.7647,4.25,15,No,No,1,0.25,1.5007,-0.1252,Yes,,,,0.5,0.25,2.75,2.9,3.75,82.3,No,Yes,3,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.85,0.85,5,,,,
Philip Rivers,IND,QB,8,8,8,1,,4,0.5,0.625,-0.0636,8,4,0.125,27,3.375,0.4815,3.375,86,No,No,2,0.25,2.7599,-0.095,No,2,0.25,,0.875,,2.575,2.45,10.75,57.8,Yes,Yes,2,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.35,1.35,3,,,,
Kyler Murray,ARZ,QB,10,10,10,1,1,6,0.6,0.8,0.103,10,29,0.2,56,5.6,0.375,5.6,107,No,No,3,0.3,4.2348,-0.1235,No,3,0.3,,0.8,,3.03,3.5,10.7,75.4,No,Yes,4,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.8,2.8,5,,,,
Tanner McKee,PHI,QB,2,2,2,1,,1,0.5,1,0.121,2,3,0.5,-1,-0.5,-5,-0.5,-3,No,Yes,1,0.5,0.5951,0.2025,No,,,,0.5,,2.3,2.6,-1.5,56.3,No,Yes,,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.05,-0.05,4,,,,
Jared Goff,DET,QB,16,16,16,1,1,12,0.75,1,0.2109,16,10,0.25,221,13.8125,0.6833,16.3125,83,No,No,6,0.375,5.5888,0.0257,No,1,0.0625,0.0625,0.625,0.125,2.6,2.9,5.1875,156.3,No,No,8,16.84,16.84,16.84,16.84,16.84,16.84,16.84,16.84,16.84,16.84,16.84,19.05,19.05,17,0.0625,2,,
Cam Ward,TEN,QB,29,29,29,1,1,22,0.7586,0.931,0.2079,29,-18,0.1724,226,7.7931,0.3805,7.6207,179,No,No,8,0.2759,12.3722,-0.1508,No,3,0.1034,0.0345,0.6552,0.1379,3.0483,2.9625,6.1724,106.4,No,No,13,16.04,16.04,16.04,16.04,16.04,16.04,16.04,15.04,15.04,15.04,15.04,18.3,17.3,17,0.0345,2,1,
Caleb Williams,CHI,QB,27,26,26,1,1,20,0.7692,0.9231,0.1984,26,67,0.1538,227,8.7308,0.4714,9.5,225,No,No,7,0.2692,10.3065,-0.1272,No,4,0.1538,,0.7692,,2.8731,2.8143,8.6538,115.4,No,No,11,13.08,13.08,13.08,13.08,13.08,13.08,13.08,13.08,13.08,13.08,13.08,15.35,15.35,17,,1,,
Tua Tagovailoa,MIA,QB,13,13,13,1,,10,0.7692,0.9231,0.1615,13,14,0.1538,129,9.9231,0.4884,9.9231,91,No,No,5,0.3846,4.9549,0.0035,No,1,0.0769,0.0769,0.4615,0.2308,2.7846,2.38,7,107.5,No,No,4,5.16,5.16,5.16,5.16,5.16,5.16,5.16,5.16,5.16,5.16,5.16,6.45,6.45,14,,,,0.0769
Brock Purdy,SF,QB,14,14,14,1,1,10,0.7143,0.8571,0.1185,14,9,0.1429,127,9.0714,0.3543,5.8571,113,No,No,3,0.2143,4.804,-0.1289,No,3,0.2143,,0.6429,0.2143,2.5643,2.6333,8.0714,69.6,No,Yes,6,4.08,4.08,4.08,4.08,4.08,4.08,4.08,3.08,3.08,3.08,3.08,5.35,4.35,9,0.0714,,1,
