Name,Team,POS,playerStatsSnapsOffenseTotal,DropbacksTotal,AttemptsTotal,AttemptsCatchablePercentage,CompletionsTotal,CompletionsPercentage,CompletionsAdjustedPercentage,CompletionsOverExpected,OpportunitiesTotal,YardsTotal,YardsPerAttempt,YardsAfterCatchPercentage,YardsAdjustedNetPercentage,YardsAirTotal,PlayActionLabel,PressuredLabel,PressuredTotal,PressuredPercentage,PressuredExpected,PressuredOverExpected,BlitzedLabel,TargetedReadCheckdownPercentage,ThrowAccuracyHighlyAccuratePercentage,AverageTimeToThrow,AverageTimeToPressure,AverageDepthOfTarget,PasserRating,TargetsContestedLabel,TargetsCatchableLabel,playerStatsFirstDownsPassing,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,DropsYardsLost,DropsPercentage,OffTargetThrowAttemptsPercentage,RunPassOptionPercentage,InterceptionsTotal,TowThrowPercentage,TouchdownsTotal,TargetedReadFirstPercentage,AttemptsInEndzoneTotal,DeepThrowAttemptsTotal,DeepThrowAttemptsPercentage
Spencer Rattler,NO,QB,20,20,20,1,19,0.95,0.95,0.1196,20,114,5.7,1.0263,5.7,1,No,No,10,0.5,8.4695,0.0765,No,1,0.8,3.03,2.62,0.05,90.4,No,No,5,4.56,5.56,5.06,5.56,5.56,5.56,5.06,5.56,5.56,5.56,5.06,6.7,6.7,9,,,,,,,,,,,
Josh Allen,BUF,QB,28,28,28,0.8571,20,0.7143,0.7857,-0.0961,28,171,6.1071,0.9532,6.1071,20,No,No,11,0.3929,12.4714,-0.0526,No,1,0.6429,3.1571,2.6,0.7143,87.1,No,No,8,6.84,6.84,6.84,6.84,6.84,6.84,6.84,6.84,6.84,6.84,6.84,8.55,8.55,17,5,0.0714,0.1429,,,,,,,,
Max Brosmer,MIN,QB,3,3,3,0.6667,2,0.6667,0.6667,-0.1985,3,6,2,0.6667,2,5,No,No,,,1.3757,-0.4586,No,1,0.3333,3.2333,,1.6667,70.1,No,No,,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.3,0.3,7,,,0.3333,,,,,,,,
Joe Milton,DAL,QB,1,1,1,1,1,1,1,0.1052,1,5,5,1,5,,No,Yes,1,1,0.4183,0.5817,Yes,1,,3,2.2,,87.5,No,Yes,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.25,0.25,4,,,,,,,,,,,
Drew Lock,SEA,QB,1,1,1,1,1,1,1,0.181,1,11,11,0.5455,11,5,No,No,1,1,0.4701,0.5299,No,1,1,3.3,3.2,5,112.5,No,No,1,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.55,0.55,5,,,,,,,,,,,
Quinn Ewers,MIA,QB,3,3,3,1,3,1,1,0.1007,3,26,8.6667,1.2308,8.6667,-6,No,No,,,1.2894,-0.4298,No,1,1,3.0667,,-2,102.8,No,No,2,0.44,1.44,0.94,1.44,1.44,1.44,0.94,1.44,1.44,1.44,0.94,1.7,1.7,4,,,,0.3333,,,,,,,
Tyrod Taylor,NYJ,QB,11,11,11,0.9091,10,0.9091,0.9091,0.0557,11,106,9.6364,0.8679,9.6364,20,No,No,7,0.6364,6.0503,0.0863,No,1,0.9091,3.7636,2.4,1.8182,106.8,No,No,6,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,5.3,5.3,6,,,0.0909,,,,,,,,
Michael Penix,ATL,QB,5,5,5,1,5,1,1,0.1046,5,6,1.2,1.8333,1.2,-5,No,No,2,0.4,2.3157,-0.0631,No,1,1,3.26,2.35,-1,79.2,No,No,,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.3,0.3,9,,,,,,,,,,,
Shedeur Sanders,CLV,QB,11,11,11,0.7273,8,0.7273,0.7273,-0.1365,11,46,4.1818,0.7174,4.1818,18,No,Yes,6,0.5455,6.3953,-0.0359,No,1,0.6364,3.9455,3.55,1.6364,80.1,No,No,1,1.84,1.84,1.84,1.84,1.84,1.84,1.84,1.84,1.84,1.84,1.84,2.3,2.3,8,,,0.2727,,,,,,,,
Clayton Tune,GB,QB,3,3,3,1,3,1,1,0.1075,3,15,5,0.8667,5,2,Yes,No,2,0.6667,1.3067,0.2311,Yes,1,0.3333,3.1,2.75,0.6667,87.5,No,Yes,1,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.75,0.75,2,,,,,,,,,,,
Jameis Winston,NYG,QB,2,2,2,0.5,1,0.5,0.5,-0.3609,2,7,3.5,1,3.5,3,No,No,2,1,0.7158,0.6421,No,1,0.5,2.65,2.2,1.5,58.3,No,No,,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.35,0.35,3,,,0.5,,,,,,,,
Tyler Shough,NO,QB,23,23,23,0.9565,19,0.8261,0.9565,0.0546,23,135,5.8696,1.0667,5.8696,-10,No,No,8,0.3478,10.6214,-0.114,No,1,0.6957,3.2522,2.5125,-0.4348,91.1,No,Yes,3,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,6.75,6.75,11,,0.1304,0.0435,,,,,,,,
