Name,Team,POS,playerStatsSnapsOffenseTotal,DropbacksTotal,AttemptsTotal,AttemptsCatchablePercentage,CompletionsTotal,CompletionsPercentage,CompletionsAdjustedPercentage,CompletionsOverExpected,OpportunitiesTotal,YardsTotal,YardsPerAttempt,YardsAdjustedNetPercentage,YardsAirTotal,PlayActionLabel,PressuredLabel,PressuredExpected,PressuredOverExpected,BlitzedLabel,TargetedReadFirstPercentage,ThrowAccuracyHighlyAccuratePercentage,AverageTimeToThrow,AverageDepthOfTarget,PasserRating,TargetsContestedLabel,TargetsCatchableLabel,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,YardsAfterCatchPercentage,playerStatsFirstDownsPassing,TouchdownsTotal,PressuredTotal,PressuredPercentage,RunPassOptionPercentage,OffTargetThrowAttemptsPercentage,AverageTimeToPressure,DropsYardsLost,DropsPercentage,DeepThrowAttemptsTotal,DeepThrowAttemptsPercentage,TowThrowPercentage,InterceptionsTotal
Kenny Pickett,LV,QB,1,1,1,1,1,1,1,0.0689,1,-6,-6,-6,-6,No,No,0.2631,-0.2631,No,1,1,2.1,-6,79.2,No,No,-0.24,-0.24,-0.24,-0.24,-0.24,-0.24,-0.24,-0.24,-0.24,-0.24,-0.24,-0.3,-0.3,6,,,,,,,,,,,,,,
Teddy Bridgewater,TB,QB,3,3,3,1,3,1,1,0.0619,3,9,3,3,-10,No,No,0.4097,-0.1366,No,1,1,1.3667,-3.3333,79.2,No,Yes,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.45,0.45,4,2.1111,,,,,,,,,,,,,
Nick Mullens,JAX,QB,2,2,2,1,2,1,1,0.0643,2,11,5.5,5.5,-4,No,No,0.3536,-0.1768,No,1,0.5,1.6,-2,89.6,No,Yes,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.55,0.55,5,1.3636,1,,,,,,,,,,,,
Zach Wilson,MIA,QB,1,1,1,1,1,1,1,0.0576,1,11,11,11,-4,No,No,0.0906,-0.0906,No,1,1,1.1,-4,112.5,No,No,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.55,0.55,4,1.3636,1,,,,,,,,,,,,
Justin Fields,NYJ,QB,13,13,13,0.8462,11,0.8462,0.8462,-0.093,13,98,7.5385,9.0769,-55,No,No,2.7641,-0.1357,No,1,0.7692,1.8077,-4.2308,123.7,No,Yes,7.92,7.92,7.92,7.92,7.92,7.92,7.92,7.92,7.92,7.92,7.92,8.9,8.9,9,1.4796,3,1,1,0.0769,0.2308,0.1538,1.6,,,,,,
Dillon Gabriel,CLV,QB,16,16,16,0.8125,13,0.8125,0.8125,-0.1201,16,93,5.8125,5.8125,-53,No,No,4.3468,-0.1467,No,1,0.75,2.15,-3.3125,90.9,No,No,3.72,3.72,3.72,3.72,3.72,3.72,3.72,3.72,3.72,3.72,3.72,4.65,4.65,10,1.4194,4,,2,0.125,,0.1875,2.15,,,,,,
Brock Purdy,SF,QB,21,21,21,1,19,0.9048,1,0.0633,21,123,5.8571,7.7619,-85,Yes,No,5.9553,-0.1407,Yes,1,0.8571,2.219,-4.0476,122.8,No,Yes,12.92,12.92,12.92,12.92,12.92,12.92,12.92,12.92,12.92,12.92,12.92,14.15,14.15,9,1.5854,8,2,3,0.1429,0.0952,,2.5,-13,0.0952,,,,
Tua Tagovailoa,MIA,QB,38,37,37,0.9459,33,0.8919,0.9459,0.0171,37,190,5.1351,5.6757,-100,No,No,7.8354,-0.1847,No,1,0.8108,1.8027,-2.7027,97.1,No,No,11.6,11.6,11.6,11.6,11.6,11.6,11.6,11.6,11.6,11.6,11.6,13.5,13.5,14,1.4842,7,1,1,0.027,0.0541,0.0541,2,-5,0.0541,,,,
Gardner Minshew,KC,QB,2,2,2,1,2,1,1,0.0635,2,,,,-7,Yes,No,0.3364,-0.1682,No,1,1,1.55,-3.5,79.2,No,Yes,,,,,,,,,,,,,,4,,,,,,,,,,,,,,
Caleb Williams,CHI,QB,47,46,46,0.9565,40,0.8696,0.9348,0.0015,46,288,6.2609,6.2609,-183,No,No,9.7715,-0.1689,No,1,0.8913,1.8065,-3.9783,92.8,No,Yes,13.52,14.52,14.02,14.52,14.52,14.52,14.02,14.52,14.52,14.52,14.02,17.4,17.4,17,1.5625,14,,2,0.0435,0.0652,0.0435,2.5,-10,0.0652,,,,
