Name,Team,POS,playerStatsSnapsOffenseTotal,DropbacksTotal,AttemptsTotal,AttemptsCatchablePercentage,CompletionsTotal,CompletionsPercentage,CompletionsAdjustedPercentage,CompletionsOverExpected,OpportunitiesTotal,YardsTotal,YardsPerAttempt,YardsAfterCatchPercentage,YardsAdjustedNetPercentage,YardsAirTotal,TouchdownsTotal,InterceptionsTotal,PlayActionLabel,PressuredLabel,PressuredTotal,PressuredPercentage,PressuredExpected,PressuredOverExpected,BlitzedLabel,OffTargetThrowAttemptsPercentage,TowThrowPercentage,ThrowAccuracyHighlyAccuratePercentage,AverageTimeToThrow,AverageTimeToPressure,AverageDepthOfTarget,PasserRating,TargetsContestedLabel,TargetsCatchableLabel,playerStatsFirstDownsPassing,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,TargetedReadFirstPercentage,TargetedReadCheckdownPercentage,RunPassOptionPercentage
Josh Allen,BUF,QB,5,5,5,0.6,3,0.6,0.6,-0.1727,5,30,6,0.4333,1,30,1,1,No,No,4,0.8,2.8333,0.2334,No,0.4,0.2,0.4,3.86,2.15,6,77.1,No,No,1,4.2,4.2,4.2,4.2,4.2,4.2,4.2,3.2,3.2,3.2,3.2,4.5,3.5,17,,,
Jalen Hurts,PHI,QB,1,1,1,1,1,1,1,0.0762,1,5,5,1.2,25,-1,1,,No,No,1,1,0.1423,0.8577,No,,,1,1.4,1.3,-1,127.1,No,No,1,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.25,4.25,16,1,,
Bo Nix,DEN,QB,2,2,2,0.5,1,0.5,0.5,-0.327,2,7,3.5,0.5714,3.5,6,,,No,Yes,2,1,0.9056,0.5472,No,0.5,,0.5,3.2,2.35,3,58.3,No,Yes,,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.35,0.35,17,,0.5,
Brandon Allen,TEN,QB,1,1,1,,,,,-0.9357,1,,,,,-2,,,No,Yes,1,1,0.746,0.254,No,1,,,4.9,3.5,-2,39.6,No,No,,,,,,,,,,,,,,,1,,1,
Sam Darnold,SEA,QB,2,2,2,1,2,1,1,0.1226,2,27,13.5,0.8889,13.5,3,,,No,No,1,0.5,0.7849,0.1076,No,,,1,2.85,2.7,1.5,118.8,No,No,1,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.35,1.35,17,0.5,0.5,
Joe Burrow,CIN,QB,1,1,1,1,1,1,1,0.1202,1,6,6,0.8333,6,1,,,No,No,1,1,0.4011,0.5989,No,,,1,2.9,1.4,1,91.7,No,No,,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.3,0.3,8,,1,
Cam Ward,TEN,QB,2,2,2,1,2,1,1,0.0952,2,22,11,1,11,,,,No,No,2,1,1.5093,0.2453,No,,,0.5,4.95,2.95,,112.5,No,No,,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,1.1,1.1,17,,0.5,
Caleb Williams,CHI,QB,1,1,1,1,1,1,1,0.0628,1,8,8,1.625,8,-5,,,No,No,,,0.3493,-0.3493,No,,,1,2.6,,-5,100,No,No,1,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.4,0.4,17,1,,
Brock Purdy,SF,QB,2,2,2,1,2,1,1,0.0702,2,1,0.5,4,0.5,-3,,,No,No,,,0.4226,-0.2113,No,,,1,1.8,,-1.5,79.2,No,No,,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.05,9,1,,0.5
Drake Maye,NE,QB,2,2,2,1,2,1,1,0.0643,2,12,6,1.3333,6,-4,,,Yes,No,,,0.3191,-0.1595,Yes,,,1,1.5,,-2,91.7,No,Yes,,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.6,0.6,17,1,,
