Name,Team,POS,playerStatsSnapsOffenseTotal,DropbacksTotal,AttemptsTotal,AttemptsCatchablePercentage,CompletionsTotal,CompletionsPercentage,CompletionsAdjustedPercentage,CompletionsOverExpected,OpportunitiesTotal,YardsTotal,YardsPerAttempt,YardsAfterCatchPercentage,YardsAdjustedNetPercentage,YardsAirTotal,PlayActionLabel,PressuredLabel,PressuredExpected,PressuredOverExpected,BlitzedLabel,TargetedReadFirstPercentage,AverageTimeToThrow,AverageDepthOfTarget,PasserRating,TargetsContestedLabel,TargetsCatchableLabel,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,TouchdownsTotal,PressuredTotal,PressuredPercentage,OffTargetThrowAttemptsPercentage,ThrowAccuracyHighlyAccuratePercentage,AverageTimeToPressure,playerStatsFirstDownsPassing,InterceptionsTotal,DeepThrowAttemptsTotal,DeepThrowAttemptsPercentage,DropsYardsLost,DropsPercentage,RunPassOptionPercentage,TowThrowPercentage,AttemptsInEndzoneTotal,HeroThrowPercentage
Joshua Dobbs,NE,QB,1,1,1,1,1,1,1,0.2154,1,5,5,-0.2,5,6,No,No,0.2286,-0.2286,No,1,1.9,6,87.5,No,No,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.25,0.25,4,,,,,,,,,,,,,,,,
Mac Jones,SF,QB,39,39,39,0.8462,32,0.8205,0.8205,0.0787,39,282,7.2308,0.2411,7.7436,283,No,No,12.7774,-0.0456,No,0.641,2.4744,7.2564,105.3,No,No,15.28,15.28,15.28,15.28,15.28,15.28,15.28,15.28,15.28,15.28,15.28,18.1,18.1,11,1,11,0.2821,0.1538,0.6923,2.3091,15,,,,,,,,,
Kirk Cousins,ATL,QB,42,42,42,0.8333,28,0.6667,0.6667,-0.0849,42,274,6.5238,0.2847,4.381,299,No,Yes,14.6533,-0.0156,No,0.5238,2.5976,7.119,65,No,Yes,8.96,8.96,8.96,8.96,8.96,8.96,8.96,6.96,6.96,6.96,6.96,11.7,9.7,10,,14,0.3333,0.119,0.7143,2.4786,16,2,2,0.0476,,,,,,
Russell Wilson,NYG,QB,23,23,23,0.9565,18,0.7826,0.8696,0.0995,23,157,6.8261,0.2803,6.8261,148,No,No,7.7406,-0.1192,No,0.5652,2.5261,6.4348,95.1,No,Yes,6.28,6.28,6.28,6.28,6.28,6.28,6.28,6.28,6.28,6.28,6.28,7.85,7.85,6,,5,0.2174,,0.6087,2.02,7,,,,9,0.087,0.0435,,,
Joe Burrow,CIN,QB,43,43,43,0.9302,35,0.814,0.8372,0.0774,43,391,9.093,0.4706,9.093,282,No,No,13.3639,-0.148,Yes,0.7674,2.3767,6.5581,104.6,No,Yes,15.64,15.64,15.64,15.64,15.64,18.64,18.64,15.64,15.64,15.64,15.64,19.55,19.55,8,,7,0.1628,0.0698,0.7907,2.5143,21,,,,9,0.0233,,0.0233,,
Trevor Lawrence,JAX,QB,97,97,97,0.8969,69,0.7113,0.8247,0.1018,97,737,7.5979,0.2646,6.8763,838,Yes,Yes,36.9181,-0.1538,No,0.6804,2.7814,8.6392,87.9,No,Yes,31.48,31.48,31.48,31.48,31.48,34.48,34.48,29.48,29.48,29.48,29.48,38.85,36.85,17,1,22,0.2268,0.0722,0.701,2.7,38,2,5,0.0515,96,0.1134,,0.0206,3,0.0206
Bo Nix,DEN,QB,105,105,105,0.8381,79,0.7524,0.7905,0.0277,105,730,6.9524,0.3068,6.9048,701,No,No,37.6425,-0.0442,Yes,0.6476,2.6533,6.6762,96.1,No,Yes,36.2,36.2,36.2,36.2,36.2,39.2,39.2,35.2,35.2,35.2,35.2,43.5,42.5,17,2,33,0.3143,0.1524,0.6476,2.503,41,1,,,37,0.0381,0.0095,0.0095,2,
Philip Rivers,IND,QB,9,9,9,0.8889,8,0.8889,0.8889,0.0643,9,55,6.1111,0.4545,1.1111,34,No,No,2.0397,-0.1155,No,0.8889,1.8889,3.7778,52.5,No,Yes,1.2,1.2,1.2,1.2,1.2,1.2,1.2,0.2,0.2,0.2,0.2,1.75,0.75,3,,1,0.1111,0.1111,0.6667,2,,1,,,,,,0.1111,,
Jayden Daniels,WAS,QB,47,47,47,0.7872,36,0.766,0.7872,0.0474,47,346,7.3617,0.211,7.7872,369,Yes,No,15.7961,-0.0382,Yes,0.7872,2.5234,7.8511,103.7,No,Yes,17.84,17.84,17.84,17.84,17.84,20.84,20.84,17.84,17.84,17.84,17.84,21.3,21.3,7,1,14,0.2979,0.2128,0.6596,2.2214,18,,1,0.0213,5,0.0213,0.0426,,1,
Sam Darnold,SEA,QB,88,88,88,0.8295,67,0.7614,0.7841,0.027,88,731,8.3068,0.4487,7,618,No,Yes,30.3934,-0.1295,No,0.5795,2.5773,7.0227,89.7,No,Yes,30.24,30.24,30.24,30.24,30.24,33.24,33.24,27.24,27.24,27.24,27.24,37.55,34.55,17,1,19,0.2159,0.1364,0.7727,2.5842,40,3,1,0.0114,13,0.0227,0.0227,0.0341,,
