Name,Team,POS,playerStatsSnapsOffenseTotal,DropbacksTotal,AttemptsTotal,AttemptsCatchablePercentage,CompletionsTotal,CompletionsPercentage,CompletionsAdjustedPercentage,CompletionsOverExpected,OpportunitiesTotal,DropsYardsLost,DropsPercentage,YardsTotal,YardsPerAttempt,YardsAfterCatchPercentage,YardsAdjustedNetPercentage,YardsAirTotal,PlayActionLabel,PressuredLabel,PressuredTotal,PressuredPercentage,PressuredExpected,PressuredOverExpected,BlitzedLabel,TargetedReadFirstPercentage,TargetedReadCheckdownPercentage,ThrowAccuracyHighlyAccuratePercentage,AverageTimeToThrow,AverageTimeToPressure,AverageDepthOfTarget,PasserRating,TargetsContestedLabel,TargetsCatchableLabel,playerStatsFirstDownsPassing,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,TouchdownsTotal,OffTargetThrowAttemptsPercentage,RunPassOptionPercentage,InterceptionsTotal,TowThrowPercentage,DeepThrowAttemptsTotal,DeepThrowAttemptsPercentage
Mac Jones,SF,QB,10,10,10,1,8,0.8,0.9,-0.0376,10,-3,0.1,39,3.9,2.0256,3.9,-45,No,No,2,0.2,3.0962,-0.1096,No,0.2,0.5,0.8,2.37,2.35,-4.5,82.9,No,No,2,1.56,1.56,1.56,1.56,1.56,1.56,1.56,1.56,1.56,1.56,1.56,1.95,1.95,11,,,,,,,
Kirk Cousins,ATL,QB,24,24,24,0.9583,21,0.875,0.9583,0.0274,24,-8,0.0833,175,7.2917,1.4057,8.125,-79,No,Yes,9,0.375,9.6252,-0.026,No,0.2083,0.75,0.875,2.9,2.6778,-3.2917,110.9,No,No,8,11,11,11,11,11,11,11,11,11,11,11,12.75,12.75,10,1,,,,,,
Joe Burrow,CIN,QB,15,15,15,1,14,0.9333,1,0.0684,15,-5,0.0667,70,4.6667,1.8429,4.6667,-64,No,No,5,0.3333,6.0503,-0.07,No,0.0667,0.9333,0.8667,2.9133,2.62,-4.2667,86.1,No,Yes,4,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,3.5,3.5,8,,,,,,,
Philip Rivers,IND,QB,4,4,4,1,3,0.75,1,0.0609,4,-4,0.25,20,5,1.4,5,-12,No,No,1,0.25,1.0695,-0.0174,No,0.5,0.5,0.75,2.125,2.3,-3,85.4,No,Yes,2,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,1,1,3,,,,,,,
Russell Wilson,NYG,QB,2,2,2,0.5,1,0.5,0.5,-0.4398,2,,,3,1.5,2.3333,1.5,-9,No,No,1,0.5,0.5606,0.2197,No,0.5,0.5,0.5,2.2,2.1,-4.5,56.3,No,No,,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.15,0.15,6,,0.5,,,,,
Bo Nix,DEN,QB,45,44,44,0.9318,38,0.8636,0.9318,0.009,44,-11,0.0682,207,4.7045,1.6039,5.1591,-137,Yes,Yes,11,0.25,14.3514,-0.0762,No,0.3409,0.5455,0.6818,2.4659,2.3455,-3.1136,93.8,No,Yes,13,12.28,12.28,12.28,12.28,12.28,12.28,12.28,12.28,12.28,12.28,12.28,14.35,14.35,17,1,0.0682,0.1136,,,,
Trevor Lawrence,JAX,QB,21,21,21,0.8571,17,0.8095,0.8571,-0.0716,21,-6,0.0476,159,7.5714,1.3899,10.4286,-85,No,No,8,0.381,7.111,0.0423,No,0.4762,0.381,0.7143,2.5381,2.7125,-4.0476,137.8,No,No,6,18.36,18.36,18.36,18.36,18.36,18.36,18.36,18.36,18.36,18.36,18.36,19.95,19.95,17,3,0.1429,0.0476,,,,
Sam Darnold,SEA,QB,9,9,9,1,9,1,1,0.1751,9,,,28,3.1111,2.5,3.1111,-42,Yes,Yes,2,0.2222,2.9712,-0.1079,Yes,0.4444,0.4444,0.8889,2.4889,2.9,-4.6667,79.6,No,Yes,2,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.4,1.4,17,,,,,,,
Brandon Allen,TEN,QB,3,3,3,1,3,1,1,0.0636,3,,,5,1.6667,4,1.6667,-15,No,No,1,0.3333,1.0652,-0.0217,No,0.3333,0.6667,0.6667,2.6333,2.2,-5,79.2,No,Yes,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.25,0.25,1,,,,,,,
Jayden Daniels,WAS,QB,10,10,10,0.9,8,0.8,0.9,-0.0355,10,-6,0.1,51,5.1,1.902,5.1,-56,Yes,No,3,0.3,2.4752,0.0525,Yes,0.4,0.3,0.7,2.01,2.1333,-5.6,87.9,No,Yes,3,2.04,2.04,2.04,2.04,2.04,2.04,2.04,2.04,2.04,2.04,2.04,2.55,2.55,7,,0.1,,,,,
