Name,Team,POS,gameGameId,gameSeason,gameSeasonTypeSeasonTypeId,gameWeek,playerPlayerId,teamLocation,teamNickname,opponentAbbreviation,opponentConference,opponentDivisionName,playStartClockQuarter,playDownNumber,playPassDropbackTypeName,playPassPassResultName,playOffensePersonnelKey,playDefenseMiddleOfTheFieldLookPreName,playDefenseMiddleOfTheFieldLookPostName,playDefenseCoverageSchemeParent,teamsPlayedFor,opponentsPlayed,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsCatchableLabel,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAirTotal,DropsTotal,AlignmentInlineRoutesPercentage,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,TargetedReadFirstTotal,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerTargetDropsTotal,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,marketShareReceivingRoutesTotal,marketShareReceivingTargetsTotal,marketShareReceivingYardsTotal,marketShareReceivingYardsAir,marketShareReceivingTargetedReadFirst,teamIsHomeTeam,YardsAfterContactTotal,AveragesPerReceptionYardsAfterContact,playerStatsFirstDownsReceiving,playPassTargetedRouteFamily,playPassThrowTypeParent,playPassReceiverSeparationName,TargetsContestedTotal,AlignmentBackfieldRoutesPercentage,playerStatsInside20ReceivingTargetsTotal,DeepTargetTargetsTotal,playPlayerAlignmentFamily,playPlayerAlignmentSide,ReceptionsContested,ReceptionsHero,TargetsInEndzone,TouchdownsTotal,TouchdownsInEndzone,marketShareReceivingTouchdownsTotal,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,TargetedReadDesignTotal,TargetedReadDesignPercentage
Travis Kelce,KC,TE,2025318,2025,1,18,8D4CC244AE50,Kansas City,Chiefs,LV,AFC,AFC West,4,1,Straight Drop,Incomplete,11,Open,Open,Cover 2 Man,"[{""teamId"":16,""key"":""KC"",""abbreviation"":""KC"",""location"":""Kansas City"",""nickname"":""Chiefs""}]","[{""teamId"":15,""key"":""JAX"",""abbreviation"":""JAX"",""location"":""Jacksonville"",""nickname"":""Jaguars""},{""teamId"":14,""key"":""IND"",""abbreviation"":""IND"",""location"":""Indianapolis"",""nickname"":""Colts""},{""teamId"":19,""key"":""LV"",""abbreviation"":""LV"",""location"":""Las Vegas"",""nickname"":""Raiders""},{""teamId"":3,""key"":""BLT"",""abbreviation"":""BLT"",""location"":""Baltimore"",""nickname"":""Ravens""},{""teamId"":13,""key"":""HST"",""abbreviation"":""HST"",""location"":""Houston"",""nickname"":""Texans""},{""teamId"":31,""key"":""TEN"",""abbreviation"":""TEN"",""location"":""Tennessee"",""nickname"":""Titans""},{""teamId"":24,""key"":""NYG"",""abbreviation"":""NYG"",""location"":""New York"",""nickname"":""Giants""},{""teamId"":9,""key"":""DAL"",""abbreviation"":""DAL"",""location"":""Dallas"",""nickname"":""Cowboys""},{""teamId"":10,""key"":""DEN"",""abbreviation"":""DEN"",""location"":""Denver"",""nickname"":""Broncos""},{""teamId"":4,""key"":""BUF"",""abbreviation"":""BUF"",""location"":""Buffalo"",""nickname"":""Bills""},{""teamId"":26,""key"":""PHI"",""abbreviation"":""PHI"",""location"":""Philadelphia"",""nickname"":""Eagles""},{""teamId"":11,""key"":""DET"",""abbreviation"":""DET"",""location"":""Detroit"",""nickname"":""Lions""},{""teamId"":32,""key"":""WAS"",""abbreviation"":""WAS"",""location"":""Washington"",""nickname"":""Commanders""},{""teamId"":18,""key"":""LAC"",""abbreviation"":""LAC"",""location"":""Los Angeles"",""nickname"":""Chargers""}]",15,No,Yes,No,15,3,No,No,2,0.6666666666666666,0.2,1,0.3333333333333333,3,4,23,1,0.26666666666666666,0.5333333333333333,0.2,3,7.666666666666667,42.4,0.2,1,-6.600052800666667,0.3333333333333333,3,4,4.602459309,4.602459309,0.2727272727272727,0.30000000000000004,1.3,0.8,1.3,1.8,1.3,0.8,1.3,1.3,1.3,0.8,1.8,1.3,17,1,0.23076923076923078,0.05454545454545454,0.13450292397660818,0.375,,,,,,,,,,,,,,,,,,,,,,,
AJ Barner,SEA,TE,2025307,2025,1,18,CC59BA77B410,Seattle,Seahawks,SF,NFC,NFC West,,,,,,,,,"[{""teamId"":28,""key"":""SEA"",""abbreviation"":""SEA"",""location"":""Seattle"",""nickname"":""Seahawks""}]","[{""teamId"":23,""key"":""NO"",""abbreviation"":""NO"",""location"":""New Orleans"",""nickname"":""Saints""},{""teamId"":5,""key"":""CAR"",""abbreviation"":""CAR"",""location"":""Carolina"",""nickname"":""Panthers""},{""teamId"":30,""key"":""TB"",""abbreviation"":""TB"",""location"":""Tampa Bay"",""nickname"":""Buccaneers""},{""teamId"":1,""key"":""ARZ"",""abbreviation"":""ARZ"",""location"":""Arizona"",""nickname"":""Cardinals""},{""teamId"":32,""key"":""WAS"",""abbreviation"":""WAS"",""location"":""Washington"",""nickname"":""Commanders""},{""teamId"":15,""key"":""JAX"",""abbreviation"":""JAX"",""location"":""Jacksonville"",""nickname"":""Jaguars""},{""teamId"":29,""key"":""SF"",""abbreviation"":""SF"",""location"":""San Francisco"",""nickname"":""49ers""},{""teamId"":17,""key"":""LA"",""abbreviation"":""LA"",""location"":""Los Angeles"",""nickname"":""Rams""},{""teamId"":31,""key"":""TEN"",""abbreviation"":""TEN"",""location"":""Tennessee"",""nickname"":""Titans""},{""teamId"":13,""key"":""HST"",""abbreviation"":""HST"",""location"":""Houston"",""nickname"":""Texans""},{""teamId"":14,""key"":""IND"",""abbreviation"":""IND"",""location"":""Indianapolis"",""nickname"":""Colts""},{""teamId"":27,""key"":""PIT"",""abbreviation"":""PIT"",""location"":""Pittsburgh"",""nickname"":""Steelers""},{""teamId"":2,""key"":""ATL"",""abbreviation"":""ATL"",""location"":""Atlanta"",""nickname"":""Falcons""},{""teamId"":21,""key"":""MIN"",""abbreviation"":""MIN"",""location"":""Minnesota"",""nickname"":""Vikings""}]",11,No,No,No,10,1,No,No,1,1,0.1,1,1,5,,5,,0.8,0.2,,1,5,87.5,0.5,5,-1.4800245849999998,,5,,1.4465,1.4465,0.125,0.5,1.5,1,1.5,2,1.5,1,1.5,1.5,1.5,1,2,1.5,17,0.8333333333333334,0.09090909090909091,0.06666666666666667,0.1388888888888889,0.14285714285714285,,,,,,,,,,,,,,,,,,,,,,,
Pat Freiermuth,PIT,TE,2025321,2025,1,18,A2783A1B4BF5,Pittsburgh,Steelers,BLT,AFC,AFC North,,,,,,,,,"[{""teamId"":27,""key"":""PIT"",""abbreviation"":""PIT"",""location"":""Pittsburgh"",""nickname"":""Steelers""}]","[{""teamId"":12,""key"":""GB"",""abbreviation"":""GB"",""location"":""Green Bay"",""nickname"":""Packers""},{""teamId"":14,""key"":""IND"",""abbreviation"":""IND"",""location"":""Indianapolis"",""nickname"":""Colts""},{""teamId"":25,""key"":""NYJ"",""abbreviation"":""NYJ"",""location"":""New York"",""nickname"":""Jets""},{""teamId"":18,""key"":""LAC"",""abbreviation"":""LAC"",""location"":""Los Angeles"",""nickname"":""Chargers""},{""teamId"":3,""key"":""BLT"",""abbreviation"":""BLT"",""location"":""Baltimore"",""nickname"":""Ravens""},{""teamId"":6,""key"":""CHI"",""abbreviation"":""CHI"",""location"":""Chicago"",""nickname"":""Bears""},{""teamId"":21,""key"":""MIN"",""abbreviation"":""MIN"",""location"":""Minnesota"",""nickname"":""Vikings""},{""teamId"":7,""key"":""CIN"",""abbreviation"":""CIN"",""location"":""Cincinnati"",""nickname"":""Bengals""},{""teamId"":8,""key"":""CLV"",""abbreviation"":""CLV"",""location"":""Cleveland"",""nickname"":""Browns""},{""teamId"":22,""key"":""NE"",""abbreviation"":""NE"",""location"":""New England"",""nickname"":""Patriots""},{""teamId"":4,""key"":""BUF"",""abbreviation"":""BUF"",""location"":""Buffalo"",""nickname"":""Bills""},{""teamId"":20,""key"":""MIA"",""abbreviation"":""MIA"",""location"":""Miami"",""nickname"":""Dolphins""},{""teamId"":11,""key"":""DET"",""abbreviation"":""DET"",""location"":""Detroit"",""nickname"":""Lions""},{""teamId"":28,""key"":""SEA"",""abbreviation"":""SEA"",""location"":""Seattle"",""nickname"":""Seahawks""}]",13,No,No,No,13,1,No,No,1,1,0.07692307692307693,1,1,29,15,14,,0.23076923076923078,0.6153846153846154,0.15384615384615385,1,14,118.8,2.230769230769231,29,18.718309859999998,,29,15,1.771929825,1.771929825,0.1111111111111111,2.9000000000000004,3.9000000000000004,3.4000000000000004,3.9000000000000004,4.4,3.9000000000000004,3.4000000000000004,3.9000000000000004,3.9000000000000004,3.9000000000000004,3.4000000000000004,4.4,3.9000000000000004,17,0.52,0.045454545454545456,0.30851063829787234,0.07692307692307693,0.0625,true,5,5,1,,,,,,,,,,,,,,,,,,,
Dalton Schultz,HST,TE,2025310,2025,1,18,74289F26C8C4,Houston,Texans,IND,AFC,AFC South,,,,,,,,,"[{""teamId"":13,""key"":""HST"",""abbreviation"":""HST"",""location"":""Houston"",""nickname"":""Texans""}]","[{""teamId"":30,""key"":""TB"",""abbreviation"":""TB"",""location"":""Tampa Bay"",""nickname"":""Buccaneers""},{""teamId"":10,""key"":""DEN"",""abbreviation"":""DEN"",""location"":""Denver"",""nickname"":""Broncos""},{""teamId"":4,""key"":""BUF"",""abbreviation"":""BUF"",""location"":""Buffalo"",""nickname"":""Bills""},{""teamId"":29,""key"":""SF"",""abbreviation"":""SF"",""location"":""San Francisco"",""nickname"":""49ers""},{""teamId"":15,""key"":""JAX"",""abbreviation"":""JAX"",""location"":""Jacksonville"",""nickname"":""Jaguars""},{""teamId"":28,""key"":""SEA"",""abbreviation"":""SEA"",""location"":""Seattle"",""nickname"":""Seahawks""},{""teamId"":17,""key"":""LA"",""abbreviation"":""LA"",""location"":""Los Angeles"",""nickname"":""Rams""},{""teamId"":31,""key"":""TEN"",""abbreviation"":""TEN"",""location"":""Tennessee"",""nickname"":""Titans""},{""teamId"":3,""key"":""BLT"",""abbreviation"":""BLT"",""location"":""Baltimore"",""nickname"":""Ravens""},{""teamId"":14,""key"":""IND"",""abbreviation"":""IND"",""location"":""Indianapolis"",""nickname"":""Colts""},{""teamId"":16,""key"":""KC"",""abbreviation"":""KC"",""location"":""Kansas City"",""nickname"":""Chiefs""},{""teamId"":1,""key"":""ARZ"",""abbreviation"":""ARZ"",""location"":""Arizona"",""nickname"":""Cardinals""},{""teamId"":19,""key"":""LV"",""abbreviation"":""LV"",""location"":""Las Vegas"",""nickname"":""Raiders""},{""teamId"":18,""key"":""LAC"",""abbreviation"":""LAC"",""location"":""Los Angeles"",""nickname"":""Chargers""}]",15,No,No,No,14,,No,No,,,,,,,,,,0.42857142857142855,0.5,0.07142857142857142,,,,,,,,,,1.480314961,1.480314961,,,,,,,,,,,,,,,17,0.875,,,,,true,,,,,,,,,,,,,,,,,,,,,,
Javonte Williams,DAL,RB,2025290,2025,1,17,3C11932DD1C0,Dallas,Cowboys,WAS,NFC,NFC East,4,4,Straight Drop,Catch,11,Open,Open,Cover 2 Man,"[{""teamId"":9,""key"":""DAL"",""abbreviation"":""DAL"",""location"":""Dallas"",""nickname"":""Cowboys""}]","[{""teamId"":24,""key"":""NYG"",""abbreviation"":""NYG"",""location"":""New York"",""nickname"":""Giants""},{""teamId"":11,""key"":""DET"",""abbreviation"":""DET"",""location"":""Detroit"",""nickname"":""Lions""},{""teamId"":6,""key"":""CHI"",""abbreviation"":""CHI"",""location"":""Chicago"",""nickname"":""Bears""},{""teamId"":21,""key"":""MIN"",""abbreviation"":""MIN"",""location"":""Minnesota"",""nickname"":""Vikings""},{""teamId"":19,""key"":""LV"",""abbreviation"":""LV"",""location"":""Las Vegas"",""nickname"":""Raiders""},{""teamId"":25,""key"":""NYJ"",""abbreviation"":""NYJ"",""location"":""New York"",""nickname"":""Jets""},{""teamId"":16,""key"":""KC"",""abbreviation"":""KC"",""location"":""Kansas City"",""nickname"":""Chiefs""},{""teamId"":12,""key"":""GB"",""abbreviation"":""GB"",""location"":""Green Bay"",""nickname"":""Packers""},{""teamId"":18,""key"":""LAC"",""abbreviation"":""LAC"",""location"":""Los Angeles"",""nickname"":""Chargers""},{""teamId"":5,""key"":""CAR"",""abbreviation"":""CAR"",""location"":""Carolina"",""nickname"":""Panthers""},{""teamId"":32,""key"":""WAS"",""abbreviation"":""WAS"",""location"":""Washington"",""nickname"":""Commanders""},{""teamId"":1,""key"":""ARZ"",""abbreviation"":""ARZ"",""location"":""Arizona"",""nickname"":""Cardinals""},{""teamId"":26,""key"":""PHI"",""abbreviation"":""PHI"",""location"":""Philadelphia"",""nickname"":""Eagles""},{""teamId"":10,""key"":""DEN"",""abbreviation"":""DEN"",""location"":""Denver"",""nickname"":""Broncos""}]",19,No,No,No,18,1,No,Yes,1,1,0.05555555555555555,,,,,3,1,,0.16666666666666666,,,3,39.6,,,-6.509433962,1,,,1.473964497,1.473964497,0.07142857142857142,,,,,,,,,,,,,,16,0.75,0.05,,0.02054794520547945,,,,,,Out,Horizontal,Step,1,0.8333333333333334,,,,,,,,,,,,,,
Juwan Johnson,NO,TE,2025308,2025,1,18,DC1FA51B01FD,New Orleans,Saints,ATL,NFC,NFC South,2,2,Straight Drop,Incomplete,11,Open,Open,Cover 2 Man,"[{""teamId"":23,""key"":""NO"",""abbreviation"":""NO"",""location"":""New Orleans"",""nickname"":""Saints""}]","[{""teamId"":20,""key"":""MIA"",""abbreviation"":""MIA"",""location"":""Miami"",""nickname"":""Dolphins""},{""teamId"":24,""key"":""NYG"",""abbreviation"":""NYG"",""location"":""New York"",""nickname"":""Giants""},{""teamId"":22,""key"":""NE"",""abbreviation"":""NE"",""location"":""New England"",""nickname"":""Patriots""},{""teamId"":6,""key"":""CHI"",""abbreviation"":""CHI"",""location"":""Chicago"",""nickname"":""Bears""},{""teamId"":2,""key"":""ATL"",""abbreviation"":""ATL"",""location"":""Atlanta"",""nickname"":""Falcons""},{""teamId"":25,""key"":""NYJ"",""abbreviation"":""NYJ"",""location"":""New York"",""nickname"":""Jets""},{""teamId"":31,""key"":""TEN"",""abbreviation"":""TEN"",""location"":""Tennessee"",""nickname"":""Titans""},{""teamId"":28,""key"":""SEA"",""abbreviation"":""SEA"",""location"":""Seattle"",""nickname"":""Seahawks""},{""teamId"":29,""key"":""SF"",""abbreviation"":""SF"",""location"":""San Francisco"",""nickname"":""49ers""},{""teamId"":1,""key"":""ARZ"",""abbreviation"":""ARZ"",""location"":""Arizona"",""nickname"":""Cardinals""},{""teamId"":17,""key"":""LA"",""abbreviation"":""LA"",""location"":""Los Angeles"",""nickname"":""Rams""},{""teamId"":30,""key"":""TB"",""abbreviation"":""TB"",""location"":""Tampa Bay"",""nickname"":""Buccaneers""},{""teamId"":5,""key"":""CAR"",""abbreviation"":""CAR"",""location"":""Carolina"",""nickname"":""Panthers""},{""teamId"":4,""key"":""BUF"",""abbreviation"":""BUF"",""location"":""Buffalo"",""nickname"":""Bills""}]",13,No,No,No,12,3,Yes,No,2,0.6666666666666666,0.25,,,,,41,1,0.08333333333333333,0.4166666666666667,0.4166666666666667,3,13.666666666666666,39.6,,,-9.859824280333333,0.3333333333333333,,,7.171649798,7.171649798,0.2727272727272727,,,,,,,,,,,,,,17,0.8571428571428571,0.25,,0.3014705882352941,0.375,,,,,Mid/Deep Cross,Horizontal,Tight,,0.08333333333333333,2,,,,,,,,,,,,,
Beaux Collins,NYG,WR,2025177,2025,1,9,46CA95DD0ECE,New York,Giants,SF,NFC,NFC West,,,,,,,,,"[{""teamId"":24,""key"":""NYG"",""abbreviation"":""NYG"",""location"":""New York"",""nickname"":""Giants""}]","[{""teamId"":23,""key"":""NO"",""abbreviation"":""NO"",""location"":""New Orleans"",""nickname"":""Saints""},{""teamId"":9,""key"":""DAL"",""abbreviation"":""DAL"",""location"":""Dallas"",""nickname"":""Cowboys""},{""teamId"":16,""key"":""KC"",""abbreviation"":""KC"",""location"":""Kansas City"",""nickname"":""Chiefs""},{""teamId"":18,""key"":""LAC"",""abbreviation"":""LAC"",""location"":""Los Angeles"",""nickname"":""Chargers""},{""teamId"":29,""key"":""SF"",""abbreviation"":""SF"",""location"":""San Francisco"",""nickname"":""49ers""},{""teamId"":32,""key"":""WAS"",""abbreviation"":""WAS"",""location"":""Washington"",""nickname"":""Commanders""},{""teamId"":26,""key"":""PHI"",""abbreviation"":""PHI"",""location"":""Philadelphia"",""nickname"":""Eagles""},{""teamId"":10,""key"":""DEN"",""abbreviation"":""DEN"",""location"":""Denver"",""nickname"":""Broncos""}]",1,No,No,No,1,,No,No,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,9,1,,,,,true,,,,,,,,,,,,,,,,,,,,,,
Kayshon Boutte,NE,WR,2025319,2025,1,18,928B4CA26889,New England,Patriots,MIA,AFC,AFC East,,,,,,,,,"[{""teamId"":22,""key"":""NE"",""abbreviation"":""NE"",""location"":""New England"",""nickname"":""Patriots""}]","[{""teamId"":23,""key"":""NO"",""abbreviation"":""NO"",""location"":""New Orleans"",""nickname"":""Saints""},{""teamId"":8,""key"":""CLV"",""abbreviation"":""CLV"",""location"":""Cleveland"",""nickname"":""Browns""},{""teamId"":27,""key"":""PIT"",""abbreviation"":""PIT"",""location"":""Pittsburgh"",""nickname"":""Steelers""},{""teamId"":2,""key"":""ATL"",""abbreviation"":""ATL"",""location"":""Atlanta"",""nickname"":""Falcons""},{""teamId"":7,""key"":""CIN"",""abbreviation"":""CIN"",""location"":""Cincinnati"",""nickname"":""Bengals""},{""teamId"":19,""key"":""LV"",""abbreviation"":""LV"",""location"":""Las Vegas"",""nickname"":""Raiders""},{""teamId"":24,""key"":""NYG"",""abbreviation"":""NYG"",""location"":""New York"",""nickname"":""Giants""},{""teamId"":3,""key"":""BLT"",""abbreviation"":""BLT"",""location"":""Baltimore"",""nickname"":""Ravens""},{""teamId"":5,""key"":""CAR"",""abbreviation"":""CAR"",""location"":""Carolina"",""nickname"":""Panthers""},{""teamId"":20,""key"":""MIA"",""abbreviation"":""MIA"",""location"":""Miami"",""nickname"":""Dolphins""},{""teamId"":31,""key"":""TEN"",""abbreviation"":""TEN"",""location"":""Tennessee"",""nickname"":""Titans""},{""teamId"":4,""key"":""BUF"",""abbreviation"":""BUF"",""location"":""Buffalo"",""nickname"":""Bills""}]",7,No,No,No,7,,No,No,,,,,,,,,,,0.14285714285714285,0.8571428571428571,,,,,,,,,,,,,,,,,,,,,,,,,,14,0.7,,,,,true,,,,,,,,,,,,,,,,,,,,,,
Mack Hollins,NE,WR,2025288,2025,1,16,8F2DA6570021,New England,Patriots,BLT,AFC,AFC North,,,,,,,,,"[{""teamId"":22,""key"":""NE"",""abbreviation"":""NE"",""location"":""New England"",""nickname"":""Patriots""}]","[{""teamId"":23,""key"":""NO"",""abbreviation"":""NO"",""location"":""New Orleans"",""nickname"":""Saints""},{""teamId"":8,""key"":""CLV"",""abbreviation"":""CLV"",""location"":""Cleveland"",""nickname"":""Browns""},{""teamId"":27,""key"":""PIT"",""abbreviation"":""PIT"",""location"":""Pittsburgh"",""nickname"":""Steelers""},{""teamId"":2,""key"":""ATL"",""abbreviation"":""ATL"",""location"":""Atlanta"",""nickname"":""Falcons""},{""teamId"":25,""key"":""NYJ"",""abbreviation"":""NYJ"",""location"":""New York"",""nickname"":""Jets""},{""teamId"":19,""key"":""LV"",""abbreviation"":""LV"",""location"":""Las Vegas"",""nickname"":""Raiders""},{""teamId"":7,""key"":""CIN"",""abbreviation"":""CIN"",""location"":""Cincinnati"",""nickname"":""Bengals""},{""teamId"":24,""key"":""NYG"",""abbreviation"":""NYG"",""location"":""New York"",""nickname"":""Giants""},{""teamId"":20,""key"":""MIA"",""abbreviation"":""MIA"",""location"":""Miami"",""nickname"":""Dolphins""},{""teamId"":5,""key"":""CAR"",""abbreviation"":""CAR"",""location"":""Carolina"",""nickname"":""Panthers""},{""teamId"":3,""key"":""BLT"",""abbreviation"":""BLT"",""location"":""Baltimore"",""nickname"":""Ravens""},{""teamId"":31,""key"":""TEN"",""abbreviation"":""TEN"",""location"":""Tennessee"",""nickname"":""Titans""},{""teamId"":30,""key"":""TB"",""abbreviation"":""TB"",""location"":""Tampa Bay"",""nickname"":""Buccaneers""},{""teamId"":4,""key"":""BUF"",""abbreviation"":""BUF"",""location"":""Buffalo"",""nickname"":""Bills""}]",9,No,No,No,8,3,No,No,1,0.3333333333333333,0.375,1,0.3333333333333333,15,3,52,,,0.125,0.875,2,17.333333333333332,50.7,1.875,5,-5.314818164999999,,15,3,4.950778265,4.950778265,0.375,1.5,2.5,2,2.5,2.5,2.5,2,2.5,2.5,2.5,2,2.5,2.5,15,0.6153846153846154,0.25,0.18518518518518517,0.47706422018348627,0.25,,1,1,1,,,,1,,,1,,,,,,,,,,,,
Chris Moore,WAS,WR,2025320,2025,1,18,477E48BD62CE,Washington,Commanders,PHI,NFC,NFC East,4,1,Straight Drop,Incomplete,12,Open,Open,Cover 2 Man,"[{""teamId"":32,""key"":""WAS"",""abbreviation"":""WAS"",""location"":""Washington"",""nickname"":""Commanders""}]","[{""teamId"":28,""key"":""SEA"",""abbreviation"":""SEA"",""location"":""Seattle"",""nickname"":""Seahawks""},{""teamId"":18,""key"":""LAC"",""abbreviation"":""LAC"",""location"":""Los Angeles"",""nickname"":""Chargers""},{""teamId"":20,""key"":""MIA"",""abbreviation"":""MIA"",""location"":""Miami"",""nickname"":""Dolphins""},{""teamId"":11,""key"":""DET"",""abbreviation"":""DET"",""location"":""Detroit"",""nickname"":""Lions""},{""teamId"":26,""key"":""PHI"",""abbreviation"":""PHI"",""location"":""Philadelphia"",""nickname"":""Eagles""},{""teamId"":10,""key"":""DEN"",""abbreviation"":""DEN"",""location"":""Denver"",""nickname"":""Broncos""},{""teamId"":9,""key"":""DAL"",""abbreviation"":""DAL"",""location"":""Dallas"",""nickname"":""Cowboys""},{""teamId"":24,""key"":""NYG"",""abbreviation"":""NYG"",""location"":""New York"",""nickname"":""Giants""},{""teamId"":2,""key"":""ATL"",""abbreviation"":""ATL"",""location"":""Atlanta"",""nickname"":""Falcons""},{""teamId"":6,""key"":""CHI"",""abbreviation"":""CHI"",""location"":""Chicago"",""nickname"":""Bears""},{""teamId"":19,""key"":""LV"",""abbreviation"":""LV"",""location"":""Las Vegas"",""nickname"":""Raiders""},{""teamId"":16,""key"":""KC"",""abbreviation"":""KC"",""location"":""Kansas City"",""nickname"":""Chiefs""}]",3,No,No,No,3,,No,No,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,14,1,,,,,,,,,Go,Vertical,Tight,,,,,,,,,,,,,,,,
