Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsCatchableLabel,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsInEndzone,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAirTotal,TouchdownsTotal,TouchdownsInEndzone,DropsTotal,AlignmentInlineRoutesPercentage,AlignmentSlotRoutesPercentage,TargetedReadFirstTotal,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerTargetDropsTotal,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,playerStatsFirstDownsReceiving,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsInside20ReceivingTargetsTotal,playerStatsGamesPlayed,TargetsContestedTotal,ReceptionsContested,AlignmentWideRoutesPercentage,TargetedReadDesignTotal,TargetedReadDesignPercentage,YardsAfterContactTotal,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,AveragesPerReceptionYardsAfterContact,AlignmentBackfieldRoutesPercentage,ReceptionsHero
John Bates,WAS,TE,58,No,No,No,32,3,No,No,3,1,1,0.0938,2,0.6667,21,6,34,1,1,1,0.9062,0.0938,3,11.3333,126.4,0.6562,7,-1.8245,0.3333,10.5,3,2,6.9652,6.9652,0.0517,8.1,10.1,9.1,10.1,11.1,10.1,9.1,10.1,10.1,10.1,9.1,11.1,10.1,1,15,,,,,,,,,,,
T.J. Hockenson,MIN,TE,84,No,No,Yes,73,8,No,No,4,0.5,1,0.1096,4,0.5,43,-8,112,1,1,,0.411,0.4247,8,14,105.7,0.589,5.375,-4.7454,,10.75,-2,3,17.9741,17.9741,0.0952,10.3,14.3,12.3,14.3,16.3,14.3,12.3,14.3,14.3,14.3,12.3,16.3,14.3,2,15,1,1,0.1644,1,0.125,,,,,,
Stone Smartt,NYJ,TE,12,No,No,No,10,1,No,Yes,1,1,,0.1,,,,,15,,,,0.2,0.6,1,15,39.6,,,-10.6391,,,,,1.6027,1.6027,0.0833,,,,,,,,,,,,,,,8,1,,0.2,,,,,,,,
Xavier Hutchinson,HST,WR,77,Yes,No,Yes,76,20,No,Yes,12,0.6,2,0.2632,10,0.5,197,62,280,2,1,,,0.1447,14,14,118.1,2.5921,9.85,0.1323,,19.7,6.2,10,38.5253,38.5253,0.2597,31.7,41.7,36.7,41.7,41.7,44.7,39.7,41.7,41.7,41.7,36.7,41.7,41.7,2,17,5,3,0.8553,,,12,2,0.2,1.2,,
Simi Fehoko,ARZ,WR,3,No,Yes,Yes,3,,No,Yes,,,,,,,,,,,,,,0.3333,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,0.6667,,,,,,,,
Josh Reynolds,NYJ,WR,16,Yes,Yes,Yes,16,6,No,No,3,0.5,,0.375,3,0.5,38,3,78,,,,,0.3125,3,13,70.1,2.375,6.3333,-2.8694,,12.6667,1,,9.2469,9.2469,0.375,3.8,6.8,5.3,6.8,6.8,6.8,5.3,6.8,6.8,6.8,5.3,6.8,6.8,,5,1,1,0.6875,,,2,,,0.6667,,
Noah Gray,KC,TE,48,No,No,No,35,9,No,Yes,5,0.5556,,0.2571,4,0.4444,73,27,126,,,,0.5143,0.2857,7,14,72.9,2.0857,8.1111,-1.5593,,18.25,6.75,4,20.8056,20.8056,0.1875,7.3,11.3,9.3,11.3,13.3,11.3,9.3,11.3,11.3,11.3,9.3,13.3,11.3,,16,2,1,0.1714,,,5,,,1.25,0.0286,
Brian Thomas,JAX,WR,97,No,No,No,96,35,Yes,Yes,30,0.8571,4,0.3646,21,0.6,354,79,486,1,1,2,,0.2812,30,13.8857,103.7,3.6875,10.1143,0.5798,0.0571,16.8571,3.7619,20,69.2045,69.2045,0.3608,41.4,62.4,51.9,62.4,62.4,65.4,54.9,62.4,62.4,62.4,51.9,62.4,62.4,4,14,8,2,0.7188,,,10,1,0.0476,0.4762,,1
Chimere Dike,TEN,WR,76,No,No,No,76,14,Yes,Yes,7,0.5,,0.1842,6,0.4286,104,13,205,,,1,,0.6316,10,14.6429,68.8,1.3684,7.4286,-2.4024,0.0714,17.3333,2.1667,4,29.3208,29.3208,0.1842,10.4,16.4,13.4,16.4,16.4,19.4,16.4,16.4,16.4,16.4,13.4,16.4,16.4,2,17,2,2,0.3684,,,3,,,0.5,,
Tim Patrick,JAX,WR,53,No,No,No,52,12,Yes,Yes,10,0.8333,2,0.2308,5,0.4167,75,14,172,2,1,3,,0.3077,8,14.3333,67.7,1.4423,6.25,-3.577,0.25,15,2.8,4,26.4092,26.4092,0.2264,19.5,24.5,22,24.5,24.5,24.5,22,24.5,24.5,24.5,22,24.5,24.5,2,16,6,3,0.6923,,,,,,,,
