Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsContestedLabel,TargetsCatchableLabel,AlignmentSlotRoutesPercentage,playerStatsGamesPlayed,TargetsTotal,TargetsContestedTotal,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,ReceptionsTotal,ReceptionsContested,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,YardsAirTotal,TouchdownsTotal,AlignmentInlineRoutesPercentage,AlignmentWideRoutesPercentage,TargetedReadFirstTotal,AverageDepthOfTarget,DeepTargetTargetsTotal,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsFirstDownsReceiving,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,TargetsInEndzone,ReceptionsHero,DropsTotal,AveragesPerTargetDropsTotal,AlignmentBackfieldRoutesPercentage,TouchdownsInEndzone,playerStatsInside20ReceivingTargetsTotal,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,TargetedReadDesignTotal,TargetedReadDesignPercentage
Ronnie Rivers,LA,RB,1,No,No,No,1,Yes,Yes,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elijah Arroyo,SEA,TE,18,No,No,No,16,No,No,0.125,13,5,2,3,0.6,0.3125,3,2,0.6,85,16,7,120,1,0.8125,0.0625,2,24,5,104.2,5.3125,17,3.9545,28.3333,5.3333,2.3333,3,15.9038,15.9038,0.2778,14.5,17.5,16,17.5,19,17.5,16,17.5,17.5,17.5,16,19,17.5,,,,,,,,,,,
Darius Slayton,NYG,WR,45,No,Yes,Yes,44,No,No,0.1591,14,14,6,9,0.6429,0.3182,3,1,0.2143,121,40,9,437,,,0.8409,14,31.2143,14,63.1,2.75,8.6429,-3.8555,40.3333,13.3333,3,3,42.8818,42.8818,0.3111,12.1,15.1,13.6,15.1,15.1,18.1,16.6,15.1,15.1,15.1,13.6,15.1,15.1,2,1,1,0.0714,,,,,,,
Dare Ogunbowale,HST,RB,10,Yes,No,No,5,No,No,0.2,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,
Nico Collins,HST,WR,48,No,No,No,48,No,Yes,0.1875,15,24,7,12,0.5,0.5,10,6,0.4167,341,53,15,700,2,,0.8125,19,29.1667,24,116.7,7.1042,14.2083,1.9875,34.1,5.3,1.5,10,56.6752,56.6752,0.5,46.1,56.1,51.1,56.1,56.1,59.1,54.1,56.1,56.1,56.1,51.1,56.1,56.1,3,1,,,,1,1,,,,
Jake Ferguson,DAL,TE,47,No,Yes,Yes,45,No,No,0.6444,17,4,2,2,0.5,0.0889,,,,,,,89,,0.3556,,4,22.25,4,,,,-12.5107,,,,,12.904,12.904,0.0851,,,,,,,,,,,,,,2,,,,,,2,,,,
Davante Adams,LA,WR,48,No,No,No,48,No,No,0.1458,14,21,5,14,0.6667,0.4375,8,,0.381,219,31,8,576,3,,0.8542,19,27.4286,21,116.9,4.5625,10.4286,-1.486,27.375,3.875,1,8,52.3391,52.3391,0.4375,39.9,47.9,43.9,47.9,47.9,50.9,46.9,47.9,47.9,47.9,43.9,47.9,47.9,4,,2,0.0952,,3,2,3,0.375,,
Jerry Jeudy,CLV,WR,44,No,No,Yes,44,No,No,0.3182,17,18,2,8,0.4444,0.4091,5,1,0.2778,145,30,7,487,1,,0.6818,14,27.0556,18,39.6,3.2955,8.0556,-3.48,29,6,1.4,4,39.1575,39.1575,0.4091,19.5,24.5,22,24.5,24.5,27.5,24,23.5,23.5,23.5,21,24.5,23.5,2,,1,0.0556,,1,,,,,
Elijah Mitchell,KC,RB,1,No,No,No,1,No,Yes,,1,1,,,,1,,,,,,,22,,,,,22,1,,,,-11.9429,,,,,3.7471,3.7471,1,,,,,,,,,,,,,,1,,,,1,,,,,,
J.K. Dobbins,DEN,RB,15,Yes,No,Yes,6,Yes,Yes,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
