Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsCatchableLabel,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsInEndzone,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,YardsAirTotal,DropsTotal,AlignmentBackfieldRoutesPercentage,AlignmentInlineRoutesPercentage,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,TargetedReadFirstTotal,TargetedReadDesignTotal,TargetedReadDesignPercentage,AverageDepthOfTarget,DeepTargetTargetsTotal,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerTargetDropsTotal,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsFirstDownsReceiving,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,TargetsContestedTotal,ReceptionsContested,playerStatsInside20ReceivingTargetsTotal,TouchdownsTotal,TouchdownsInEndzone,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,ReceptionsHero
Taysom Hill,NO,TE,68,No,Yes,No,60,11,No,Yes,10,0.9091,1,0.1833,8,0.7273,62,56,11,35,2,0.15,0.1333,0.4167,0.3,8,4,0.3636,3.1818,1,86.2,1.0333,5.6364,-1.164,0.1818,7.75,7,1.375,1,19.4301,19.4301,0.2,12.48,20.48,16.48,20.48,24.48,20.48,16.48,20.48,20.48,20.48,16.48,25.05,21.05,13,,,,,,,,
Corey Kiner,ARZ,RB,14,No,Yes,No,12,3,No,No,3,1,,0.25,2,0.6667,15,5,1,12,1,1,,,,1,,,4,,78.5,1.25,5,-1.9217,0.3333,7.5,2.5,0.5,1,4.7572,4.7572,0.25,1.5,3.5,2.5,4.5,3.5,3.5,2.5,3.5,3.5,3.5,2.5,3.5,3.5,4,1,1,1,,,,,
Jeff Wilson,MIA,RB,3,Yes,No,Yes,3,,No,Yes,,,,,,,,,,,,0.3333,,0.3333,0.3333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,
Kameron Johnson,TB,WR,37,No,No,No,33,7,No,Yes,5,0.7143,,0.2121,4,0.5714,64,21,2,90,1,,,0.4545,0.5455,6,1,0.1429,12.8571,2,87.8,1.9394,9.1429,0.1287,0.1429,16,5.25,0.5,3,11.9531,11.9531,0.2059,12.4,16.4,14.4,16.4,16.4,16.4,14.4,16.4,16.4,16.4,14.4,16.4,16.4,17,,,,1,,,,
Dyami Brown,JAX,WR,160,No,No,No,139,34,No,Yes,28,0.8235,3,0.2446,20,0.5882,227,34,27,461,7,,,0.2878,0.7122,31,4,0.1176,13.5588,6,88.7,1.6331,6.6765,-2.3604,0.2059,11.35,1.7,1.35,13,66.6774,66.6774,0.2361,28.7,48.7,38.7,48.7,48.7,51.7,41.7,48.7,48.7,48.7,38.7,48.7,48.7,14,6,4,8,1,1,1,0.05,
Luther Burden,CHI,WR,171,Yes,Yes,Yes,161,52,No,Yes,47,0.9038,1,0.323,40,0.7692,569,304,80,381,6,0.0124,,0.4907,0.4969,45,15,0.2885,7.3269,4,124.6,3.5342,10.9423,3.5636,0.1154,14.225,7.6,2,23,82.4007,82.4007,0.3444,68.9,108.9,88.9,108.9,108.9,111.9,91.9,108.9,108.9,108.9,88.9,108.9,108.9,15,2,1,3,2,1,10,0.25,
Garrett Wilson,NYJ,WR,172,No,Yes,Yes,166,54,No,Yes,43,0.7963,1,0.3253,35,0.6481,387,112,47,527,3,,,0.4337,0.5663,47,2,0.037,9.7593,7,95.2,2.3313,7.1667,-0.5353,0.0556,11.0571,3.2,1.3429,18,98.3878,98.3878,0.3803,62.7,97.7,80.2,97.7,97.7,100.7,83.2,97.7,97.7,97.7,80.2,97.7,97.7,7,8,3,4,4,1,7,0.2,1
Blake Whiteheart,CLV,TE,88,No,No,Yes,63,6,No,No,4,0.6667,,0.0952,2,0.3333,4,2,,44,,0.0159,0.6032,0.254,0.127,2,,,7.3333,1,42.4,0.0635,0.6667,-6.4099,,2,1,,,9.6197,9.6197,0.0779,0.4,2.4,1.4,2.4,3.4,2.4,1.4,2.4,2.4,2.4,1.4,3.4,2.4,16,2,,,,,,,
Cameron Latu,PHI,TE,20,No,Yes,No,9,,No,No,,,,,,,,,,,,0.3333,0.2222,0.4444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,
Ja'Corey Brooks,WAS,WR,1,No,No,No,1,,No,Yes,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
