Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsContestedLabel,TargetsCatchableLabel,AlignmentBackfieldRoutesPercentage,playerStatsGamesPlayed,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,TargetsTotal,TargetsContestedTotal,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,ReceptionsTotal,ReceptionsContested,ReceptionsPercentage,YardsTotal,YardsAirTotal,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerReceptionYardsTotal,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,TargetedReadFirstTotal,playerStatsInside20ReceivingTargetsTotal,TargetsInEndzone,YardsAfterCatchTotal,TouchdownsTotal,TouchdownsInEndzone,DropsTotal,DeepTargetTargetsTotal,AveragesPerTargetDropsTotal,AveragesPerReceptionYardsAfterCatch,playerStatsFirstDownsReceiving,YardsAfterContactTotal,TargetedReadDesignTotal,TargetedReadDesignPercentage,AveragesPerReceptionYardsAfterContact,AlignmentInlineRoutesPercentage,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,ReceptionsHero
DJ Giddens,IND,RB,6,Yes,Yes,No,1,No,Yes,1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chris Rodriguez,WAS,RB,17,No,Yes,No,8,No,No,0.75,13,0.125,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
George Holani,SEA,RB,2,No,Yes,No,1,Yes,Yes,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tom Kennedy,DET,WR,2,No,Yes,No,2,No,No,,6,1,,1,1,1,1,0.5,1,1,1,4,4,4,83.3,2,4,-2.0498,4,1.4146,1.4146,0.5,0.4,1.4,0.9,1.4,1.4,1.4,0.9,1.4,1.4,1.4,0.9,1.4,1.4,,,,,,,,,,,,,,,,,,,
Chris Brooks,GB,RB,18,Yes,Yes,Yes,8,No,No,0.875,17,0.125,,1,,1,1,0.125,1,,1,2,2,2,79.2,0.25,2,-4.3947,2,1.3189,1.3189,0.0714,0.2,1.2,0.7,1.7,1.2,1.2,0.7,1.2,1.2,1.2,0.7,1.2,1.2,1,1,,,,,,,,,,,,,,,,,
Christian Watson,GB,WR,33,No,Yes,Yes,33,No,No,,10,0.2727,0.7273,6,2,5,0.8333,0.1818,3,2,0.5,65,124,20.6667,128.5,1.9697,10.8333,-0.4026,21.6667,11.9367,11.9367,0.2222,12.5,15.5,14,15.5,15.5,15.5,14,15.5,15.5,15.5,14,15.5,15.5,3,1,1,9,1,1,1,4,0.1667,3,3,,,,,,,,
Kyle Williams,NE,WR,23,Yes,No,Yes,22,No,Yes,,17,0.1818,0.8182,,,,,,,,,,,,,,,,,1.6083,1.6083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
James Conner,ARZ,RB,5,Yes,No,Yes,3,No,Yes,0.6667,3,,0.3333,1,,1,1,0.3333,1,,1,4,-2,-2,122.9,1.3333,4,-2.198,4,3.0214,3.0214,0.2,6.4,7.4,6.9,7.9,7.4,7.4,6.9,7.4,7.4,7.4,6.9,7.4,7.4,1,1,,6,1,,,,,6,1,3,1,1,3,,,,
Tyler Conklin,LAC,TE,11,No,Yes,No,9,No,No,,10,0.3333,0.1111,2,,2,1,0.2222,1,,0.5,33,13,6.5,95.8,3.6667,16.5,8.9448,33,7.0768,7.0768,0.2222,3.3,4.3,3.8,4.3,4.8,4.3,3.8,4.3,4.3,4.3,3.8,4.8,4.3,2,,,22,,,1,,0.5,22,1,,,,,0.5556,,,
Shedrick Jackson,LV,WR,1,Yes,Yes,Yes,1,No,No,,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
