Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsContestedTotal,TargetsCatchableLabel,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsInEndzone,TargetsPerRoute,ReceptionsTotal,ReceptionsContested,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,YardsAirTotal,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,AlignmentInlineRoutesPercentage,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,TargetedReadFirstTotal,TargetedReadDesignTotal,TargetedReadDesignPercentage,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsFirstDownsReceiving,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsInside20ReceivingTargetsTotal,playerStatsGamesPlayed,TouchdownsTotal,DropsTotal,AlignmentBackfieldRoutesPercentage,AveragesPerTargetDropsTotal,TouchdownsInEndzone,DeepTargetTargetsTotal,ReceptionsHero
Pat Freiermuth,PIT,TE,106,No,Yes,No,90,20,No,1,No,16,0.8,2,0.2222,15,1,0.75,142,123,61,62,4,0.2667,0.2222,0.6778,0.1,12,4,0.2,3.1,73.3,1.5778,7.1,0.734,9.4667,8.2,4.0667,7,34.2276,34.2276,0.2062,14.2,29.2,21.7,29.2,36.7,32.2,24.7,29.2,29.2,29.2,21.7,36.7,29.2,2,17,,,,,,,
Isiah Pacheco,KC,RB,94,No,No,No,62,19,No,,Yes,17,0.8947,,0.3065,13,,0.6842,45,83,17,-53,1,0.0769,,0.0484,0.0645,10,4,0.2105,-2.7895,89.1,0.7258,2.3684,-3.5688,3.4615,6.3846,1.3077,3,31.4583,31.4583,0.2209,10.5,23.5,17,30,23.5,23.5,17,23.5,23.5,23.5,17,23.5,23.5,3,13,1,4,0.8871,0.2105,,,
Darren Waller,MIA,TE,44,No,No,No,43,11,No,4,Yes,9,0.8182,2,0.2558,7,2,0.6364,53,22,2,87,,,0.186,0.4186,0.3953,9,1,0.0909,7.9091,105.5,1.2326,4.8182,-2.8964,7.5714,3.1429,0.2857,5,18.6664,18.6664,0.2821,11.3,18.3,14.8,18.3,21.8,18.3,14.8,18.3,18.3,18.3,14.8,21.8,18.3,2,9,1,,,,1,2,
LeQuint Allen,JAX,RB,49,No,No,No,34,2,Yes,,Yes,1,0.5,,0.0588,1,,0.5,9,7,2,-6,,,,0.1176,0.0882,,,,-3,62.5,0.2647,4.5,-0.9617,9,7,2,,5.9857,5.9857,0.0435,0.9,1.9,1.4,2.4,1.9,1.9,1.4,1.9,1.9,1.9,1.4,1.9,1.9,,17,,,0.7941,,,,
Colston Loveland,CHI,TE,76,Yes,No,No,63,16,No,1,Yes,11,0.6875,1,0.254,10,1,0.625,81,27,9,108,2,0.2,0.4921,0.3333,0.1429,10,,,6.75,75.3,1.2857,5.0625,-1.9311,8.1,2.7,0.9,4,27.5032,27.5032,0.2286,8.1,18.1,13.1,18.1,23.1,18.1,13.1,18.1,18.1,18.1,13.1,23.1,18.1,3,16,,,0.0317,,,,
Bijan Robinson,ATL,RB,163,No,No,No,134,50,No,3,No,44,0.88,,0.3731,41,2,0.82,374,422,111,-19,16,0.3902,,0.2015,0.1716,32,17,0.34,-0.38,89.5,2.791,7.48,1.2708,9.122,10.2927,2.7073,19,77.794,77.794,0.3401,37.4,78.4,57.9,98.9,78.4,81.4,60.9,78.4,78.4,78.4,57.9,78.4,78.4,5,17,,2,0.6269,0.04,,,
Jaleel McLaughlin,DEN,RB,7,Yes,No,No,3,2,No,,Yes,2,1,,0.6667,2,,1,4,9,2,-5,,,,,,1,,,-2.5,79.2,1.3333,2,-3.4094,2,4.5,1,1,2.7335,2.7335,0.2857,0.4,2.4,1.4,3.4,2.4,2.4,1.4,2.4,2.4,2.4,1.4,2.4,2.4,,8,,,1,,,,
Calvin Austin,PIT,WR,94,No,Yes,No,84,14,No,1,No,10,0.7143,1,0.1667,7,1,0.5,53,29,22,68,1,0.1429,,0.4524,0.5476,12,4,0.2857,4.8571,19.9,0.631,3.7857,-3.0961,7.5714,4.1429,3.1429,2,22.417,22.417,0.1707,5.3,12.3,8.8,12.3,12.3,12.3,8.8,12.3,12.3,12.3,8.8,12.3,12.3,1,14,,2,,0.1429,,,
Ronnie Bell,NO,WR,3,No,No,No,3,1,No,,No,1,1,,0.3333,1,,1,7,1,1,6,,,,,1,1,,,6,95.8,2.3333,7,0.0509,7,1,1,,1.6581,1.6581,0.3333,0.7,1.7,1.2,1.7,1.7,1.7,1.2,1.7,1.7,1.7,1.2,1.7,1.7,,2,,,,,,,
Kareem Hunt,KC,RB,82,No,No,No,50,14,No,,No,12,0.8571,,0.28,11,,0.7857,95,115,34,-20,3,0.2727,0.02,0.1,0.04,8,5,0.3571,-1.4286,94.9,1.9,6.7857,0.7634,8.6364,10.4545,3.0909,4,20.4315,20.4315,0.1842,9.5,20.5,15,26,20.5,20.5,15,20.5,20.5,20.5,15,20.5,20.5,3,17,,1,0.84,0.0714,,,
Derrick Henry,BLT,RB,41,No,Yes,No,23,7,No,1,No,6,0.8571,,0.3043,6,1,0.8571,78,78,16,-2,4,0.6667,,0.0435,,4,1,0.1429,-0.2857,113.1,3.3913,11.1429,5.0752,13,13,2.6667,2,9.7143,9.7143,0.1892,7.8,13.8,10.8,16.8,13.8,13.8,10.8,13.8,13.8,13.8,10.8,13.8,13.8,,17,,,0.9565,,,,
Robert Tonyan,KC,TE,12,No,No,No,6,1,No,,No,1,1,,0.1667,1,,1,1,,,1,,,0.6667,0.3333,,,,,1,79.2,0.1667,1,-4.7754,1,,,,1.3276,1.3276,0.0833,0.1,1.1,0.6,1.1,1.6,1.1,0.6,1.1,1.1,1.1,0.6,1.6,1.1,,16,,,,,,,
