Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsCatchableLabel,TargetsInEndzone,TargetsPerRoute,YardsAirTotal,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,TargetedReadFirstTotal,AverageDepthOfTarget,DeepTargetTargetsTotal,PasserRatingWhenTargeted,AveragesPerTargetYardsOverExpected,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsInside20ReceivingTargetsTotal,playerStatsGamesPlayed,TargetsContestedTotal,TargetsCatchableTotal,TargetsCatchablePercentage,ReceptionsTotal,ReceptionsContested,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,TouchdownsTotal,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsFirstDownsReceiving,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,DropsTotal,AlignmentBackfieldRoutesPercentage,AveragesPerTargetDropsTotal,AlignmentInlineRoutesPercentage,TargetedReadDesignTotal,TargetedReadDesignPercentage,TouchdownsInEndzone,ReceptionsHero
Xavier Weaver,ARZ,WR,43,No,No,Yes,40,2,No,No,1,0.05,30,0.225,0.775,2,15,1,39.6,-9.351,4.4505,4.4505,0.05,1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Garrett Wilson,NYJ,WR,40,No,Yes,Yes,40,9,No,Yes,,0.225,62,0.525,0.475,6,6.8889,,144.4,2.769,14.0642,14.0642,0.2571,1,7,1,9,1,8,1,0.8889,88,30,8,1,1,0.125,2.2,9.7778,11,3.75,1,5,14.8,22.8,18.8,22.8,22.8,22.8,18.8,22.8,22.8,22.8,18.8,22.8,22.8,,,,,,,,
Corey Kiner,ARZ,RB,5,No,No,Yes,5,3,No,No,,0.6,12,,,1,4,,78.5,-1.9217,4.7572,4.7572,0.6,1,4,1,3,1,2,1,0.6667,15,5,1,,,,3,5,7.5,2.5,0.5,1,1.5,3.5,2.5,4.5,3.5,3.5,2.5,3.5,3.5,3.5,2.5,3.5,3.5,1,1,0.3333,,,,,
Jeff Wilson,MIA,RB,1,Yes,No,Yes,1,,No,Yes,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
Kameron Johnson,TB,WR,8,No,No,No,8,2,No,Yes,,0.25,24,0.625,0.375,2,12,,79.2,-0.1567,3.2235,3.2235,0.25,,17,,2,1,1,,0.5,17,3,,,,,2.125,8.5,17,3,,1,1.7,2.7,2.2,2.7,2.7,2.7,2.2,2.7,2.7,2.7,2.2,2.7,2.7,1,,0.5,,,,,
Mason Taylor,NYJ,TE,52,No,Yes,No,50,15,Yes,Yes,1,0.3,85,0.44,0.1,10,5.6667,,71,-2.2874,25.8175,25.8175,0.3409,4,13,4,12,0.8,9,4,0.6,68,22,6,,,,1.36,4.5333,7.5556,2.4444,0.6667,3,6.8,15.8,11.3,15.8,20.3,15.8,11.3,15.8,15.8,15.8,11.3,20.3,15.8,3,0.02,0.2,0.44,,,,
Emanuel Wilson,GB,RB,23,No,No,No,19,3,Yes,Yes,,0.1579,6,,0.1579,,2,,106.9,3.4555,4.2659,4.2659,0.1364,,17,,3,1,3,,1,29,23,15,,2,0.6667,1.5263,9.6667,9.6667,7.6667,5,2,2.9,5.9,4.4,7.4,5.9,5.9,4.4,5.9,5.9,5.9,4.4,5.9,5.9,,0.8421,,,,,,
Quentin Johnston,LAC,WR,85,Yes,No,No,82,11,No,Yes,1,0.1341,99,0.122,0.878,7,9,,91.1,-0.9554,19.2778,19.2778,0.1392,2,14,2,10,0.9091,8,,0.7273,75,16,2,,1,0.125,0.9146,6.8182,9.375,2,0.25,3,6.5,14.5,10.5,14.5,14.5,14.5,9.5,13.5,13.5,13.5,9.5,14.5,13.5,1,,0.0909,,,,,
Dyami Brown,JAX,WR,24,No,No,No,19,4,No,Yes,,0.2105,40,0.3684,0.6316,4,10,,39.6,-6.6586,5.848,5.848,0.1739,,14,2,3,0.75,1,1,0.25,6,1,1,,,,0.3158,1.5,6,1,1,1,0.6,1.6,1.1,1.6,1.6,1.6,1.1,1.6,1.6,1.6,1.1,1.6,1.6,2,,0.5,,,,,
Luther Burden,CHI,WR,35,Yes,Yes,Yes,32,8,No,Yes,,0.25,46,0.4375,0.5312,7,5.75,,78.6,-1.1202,12.7129,12.7129,0.25,2,15,,7,0.875,5,,0.625,47,26,19,,1,0.2,1.4688,5.875,9.4,5.2,3.8,3,4.7,9.7,7.2,9.7,9.7,9.7,7.2,9.7,9.7,9.7,7.2,9.7,9.7,2,0.0312,0.25,,2,0.25,,
