Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsContestedLabel,TargetsCatchableLabel,AlignmentBackfieldRoutesPercentage,AlignmentWideRoutesPercentage,playerStatsGamesPlayed,TargetsTotal,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,YardsAirTotal,TouchdownsTotal,AlignmentSlotRoutesPercentage,TargetedReadFirstTotal,TargetedReadDesignTotal,TargetedReadDesignPercentage,AverageDepthOfTarget,DeepTargetTargetsTotal,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsFirstDownsReceiving,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,TargetsContestedTotal,ReceptionsContested,playerStatsInside20ReceivingTargetsTotal,TargetsInEndzone,TouchdownsInEndzone,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,ReceptionsHero,AlignmentInlineRoutesPercentage
Jeff Wilson,MIA,RB,4,Yes,No,Yes,4,No,Yes,0.75,0.25,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kameron Johnson,TB,WR,28,No,No,No,25,No,Yes,,0.52,17,4,4,1,0.16,4,1,64,21,2,43,1,0.48,4,1,0.25,10.75,1,158.3,2.56,16,7.6837,16,5.25,0.5,3,5.5407,5.5407,0.1429,12.4,16.4,14.4,16.4,16.4,16.4,14.4,16.4,16.4,16.4,14.4,16.4,16.4,,,,,,,,,
Corey Kiner,ARZ,RB,11,No,No,No,9,No,Yes,1,,4,2,2,1,0.2222,2,1,15,5,1,10,,,1,,,5,,97.9,1.6667,7.5,0.3147,7.5,2.5,0.5,1,3.2725,3.2725,0.1818,1.5,3.5,2.5,4.5,3.5,3.5,2.5,3.5,3.5,3.5,2.5,3.5,3.5,1,1,1,,,,,,
Dyami Brown,JAX,WR,107,No,No,No,91,No,Yes,,0.7582,14,20,20,1,0.2198,20,1,227,34,27,202,1,0.2418,19,4,0.2,10.1,2,130.6,2.4945,11.35,3.2312,11.35,1.7,1.35,13,34.4664,34.4664,0.1869,28.7,48.7,38.7,48.7,48.7,51.7,41.7,48.7,48.7,48.7,38.7,48.7,48.7,4,4,4,1,1,1,0.05,,
Luther Burden,CHI,WR,129,Yes,Yes,Yes,122,No,Yes,0.0164,0.5574,15,47,47,1,0.3852,47,1,652,340,100,321,2,0.4262,41,17,0.3617,6.8298,5,132.9,5.3443,13.8723,6.6331,13.8723,7.234,2.1277,27,73.9501,73.9501,0.3643,77.2,124.2,100.7,124.2,124.2,127.2,103.7,124.2,124.2,124.2,100.7,124.2,124.2,1,1,3,1,1,11,0.234,,
Garrett Wilson,NYJ,WR,112,No,Yes,Yes,109,No,Yes,,0.5872,7,36,36,1,0.3303,36,1,395,111,47,300,4,0.4128,31,2,0.0556,8.3333,3,149.4,3.6239,10.9722,3.672,10.9722,3.0833,1.3056,18,64.0269,64.0269,0.3214,63.5,99.5,81.5,99.5,99.5,102.5,84.5,99.5,99.5,99.5,81.5,99.5,99.5,3,3,2,1,1,7,0.1944,1,
Blake Whiteheart,CLV,TE,49,No,No,Yes,34,Yes,Yes,0.0294,0.0882,16,2,2,1,0.0588,2,1,4,2,,2,,0.2059,1,,,1,,79.2,0.1176,2,-3.8295,2,1,,,2.8001,2.8001,0.0408,0.4,2.4,1.4,2.4,3.4,2.4,1.4,2.4,2.4,2.4,1.4,3.4,2.4,,,,,,,,,0.6765
Chris Manhertz,NYG,TE,28,No,No,No,6,No,Yes,,,17,1,1,1,0.1667,1,1,7,6,3,1,,,,,,1,,95.8,1.1667,7,1.2246,7,6,3,,1.4435,1.4435,0.0357,0.7,1.7,1.2,1.7,2.2,1.7,1.2,1.7,1.7,1.7,1.2,2.2,1.7,,,,,,,,,1
Cameron Latu,PHI,TE,18,No,No,No,8,No,Yes,0.125,,15,,,,,,,,,,,,0.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5
Ja'Corey Brooks,WAS,WR,1,No,No,No,1,No,Yes,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mason Taylor,NYJ,TE,183,No,No,Yes,153,No,Yes,0.0065,0.1961,13,44,44,1,0.2876,44,1,369,149,45,229,1,0.281,28,,,5.2045,,109.2,2.4118,8.3864,1.4944,8.3864,3.3864,1.0227,23,67.8305,67.8305,0.2404,42.9,86.9,64.9,86.9,108.9,89.9,67.9,86.9,86.9,86.9,64.9,108.9,86.9,8,8,7,1,1,,,,0.5163
Emanuel Wilson,GB,RB,93,Yes,No,Yes,62,No,Yes,0.8387,0.0968,17,15,15,1,0.2419,15,1,99,135,53,-36,,0.0484,4,3,0.2,-2.4,,94.2,1.5968,6.6,0.8948,6.6,9,3.5333,5,20.8304,20.8304,0.1613,9.9,24.9,17.4,32.4,24.9,24.9,17.4,24.9,24.9,24.9,17.4,24.9,24.9,,,1,,,6,0.4,,0.0161
Quentin Johnston,LAC,WR,255,Yes,No,No,241,No,Yes,,0.8299,14,51,51,1,0.2116,51,1,735,227,89,529,8,0.1701,42,7,0.1373,10.3725,10,158.3,3.0498,14.4118,6.4402,14.4118,4.451,1.7451,27,86.9426,86.9426,0.2,120.5,171.5,146,171.5,171.5,174.5,148,170.5,170.5,170.5,145,171.5,170.5,5,5,10,4,4,13,0.2549,2,
Harrison Bryant,HST,TE,26,No,No,No,19,No,Yes,,,12,2,2,1,0.1053,2,1,7,1,,6,,0.1579,1,,,3,,81.3,0.3684,3.5,-2.6277,3.5,0.5,,1,6.3476,6.3476,0.0769,0.7,2.7,1.7,2.7,3.7,2.7,1.7,2.7,2.7,2.7,1.7,3.7,2.7,,,,,,,,,0.8421
Tylan Wallace,BLT,WR,45,No,Yes,Yes,39,Yes,Yes,,0.641,14,4,4,1,0.1026,4,1,45,17,7,31,1,0.359,3,1,0.25,7.75,,153.1,1.1538,11.25,3.5415,11.25,4.25,1.75,3,6.6656,6.6656,0.0889,10.5,14.5,12.5,14.5,14.5,14.5,12.5,14.5,14.5,14.5,12.5,14.5,14.5,,,1,1,1,,,,
Jonnu Smith,PIT,TE,192,No,Yes,Yes,153,Yes,Yes,0.0065,0.1503,17,38,38,1,0.2484,38,1,222,181,61,45,2,0.4575,28,12,0.3158,1.1842,,108.6,1.451,5.8421,-0.3079,5.8421,4.7632,1.6053,10,61.2536,61.2536,0.1979,34.2,72.2,53.2,72.2,91.2,75.2,56.2,72.2,72.2,72.2,53.2,91.2,72.2,4,4,5,1,1,5,0.1316,,0.3856
Elijah Higgins,ARZ,TE,179,No,No,No,161,No,Yes,0.0186,0.0932,17,30,30,1,0.1863,30,1,301,214,86,87,,0.4037,13,3,0.1,2.9,,108.5,1.8696,10.0333,3.6177,10.0333,7.1333,2.8667,15,46.8857,46.8857,0.1676,29.1,59.1,44.1,59.1,74.1,62.1,46.1,58.1,58.1,58.1,43.1,74.1,58.1,4,4,2,,,12,0.4,,0.4845
Adam Thielen,PIT,WR,139,No,Yes,Yes,120,Yes,Yes,0.0083,0.425,16,19,19,1,0.1583,19,1,186,53,16,133,,0.5667,18,1,0.0526,7,1,107.5,1.55,9.7895,2.6496,9.7895,2.7895,0.8421,10,30.2771,30.2771,0.1367,18.6,37.6,28.1,37.6,37.6,40.6,31.1,37.6,37.6,37.6,28.1,37.6,37.6,7,7,2,,,1,0.0526,,
Josiah Deguara,ARZ,TE,32,No,No,No,26,No,Yes,0.0385,0.1923,12,3,3,1,0.1154,3,1,21,5,2,18,1,0.3077,1,,,6,,135.4,0.8077,7,0.3979,7,1.6667,0.6667,2,6.5362,6.5362,0.0938,8.1,11.1,9.6,11.1,12.6,11.1,9.6,11.1,11.1,11.1,9.6,12.6,11.1,1,1,1,1,1,,,,0.4615
