Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsCatchableLabel,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,YardsAirTotal,DropsTotal,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,TargetedReadFirstTotal,AverageDepthOfTarget,DeepTargetTargetsTotal,PasserRatingWhenTargeted,AveragesPerTargetYardsOverExpected,AveragesPerTargetDropsTotal,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsGamesPlayed,AlignmentBackfieldRoutesPercentage,TargetsContestedTotal,TargetsInEndzone,playerStatsInside20ReceivingTargetsTotal,AlignmentInlineRoutesPercentage,TargetedReadDesignTotal,TargetedReadDesignPercentage
Kameron Johnson,TB,WR,10,No,No,No,9,2,No,No,1,0.5,0.2222,32,1,0.3333,0.6667,2,16,1,39.6,-9.712,0.5,4.582,4.582,0.2222,17,,,,,,,
Corey Kiner,ARZ,RB,3,No,No,Yes,3,1,No,No,1,1,0.3333,2,1,,,,2,,39.6,-6.3947,1,1.4847,1.4847,0.5,4,1,,,,,,
Dyami Brown,JAX,WR,63,No,Yes,No,57,16,No,No,9,0.5625,0.2807,326,7,0.2807,0.7193,12,20.375,6,39.6,-10.7091,0.4375,39.9898,39.9898,0.2963,14,,3,2,4,,,
Luther Burden,CHI,WR,86,Yes,Yes,Yes,82,13,No,No,7,0.5385,0.1585,129,6,0.439,0.5488,9,9.9231,1,39.6,-8.0962,0.4615,21.2215,21.2215,0.2203,15,0.0122,1,,1,,,
Garrett Wilson,NYJ,WR,57,No,No,No,54,17,No,Yes,8,0.4706,0.3148,203,3,0.3889,0.6111,14,11.9412,3,39.6,-8.2538,0.1765,32.0919,32.0919,0.4048,7,,5,,2,,,
Blake Whiteheart,CLV,TE,44,No,No,Yes,31,4,No,No,2,0.5,0.129,42,,0.2903,0.1613,1,10.5,1,39.6,-7.7001,,6.8195,6.8195,0.1111,16,,2,,,0.5484,,
Chris Manhertz,NYG,TE,16,No,No,Yes,5,1,No,No,,,0.2,11,,,,1,11,,39.6,-8.7402,,1.75,1.75,0.0833,17,,,,1,1,,
Cameron Latu,PHI,TE,9,No,Yes,No,3,,No,No,,,,,,0.3333,,,,,,,,,,,15,0.6667,,,,,,
Mason Taylor,NYJ,TE,122,No,No,Yes,106,18,No,Yes,8,0.4444,0.1698,135,7,0.4057,0.2547,14,7.5,1,39.6,-7.5688,0.3889,31.9462,31.9462,0.2,13,0.0094,3,1,1,0.3302,2,0.1111
Emanuel Wilson,GB,RB,47,Yes,Yes,Yes,36,2,No,No,1,0.5,0.0556,2,1,,0.1111,1,1,,39.6,-6.6176,0.5,10.1652,10.1652,0.0588,17,0.8333,,,1,0.0556,1,0.5
