Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsContestedLabel,TargetsCatchableLabel,AlignmentInlineRoutesPercentage,playerStatsGamesPlayed,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,AlignmentBackfieldRoutesPercentage
Harrison Bryant,HST,TE,3,Yes,Yes,No,2,No,No,1,12,,,
Tylan Wallace,BLT,WR,8,No,Yes,No,8,No,No,,14,0.375,0.625,
Jonnu Smith,PIT,TE,15,No,Yes,No,14,No,No,0.3571,17,0.4286,0.1429,0.0714
Elijah Higgins,ARZ,TE,19,No,Yes,No,19,No,No,0.3684,17,0.4211,0.1579,0.0526
Adam Thielen,PIT,WR,20,No,Yes,No,20,No,No,,16,0.55,0.45,
Josiah Deguara,ARZ,TE,7,No,Yes,No,6,No,No,0.1667,12,0.3333,0.5,
David Moore,CAR,WR,1,Yes,Yes,No,1,No,No,,4,,1,
Amon-Ra St. Brown,DET,WR,34,Yes,Yes,No,34,No,No,,17,0.5588,0.4412,
Isaiah Williams,NYJ,WR,23,No,Yes,No,23,No,No,,15,0.8261,0.1739,
Chris Moore,WAS,WR,13,No,Yes,No,12,No,No,,14,0.1667,0.8333,
Tutu Atwell,LA,WR,9,No,Yes,No,9,No,No,,10,0.6667,0.3333,
Josh Palmer,BUF,WR,13,No,Yes,No,13,No,No,,12,0.1538,0.8462,
Mason Kinsey,TEN,WR,3,No,Yes,No,3,No,No,,10,0.6667,0.3333,
Omarion Hampton,LAC,RB,22,No,Yes,Yes,16,No,No,,9,0.125,,0.875
Charlie Woerner,ATL,TE,7,Yes,Yes,No,5,No,No,0.6,17,0.2,,0.2
Jeff Wilson,MIA,RB,1,No,Yes,No,1,No,No,,2,1,,
Kameron Johnson,TB,WR,2,Yes,Yes,Yes,2,No,No,,17,0.5,0.5,
Corey Kiner,ARZ,RB,2,No,Yes,No,1,No,No,,4,,,1
Dyami Brown,JAX,WR,18,No,Yes,No,18,No,No,,14,0.4444,0.5556,
Luther Burden,CHI,WR,11,Yes,Yes,No,11,No,No,,15,0.5455,0.4545,
Garrett Wilson,NYJ,WR,26,Yes,No,No,26,No,No,,7,0.4231,0.5769,
Blake Whiteheart,CLV,TE,10,No,Yes,No,6,No,No,0.6667,16,0.1667,0.1667,
Chris Manhertz,NYG,TE,5,Yes,Yes,No,3,No,No,1,17,,,
Mason Taylor,NYJ,TE,40,No,Yes,Yes,33,No,No,0.3333,13,0.4545,0.1818,0.0303
Emanuel Wilson,GB,RB,9,No,Yes,Yes,6,No,No,,17,0.1667,,0.8333
Quentin Johnston,LAC,WR,45,No,Yes,Yes,45,No,No,,14,0.1778,0.8222,
Xavier Worthy,KC,WR,25,No,Yes,No,25,No,No,,14,0.44,0.56,
Elijah Moore,BUF,WR,17,No,Yes,No,17,No,No,,9,0.2941,0.7059,
Malachi Corley,CLV,WR,6,No,Yes,No,6,No,No,,13,0.3333,0.5,0.1667
Rachaad White,TB,RB,30,Yes,Yes,Yes,24,No,No,,17,0.125,0.0417,0.8333
AJ Barner,SEA,TE,26,Yes,Yes,Yes,17,No,No,0.8824,17,0.1176,,
Zach Charbonnet,SEA,RB,12,Yes,Yes,Yes,8,No,No,,16,,,1
Chuba Hubbard,CAR,RB,14,Yes,Yes,Yes,10,No,No,,15,0.1,0.3,0.6
Derrick Henry,BLT,RB,14,No,Yes,No,5,No,No,,17,,,1
Robert Tonyan,KC,TE,4,Yes,Yes,Yes,4,No,No,0.75,16,0.25,,
Kareem Hunt,KC,RB,24,Yes,Yes,Yes,18,No,No,,17,0.1111,,0.8889
Ty Johnson,BUF,RB,26,No,Yes,No,24,No,No,0.0833,17,0.0833,0.1667,0.6667
Van Jefferson,TEN,WR,32,No,Yes,Yes,32,No,No,,16,0.0938,0.9062,
Andre Baccellia,ARZ,WR,4,No,Yes,No,4,No,No,,5,0.75,0.25,
Elic Ayomanor,TEN,WR,42,No,Yes,No,42,No,No,,16,0.1667,0.8333,
LeQuint Allen,JAX,RB,20,No,Yes,No,10,No,No,,17,0.3,,0.7
Colston Loveland,CHI,TE,14,Yes,Yes,No,14,No,No,0.5714,16,0.2143,0.2143,
Bijan Robinson,ATL,RB,23,Yes,Yes,No,16,No,No,,17,0.1875,0.1875,0.625
Jaleel McLaughlin,DEN,RB,2,No,Yes,No,1,No,No,,8,,1,
Calvin Austin,PIT,WR,22,No,Yes,No,22,No,No,,14,0.4545,0.5455,
Ronnie Bell,NO,WR,2,Yes,Yes,No,2,No,No,,2,0.5,0.5,
Isiah Pacheco,KC,RB,15,No,Yes,No,10,No,No,,13,0.1,,0.9
Pat Freiermuth,PIT,TE,17,No,Yes,No,17,No,No,0.2353,17,0.5294,0.2353,
Darren Waller,MIA,TE,13,No,Yes,No,13,No,No,0.0769,9,0.6154,0.3077,
Stefon Diggs,NE,WR,28,No,Yes,No,27,No,No,,17,0.4815,0.5185,
Kyle Monangai,CHI,RB,10,Yes,Yes,No,9,No,No,0.2222,17,,,0.7778
Ashton Jeanty,LV,RB,45,Yes,Yes,Yes,34,No,No,,17,0.0882,0.0294,0.8824
Ben Sinnott,WAS,TE,8,No,Yes,No,8,No,No,0.5,16,0.375,0.125,
Zay Jones,ARZ,WR,18,No,Yes,No,17,No,No,,8,0.4118,0.5882,
Jaylin Noel,HST,WR,11,Yes,Yes,No,11,No,No,,17,0.7273,0.1818,0.0909
Andrei Iosivas,CIN,WR,28,No,Yes,No,28,No,No,,17,0.5714,0.4286,
Hunter Renfrow,CAR,WR,7,Yes,No,Yes,7,No,No,,6,1,,
Isaac TeSlaa,DET,WR,19,Yes,Yes,No,19,No,No,,17,0.3158,0.6842,
Allen Lazard,NYJ,WR,10,Yes,Yes,Yes,10,No,No,,10,0.5,0.5,
Darnell Mooney,ATL,WR,23,Yes,Yes,No,23,No,No,,15,0.4783,0.5217,
Jeremy Ruckert,NYJ,TE,15,No,Yes,No,11,No,No,0.5455,17,0.2727,0.0909,0.0909
Kalif Raymond,DET,WR,11,Yes,Yes,No,11,No,No,,15,0.3636,0.6364,
Tanner Hudson,CIN,TE,7,No,Yes,No,7,No,No,0.1429,13,0.4286,0.4286,
Curtis Samuel,BUF,WR,6,No,Yes,No,6,No,No,,6,0.6667,0.3333,
Chase Brown,CIN,RB,19,No,Yes,No,15,No,No,,17,0.1333,0.0667,0.8
Najee Harris,LAC,RB,2,No,Yes,Yes,1,No,No,,3,,,1
Daniel Bellinger,NYG,TE,24,Yes,Yes,No,19,No,No,0.3158,16,0.3684,0.1579,0.1579
Drew Sample,CIN,TE,14,No,Yes,No,10,No,No,0.5,17,,0.2,0.3
Dylan Drummond,ATL,WR,5,Yes,Yes,No,5,No,No,,9,,1,
Devontez Walker,BLT,WR,9,No,Yes,No,9,No,No,,11,0.3333,0.6667,
Austin Ekeler,WAS,RB,4,Yes,Yes,No,3,No,No,,2,0.6667,,0.3333
Dawson Knox,BUF,TE,20,No,Yes,No,20,No,No,0.25,17,0.65,,0.1
Noah Brown,WAS,WR,5,No,Yes,Yes,5,No,No,,4,,1,
Emeka Egbuka,TB,WR,32,Yes,Yes,Yes,32,No,No,,17,0.375,0.625,
Malik Davis,DAL,RB,6,Yes,Yes,Yes,4,No,No,,10,,,1
Marcedes Lewis,DEN,TE,2,No,Yes,No,1,No,No,1,5,,,
Dontayvion Wicks,GB,WR,14,No,Yes,No,13,No,No,,14,0.3077,0.6923,
Trey McBride,ARZ,TE,56,No,Yes,No,54,No,No,0.1852,17,0.6111,0.1852,0.0185
John Bates,WAS,TE,15,No,Yes,No,10,No,No,0.9,15,0.1,,
Dont'e Thornton,LV,WR,29,Yes,Yes,Yes,29,No,No,,15,0.3448,0.6552,
Cam Skattebo,NYG,RB,13,No,Yes,Yes,11,No,No,,8,,0.0909,0.9091
Will Shipley,PHI,RB,7,No,Yes,No,6,No,No,,15,,,1
Kyren Williams,LA,RB,20,No,Yes,No,13,No,No,,17,,0.0769,0.9231
Payne Durham,TB,TE,5,Yes,Yes,Yes,4,No,No,0.75,17,0.25,,
Tucker Kraft,GB,TE,10,No,Yes,No,7,No,No,0.4286,8,0.2857,0.2857,
Jalen Coker,CAR,WR,20,Yes,Yes,Yes,20,No,No,,11,0.5,0.5,
Raheem Mostert,LV,RB,13,No,Yes,No,9,No,No,,12,,,1
Arian Smith,NYJ,WR,31,No,Yes,No,30,No,No,,16,0.3667,0.6333,
Marvin Mims,DEN,WR,8,No,Yes,No,8,No,No,,15,0.25,0.625,0.125
Dallas Goedert,PHI,TE,26,No,Yes,No,26,No,No,0.1923,15,0.5769,0.2308,
Cedric Tillman,CLV,WR,26,No,Yes,No,26,No,No,,13,0.3846,0.6154,
Calvin Ridley,TEN,WR,18,No,Yes,No,18,No,No,,7,0.2778,0.7222,
Harold Fannin,CLV,TE,31,No,Yes,No,28,No,No,0.1786,16,0.4643,0.3571,
Terry McLaurin,WAS,WR,16,No,Yes,No,16,No,No,,10,0.125,0.875,
Chris Godwin,TB,WR,17,Yes,Yes,Yes,16,No,No,,9,0.75,0.25,
Devin Neal,NO,RB,11,No,No,No,10,No,No,,9,,0.2,0.8
Oronde Gadsden,LAC,TE,36,No,Yes,No,32,No,No,0.3125,15,0.4688,0.1875,0.0312
TreVeyon Henderson,NE,RB,19,No,Yes,No,15,No,No,,17,,0.1333,0.8667
Jayden Reed,GB,WR,5,No,Yes,Yes,4,No,No,,7,0.75,0.25,
Kyle Pitts,ATL,TE,25,Yes,Yes,No,25,No,No,0.4,17,0.36,0.24,
Dante Pettis,NO,WR,7,Yes,Yes,No,7,No,No,,8,0.2857,0.7143,
Raheim Sanders,CLV,RB,2,No,Yes,No,1,No,No,,4,,,1
Tyler Warren,IND,TE,28,Yes,Yes,No,27,No,No,0.3704,17,0.4074,0.2222,
