"Player Details","","","","","","","","","","","","","","","Splits","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Receiving","","","","","","","","","","","","","","","","","","","","","","","Advanced","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FPTS","","","","","",""
"ID","Rank","Name","Team","POS","G","Season","Season Type","WEEK","First Name","Last Name","Location","Team Name","Team","Opponent","-","-","WEEK","Home/Away","-","Conference","Division","Team","-","DOWN","QTR","-","PERSONNEL","-","BLITZED","PAP","Pressured","?","PASS RESULT","THROW TYPE","-","SEPARATION","CATCHABLE","CONTESTED","ROUTE","Alignment (Position)","Alignment (Side)","-","SCHEME","POST MoF","PRE MoF","RTE","RTE %","aDOT","AY","AY Share","TGT","TGT/G","TGT %","TPRR","REC","CR %","YDS","RecYDS/G","TM YDS %","YPRR","YPT","YPR","YAC","YAC/REC","YACO","YACO/REC","TD","TM TD %","i20 TGT","EZTGT","EZTD","DP TGT","1READ","1READ %","MTF","MTF/REC","1D","1D/RR","DRP","DRP %","CTGT","CTGT %","DESIGN","DESIGN %","CT","CC","CC %","HERO","RATE","THREAT","YPTOE","WIDE RTE %","SLOT RTE %","INLINE RTE %","BACK RTE %","RTE","RYOE","FP/RR","FP/G","FP","XFP","XFP/G","XFP/RR","RecXFP"
"5DF4C70F57E6","1","Jaylen Waddle","MIA","WR","16","2025","1","17","Jaylen","Waddle","Miami","Dolphins","MIA","BUF, NE, NO, ATL, NYJ, BLT, PIT, CIN, IND, CAR, LAC, WAS, TB, CLV","2025","2025","2025299","Home","2025","NFC","NFC South","TB","2025","2","4","2025","22","2025","No","No","No","","","","2025","","No","No","","","","2025","","","","32","0.7804878048780488","17.642857142857142","247","0.6221662468513854","14","0.875","0.34146341463414637","0.4375","9","0.6428571428571429","192","12","0.4648910411622276","6","13.714285714285714","21.333333333333332","33","3.6666666666666665","9","1","2","0.3333333333333333","","1","1","4","13","0.40625","1","0.1111111111111111","8","0.25","2","0.14285714285714285","11","0.7857142857142857","","","2","1","0.5","","117.6","0.4117647058823529","3.8208419485714296","0.9375","0.0625","","","32","0","1.35","2.7","43.2","28.185436127","1.7615897579375","0.88079487896875","28.185436127"
"BB200428AA3F","2","Greg Dulcich","MIA","TE","10","2025","1","18","Greg","Dulcich","Miami","Dolphins","MIA","PIT, TB, BUF, NO, WAS, BLT, NYJ, CIN, NE, ATL","2025","2025","2025319","Away","2025","AFC","AFC East","NE","2025","2","4","2025","22","2025","No","No","No","","","","2025","","No","No","","","","2025","","","","24","0.75","4.166666666666667","25","0.09652509652509653","6","0.6","0.1875","0.25","5","0.8333333333333334","92","9.2","0.2893081761006289","3.8333333333333335","15.333333333333334","18.4","72","14.4","13","2.6","","","1","","","","5","0.2","","","4","0.16666666666666666","","","5","0.8333333333333334","1","0.16666666666666666","1","1","1","","118.8","0.2608695652173913","8.258406460166666","0.08333333333333333","0.16666666666666666","0.75","","24","0","0.5916666666666667","1.4200000000000002","14.200000000000001","9.135283077","0.9135283077","0.380636794875","9.135283077"
"527A578B61FA","3","Hunter Henry","NE","TE","17","2025","1","18","Hunter","Henry","New England","Patriots","NE","PIT, TB, BUF, NO, MIA, TEN, CAR, LV, CLV, NYJ, BLT, CIN, NYG, ATL","2025","2025","2025319","Home","2025","AFC","AFC East","MIA","2025","2","4","2025","22","2025","No","No","No","","","","2025","","No","No","","","","2025","","","","15","0.7894736842105263","18","54","0.4153846153846154","3","0.17647058823529413","0.16666666666666666","0.2","3","1","75","4.411764705882353","0.4807692307692308","5","25","25","21","7","5","1.6666666666666667","","","","","","2","","","","","3","0.2","","","3","1","","","","","0","","118.8","0.21428571428571427","14.189592541000001","0.2","0.3333333333333333","0.4666666666666667","","15","0","0.7","0.6176470588235294","10.5","9.085562249","0.5344448381764706","0.6057041499333333","9.085562249"
"AE5656365044","4","Christian McCaffrey","SF","RB","17","2025","1","18","Christian","McCaffrey","San Francisco","49ers","SF","CLV, ATL, TEN, NYG, IND, CHI, HST, ARZ, LA, SEA, JAX, NO, CAR, TB","2025","2025","2025307","Home","2025","NFC","NFC West","SEA","2025","1","4","2025","22","2025","No","No","No","","","","2025","","No","No","","","","2025","","","","19","0.59375","3.857142857142857","27","0.20454545454545456","7","0.4117647058823529","0.25925925925925924","0.3684210526315789","6","0.8571428571428571","73","4.294117647058823","0.4269005847953216","3.8421052631578947","10.428571428571429","12.166666666666666","54","9","16","2.6666666666666665","","","3","","","","3","0.23076923076923078","","","2","0.10526315789473684","1","0.14285714285714285","7","1","1","0.14285714285714285","","","0","","70.5","0.3684210526315789","3.513298389428571","0.05263157894736842","","","0.9473684210526315","19","0","1.8789473684210527","2.1","35.7","30.867809354000002","1.8157534914117648","0.6118650691578947","11.625436314"
"812F9867D8AE","5","Oronde Gadsden","LAC","TE","15","2025","1","18","Oronde","Gadsden","Los Angeles","Chargers","LAC","PHI, PIT, NYG, MIN, DAL, LV, KC, WAS, TEN, HST, MIA, DEN, IND, JAX","2025","2025","2025316","Away","2025","AFC","AFC West","DEN","2025","1","4","2025","22","2025","No","No","No","","","","2025","","No","No","","","","2025","","","","17","0.8947368421052632","18","72","0.4864864864864865","4","0.26666666666666666","0.2857142857142857","0.23529411764705882","3","0.75","68","4.533333333333333","0.53125","4","17","22.666666666666668","20","6.666666666666667","3","1","","","","","","2","3","0.5","","","3","0.17647058823529413","","","3","0.75","","","","","0","","116.7","0.3076923076923077","6.317258871","","","0.9411764705882353","0.058823529411764705","17","0","0.5764705882352942","0.6533333333333334","9.8","10.919621405","0.7279747603333333","0.6423306708823528","10.919621405"
"F1DF94BB4217","6","Darren Waller","MIA","TE","9","2025","1","17","Darren","Waller","Miami","Dolphins","MIA","TB, PIT, CIN, NYJ, LAC, CAR, CLV, NO","2025","2025","2025299","Home","2025","NFC","NFC South","TB","2025","2","4","2025","22","2025","No","No","No","","","","2025","","No","No","","","","2025","","","","24","0.75","13","91","0.28888888888888886","7","0.7777777777777778","0.21875","0.2916666666666667","5","0.7142857142857143","51","5.666666666666667","0.16139240506329114","2.125","7.285714285714286","10.2","3","0.6","","","3","0.6","3","3","3","","6","0.25","","","5","0.20833333333333334","","","6","0.8571428571428571","","","3","2","0.6666666666666666","1","131.5","0.2916666666666667","-2.0360402057142863","0.6666666666666666","0.08333333333333333","0.25","","24","0","1.1708333333333334","3.1222222222222222","28.1","14.080088724","1.5644543026666666","0.5866703635","14.080088724"
"ECD6B100A3B2","7","Dawson Knox","BUF","TE","17","2025","1","18","Dawson","Knox","Buffalo","Bills","BUF","BLT, NYJ, KC, NE, HST, ATL, PIT, CIN, TB, PHI, NO, CLV, MIA, CAR","2025","2025","2025314","Home","2025","AFC","AFC East","NYJ","2025","3","4","2025","22","2025","No","No","No","","","","2025","","No","No","","","","2025","","","","18","0.6206896551724138","17.5","70","0.29914529914529914","4","0.23529411764705882","0.16666666666666666","0.2222222222222222","2","0.5","47","2.764705882352941","0.2","2.611111111111111","11.75","23.5","9","4.5","4","2","1","0.5","2","2","1","1","3","0.16666666666666666","","","2","0.1111111111111111","1","0.25","3","0.75","","","1","","0","","132.3","0.2857142857142857","0.05829641000000052","0.2222222222222222","","0.7777777777777778","","18","0","0.7055555555555555","0.7470588235294118","12.7","10.241532467","0.6024430862941177","0.5689740259444445","10.241532467"
"478E7C6CED1A","8","Josh Palmer","BUF","WR","12","2025","1","18","Josh","Palmer","Buffalo","Bills","BUF","BLT, NYJ, HST, ATL, NE, NO, CLV, TB, PHI, MIA","2025","2025","2025314","Home","2025","AFC","AFC East","NYJ","2025","3","4","2025","22","2025","No","No","No","","","","2025","","No","No","","","","2025","","","","4","0.23529411764705882","40","40","0.24390243902439024","1","0.08333333333333333","0.06666666666666667","0.25","1","1","45","3.75","0.2922077922077922","11.25","45","45","5","5","5","5","","","","","","1","1","0.09090909090909091","","","1","0.25","","","1","1","","","","","0","","118.8","0.3333333333333333","30","1","","","","4","0","1.375","0.4583333333333333","5.5","1.445833333","0.12048611108333333","0.36145833325","1.445833333"
"2025702FFAFB","9","Jaxon Smith-Njigba","SEA","WR","17","2025","1","18","Jaxon","Smith-Njigba","Seattle","Seahawks","SEA","NO, CAR, TB, ARZ, WAS, JAX, SF, LA, TEN, HST, IND, PIT, ATL, MIN","2025","2025","2025307","Away","2025","NFC","NFC West","SF","2025","1","4","2025","22","2025","No","No","No","","","","2025","","No","No","","Wide","Right","2025","","","","6","0.42857142857142855","12","60","0.7792207792207793","5","0.29411764705882354","0.38461538461538464","0.8333333333333334","3","0.6","45","2.6470588235294117","0.4411764705882353","7.5","9","15","18","6","3","1","","","","","","1","3","0.5","","","3","0.5","","","3","0.6","","","1","1","1","","89.6","0.8333333333333334","0.2614947994000005","1","","","","6","0","1.25","0.4411764705882353","7.5","7.862149407","0.46247937688235297","1.3103582345","7.862149407"
"DCBFADDC6B3C","10","Drake London","ATL","WR","12","2025","1","18","Drake","London","Atlanta","Falcons","ATL","MIN, BUF, NO, TB, WAS, ARZ, SF, CAR, IND, LA, NE","2025","2025","2025308","Home","2025","NFC","NFC South","NO","2025","","","2025","","2025","No","No","No","","","","2025","","No","No","","","","2025","","","","2","1","13.5","27","1","2","0.16666666666666666","1","1","2","1","43","3.5833333333333335","1","21.5","21.5","21.5","16","8","1","0.5","","","","","","1","1","1","","","2","1","","","2","1","","","","","0","","118.8","1","12.356548191","0.5","0.5","","","2","0","3.15","0.525","6.3","4.102282769","0.3418568974166667","2.0511413845","4.102282769"
