gameGameId,gameSeason,gameSeasonTypeSeasonTypeId,gameWeek,playerPlayerId,playerFirstName,playerLastName,playerPosition,teamAbbreviation,teamLocation,teamNickname,opponentAbbreviation,opponentConference,opponentDivisionName,teamsPlayedFor,opponentsPlayed,playerStatsSnapsOffenseTotal,playerStatsPassingPlayActionLabel,playerStatsPassingPressuredLabel,playerStatsPassingBlitzedLabel,playerStatsReceivingRoutesTotal,playerStatsReceivingTargetsContestedLabel,playerStatsReceivingTargetsCatchableLabel,playerStatsReceivingAlignmentSlotRoutesPercentage,playerStatsGamesPlayed,marketShareReceivingRoutesTotal,playPlayerAlignmentFamily,playPlayerAlignmentSide,playStartClockQuarter,playDownNumber,playPassDropbackTypeName,playPassPassResultName,playPassTargetedRouteFamily,playPassThrowTypeParent,playPassReceiverSeparationName,playOffensePersonnelKey,playDefenseMiddleOfTheFieldLookPreName,playDefenseMiddleOfTheFieldLookPostName,playDefenseCoverageSchemeParent,playerStatsReceivingTargetsTotal,playerStatsReceivingTargetsPerRoute,playerStatsReceivingYardsAirTotal,playerStatsReceivingAlignmentWideRoutesPercentage,playerStatsReceivingTargetedReadFirstTotal,playerStatsReceivingAverageDepthOfTarget,playerStatsReceivingDeepTargetTargetsTotal,playerStatsReceivingPasserRatingWhenTargeted,playerStatsReceivingAveragesPerTargetYardsOverExpected,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,marketShareReceivingTargetsTotal,marketShareReceivingYardsAir,marketShareReceivingTargetedReadFirst,teamIsHomeTeam,playerStatsReceivingTargetsContestedTotal,playerStatsReceivingTargetsCatchableTotal,playerStatsReceivingTargetsCatchablePercentage,playerStatsReceivingReceptionsTotal,playerStatsReceivingReceptionsContested,playerStatsReceivingReceptionsPercentage,playerStatsReceivingYardsTotal,playerStatsReceivingYardsAfterCatchTotal,playerStatsReceivingYardsAfterContactTotal,playerStatsReceivingAlignmentInlineRoutesPercentage,playerStatsReceivingAveragesPerRouteYardsTotal,playerStatsReceivingAveragesPerTargetYardsTotal,playerStatsReceivingAveragesPerReceptionYardsTotal,playerStatsReceivingAveragesPerReceptionYardsAfterCatch,playerStatsReceivingAveragesPerReceptionYardsAfterContact,playerStatsFirstDownsReceiving,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,marketShareReceivingYardsTotal,playerStatsReceivingMissedTacklesForcedTotal,playerStatsReceivingMissedTacklesForcedPerReception,playerStatsInside20ReceivingTargetsTotal,playerStatsReceivingAlignmentBackfieldRoutesPercentage,playerStatsReceivingDropsTotal,playerStatsReceivingAveragesPerTargetDropsTotal,playerStatsReceivingTargetedReadDesignTotal,playerStatsReceivingTargetedReadDesignPercentage,playerStatsReceivingTargetsInEndzone,playerStatsReceivingTouchdownsTotal,marketShareReceivingTouchdownsTotal,playerStatsReceivingTouchdownsInEndzone
2025317,2025,1,18,DC2CB385C03A,Michael,Wilson,WR,ARZ,Arizona,Cardinals,LA,NFC,NFC West,"[{""teamId"": 1, ""key"": ""ARZ"", ""abbreviation"": ""ARZ"", ""location"": ""Arizona"", ""nickname"": ""Cardinals""}]","[{""teamId"": 29, ""key"": ""SF"", ""abbreviation"": ""SF"", ""location"": ""San Francisco"", ""nickname"": ""49ers""}, {""teamId"": 28, ""key"": ""SEA"", ""abbreviation"": ""SEA"", ""location"": ""Seattle"", ""nickname"": ""Seahawks""}, {""teamId"": 5, ""key"": ""CAR"", ""abbreviation"": ""CAR"", ""location"": ""Carolina"", ""nickname"": ""Panthers""}, {""teamId"": 15, ""key"": ""JAX"", ""abbreviation"": ""JAX"", ""location"": ""Jacksonville"", ""nickname"": ""Jaguars""}, {""teamId"": 23, ""key"": ""NO"", ""abbreviation"": ""NO"", ""location"": ""New Orleans"", ""nickname"": ""Saints""}, {""teamId"": 17, ""key"": ""LA"", ""abbreviation"": ""LA"", ""location"": ""Los Angeles"", ""nickname"": ""Rams""}, {""teamId"": 13, ""key"": ""HST"", ""abbreviation"": ""HST"", ""location"": ""Houston"", ""nickname"": ""Texans""}, {""teamId"": 14, ""key"": ""IND"", ""abbreviation"": ""IND"", ""location"": ""Indianapolis"", ""nickname"": ""Colts""}, {""teamId"": 31, ""key"": ""TEN"", ""abbreviation"": ""TEN"", ""location"": ""Tennessee"", ""nickname"": ""Titans""}, {""teamId"": 12, ""key"": ""GB"", ""abbreviation"": ""GB"", ""location"": ""Green Bay"", ""nickname"": ""Packers""}, {""teamId"": 9, ""key"": ""DAL"", ""abbreviation"": ""DAL"", ""location"": ""Dallas"", ""nickname"": ""Cowboys""}, {""teamId"": 2, ""key"": ""ATL"", ""abbreviation"": ""ATL"", ""location"": ""Atlanta"", ""nickname"": ""Falcons""}, {""teamId"": 7, ""key"": ""CIN"", ""abbreviation"": ""CIN"", ""location"": ""Cincinnati"", ""nickname"": ""Bengals""}, {""teamId"": 30, ""key"": ""TB"", ""abbreviation"": ""TB"", ""location"": ""Tampa Bay"", ""nickname"": ""Buccaneers""}]",2,No,No,No,1,No,No,1,17,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025231,2025,1,13,75A9DA5F1D77,Rome,Odunze,WR,CHI,Chicago,Bears,PHI,NFC,NFC East,"[{""teamId"": 6, ""key"": ""CHI"", ""abbreviation"": ""CHI"", ""location"": ""Chicago"", ""nickname"": ""Bears""}]","[{""teamId"": 27, ""key"": ""PIT"", ""abbreviation"": ""PIT"", ""location"": ""Pittsburgh"", ""nickname"": ""Steelers""}, {""teamId"": 9, ""key"": ""DAL"", ""abbreviation"": ""DAL"", ""location"": ""Dallas"", ""nickname"": ""Cowboys""}, {""teamId"": 24, ""key"": ""NYG"", ""abbreviation"": ""NYG"", ""location"": ""New York"", ""nickname"": ""Giants""}, {""teamId"": 19, ""key"": ""LV"", ""abbreviation"": ""LV"", ""location"": ""Las Vegas"", ""nickname"": ""Raiders""}, {""teamId"": 11, ""key"": ""DET"", ""abbreviation"": ""DET"", ""location"": ""Detroit"", ""nickname"": ""Lions""}, {""teamId"": 7, ""key"": ""CIN"", ""abbreviation"": ""CIN"", ""location"": ""Cincinnati"", ""nickname"": ""Bengals""}, {""teamId"": 23, ""key"": ""NO"", ""abbreviation"": ""NO"", ""location"": ""New Orleans"", ""nickname"": ""Saints""}, {""teamId"": 26, ""key"": ""PHI"", ""abbreviation"": ""PHI"", ""location"": ""Philadelphia"", ""nickname"": ""Eagles""}, {""teamId"": 21, ""key"": ""MIN"", ""abbreviation"": ""MIN"", ""location"": ""Minnesota"", ""nickname"": ""Vikings""}, {""teamId"": 3, ""key"": ""BLT"", ""abbreviation"": ""BLT"", ""location"": ""Baltimore"", ""nickname"": ""Ravens""}, {""teamId"": 32, ""key"": ""WAS"", ""abbreviation"": ""WAS"", ""location"": ""Washington"", ""nickname"": ""Commanders""}]",19,No,No,No,9,No,Yes,0.6666666666666666,12,0.6428571428571429,Slot,Right,2,1,Roll Right,Catch,Shallow Cross/Trick,Schemed,Open,01,Open,Closed,Cover 3,1,0.1111111111111111,39,0.3333333333333333,1,39,1,39.6,-14.89175258,2.577142857,2.577142857,0.07692307692307693,0.07142857142857142,0.8125,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025313,2025,1,18,0B223ABF16FC,Jalen,Tolbert,WR,DAL,Dallas,Cowboys,NYG,NFC,NFC East,"[{""teamId"": 9, ""key"": ""DAL"", ""abbreviation"": ""DAL"", ""location"": ""Dallas"", ""nickname"": ""Cowboys""}]","[{""teamId"": 5, ""key"": ""CAR"", ""abbreviation"": ""CAR"", ""location"": ""Carolina"", ""nickname"": ""Panthers""}, {""teamId"": 25, ""key"": ""NYJ"", ""abbreviation"": ""NYJ"", ""location"": ""New York"", ""nickname"": ""Jets""}, {""teamId"": 26, ""key"": ""PHI"", ""abbreviation"": ""PHI"", ""location"": ""Philadelphia"", ""nickname"": ""Eagles""}, {""teamId"": 12, ""key"": ""GB"", ""abbreviation"": ""GB"", ""location"": ""Green Bay"", ""nickname"": ""Packers""}, {""teamId"": 19, ""key"": ""LV"", ""abbreviation"": ""LV"", ""location"": ""Las Vegas"", ""nickname"": ""Raiders""}, {""teamId"": 24, ""key"": ""NYG"", ""abbreviation"": ""NYG"", ""location"": ""New York"", ""nickname"": ""Giants""}, {""teamId"": 1, ""key"": ""ARZ"", ""abbreviation"": ""ARZ"", ""location"": ""Arizona"", ""nickname"": ""Cardinals""}, {""teamId"": 16, ""key"": ""KC"", ""abbreviation"": ""KC"", ""location"": ""Kansas City"", ""nickname"": ""Chiefs""}, {""teamId"": 6, ""key"": ""CHI"", ""abbreviation"": ""CHI"", ""location"": ""Chicago"", ""nickname"": ""Bears""}, {""teamId"": 32, ""key"": ""WAS"", ""abbreviation"": ""WAS"", ""location"": ""Washington"", ""nickname"": ""Commanders""}, {""teamId"": 10, ""key"": ""DEN"", ""abbreviation"": ""DEN"", ""location"": ""Denver"", ""nickname"": ""Broncos""}]",6,No,No,No,3,No,No,0.3333333333333333,13,0.75,,,,,,,,,,,,,,,,,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025302,2025,1,17,26783B1E9410,Wan'Dale,Robinson,WR,NYG,New York,Giants,LV,AFC,AFC West,"[{""teamId"": 24, ""key"": ""NYG"", ""abbreviation"": ""NYG"", ""location"": ""New York"", ""nickname"": ""Giants""}]","[{""teamId"": 32, ""key"": ""WAS"", ""abbreviation"": ""WAS"", ""location"": ""Washington"", ""nickname"": ""Commanders""}, {""teamId"": 10, ""key"": ""DEN"", ""abbreviation"": ""DEN"", ""location"": ""Denver"", ""nickname"": ""Broncos""}, {""teamId"": 22, ""key"": ""NE"", ""abbreviation"": ""NE"", ""location"": ""New England"", ""nickname"": ""Patriots""}, {""teamId"": 21, ""key"": ""MIN"", ""abbreviation"": ""MIN"", ""location"": ""Minnesota"", ""nickname"": ""Vikings""}, {""teamId"": 9, ""key"": ""DAL"", ""abbreviation"": ""DAL"", ""location"": ""Dallas"", ""nickname"": ""Cowboys""}, {""teamId"": 26, ""key"": ""PHI"", ""abbreviation"": ""PHI"", ""location"": ""Philadelphia"", ""nickname"": ""Eagles""}, {""teamId"": 12, ""key"": ""GB"", ""abbreviation"": ""GB"", ""location"": ""Green Bay"", ""nickname"": ""Packers""}, {""teamId"": 6, ""key"": ""CHI"", ""abbreviation"": ""CHI"", ""location"": ""Chicago"", ""nickname"": ""Bears""}, {""teamId"": 11, ""key"": ""DET"", ""abbreviation"": ""DET"", ""location"": ""Detroit"", ""nickname"": ""Lions""}, {""teamId"": 19, ""key"": ""LV"", ""abbreviation"": ""LV"", ""location"": ""Las Vegas"", ""nickname"": ""Raiders""}, {""teamId"": 16, ""key"": ""KC"", ""abbreviation"": ""KC"", ""location"": ""Kansas City"", ""nickname"": ""Chiefs""}, {""teamId"": 23, ""key"": ""NO"", ""abbreviation"": ""NO"", ""location"": ""New Orleans"", ""nickname"": ""Saints""}, {""teamId"": 18, ""key"": ""LAC"", ""abbreviation"": ""LAC"", ""location"": ""Los Angeles"", ""nickname"": ""Chargers""}, {""teamId"": 29, ""key"": ""SF"", ""abbreviation"": ""SF"", ""location"": ""San Francisco"", ""nickname"": ""49ers""}]",3,No,No,No,2,No,No,0.5,16,1,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025311,2025,1,18,D4D9A6EB541E,Tim,Patrick,WR,JAX,Jacksonville,Jaguars,TEN,AFC,AFC South,"[{""teamId"": 15, ""key"": ""JAX"", ""abbreviation"": ""JAX"", ""location"": ""Jacksonville"", ""nickname"": ""Jaguars""}]","[{""teamId"": 29, ""key"": ""SF"", ""abbreviation"": ""SF"", ""location"": ""San Francisco"", ""nickname"": ""49ers""}, {""teamId"": 28, ""key"": ""SEA"", ""abbreviation"": ""SEA"", ""location"": ""Seattle"", ""nickname"": ""Seahawks""}, {""teamId"": 10, ""key"": ""DEN"", ""abbreviation"": ""DEN"", ""location"": ""Denver"", ""nickname"": ""Broncos""}, {""teamId"": 5, ""key"": ""CAR"", ""abbreviation"": ""CAR"", ""location"": ""Carolina"", ""nickname"": ""Panthers""}, {""teamId"": 17, ""key"": ""LA"", ""abbreviation"": ""LA"", ""location"": ""Los Angeles"", ""nickname"": ""Rams""}, {""teamId"": 16, ""key"": ""KC"", ""abbreviation"": ""KC"", ""location"": ""Kansas City"", ""nickname"": ""Chiefs""}, {""teamId"": 18, ""key"": ""LAC"", ""abbreviation"": ""LAC"", ""location"": ""Los Angeles"", ""nickname"": ""Chargers""}, {""teamId"": 7, ""key"": ""CIN"", ""abbreviation"": ""CIN"", ""location"": ""Cincinnati"", ""nickname"": ""Bengals""}, {""teamId"": 13, ""key"": ""HST"", ""abbreviation"": ""HST"", ""location"": ""Houston"", ""nickname"": ""Texans""}, {""teamId"": 31, ""key"": ""TEN"", ""abbreviation"": ""TEN"", ""location"": ""Tennessee"", ""nickname"": ""Titans""}, {""teamId"": 14, ""key"": ""IND"", ""abbreviation"": ""IND"", ""location"": ""Indianapolis"", ""nickname"": ""Colts""}, {""teamId"": 1, ""key"": ""ARZ"", ""abbreviation"": ""ARZ"", ""location"": ""Arizona"", ""nickname"": ""Cardinals""}, {""teamId"": 25, ""key"": ""NYJ"", ""abbreviation"": ""NYJ"", ""location"": ""New York"", ""nickname"": ""Jets""}]",2,No,No,No,1,No,No,,16,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025307,2025,1,18,CC59BA77B410,AJ,Barner,TE,SEA,Seattle,Seahawks,SF,NFC,NFC West,"[{""teamId"": 28, ""key"": ""SEA"", ""abbreviation"": ""SEA"", ""location"": ""Seattle"", ""nickname"": ""Seahawks""}]","[{""teamId"": 31, ""key"": ""TEN"", ""abbreviation"": ""TEN"", ""location"": ""Tennessee"", ""nickname"": ""Titans""}, {""teamId"": 13, ""key"": ""HST"", ""abbreviation"": ""HST"", ""location"": ""Houston"", ""nickname"": ""Texans""}, {""teamId"": 2, ""key"": ""ATL"", ""abbreviation"": ""ATL"", ""location"": ""Atlanta"", ""nickname"": ""Falcons""}, {""teamId"": 23, ""key"": ""NO"", ""abbreviation"": ""NO"", ""location"": ""New Orleans"", ""nickname"": ""Saints""}, {""teamId"": 15, ""key"": ""JAX"", ""abbreviation"": ""JAX"", ""location"": ""Jacksonville"", ""nickname"": ""Jaguars""}, {""teamId"": 29, ""key"": ""SF"", ""abbreviation"": ""SF"", ""location"": ""San Francisco"", ""nickname"": ""49ers""}, {""teamId"": 32, ""key"": ""WAS"", ""abbreviation"": ""WAS"", ""location"": ""Washington"", ""nickname"": ""Commanders""}, {""teamId"": 30, ""key"": ""TB"", ""abbreviation"": ""TB"", ""location"": ""Tampa Bay"", ""nickname"": ""Buccaneers""}, {""teamId"": 27, ""key"": ""PIT"", ""abbreviation"": ""PIT"", ""location"": ""Pittsburgh"", ""nickname"": ""Steelers""}, {""teamId"": 17, ""key"": ""LA"", ""abbreviation"": ""LA"", ""location"": ""Los Angeles"", ""nickname"": ""Rams""}, {""teamId"": 21, ""key"": ""MIN"", ""abbreviation"": ""MIN"", ""location"": ""Minnesota"", ""nickname"": ""Vikings""}, {""teamId"": 5, ""key"": ""CAR"", ""abbreviation"": ""CAR"", ""location"": ""Carolina"", ""nickname"": ""Panthers""}, {""teamId"": 1, ""key"": ""ARZ"", ""abbreviation"": ""ARZ"", ""location"": ""Arizona"", ""nickname"": ""Cardinals""}, {""teamId"": 14, ""key"": ""IND"", ""abbreviation"": ""IND"", ""location"": ""Indianapolis"", ""nickname"": ""Colts""}]",8,No,No,No,7,No,No,0.14285714285714285,17,0.875,,,,,,,,,,,,,,2,0.2857142857142857,8,,,4,,102.1,1.7684428714999996,3.077464962,3.077464962,0.2857142857142857,0.2857142857142857,0.14285714285714285,,,1,2,1,2,1,1,17,9,7,0.8571428571428571,2.4285714285714284,8.5,8.5,4.5,3.5,2,1.7000000000000002,3.7,2.7,3.7,4.7,3.7,2.7,3.7,3.7,3.7,2.7,4.7,3.7,0.4722222222222222,,,,,,,,,,,,
2025315,2025,1,18,F764FC40F5EB,Durham,Smythe,TE,CHI,Chicago,Bears,DET,NFC,NFC North,"[{""teamId"": 6, ""key"": ""CHI"", ""abbreviation"": ""CHI"", ""location"": ""Chicago"", ""nickname"": ""Bears""}]","[{""teamId"": 3, ""key"": ""BLT"", ""abbreviation"": ""BLT"", ""location"": ""Baltimore"", ""nickname"": ""Ravens""}, {""teamId"": 21, ""key"": ""MIN"", ""abbreviation"": ""MIN"", ""location"": ""Minnesota"", ""nickname"": ""Vikings""}, {""teamId"": 32, ""key"": ""WAS"", ""abbreviation"": ""WAS"", ""location"": ""Washington"", ""nickname"": ""Commanders""}, {""teamId"": 29, ""key"": ""SF"", ""abbreviation"": ""SF"", ""location"": ""San Francisco"", ""nickname"": ""49ers""}, {""teamId"": 11, ""key"": ""DET"", ""abbreviation"": ""DET"", ""location"": ""Detroit"", ""nickname"": ""Lions""}, {""teamId"": 7, ""key"": ""CIN"", ""abbreviation"": ""CIN"", ""location"": ""Cincinnati"", ""nickname"": ""Bengals""}, {""teamId"": 23, ""key"": ""NO"", ""abbreviation"": ""NO"", ""location"": ""New Orleans"", ""nickname"": ""Saints""}, {""teamId"": 9, ""key"": ""DAL"", ""abbreviation"": ""DAL"", ""location"": ""Dallas"", ""nickname"": ""Cowboys""}, {""teamId"": 24, ""key"": ""NYG"", ""abbreviation"": ""NYG"", ""location"": ""New York"", ""nickname"": ""Giants""}, {""teamId"": 12, ""key"": ""GB"", ""abbreviation"": ""GB"", ""location"": ""Green Bay"", ""nickname"": ""Packers""}, {""teamId"": 19, ""key"": ""LV"", ""abbreviation"": ""LV"", ""location"": ""Las Vegas"", ""nickname"": ""Raiders""}, {""teamId"": 26, ""key"": ""PHI"", ""abbreviation"": ""PHI"", ""location"": ""Philadelphia"", ""nickname"": ""Eagles""}, {""teamId"": 27, ""key"": ""PIT"", ""abbreviation"": ""PIT"", ""location"": ""Pittsburgh"", ""nickname"": ""Steelers""}, {""teamId"": 8, ""key"": ""CLV"", ""abbreviation"": ""CLV"", ""location"": ""Cleveland"", ""nickname"": ""Browns""}]",2,No,No,No,1,No,No,,17,0.07142857142857142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025316,2025,1,18,69774B1E8A2D,Pat,Bryant,WR,DEN,Denver,Broncos,LAC,AFC,AFC West,"[{""teamId"": 10, ""key"": ""DEN"", ""abbreviation"": ""DEN"", ""location"": ""Denver"", ""nickname"": ""Broncos""}]","[{""teamId"": 31, ""key"": ""TEN"", ""abbreviation"": ""TEN"", ""location"": ""Tennessee"", ""nickname"": ""Titans""}, {""teamId"": 7, ""key"": ""CIN"", ""abbreviation"": ""CIN"", ""location"": ""Cincinnati"", ""nickname"": ""Bengals""}, {""teamId"": 26, ""key"": ""PHI"", ""abbreviation"": ""PHI"", ""location"": ""Philadelphia"", ""nickname"": ""Eagles""}, {""teamId"": 9, ""key"": ""DAL"", ""abbreviation"": ""DAL"", ""location"": ""Dallas"", ""nickname"": ""Cowboys""}, {""teamId"": 13, ""key"": ""HST"", ""abbreviation"": ""HST"", ""location"": ""Houston"", ""nickname"": ""Texans""}, {""teamId"": 18, ""key"": ""LAC"", ""abbreviation"": ""LAC"", ""location"": ""Los Angeles"", ""nickname"": ""Chargers""}, {""teamId"": 19, ""key"": ""LV"", ""abbreviation"": ""LV"", ""location"": ""Las Vegas"", ""nickname"": ""Raiders""}, {""teamId"": 16, ""key"": ""KC"", ""abbreviation"": ""KC"", ""location"": ""Kansas City"", ""nickname"": ""Chiefs""}, {""teamId"": 32, ""key"": ""WAS"", ""abbreviation"": ""WAS"", ""location"": ""Washington"", ""nickname"": ""Commanders""}, {""teamId"": 15, ""key"": ""JAX"", ""abbreviation"": ""JAX"", ""location"": ""Jacksonville"", ""nickname"": ""Jaguars""}, {""teamId"": 25, ""key"": ""NYJ"", ""abbreviation"": ""NYJ"", ""location"": ""New York"", ""nickname"": ""Jets""}, {""teamId"": 24, ""key"": ""NYG"", ""abbreviation"": ""NYG"", ""location"": ""New York"", ""nickname"": ""Giants""}, {""teamId"": 14, ""key"": ""IND"", ""abbreviation"": ""IND"", ""location"": ""Indianapolis"", ""nickname"": ""Colts""}]",15,No,Yes,No,14,No,Yes,0.9285714285714286,15,0.8235294117647058,Slot,Left,3,2,Straight Drop,Catch,Hitch,Static,Open,01,Open,Open,Cover 2,2,0.14285714285714285,10,0.07142857142857142,1,5,,108.3,3.6371704520000003,2.8523637649999998,2.8523637649999998,0.18181818181818182,0.13333333333333333,0.12658227848101267,0.08333333333333333,True,,2,1,2,,1,20,10,5,,1.4285714285714286,10,10,5,2.5,1,2,4,3,4,4,4,3,4,4,4,3,4,4,0.14184397163120568,1,0.5,1,,,,,,,,,
2025307,2025,1,18,0C16D9CB2281,Dareke,Young,WR,SEA,Seattle,Seahawks,SF,NFC,NFC West,"[{""teamId"": 28, ""key"": ""SEA"", ""abbreviation"": ""SEA"", ""location"": ""Seattle"", ""nickname"": ""Seahawks""}]","[{""teamId"": 13, ""key"": ""HST"", ""abbreviation"": ""HST"", ""location"": ""Houston"", ""nickname"": ""Texans""}, {""teamId"": 23, ""key"": ""NO"", ""abbreviation"": ""NO"", ""location"": ""New Orleans"", ""nickname"": ""Saints""}, {""teamId"": 15, ""key"": ""JAX"", ""abbreviation"": ""JAX"", ""location"": ""Jacksonville"", ""nickname"": ""Jaguars""}, {""teamId"": 17, ""key"": ""LA"", ""abbreviation"": ""LA"", ""location"": ""Los Angeles"", ""nickname"": ""Rams""}, {""teamId"": 5, ""key"": ""CAR"", ""abbreviation"": ""CAR"", ""location"": ""Carolina"", ""nickname"": ""Panthers""}, {""teamId"": 27, ""key"": ""PIT"", ""abbreviation"": ""PIT"", ""location"": ""Pittsburgh"", ""nickname"": ""Steelers""}, {""teamId"": 30, ""key"": ""TB"", ""abbreviation"": ""TB"", ""location"": ""Tampa Bay"", ""nickname"": ""Buccaneers""}, {""teamId"": 29, ""key"": ""SF"", ""abbreviation"": ""SF"", ""location"": ""San Francisco"", ""nickname"": ""49ers""}, {""teamId"": 1, ""key"": ""ARZ"", ""abbreviation"": ""ARZ"", ""location"": ""Arizona"", ""nickname"": ""Cardinals""}]",1,No,No,No,1,No,No,,9,0.3333333333333333,,,,,,,,,,,,,,1,1,8,1,1,8,,39.6,-7.510626993,1.558677686,1.558677686,1,0.3333333333333333,0.38095238095238093,0.3333333333333333,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025309,2025,1,18,18D16C2142C4,Andrei,Iosivas,WR,CIN,Cincinnati,Bengals,CLV,AFC,AFC North,"[{""teamId"": 7, ""key"": ""CIN"", ""abbreviation"": ""CIN"", ""location"": ""Cincinnati"", ""nickname"": ""Bengals""}]","[{""teamId"": 11, ""key"": ""DET"", ""abbreviation"": ""DET"", ""location"": ""Detroit"", ""nickname"": ""Lions""}, {""teamId"": 6, ""key"": ""CHI"", ""abbreviation"": ""CHI"", ""location"": ""Chicago"", ""nickname"": ""Bears""}, {""teamId"": 4, ""key"": ""BUF"", ""abbreviation"": ""BUF"", ""location"": ""Buffalo"", ""nickname"": ""Bills""}, {""teamId"": 20, ""key"": ""MIA"", ""abbreviation"": ""MIA"", ""location"": ""Miami"", ""nickname"": ""Dolphins""}, {""teamId"": 15, ""key"": ""JAX"", ""abbreviation"": ""JAX"", ""location"": ""Jacksonville"", ""nickname"": ""Jaguars""}, {""teamId"": 21, ""key"": ""MIN"", ""abbreviation"": ""MIN"", ""location"": ""Minnesota"", ""nickname"": ""Vikings""}, {""teamId"": 10, ""key"": ""DEN"", ""abbreviation"": ""DEN"", ""location"": ""Denver"", ""nickname"": ""Broncos""}, {""teamId"": 3, ""key"": ""BLT"", ""abbreviation"": ""BLT"", ""location"": ""Baltimore"", ""nickname"": ""Ravens""}, {""teamId"": 22, ""key"": ""NE"", ""abbreviation"": ""NE"", ""location"": ""New England"", ""nickname"": ""Patriots""}, {""teamId"": 27, ""key"": ""PIT"", ""abbreviation"": ""PIT"", ""location"": ""Pittsburgh"", ""nickname"": ""Steelers""}, {""teamId"": 25, ""key"": ""NYJ"", ""abbreviation"": ""NYJ"", ""location"": ""New York"", ""nickname"": ""Jets""}, {""teamId"": 8, ""key"": ""CLV"", ""abbreviation"": ""CLV"", ""location"": ""Cleveland"", ""nickname"": ""Browns""}, {""teamId"": 1, ""key"": ""ARZ"", ""abbreviation"": ""ARZ"", ""location"": ""Arizona"", ""nickname"": ""Cardinals""}, {""teamId"": 12, ""key"": ""GB"", ""abbreviation"": ""GB"", ""location"": ""Green Bay"", ""nickname"": ""Packers""}]",4,No,No,No,4,No,No,0.5,17,1,,,4,1,,,,,,01,,,,1,0.25,19,0.5,1,19,,39.6,-11.93210587,1.782692308,1.782692308,0.3333333333333333,0.25,0.7037037037037037,0.3333333333333333,True,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
