Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsContestedTotal,TargetsCatchableLabel,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,YardsAirTotal,AlignmentInlineRoutesPercentage,AlignmentSlotRoutesPercentage,TargetedReadFirstTotal,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsFirstDownsReceiving,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,TargetsInEndzone,ReceptionsContested,TouchdownsTotal,TouchdownsInEndzone,DropsTotal,AveragesPerTargetDropsTotal,playerStatsInside20ReceivingTargetsTotal,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,AlignmentBackfieldRoutesPercentage,TargetedReadDesignTotal,TargetedReadDesignPercentage,AlignmentWideRoutesPercentage,DeepTargetTargetsTotal,ReceptionsHero
Drew Sample,CIN,TE,102,Yes,Yes,No,53,8,No,1,No,7,0.875,0.1509,6,0.75,23,33,11,-11,0.9623,0.0377,3,-1.375,77.1,0.434,2.875,-2.6136,3.8333,5.5,1.8333,1,11.7717,11.7717,0.0909,2.3,8.3,5.3,8.3,11.3,8.3,5.3,8.3,8.3,8.3,5.3,11.3,8.3,17,,,,,,,,,,,,,,,
Mo Alie-Cox,IND,TE,128,Yes,No,Yes,55,12,No,3,Yes,10,0.8333,0.2182,8,0.6667,57,44,16,56,0.9818,0.0182,6,4.6667,70.5,1.0364,4.75,-2.0045,7.125,5.5,2,2,20.6426,20.6426,0.1101,11.7,19.7,15.7,19.7,23.7,19.7,15.7,19.7,19.7,19.7,15.7,23.7,19.7,17,1,1,1,1,2,0.1667,6,,,,,,,,
Ollie Gordon,MIA,RB,49,Yes,No,Yes,18,2,No,,Yes,2,1,0.1111,2,1,5,18,6,-13,,0.0556,2,-6.5,79.2,0.2778,2.5,-2.5493,2.5,9,3,,3.87,3.87,0.0444,0.5,2.5,1.5,3.5,2.5,2.5,1.5,2.5,2.5,2.5,1.5,2.5,2.5,17,,,,,,,1,2,1,0.9444,2,1,,,
Bryce Oliver,TEN,WR,6,Yes,No,No,4,,No,,Yes,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,0.75,,
Tyrone Tracy,NYG,RB,82,Yes,No,No,51,12,No,,Yes,10,0.8333,0.2353,9,0.75,101,100,28,7,,,4,0.5833,99.7,1.9804,8.4167,2.2482,11.2222,11.1111,3.1111,5,19.3233,19.3233,0.1967,10.1,19.1,14.6,23.6,19.1,22.1,17.6,19.1,19.1,19.1,14.6,19.1,19.1,15,,,,,1,0.0833,1,1,0.1111,1,2,0.1667,,,
Michael Mayer,LV,TE,88,Yes,Yes,Yes,57,19,No,4,No,16,0.8421,0.3333,14,0.7368,136,98,33,67,0.8421,0.0702,16,3.5263,93.3,2.386,7.1579,0.4598,9.7143,7,2.3571,8,29.594,29.594,0.2375,13.6,27.6,20.6,27.6,34.6,30.6,23.6,27.6,27.6,27.6,20.6,34.6,27.6,13,,2,,,,,2,1,0.0714,0.0702,3,0.1579,0.0175,1,
Ben Yurosek,MIN,TE,21,Yes,Yes,Yes,7,,No,,No,,,,,,,,,,0.7143,0.1429,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,0.1429,,
Devin Culp,TB,TE,3,Yes,No,No,3,,No,,Yes,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,
Jelani Woods,NYJ,TE,11,Yes,No,No,7,1,No,1,Yes,1,1,0.1429,1,1,4,2,1,2,1,,,2,83.3,0.5714,4,-2.3701,4,2,1,,1.3047,1.3047,0.125,0.4,1.4,0.9,1.4,1.9,1.4,0.9,1.4,1.4,1.4,0.9,1.9,1.4,4,,1,,,,,,,,,,,,,
Marvin Harrison,ARZ,WR,101,Yes,No,No,90,16,No,4,Yes,13,0.8125,0.1778,10,0.625,200,19,5,323,,0.0556,12,20.1875,127.1,2.2222,12.5,1.4916,20,1.9,0.5,9,33.1612,33.1612,0.2254,26,36,31,36,36,39,34,36,36,36,31,36,36,12,2,3,1,1,2,0.125,1,,,,1,0.0625,0.9444,6,1
