Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsContestedTotal,TargetsCatchableLabel,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,YardsAirTotal,DropsTotal,AlignmentBackfieldRoutesPercentage,AlignmentInlineRoutesPercentage,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerTargetDropsTotal,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsFirstDownsReceiving,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,TargetedReadFirstTotal,TargetsInEndzone,ReceptionsContested,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,DeepTargetTargetsTotal,playerStatsInside20ReceivingTargetsTotal,ReceptionsHero,TouchdownsTotal,TouchdownsInEndzone,TargetedReadDesignTotal,TargetedReadDesignPercentage
Samaje Perine,CIN,RB,92,No,Yes,No,70,7,Yes,1,Yes,6,0.8571,0.1,5,0.7143,19,17,11,-3,1,0.8571,0.0714,0.0429,0.0286,-0.4286,74.1,0.2714,2.7143,-3.2762,0.1429,3.8,3.4,2.2,1,11.4025,11.4025,0.1273,1.9,6.9,4.4,9.4,6.9,6.9,4.4,6.9,6.9,6.9,4.4,6.9,6.9,15,,,,,,,,,,,,
Amar Johnson,LAC,RB,2,No,Yes,No,1,,No,,No,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
Efton Chism,NE,WR,12,No,Yes,Yes,10,1,No,,No,1,1,0.1,1,1,30,24,7,6,,,,0.3,0.7,6,118.8,3,30,23.0509,,30,24,7,1,5.0474,5.0474,0.125,3,4,3.5,4,4,4,3.5,4,4,4,3.5,4,4,8,1,,,,,,,,,,,
Ryan Flournoy,DAL,WR,98,No,Yes,No,97,13,No,4,No,10,0.7692,0.134,7,0.5385,135,51,35,189,2,,,0.3299,0.6701,14.5385,58.2,1.3918,10.3846,1.034,0.1538,19.2857,7.2857,5,6,28.1105,28.1105,0.197,13.5,20.5,17,20.5,20.5,23.5,20,20.5,20.5,20.5,17,20.5,20.5,15,6,2,1,1,0.1429,2,2,,,,,
Quentin Skinner,NYJ,WR,2,Yes,Yes,No,2,,No,,No,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
Mike Gesicki,CIN,TE,97,No,Yes,No,96,15,Yes,4,Yes,10,0.6667,0.1562,8,0.5333,104,10,4,200,,,0.0312,0.8542,0.1146,13.3333,58.1,1.0833,6.9333,-2.7342,,13,1.25,0.5,6,28.7696,28.7696,0.2542,16.4,24.4,20.4,24.4,28.4,27.4,23.4,24.4,24.4,24.4,20.4,28.4,24.4,13,9,1,2,,,3,1,1,1,1,,
Nikko Remigio,KC,WR,3,No,Yes,No,3,1,No,,No,1,1,0.3333,1,1,21,3,1,18,,,,0.3333,0.6667,18,118.8,7,21,10.1009,,21,3,1,1,1.8642,1.8642,1,2.1,3.1,2.6,3.1,3.1,3.1,2.6,3.1,3.1,3.1,2.6,3.1,3.1,14,,,,,,,,,,,,
Deebo Samuel,WAS,WR,164,No,Yes,No,163,16,No,3,No,11,0.6875,0.0982,9,0.5625,104,11,8,198,,0.0307,,0.6258,0.3436,12.375,89.6,0.638,6.5,-2.1932,,11.5556,1.2222,0.8889,6,36.3008,36.3008,0.2105,28.4,37.4,32.9,37.4,37.4,40.4,35.9,37.4,37.4,37.4,32.9,37.4,37.4,16,8,2,2,1,0.1111,3,3,,3,2,,
Devin Duvernay,CHI,WR,11,Yes,Yes,Yes,10,2,No,1,Yes,1,0.5,0.2,1,0.5,24,-2,-1,31,,,,0.3,0.7,15.5,93.8,2.4,12,2.3129,,24,-2,-1,1,5.8057,5.8057,0.2857,2.4,3.4,2.9,3.4,3.4,3.4,2.9,3.4,3.4,3.4,2.9,3.4,3.4,17,,,1,,,1,,,,,,
Clyde Edwards-Helaire,KC,RB,3,No,Yes,Yes,3,1,No,,Yes,1,1,0.3333,1,1,2,6,2,-4,,1,,,,-4,79.2,0.6667,2,-3.5699,,2,6,2,,2.3511,2.3511,0.3333,0.2,1.2,0.7,1.7,1.2,1.2,0.7,1.2,1.2,1.2,0.7,1.2,1.2,2,,,,,,,,,,,,
Jake Tonges,SF,TE,75,No,Yes,No,65,15,No,2,No,13,0.8667,0.2308,11,0.7333,74,27,11,87,,,0.6,0.2615,0.1385,5.8,123.3,1.1385,4.9333,-2.5024,,6.7273,2.4545,1,6,29.988,29.988,0.2778,19.4,30.4,24.9,30.4,35.9,30.4,24.9,30.4,30.4,30.4,24.9,35.9,30.4,16,6,3,1,1,0.0909,,5,,2,2,1,0.0667
Ben Skowronek,PIT,WR,12,No,Yes,Yes,12,3,Yes,,Yes,2,0.6667,0.25,2,0.6667,34,3,2,35,,,,0.6667,0.3333,11.6667,104.9,2.8333,11.3333,2.7122,,17,1.5,1,2,4.7687,4.7687,0.375,3.4,5.4,4.4,5.4,5.4,5.4,4.4,5.4,5.4,5.4,4.4,5.4,5.4,16,,,,,,,,,,,,
Beaux Collins,NYG,WR,27,No,Yes,No,27,3,No,,No,2,0.6667,0.1111,1,0.3333,18,5,,28,1,,,0.1852,0.8148,9.3333,54.9,0.6667,6,-1.8035,0.3333,18,5,,1,8.6813,8.6813,0.1875,1.8,2.8,2.3,2.8,2.8,2.8,2.3,2.8,2.8,2.8,2.3,2.8,2.8,9,2,1,,,,,1,,,,,
Roman Wilson,PIT,WR,43,No,Yes,Yes,42,3,No,1,No,3,1,0.0714,3,1,83,3,,88,,,,0.1905,0.8095,29.3333,158.3,1.9762,27.6667,15.3839,,27.6667,1,,3,5.3351,5.3351,0.1111,14.3,17.3,15.8,17.3,17.3,17.3,15.8,17.3,17.3,17.3,15.8,17.3,17.3,13,1,1,1,,,2,,,1,1,,
Trey Benson,ARZ,RB,28,No,Yes,Yes,25,5,No,,No,5,1,0.2,5,1,24,28,8,-4,,0.84,,,0.16,-0.8,86.7,0.96,4.8,-0.9545,,4.8,5.6,1.6,1,7.3686,7.3686,0.3846,2.4,7.4,4.9,9.9,7.4,7.4,4.9,7.4,7.4,7.4,4.9,7.4,7.4,4,1,,,1,0.2,,,,,,,
Julius Chestnut,TEN,RB,10,No,Yes,No,7,2,No,,No,,,0.2857,,,,,,18,,0.7143,,,0.2857,9,39.6,,,-7.1403,,,,,,2.9093,2.9093,0.3333,,,,,,,,,,,,,,17,1,,,,,,,,,,,
Wan'Dale Robinson,NYG,WR,234,No,Yes,Yes,233,30,No,8,No,18,0.6,0.1288,13,0.4333,271,63,35,519,1,0.0086,,0.6953,0.2961,17.3,101.5,1.1631,9.0333,-0.6674,0.0333,20.8462,4.8462,2.6923,10,59.5178,59.5178,0.2439,51.1,64.1,57.6,64.1,64.1,67.1,60.6,64.1,64.1,64.1,57.6,64.1,64.1,16,17,4,1,3,0.2308,10,5,,4,3,1,0.0333
Jeremy McNichols,WAS,RB,100,No,Yes,No,77,9,No,,No,6,0.6667,0.1169,6,0.6667,75,58,25,20,,0.7273,,0.2597,0.013,2.2222,52.8,0.974,8.3333,1.7854,,12.5,9.6667,4.1667,3,14.6831,14.6831,0.1915,7.5,13.5,10.5,16.5,13.5,13.5,10.5,13.5,13.5,13.5,10.5,13.5,13.5,17,1,,,1,0.1667,,,,,,,
Jerome Ford,CLV,RB,108,No,Yes,No,68,11,No,,Yes,10,0.9091,0.1618,9,0.8182,20,44,11,-18,1,0.75,0.1912,0.0147,0.0441,-1.6364,79.2,0.2941,1.8182,-4.0658,0.0909,2.2222,4.8889,1.2222,1,16.6669,16.6669,0.1746,2,11,6.5,15.5,11,11,6.5,11,11,11,6.5,11,11,13,1,,,,,,2,,,,,
George Pickens,DAL,WR,221,No,Yes,No,219,30,No,6,No,21,0.7,0.137,20,0.6667,316,93,27,348,1,,,0.1142,0.8858,11.6,96,1.4429,10.5333,2.0753,0.0333,15.8,4.65,1.35,15,56.0945,56.0945,0.1987,43.6,63.6,53.6,63.6,63.6,66.6,56.6,63.6,63.6,63.6,53.6,63.6,63.6,17,15,1,5,4,0.2,5,5,2,2,,,
Pharaoh Brown,ARZ,TE,13,No,Yes,No,10,1,No,,No,1,1,0.1,1,1,,2,,-2,,0.1,0.8,0.1,,-2,79.2,,,-4.8511,,,2,,,4.1063,4.1063,0.1667,,1,0.5,1,1.5,1,0.5,1,1,1,0.5,1.5,1,7,1,,,,,,1,,,,,
Chris Olave,NO,WR,225,No,Yes,No,222,42,No,6,Yes,23,0.5476,0.1892,18,0.4286,358,75,16,753,4,,,0.4685,0.5315,17.9286,71.3,1.6126,8.5238,-1.422,0.0952,19.8889,4.1667,0.8889,11,86.7905,86.7905,0.3043,41.8,59.8,50.8,59.8,59.8,62.8,53.8,59.8,59.8,59.8,50.8,59.8,59.8,16,29,5,2,2,0.1111,18,5,,1,1,1,0.0238
