Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsContestedLabel,TargetsCatchableLabel,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,playerStatsGamesPlayed,TargetsTotal,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,YardsAirTotal,TargetedReadFirstTotal,TargetedReadDesignTotal,TargetedReadDesignPercentage,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,AlignmentBackfieldRoutesPercentage,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,playerStatsInside20ReceivingTargetsTotal,playerStatsFirstDownsReceiving,DropsTotal,AveragesPerTargetDropsTotal,AlignmentInlineRoutesPercentage,TouchdownsTotal,TargetsContestedTotal,ReceptionsContested,TargetsInEndzone,TouchdownsInEndzone,DeepTargetTargetsTotal,ReceptionsHero
Xavier Weaver,ARZ,WR,11,Yes,No,No,2,No,Yes,0.5,0.5,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Garrett Wilson,NYJ,WR,7,No,Yes,Yes,4,No,Yes,0.5,0.5,7,2,2,1,0.5,2,1,9,17,3,-8,2,2,1,-4,85.4,2.25,4.5,0.0149,4.5,8.5,1.5,4.4189,4.4189,0.2857,0.9,2.9,1.9,2.9,2.9,2.9,1.9,2.9,2.9,2.9,1.9,2.9,2.9,,,,,,,,,,,,,,,
Corey Kiner,ARZ,RB,4,Yes,No,No,3,No,Yes,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
Jeff Wilson,MIA,RB,1,Yes,No,Yes,1,No,Yes,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
Kameron Johnson,TB,WR,8,No,No,Yes,4,No,Yes,,1,17,1,1,1,0.25,1,1,,1,,-1,1,1,1,-1,79.2,,,-6.1699,,1,,1.349,1.349,0.125,,1,0.5,1,1,1,0.5,1,1,1,0.5,1,1,,,,,,,,,,,,,,,
Dyami Brown,JAX,WR,27,No,No,No,12,No,Yes,0.25,0.75,14,4,4,1,0.3333,4,1,11,21,10,-10,4,4,1,-2.5,79.2,0.9167,2.75,-2.5237,2.75,5.25,2.5,6.6285,6.6285,0.1481,1.1,5.1,3.1,5.1,5.1,5.1,3.1,5.1,5.1,5.1,3.1,5.1,5.1,,1,0.25,2,,,,,,,,,,,
Luther Burden,CHI,WR,33,No,No,No,25,No,No,0.52,0.48,15,17,17,1,0.68,17,1,88,142,38,-54,17,17,1,-3.1765,88.2,3.52,5.1765,0.4737,5.1765,8.3529,2.2353,26.7069,26.7069,0.5152,8.8,25.8,17.3,25.8,25.8,25.8,17.3,25.8,25.8,25.8,17.3,25.8,25.8,,4,0.2353,3,4,,,,,,,,,,
Emanuel Wilson,GB,RB,11,No,No,Yes,4,No,Yes,0.25,,17,4,4,1,1,3,0.75,24,41,6,-22,4,4,1,-5.5,89.6,6,6,0.7352,8,13.6667,2,6.9912,6.9912,0.3636,2.4,5.4,3.9,6.9,5.4,5.4,3.9,5.4,5.4,5.4,3.9,5.4,5.4,0.75,,,,1,1,0.25,,,,,,,,
Mason Taylor,NYJ,TE,22,No,No,No,4,No,Yes,0.5,0.25,13,2,1,0.5,0.5,,,,,,-10,2,2,1,-5,39.6,,,-4.3733,,,,3.1022,3.1022,0.0909,,,,,,,,,,,,,,,,,,,1,0.5,0.25,,,,,,,
Quentin Johnston,LAC,WR,32,No,No,No,17,No,Yes,0.1176,0.8824,14,7,7,1,0.4118,7,1,47,58,30,-11,7,7,1,-1.5714,94.6,2.7647,6.7143,1.0262,6.7143,8.2857,4.2857,11.1007,11.1007,0.2188,4.7,11.7,8.2,11.7,11.7,11.7,8.2,11.7,11.7,11.7,8.2,11.7,11.7,,6,0.8571,,2,,,,,,,,,,
