Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsContestedTotal,TargetsCatchableLabel,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsInEndzone,TargetsPerRoute,ReceptionsTotal,ReceptionsContested,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,YardsAirTotal,AlignmentInlineRoutesPercentage,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,TargetedReadFirstTotal,AverageDepthOfTarget,DeepTargetTargetsTotal,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsFirstDownsReceiving,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsInside20ReceivingTargetsTotal,playerStatsGamesPlayed,AlignmentBackfieldRoutesPercentage,DropsTotal,AveragesPerTargetDropsTotal,TouchdownsTotal,ReceptionsHero,TouchdownsInEndzone,MissedTacklesForcedTotal,MissedTacklesForcedPerReception
Josh Palmer,BUF,WR,118,Yes,No,No,117,27,No,5,Yes,19,0.7037,2,0.2308,18,4,0.6667,241,75,18,299,0.0085,0.1795,0.812,27,11.0741,3,79.4,2.0598,8.9259,0.6235,13.3889,4.1667,1,9,52.1548,52.1548,0.2288,24.1,42.1,33.1,42.1,42.1,45.1,36.1,42.1,42.1,42.1,33.1,42.1,42.1,6,12,,,,,,,,
Antonio Gibson,NE,RB,10,No,No,No,8,,No,,Yes,,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0.75,,,,,,,
Mason Kinsey,TEN,WR,16,No,No,No,16,2,Yes,,Yes,2,1,,0.125,1,,0.5,14,3,,30,,0.5625,0.4375,2,15,,72.9,0.875,7,-3.1237,14,3,,1,2.9108,2.9108,0.125,1.4,2.4,1.9,2.4,2.4,2.4,1.9,2.4,2.4,2.4,1.9,2.4,2.4,,10,,1,0.5,,,,,
Omarion Hampton,LAC,RB,114,Yes,No,No,83,7,No,1,Yes,6,0.8571,,0.0843,5,,0.7143,58,63,17,-1,0.0241,0.0241,0.0723,7,-0.1429,,135.7,0.6988,8.2857,2.1701,11.6,12.6,3.4,3,11.6463,11.6463,0.0614,11.8,16.8,14.3,19.3,16.8,16.8,14.3,16.8,16.8,16.8,14.3,16.8,16.8,1,9,0.8795,,,1,,,,
Charlie Woerner,ATL,TE,112,No,Yes,No,69,3,No,1,Yes,3,1,,0.0435,3,1,1,14,7,4,7,0.4203,0.087,0.0725,3,2.3333,,86.1,0.2029,4.6667,-1.5097,4.6667,2.3333,1.3333,,4.8751,4.8751,0.0268,1.4,4.4,2.9,4.4,5.9,4.4,2.9,4.4,4.4,4.4,2.9,5.9,4.4,1,17,0.4203,,,,,,,
David Moore,CAR,WR,25,No,No,No,25,1,No,1,Yes,1,1,,0.04,1,1,1,5,,,5,,0.2,0.8,1,5,,87.5,0.2,5,-1.3628,5,,,,1.2445,1.2445,0.04,0.5,1.5,1,1.5,1.5,1.5,1,1.5,1.5,1.5,1,1.5,1.5,,4,,,,,,,,
CJ Dippre,NE,TE,2,Yes,No,Yes,2,,No,,Yes,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,
Amon-Ra St. Brown,DET,WR,310,Yes,Yes,Yes,307,137,No,14,Yes,111,0.8102,8,0.4463,95,8,0.6934,1134,411,121,1251,,0.57,0.4235,137,9.1314,9,98.6,3.6938,8.2774,0.507,11.9368,4.3263,1.2737,59,259.1741,259.1741,0.4419,161.4,256.4,208.9,256.4,256.4,259.4,211.9,256.4,256.4,256.4,208.9,256.4,256.4,26,17,0.0065,11,0.0803,8,1,4,9,0.0947
Isaiah Williams,NYJ,WR,110,Yes,No,No,108,16,No,1,Yes,13,0.8125,,0.1481,12,1,0.75,119,35,10,105,,0.6111,0.3889,16,6.5625,,95.6,1.1019,7.4375,0.3885,9.9167,2.9167,0.8333,7,25.3937,25.3937,0.1468,11.9,23.9,17.9,23.9,23.9,26.9,20.9,23.9,23.9,23.9,17.9,23.9,23.9,1,15,,1,0.0625,,,,,
Chris Moore,WAS,WR,107,No,No,No,105,17,No,6,No,12,0.7059,1,0.1619,9,2,0.5294,158,49,19,242,,0.219,0.781,17,14.2353,4,104.5,1.5048,9.2941,0.1984,17.5556,5.4444,2.1111,8,31.6753,31.6753,0.1589,21.8,30.8,26.3,30.8,30.8,33.8,29.3,30.8,30.8,30.8,26.3,30.8,30.8,,14,,2,0.1176,1,1,1,,
