Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsCatchableLabel,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,YardsAirTotal,AlignmentBackfieldRoutesPercentage,AlignmentSlotRoutesPercentage,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsFirstDownsReceiving,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,TargetsContestedTotal,TargetsInEndzone,ReceptionsContested,TouchdownsTotal,TouchdownsInEndzone,AlignmentWideRoutesPercentage,DeepTargetTargetsTotal,playerStatsInside20ReceivingTargetsTotal,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,AlignmentInlineRoutesPercentage,DropsTotal,AveragesPerTargetDropsTotal,ReceptionsHero
Keaton Mitchell,BLT,RB,8,Yes,No,No,8,3,No,Yes,3,1,0.375,3,1,23,30,2,-7,0.875,0.125,-2.3333,98.6,2.875,7.6667,1.7214,7.6667,10,0.6667,1,4.3024,4.3024,0.375,2.3,5.3,3.8,6.8,5.3,5.3,3.8,5.3,5.3,5.3,3.8,5.3,5.3,13,,,,,,,,,,,,,,
DJ Moore,CHI,WR,78,Yes,No,No,78,16,No,Yes,12,0.75,0.2051,11,0.6875,157,36,21,218,0.0128,0.2821,13.625,139.8,2.0128,9.8125,1.0349,14.2727,3.2727,1.9091,6,30.3176,30.3176,0.2051,27.7,38.7,33.2,38.7,38.7,41.7,36.2,38.7,38.7,38.7,33.2,38.7,38.7,17,4,4,4,2,2,0.7051,4,2,,,,,,
Bucky Irving,TB,RB,34,Yes,No,Yes,24,5,No,Yes,4,0.8,0.2083,4,0.8,39,47,4,4,0.9167,0.0417,0.8,99.2,1.625,7.8,1.5241,9.75,11.75,1,1,8.8167,8.8167,0.1471,3.9,7.9,5.9,9.9,7.9,7.9,5.9,7.9,7.9,7.9,5.9,7.9,7.9,10,,,,,,0.0417,,1,2,0.5,,,,
Josh Oliver,MIN,TE,22,Yes,Yes,Yes,12,4,No,No,4,1,0.3333,4,1,45,31,10,14,,0.0833,3.5,113.5,3.75,11.25,4.8886,11.25,7.75,2.5,2,5.8533,5.8533,0.1818,4.5,8.5,6.5,8.5,10.5,8.5,6.5,8.5,8.5,8.5,6.5,10.5,8.5,15,,,,,,,,1,,,0.9167,,,
Nick Chubb,HST,RB,21,No,Yes,No,12,,No,Yes,,,,,,,,,,0.9167,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,0.0833,,,,,,,,
Michael Carter,ARZ,RB,45,No,No,No,33,10,No,Yes,8,0.8,0.303,6,0.6,58,50,16,20,0.8788,0.0606,2,76.3,1.7576,5.8,-0.6152,9.6667,8.3333,2.6667,2,13.8321,13.8321,0.2222,5.8,11.8,8.8,14.8,11.8,11.8,8.8,11.8,11.8,11.8,8.8,11.8,11.8,13,,,,,,0.0606,,,3,0.5,,2,0.2,
Tyjae Spears,TEN,RB,25,No,Yes,No,23,1,No,No,1,1,0.0435,1,1,1,,,1,0.7826,0.2174,1,79.2,0.0435,1,-4.7294,1,,,,1.5479,1.5479,0.04,0.1,1.1,0.6,1.6,1.1,1.1,0.6,1.1,1.1,1.1,0.6,1.1,1.1,13,,,,,,,,,,,,,,
Isaiah Davis,NYJ,RB,35,No,No,No,27,4,No,Yes,3,0.75,0.1481,2,0.5,14,6,1,17,0.9259,0.0741,4.25,58.3,0.5185,3.5,-3.4093,7,3,0.5,,5.8833,5.8833,0.1143,1.4,3.4,2.4,4.4,3.4,3.4,2.4,3.4,3.4,3.4,2.4,3.4,3.4,16,,,,,,,,1,,,,1,0.25,
Colby Parkinson,LA,TE,56,No,No,No,49,15,No,Yes,14,0.9333,0.3061,13,0.8667,116,55,18,74,,0.1633,4.9333,138.5,2.3673,7.7333,1.0301,8.9231,4.2308,1.3846,7,27.5891,27.5891,0.2679,23.6,36.6,30.1,36.6,43.1,39.6,33.1,36.6,36.6,36.6,30.1,43.1,36.6,15,4,1,4,2,1,0.1224,,3,1,0.0769,0.7143,1,0.0667,
Isaiah Bond,CLV,WR,37,No,No,No,37,4,No,Yes,3,0.75,0.1081,,,,,,78,,0.4054,19.5,39.6,,,-9.8666,,,,,8.3137,8.3137,0.1081,,,,,,,,,,,,,,16,2,1,,,,0.5946,2,1,,,,,,
Rome Odunze,CHI,WR,54,No,No,No,54,12,Yes,Yes,6,0.5,0.2222,4,0.3333,50,7,3,148,,0.3704,12.3333,40.3,0.9259,4.1667,-4.7544,12.5,1.75,0.75,4,23.4431,23.4431,0.2222,11,15,13,15,15,15,13,15,15,15,13,15,15,12,4,2,1,1,1,0.6296,1,2,,,,1,0.0833,
Brenden Bates,CLV,TE,4,No,No,No,4,1,No,Yes,1,1,0.25,1,1,19,1,1,18,,,18,118.8,4.75,19,6.0268,19,1,1,1,2.3,2.3,0.25,1.9,2.9,2.4,2.9,3.4,2.9,2.4,2.9,2.9,2.9,2.4,3.4,2.9,9,,,,,,,,,,,1,,,
Jacory Croskey-Merritt,WAS,RB,24,No,Yes,No,17,4,No,Yes,3,0.75,0.2353,3,0.75,37,34,2,5,1,,1.25,103.1,2.1765,9.25,2.966,12.3333,11.3333,0.6667,2,6.0708,6.0708,0.1667,3.7,6.7,5.2,8.2,6.7,6.7,5.2,6.7,6.7,6.7,5.2,6.7,6.7,17,,,,,,,,,,,,,,
Josh Downs,IND,WR,30,Yes,Yes,Yes,30,6,Yes,Yes,4,0.6667,0.2,4,0.6667,26,10,5,22,0.0333,0.8333,3.6667,36.1,0.8667,4.3333,-1.6422,6.5,2.5,1.25,3,8.2718,8.2718,0.2,2.6,6.6,4.6,6.6,6.6,6.6,4.6,6.6,6.6,6.6,4.6,6.6,6.6,16,1,,1,,,0.1333,,,,,,,,
Tetairoa McMillan,CAR,WR,75,Yes,No,Yes,75,21,No,Yes,20,0.9524,0.28,17,0.8095,296,79,12,299,,0.2267,14.2381,158.3,3.9467,14.0952,5.0423,17.4118,4.6471,0.7059,12,35.4199,35.4199,0.28,47.6,64.6,56.1,64.6,64.6,67.6,59.1,64.6,64.6,64.6,56.1,64.6,64.6,17,5,2,3,3,2,0.7733,6,1,1,0.0588,,2,0.0952,
Khalil Herbert,NYJ,RB,4,Yes,Yes,No,3,,Yes,No,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,
Quinshon Judkins,CLV,RB,22,Yes,Yes,No,18,4,No,Yes,4,1,0.2222,3,0.75,9,8,3,3,0.8889,,0.75,37.5,0.5,2.25,-3.9672,3,2.6667,1,1,6.5783,6.5783,0.1818,0.9,3.9,2.4,5.4,3.9,3.9,2.4,3.9,3.9,3.9,2.4,3.9,3.9,14,,,,,,0.0556,,,,,0.0556,1,0.25,
Devaughn Vele,NO,WR,23,No,No,No,22,6,No,Yes,5,0.8333,0.2727,5,0.8333,59,2,-1,62,,0.3636,10.3333,107.6,2.6818,9.8333,1.4761,11.8,0.4,-0.2,3,10.8572,10.8572,0.2609,5.9,10.9,8.4,10.9,10.9,10.9,8.4,10.9,10.9,10.9,8.4,10.9,10.9,13,4,,4,,,0.5909,,,,,0.0455,,,1
Tyler Allgeier,ATL,RB,23,No,Yes,No,16,1,No,No,1,1,0.0625,1,1,4,2,,2,1,,2,83.3,0.25,4,-2.3947,4,2,,,1.3168,1.3168,0.0435,0.4,1.4,0.9,1.9,1.4,1.4,0.9,1.4,1.4,1.4,0.9,1.4,1.4,17,,,,,,,,,,,,,,
KeAndre Lambert-Smith,LAC,WR,1,No,No,Yes,1,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,1,,,,,,,,
Foster Moreau,NO,TE,10,No,No,Yes,9,1,No,No,1,1,0.1111,1,1,6,4,2,2,,0.1111,2,91.7,0.6667,6,-0.3701,6,4,2,,1.5991,1.5991,0.1,0.6,1.6,1.1,1.6,2.1,1.6,1.1,1.6,1.6,1.6,1.1,2.1,1.6,11,,,,,,0.1111,,,,,0.7778,,,
Trayveon Williams,CLV,RB,8,No,No,No,7,1,No,Yes,1,1,0.1429,1,1,1,6,1,-5,0.7143,,-5,79.2,0.1429,1,-4.8711,1,6,1,,1.96,1.96,0.125,0.1,1.1,0.6,1.6,1.1,1.1,0.6,1.1,1.1,1.1,0.6,1.1,1.1,6,,,,,,,,,,,0.2857,,,
Isaiah Hodgins,NYG,WR,23,No,Yes,Yes,23,3,No,Yes,3,1,0.1304,3,1,37,8,,29,,0.3478,9.6667,118.1,1.6087,12.3333,4.3299,12.3333,2.6667,,2,5.9079,5.9079,0.1304,3.7,6.7,5.2,6.7,6.7,6.7,5.2,6.7,6.7,6.7,5.2,6.7,6.7,7,,,,,,0.6522,,,,,,,,
Devin Singletary,NYG,RB,19,No,Yes,Yes,15,2,No,Yes,2,1,0.1333,2,1,9,15,2,-6,0.6667,0.0667,-3,85.4,0.6,4.5,-0.9582,4.5,7.5,1,,2.8908,2.8908,0.1053,0.9,2.9,1.9,3.9,2.9,2.9,1.9,2.9,2.9,2.9,1.9,2.9,2.9,17,,,,,,0.2667,,,,,,,,
Gage Larvadain,CLV,WR,13,No,No,No,13,,No,Yes,,,,,,,,,,,0.3846,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,0.6154,,,,,,,,
David Sills,ATL,WR,55,No,Yes,No,55,10,No,No,7,0.7,0.1818,6,0.6,62,11,7,84,,0.3273,8.4,77.9,1.1273,6.2,-1.4232,10.3333,1.8333,1.1667,3,15.1792,15.1792,0.1818,6.2,12.2,9.2,12.2,12.2,12.2,9.2,12.2,12.2,12.2,9.2,12.2,12.2,17,3,,3,,,0.6545,,,,,0.0182,1,0.1,
Zamir White,LV,RB,8,Yes,No,No,6,2,No,Yes,2,1,0.3333,2,1,14,19,5,-5,1,,-2.5,95.8,2.3333,7,1.3055,7,9.5,2.5,,3.0716,3.0716,0.25,1.4,3.4,2.4,4.4,3.4,3.4,2.4,3.4,3.4,3.4,2.4,3.4,3.4,5,,,,,,,,,,,,,,
Ameer Abdullah,IND,RB,9,Yes,Yes,Yes,9,2,Yes,Yes,2,1,0.2222,2,1,10,4,1,6,0.8889,,3,87.5,1.1111,5,-1.5283,5,2,0.5,,2.7409,2.7409,0.2222,1,3,2,4,3,3,2,3,3,3,2,3,3,13,1,,1,,,0.1111,,,,,,,,
Jauan Jennings,SF,WR,71,No,Yes,No,71,8,No,Yes,7,0.875,0.1127,7,0.875,62,5,2,68,,0.338,8.5,99,0.8732,7.75,0.2132,8.8571,0.7143,0.2857,4,12.4622,12.4622,0.1127,6.2,13.2,9.7,13.2,13.2,13.2,9.7,13.2,13.2,13.2,9.7,13.2,13.2,15,3,,3,,,0.662,,,,,,,,
