Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsCatchableLabel,TargetsPerRoute,YardsAirTotal,AlignmentInlineRoutesPercentage,AlignmentSlotRoutesPercentage,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerTargetYardsOverExpected,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsGamesPlayed,AlignmentWideRoutesPercentage,TargetsCatchableTotal,TargetsCatchablePercentage,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,DropsTotal,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetDropsTotal,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsFirstDownsReceiving,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,AlignmentBackfieldRoutesPercentage,playerStatsInside20ReceivingTargetsTotal,TargetsContestedTotal,ReceptionsContested,TargetsInEndzone,TouchdownsTotal,ReceptionsHero,DeepTargetTargetsTotal
Harrison Bryant,HST,TE,6,No,Yes,No,4,1,No,Yes,0.25,-2,0.75,0.25,-2,39.6,-4.8511,1.5667,1.5667,0.1667,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tylan Wallace,BLT,WR,10,Yes,No,No,10,,No,Yes,,,,0.4,,,,,,,14,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jonnu Smith,PIT,TE,32,Yes,No,No,28,5,No,Yes,0.1786,9,0.4286,0.5,1.8,82.5,-1.9443,7.3363,7.3363,0.1562,17,0.0714,5,1,4,0.8,19,10,1,1,1,0.25,0.6786,3.8,0.2,4.75,2.5,0.25,1,1.9,5.9,3.9,5.9,7.9,5.9,3.9,5.9,5.9,5.9,3.9,7.9,5.9,,,,,,,,
Elijah Higgins,ARZ,TE,31,No,Yes,No,29,5,Yes,Yes,0.1724,-9,0.4138,0.4828,-1.8,93.3,0.7819,7.2413,7.2413,0.1613,17,0.069,5,1,5,1,32,41,21,,5,1,1.1034,6.4,,6.4,8.2,4.2,1,3.2,8.2,5.7,8.2,10.7,8.2,5.7,8.2,8.2,8.2,5.7,10.7,8.2,0.0345,,,,,,,
Adam Thielen,PIT,WR,22,Yes,No,No,22,,No,Yes,,,,0.6364,,,,,,,16,0.3636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Josiah Deguara,ARZ,TE,9,No,Yes,No,9,,Yes,Yes,,,0.5556,0.3333,,,,,,,12,0.1111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Braelon Allen,NYJ,RB,2,No,No,No,1,1,No,Yes,1,5,,,5,87.5,-2.233,2.255,2.255,0.5,4,,1,1,1,1,5,,,,,,5,5,,5,,,,0.5,1.5,1,2,1.5,1.5,1,1.5,1.5,1.5,1,1.5,1.5,1,1,,,,,,
David Moore,CAR,WR,2,No,Yes,Yes,2,,No,Yes,,,,,,,,,,,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CJ Dippre,NE,TE,1,No,No,Yes,1,,No,Yes,,,1,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amon-Ra St. Brown,DET,WR,30,No,Yes,No,30,,No,No,,,,0.4667,,,,,,,17,0.5333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
