Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsContestedLabel,TargetsCatchableLabel,AlignmentBackfieldRoutesPercentage,playerStatsGamesPlayed,TargetsTotal,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAirTotal,DropsTotal,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,AverageDepthOfTarget,DeepTargetTargetsTotal,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerTargetDropsTotal,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,playerStatsFirstDownsReceiving,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,TargetsContestedTotal,TargetsInEndzone,YardsAfterContactTotal,AlignmentInlineRoutesPercentage,AveragesPerReceptionYardsAfterContact,ReceptionsContested,ReceptionsHero,TouchdownsTotal,TouchdownsInEndzone,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,playerStatsInside20ReceivingTargetsTotal
Chris Brooks,GB,RB,9,Yes,Yes,No,6,Yes,Yes,1,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christian Watson,GB,WR,8,Yes,Yes,No,8,No,Yes,,10,3,2,0.6667,0.375,1,0.3333,31,9,66,1,0.25,0.75,22,3,72.9,3.875,10.3333,-1.5907,0.3333,31,9,1,3.9567,3.9567,0.375,3.1,4.1,3.6,4.1,4.1,4.1,3.6,4.1,4.1,4.1,3.6,4.1,4.1,,,,,,,,,,,,
Kyle Williams,NE,WR,6,Yes,Yes,No,6,Yes,Yes,,17,,,,,,,,,,,0.3333,0.6667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
James Conner,ARZ,RB,1,Yes,Yes,No,1,No,Yes,1,3,1,1,1,1,,,,,26,,,,26,1,39.6,,,-18.8636,,,,,3.1225,3.1225,1,,,,,,,,,,,,,,1,1,,,,,,,,,,
Tyler Conklin,LAC,TE,2,No,No,No,2,No,No,,10,,,,,,,,,,,0.5,0.5,,,,,,,,,,,4.4,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,
Justice Hill,BLT,RB,6,No,Yes,Yes,5,No,Yes,0.8,10,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D'Andre Swift,CHI,RB,23,Yes,Yes,Yes,19,No,No,0.7368,16,3,2,0.6667,0.1579,,,,,9,2,0.1579,0.1053,3,,39.6,,,-6.8457,0.6667,,,,4.6459,4.6459,0.1304,,,,,,,,,,,,,,,,,,,,,,,,,
Adam Trautman,DEN,TE,14,No,No,No,12,No,No,,17,2,2,1,0.1667,1,0.5,12,7,8,1,0.1667,0.0833,4,,68.8,1,6,-0.4009,0.5,12,7,1,2.8308,2.8308,0.1429,1.2,2.2,1.7,2.2,2.7,2.2,1.7,2.2,2.2,2.2,1.7,2.7,2.2,,,1,0.75,1,,,,,,,
Ja'Marr Chase,CIN,WR,24,No,Yes,No,24,No,No,,16,9,6,0.6667,0.375,6,0.6667,81,11,142,,0.5417,0.4583,15.7778,3,132.2,3.375,9,-0.3479,,13.5,1.8333,5,14.8197,14.8197,0.375,13.1,19.1,16.1,19.1,19.1,19.1,15.1,18.1,18.1,18.1,15.1,19.1,18.1,1,1,1,,0.1667,1,1,1,1,1,0.1667,1
Tommy Tremble,CAR,TE,12,No,Yes,No,10,Yes,Yes,,17,,,,,,,,,,,0.5,,,,,,,,,,,,1.3217,1.3217,,,,,,,,,,,,,,,,,,0.5,,,,,,,,
