Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsContestedLabel,TargetsCatchableLabel,AlignmentWideRoutesPercentage,playerStatsGamesPlayed,TargetsTotal,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,AlignmentInlineRoutesPercentage,AlignmentSlotRoutesPercentage,TargetedReadFirstTotal,TargetedReadDesignTotal,TargetedReadDesignPercentage,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,YardsAirTotal,AverageDepthOfTarget,playerStatsFirstDownsReceiving,DropsTotal,AveragesPerTargetDropsTotal,TargetsContestedTotal,ReceptionsContested,TargetsInEndzone,DeepTargetTargetsTotal,playerStatsInside20ReceivingTargetsTotal,ReceptionsHero,AlignmentBackfieldRoutesPercentage,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,TouchdownsTotal,TouchdownsInEndzone
Tylan Wallace,BLT,WR,4,No,No,No,4,No,No,1,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jonnu Smith,PIT,TE,13,No,No,No,12,No,No,0.25,17,2,2,1,0.1667,2,1,8,8,4,0.5833,0.1667,2,1,0.5,83.3,0.6667,4,-1.6106,4,4,2,2.6381,2.6381,0.1538,0.8,2.8,1.8,2.8,3.8,2.8,1.8,2.8,2.8,2.8,1.8,3.8,2.8,,,,,,,,,,,,,,,,
Elijah Higgins,ARZ,TE,6,No,No,No,6,No,Yes,0.1667,17,1,1,1,0.1667,1,1,10,4,1,0.5,0.3333,,,,108.3,1.6667,10,2.907,10,4,1,1.4735,1.4735,0.1667,1,2,1.5,2,2.5,2,1.5,2,2,2,1.5,2.5,2,6,6,1,,,,,,,,,,,,,
Adam Thielen,PIT,WR,8,No,No,No,8,No,No,0.625,16,1,1,1,0.125,1,1,9,4,2,,0.375,1,,,104.2,1.125,9,2.6372,9,4,2,1.4812,1.4812,0.125,0.9,1.9,1.4,1.9,1.9,1.9,1.4,1.9,1.9,1.9,1.4,1.9,1.9,5,5,,,,,,,,,,,,,,
David Moore,CAR,WR,2,No,Yes,No,2,No,Yes,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CJ Dippre,NE,TE,1,Yes,No,Yes,1,No,Yes,,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amon-Ra St. Brown,DET,WR,20,Yes,No,No,20,No,Yes,0.3,17,6,6,1,0.3,3,0.5,23,3,2,,0.7,6,,,59.7,1.15,3.8333,-3.5889,7.6667,1,0.6667,8.9361,8.9361,0.3,2.3,5.3,3.8,5.3,5.3,5.3,3.8,5.3,5.3,5.3,3.8,5.3,5.3,47,7.8333,2,3,0.5,,,,,,,,,,,
Isaiah Williams,NYJ,WR,13,Yes,No,No,13,Yes,Yes,0.0769,15,4,4,1,0.3077,4,1,27,11,5,,0.9231,4,1,0.25,94.8,2.0769,6.75,0.4504,6.75,2.75,1.25,5.9106,5.9106,0.3077,2.7,6.7,4.7,6.7,6.7,6.7,4.7,6.7,6.7,6.7,4.7,6.7,6.7,16,4,1,,,1,1,,,,,,,,,
Chris Moore,WAS,WR,7,Yes,Yes,No,6,Yes,Yes,0.8333,14,2,2,1,0.3333,1,0.5,13,,,,0.1667,1,,,70.8,2.1667,6.5,-3.5769,13,,,5.2313,5.2313,0.2857,1.3,2.3,1.8,2.3,2.3,2.3,1.8,2.3,2.3,2.3,1.8,2.3,2.3,34,17,1,1,0.5,,,1,1,1,,,,,,
Tutu Atwell,LA,WR,6,No,No,No,6,No,Yes,0.3333,10,2,2,1,0.3333,1,0.5,9,-4,,,0.6667,,,,62.5,1.5,4.5,-2.6822,9,-4,,2.7735,2.7735,0.3333,0.9,1.9,1.4,1.9,1.9,1.9,1.4,1.9,1.9,1.9,1.4,1.9,1.9,16,8,,,,1,,,,,1,,,,,
