Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsCatchableLabel,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsInEndzone,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,YardsAirTotal,TouchdownsTotal,TouchdownsInEndzone,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,TargetedReadFirstTotal,AverageDepthOfTarget,DeepTargetTargetsTotal,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsFirstDownsReceiving,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsInside20ReceivingTargetsTotal,playerStatsGamesPlayed,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,AlignmentBackfieldRoutesPercentage,AlignmentInlineRoutesPercentage,TargetsContestedTotal,ReceptionsContested,DropsTotal,TargetedReadDesignTotal,TargetedReadDesignPercentage,AveragesPerTargetDropsTotal,ReceptionsHero
Devontez Walker,BLT,WR,15,No,No,No,13,2,No,Yes,2,1,1,0.1538,2,1,36,2,1,43,1,1,0.0769,0.9231,2,21.5,1,158.3,2.7692,18,8.8593,18,1,0.5,2,6.4641,6.4641,0.1333,9.6,11.6,10.6,11.6,11.6,11.6,10.6,11.6,11.6,11.6,10.6,11.6,11.6,1,11,,,,,,,,,,,
Austin Ekeler,WAS,RB,14,No,No,No,11,4,Yes,Yes,4,1,,0.3636,4,1,34,41,9,-7,,,0.0909,,,-1.75,,102.1,3.0909,8.5,2.7158,8.5,10.25,2.25,2,5.7166,5.7166,0.2857,3.4,7.4,5.4,9.4,7.4,7.4,5.4,7.4,7.4,7.4,5.4,7.4,7.4,,2,2,0.5,0.9091,,,,,,,,
Daniel Bellinger,NYG,TE,53,No,No,No,35,4,No,Yes,4,1,,0.1143,4,1,38,16,5,22,,,0.5714,0.1143,,5.5,,106.3,1.0857,9.5,2.6754,9.5,4,1.25,2,7.2724,7.2724,0.0755,3.8,7.8,5.8,7.8,9.8,7.8,5.8,7.8,7.8,7.8,5.8,9.8,7.8,1,16,,,0.2,0.1143,,,,,,,
Drew Sample,CIN,TE,80,No,Yes,No,49,7,Yes,Yes,7,1,,0.1429,6,0.8571,57,54,9,3,,,0.0816,0.0408,2,0.4286,,100.6,1.1633,8.1429,2.5646,9.5,9,1.5,2,10.3182,10.3182,0.0875,5.7,11.7,8.7,11.7,14.7,11.7,8.7,11.7,11.7,11.7,8.7,14.7,11.7,,17,,,0.2449,0.6327,2,1,,,,,
Dylan Drummond,ATL,WR,16,No,No,No,12,2,Yes,Yes,2,1,,0.1667,1,0.5,5,2,1,5,,,0.25,0.75,,2.5,,56.3,0.4167,2.5,-2.8922,5,2,1,,2.818,2.818,0.125,0.5,1.5,1,1.5,1.5,1.5,1,1.5,1.5,1.5,1,1.5,1.5,,9,,,,,1,,,,,,
Tanner Hudson,CIN,TE,29,No,Yes,No,26,10,Yes,Yes,10,1,,0.3846,9,0.9,75,40,18,44,,,0.2692,0.2308,8,4.4,,97.9,2.8846,7.5,1.1984,8.3333,4.4444,2,2,14.8855,14.8855,0.3448,7.5,16.5,12,16.5,21,16.5,12,16.5,16.5,16.5,12,21,16.5,1,13,1,0.1111,0.0385,0.4615,1,,,,,,
Curtis Samuel,BUF,WR,26,No,No,Yes,16,4,No,Yes,4,1,,0.25,4,1,61,12,1,49,1,,0.0625,0.9375,2,12.25,1,158.3,3.8125,15.25,6.0141,15.25,3,0.25,4,8.717,8.717,0.1538,12.1,16.1,14.1,16.1,16.1,16.1,14.1,16.1,16.1,16.1,14.1,16.1,16.1,1,6,,,,,1,1,,,,,
Chase Brown,CIN,RB,133,No,Yes,No,115,40,Yes,Yes,40,1,,0.3478,37,0.925,248,251,75,-7,1,,0.1478,0.0261,17,-0.175,,100.8,2.1565,6.2,-0.0323,6.7027,6.7838,2.027,9,57.1828,57.1828,0.3008,30.8,67.8,49.3,86.3,67.8,70.8,52.3,67.8,67.8,67.8,49.3,67.8,67.8,3,17,16,0.4324,0.8261,,4,3,2,11,0.275,0.05,
Najee Harris,LAC,RB,8,No,No,No,6,1,No,Yes,1,1,,0.1667,1,1,9,5,3,4,,,,0.1667,,4,,104.2,1.5,9,2.3381,9,5,3,,1.3128,1.3128,0.125,0.9,1.9,1.4,2.4,1.9,1.9,1.4,1.9,1.9,1.9,1.4,1.9,1.9,,3,,,0.8333,,,,,,,,
Darnell Mooney,ATL,WR,111,No,No,No,92,19,Yes,Yes,19,1,,0.2065,16,0.8421,175,34,10,178,,,0.3804,0.6196,15,9.3684,1,105,1.9022,9.2105,1.107,10.9375,2.125,0.625,10,28.7537,28.7537,0.1712,17.5,33.5,25.5,33.5,33.5,36.5,28.5,33.5,33.5,33.5,25.5,33.5,33.5,1,15,1,0.0625,,,2,1,2,3,0.1579,0.1053,
