Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsCatchableLabel,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAirTotal,AlignmentBackfieldRoutesPercentage,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,AlignmentSlotRoutesPercentage,YardsAfterContactTotal,AlignmentWideRoutesPercentage,TargetedReadFirstTotal,TargetedReadDesignTotal,TargetedReadDesignPercentage,AveragesPerReceptionYardsAfterContact,DropsTotal,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,AlignmentInlineRoutesPercentage,AveragesPerTargetDropsTotal,playerStatsInside20ReceivingTargetsTotal,playerStatsFirstDownsReceiving,DeepTargetTargetsTotal,ReceptionsHero,TargetsContestedTotal,TargetsInEndzone,ReceptionsContested,TouchdownsTotal,TouchdownsInEndzone
Bucky Irving,TB,RB,7,No,Yes,No,4,1,No,Yes,1,1,0.25,1,1,2,3,-1,1,-1,79.2,0.5,2,-3.819,2,3,1.3529,1.3529,0.1429,0.2,1.2,0.7,1.7,1.2,1.2,0.7,1.2,1.2,1.2,0.7,1.2,1.2,10,,,,,,,,,,,,,,,,,,,,,
Keaton Mitchell,BLT,RB,3,No,No,No,3,,No,Yes,,,,,,,,,0.6667,,,,,,,,,,,,,,,,,,,,,,,,13,0.3333,,,,,,,,,,,,,,,,,,,,
DJ Moore,CHI,WR,19,Yes,No,No,16,1,No,Yes,1,1,0.0625,1,1,1,2,-1,,-1,79.2,0.0625,1,-5.1699,1,2,1.3511,1.3511,0.0526,0.1,1.1,0.6,1.1,1.1,1.1,0.6,1.1,1.1,1.1,0.6,1.1,1.1,17,0.5625,1,0.4375,1,1,1,1,,,,,,,,,,,,,,
Tyjae Spears,TEN,RB,10,No,Yes,No,10,5,No,Yes,5,1,0.5,4,0.8,7,27,-22,0.8,-4.4,79.2,0.7,1.4,-4.0403,1.75,6.75,6.9067,6.9067,0.5,0.7,4.7,2.7,6.7,4.7,4.7,2.7,4.7,4.7,4.7,2.7,4.7,4.7,13,,8,0.1,2,2,0.4,2,1,3,0.75,0.1,0.2,,,,,,,,,
Nick Chubb,HST,RB,6,No,No,No,4,2,No,Yes,2,1,0.5,1,0.5,7,,10,0.75,5,58.3,1.75,3.5,-3.4367,7,,3.2358,3.2358,0.3333,0.7,1.7,1.2,2.2,1.7,1.7,1.2,1.7,1.7,1.7,1.2,1.7,1.7,15,,,0.25,1,,,,1,,,,0.5,1,,,,,,,,
Michael Carter,ARZ,RB,7,No,Yes,No,5,1,No,Yes,1,1,0.2,1,1,5,5,,0.8,,87.5,1,5,-0.8271,5,5,1.3899,1.3899,0.1429,0.5,1.5,1,2,1.5,1.5,1,1.5,1.5,1.5,1,1.5,1.5,13,,2,,1,,,2,,1,1,0.2,,,,,,,,,,
Isaiah Bond,CLV,WR,8,No,No,No,8,1,No,No,1,1,0.125,1,1,16,,16,,16,118.8,2,16,5.9048,16,,1.4602,1.4602,0.125,1.6,2.6,2.1,2.6,2.6,2.6,2.1,2.6,2.6,2.6,2.1,2.6,2.6,16,0.5,,0.5,1,,,,,,,,,,1,,,,,,,
Isaiah Davis,NYJ,RB,7,No,No,No,3,,No,No,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,
Colby Parkinson,LA,TE,13,No,Yes,No,11,2,No,Yes,2,1,0.1818,1,0.5,6,2,10,,5,56.3,0.5455,3,-3.5799,6,2,3.7197,3.7197,0.1538,0.6,1.6,1.1,1.6,2.1,1.6,1.1,1.6,1.6,1.6,1.1,2.1,1.6,15,0.1818,2,0.2727,2,,,2,1,,,0.5455,0.5,1,1,,,,,,,
Jacory Croskey-Merritt,WAS,RB,4,No,No,No,3,1,No,No,1,1,0.3333,1,1,-1,6,-7,0.6667,-7,79.2,-0.3333,-1,-5.5287,-1,6,1.3783,1.3783,0.25,-0.1,0.9,0.4,1.4,0.9,0.9,0.4,0.9,0.9,0.9,0.4,0.9,0.9,17,0.3333,3,,1,1,1,3,,,,,,,,,,,,,,
Rome Odunze,CHI,WR,14,No,No,No,13,1,No,Yes,1,1,0.0769,1,1,21,,21,,21,118.8,1.6154,21,9.7607,21,,1.9469,1.9469,0.0714,2.1,3.1,2.6,3.1,3.1,3.1,2.6,3.1,3.1,3.1,2.6,3.1,3.1,12,0.3077,,0.6923,1,,,,,,,,,,1,1,,,,,,
Quinshon Judkins,CLV,RB,8,Yes,No,No,6,2,No,Yes,2,1,0.3333,1,0.5,,,5,0.6667,2.5,56.3,,,-6.53,,,3.0034,3.0034,0.25,,1,0.5,1.5,1,1,0.5,1,1,1,0.5,1,1,14,0.1667,,,,,,,,,,0.1667,,,,,1,,,,,
Devaughn Vele,NO,WR,6,No,No,No,5,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,0.4,,0.6,,,,,,,,,,,,,,,,,,
Josh Downs,IND,WR,10,Yes,Yes,Yes,9,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,0.8889,,0.1111,,,,,,,,,,,,,,,,,,
Tetairoa McMillan,CAR,WR,21,No,Yes,No,21,13,No,Yes,13,1,0.619,5,0.3846,33,3,176,,13.5385,46.6,1.5714,2.5385,-6.2921,6.6,0.6,23.1187,23.1187,0.619,3.3,8.3,5.8,8.3,8.3,8.3,5.8,8.3,8.3,8.3,5.8,8.3,8.3,17,0.3333,4,0.6667,11,,,0.8,5,,,,0.3846,,1,5,,4,2,,,
Foster Moreau,NO,TE,5,No,No,Yes,2,2,Yes,Yes,2,1,1,2,1,13,9,4,,2,93.8,6.5,6.5,0.8093,6.5,4.5,2.7842,2.7842,0.4,1.3,3.3,2.3,3.3,4.3,3.3,2.3,3.3,3.3,3.3,2.3,4.3,3.3,11,0.5,5,,1,,,2.5,,,,0.5,,,,,,,,,,
Tyler Allgeier,ATL,RB,5,No,Yes,Yes,3,,No,Yes,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,
KeAndre Lambert-Smith,LAC,WR,2,No,Yes,No,2,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,1,,,,,,,,,,,,,,,,,,
Isaiah Hodgins,NYG,WR,6,No,Yes,No,4,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,0.5,,0.5,,,,,,,,,,,,,,,,,,
Devin Singletary,NYG,RB,4,No,Yes,No,3,,No,Yes,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,
Gage Larvadain,CLV,WR,5,No,No,No,4,1,No,No,1,1,0.25,,,,,2,,2,39.6,,,-5.3344,,,1.3047,1.3047,0.2,,,,,,,,,,,,,,13,0.25,,0.75,1,,,,1,,,,1,,,,,,,,,
David Sills,ATL,WR,14,No,Yes,Yes,12,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.3333,,0.6667,,,,,,,,,,,,,,,,,,
Ashton Dulin,IND,WR,1,Yes,Yes,Yes,1,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,1,,,,,,,,,,,,,,,,,,
Jauan Jennings,SF,WR,16,No,No,No,16,3,Yes,Yes,3,1,0.1875,,,,,47,,15.6667,,,,-9.373,,,5.2363,5.2363,0.1875,,,,,,,,,,,,,,15,0.375,,0.625,3,,,,3,,,,1,,,1,,,,,,
Ja'Tavion Sanders,CAR,TE,7,Yes,No,No,7,1,Yes,Yes,1,1,0.1429,1,1,13,6,7,,7,118.8,1.8571,13,5.6922,13,6,3.1392,3.1392,0.1429,1.3,2.3,1.8,2.3,2.8,2.3,1.8,2.3,2.3,2.3,1.8,2.8,2.3,13,0.2857,3,0.4286,,,,3,,,,0.2857,,,1,,,,,,,
Tahj Washington,MIA,WR,1,No,No,No,1,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,1,,,,,,,,,,,,,,,,,,,,
Tanner Conner,MIA,TE,5,No,Yes,No,5,1,Yes,Yes,1,1,0.2,1,1,14,3,11,,11,118.8,2.8,14,5.2598,14,3,1.4962,1.4962,0.2,1.4,2.4,1.9,2.4,2.9,2.4,1.9,2.4,2.4,2.4,1.9,2.9,2.4,9,0.4,,0.4,1,,,,,,,0.2,,,1,,,,,,,
Quintin Morris,JAX,TE,3,No,Yes,No,2,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,1,,,,,,,,,,
Mack Hollins,NE,WR,7,No,No,No,7,3,No,No,3,1,0.4286,2,0.6667,13,1,58,,19.3333,75.7,1.8571,4.3333,-5.1424,6.5,0.5,4.9748,4.9748,0.4286,1.3,3.3,2.3,3.3,3.3,3.3,2.3,3.3,3.3,3.3,2.3,3.3,3.3,15,0.1429,,0.8571,3,,,,1,,,,0.3333,,,1,,1,,1,,
Juwan Johnson,NO,TE,12,No,Yes,Yes,10,5,No,Yes,5,1,0.5,4,0.8,66,2,75,,15,118.8,6.6,13.2,3.1822,16.5,0.5,9.5016,9.5016,0.4167,6.6,10.6,8.6,10.6,12.6,10.6,8.6,10.6,10.6,10.6,8.6,12.6,10.6,17,0.8,2,0.1,4,,,0.5,,,,0.1,,,3,1,2,3,,2,,
