id,name,pos,team,accurateThrows,adjustedCompletionPercentage,battedPasses,cleanPocketDropbacks,drops,explosiveInterceptions,explosiveThrows,explosiveTouchdowns,explosiveYards,highlightThrows,qbHits,spikes,successfulPlays,throwaways,yardsAfterCatch,dvoa,dyar,epa,turnover_battedPasses,brokenPasses,intWorthyThrows,pickSixes,turnover_throwaways,endZoneCompletions,endZoneInterceptions,endZoneThrows,endZoneTouchdowns,redZoneCompletions,redZoneInterceptions,redZoneThrows,redZoneTouchdowns,airYards,alex,catchableAirYards,droppedAirYards,prayerYards,twentyPlusCompletions,twentyPlusPassingYards,twentyPlusThrows,twentyPlusTouchdowns,closingCoverage,emptyRouteCoverage,manCoverage,manYards,openCoverage,singleHighRoutes,singleHighYards,stepSeparation,tightCoverage,twoHighRoutes,twoHighYards,wideOpen,zeroCoverageRoutes,zeroCoverageYards,zoneCoverage,zoneYards,adjustedSackRate,avoidedSacks,blitzes,pressures,qbFaultSacks,pressure_qbHits,sacks,scrambles,timeToPressure,timeToThrow
00-0034796,Lamar Jackson,QB,BAL,344,0.7605,11,343,11,1,56,9,1782,16,53,5,257,10,2079,0.4953,1848.111999999998,169.43600000000012,11,50,9,0,10,27,0,44,27,47,2,67,33,4114,-0.8165,2428,127,1686,24,818,71,6,49,7,258,1886,174,322,2588,34,106,177,1235,89,36,191,277,2128,0.0506,19,183,182,6,53,23,45,497.63000000000017,1382.3400000000006
00-0033873,Patrick Mahomes,QB,KC,430,0.8012,12,409,19,3,40,4,1161,18,105,2,304,19,2275,0.077,780.7509999999997,76.739,12,54,15,0,19,15,2,42,15,70,2,105,22,3681,-2.1343,2030,153,1651,13,463,49,4,53,6,306,1768,250,351,2188,56,126,271,1380,83,26,100,342,1900,0.0602,7,171,225,14,105,35,37,597.0000000000001,1503.5999999999988
00-0036264,Jordan Love,QB,GB,301,0.7566,8,319,18,2,48,6,1587,13,62,0,205,16,1654,0.2273,994.7669999999995,73.93799999999992,8,50,15,2,16,12,1,34,12,50,2,75,20,3757,0.08,2122,157,1635,25,947,68,4,66,1,235,1548,147,258,2060,28,128,168,1118,44,24,110,215,1740,0.0329,9,153,128,4,62,14,12,339.40999999999997,1152.9199999999992
00-0036389,Jalen Hurts,QB,PHI,260,0.7937,7,283,6,2,43,7,1298,12,57,1,183,28,1375,0.0317,364.44399999999985,35.42099999999997,7,41,13,0,28,14,3,33,14,33,3,53,12,2814,-1.0305,1619,59,1195,14,510,37,6,50,1,255,1663,143,265,1676,46,84,152,930,22,20,26,182,969,0.108,7,151,127,13,57,38,39,357.69999999999993,1066.9999999999998
00-0038128,,,,45,0.8113,1,47,3,0,11,1,364,1,10,0,25,0,274,0.2005,111.17200000000001,12.828000000000001,1,3,0,0,0,0,0,1,0,3,0,5,2,430,-1.7778,320,14,110,6,226,8,0,13,0,34,208,23,43,395,8,8,21,115,2,6,3,36,305,0.1481,1,28,20,5,10,8,8,68.11,120.82
00-0029604,Kirk Cousins,QB,LV,333,0.761,12,363,9,3,42,8,1242,9,77,4,229,8,1687,0.0518,493.16899999999976,32.713000000000044,12,77,19,1,8,7,1,21,7,25,1,47,10,3374,-1.7572,2107,79,1267,19,530,44,3,54,4,203,1497,146,255,1932,29,151,204,1251,53,21,124,277,1810,0.064,3,131,120,10,77,28,3,252.87000000000003,1121.5900000000004
00-0036945,Justin Fields,QB,KC,115,0.7708,2,115,5,0,15,1,448,6,33,1,74,7,524,-0.0422,75.41499999999994,10.249999999999996,2,19,4,0,7,1,0,6,1,13,0,20,4,1251,-1.882,636,34,615,6,206,23,0,26,3,86,296,40,106,487,12,55,71,518,17,16,-16,107,693,0.0994,3,56,70,2,33,16,19,159.29999999999998,458.5000000000001
00-0035228,Kyler Murray,QB,MIN,409,0.7746,13,442,13,6,43,5,1178,11,50,1,285,21,1968,0.1189,881.201000000001,60.18500000000007,13,73,11,1,21,15,2,40,15,46,1,72,16,3693,-1.8835,2249,67,1444,20,553,55,4,66,1,287,1486,221,354,2078,52,147,225,1455,41,32,98,324,2145,0.0573,13,184,150,13,50,30,41,396.17999999999995,1432.6999999999994
00-0034857,Josh Allen,QB,BUF,334,0.7372,9,368,10,1,54,8,1671,22,49,1,242,23,1998,0.2688,1219.7979999999975,147.506,9,55,12,0,23,13,1,40,13,39,1,72,20,4022,-0.6874,2056,159,1966,26,828,75,1,50,1,304,1939,206,325,2268,58,120,183,1232,44,32,168,236,1729,0.029,17,160,151,7,49,13,44,408.02,1316.7000000000003
00-0039152,,,,205,0.7343,4,225,9,5,25,7,883,10,75,0,122,12,933,-0.3188,-425.18899999999957,-56.224000000000025,4,39,20,4,12,6,0,14,6,11,0,22,6,2622,-1.0066,1294,38,1328,15,565,42,6,63,0,169,785,97,184,905,18,94,166,914,20,12,39,193,1073,0.1362,11,83,126,24,75,41,20,314.67,758.3600000000002
00-0039918,Caleb Williams,QB,CHI,376,0.7404,10,430,17,4,40,7,1168,14,104,4,246,32,1866,-0.1196,-32.87100000000011,-42.28199999999995,10,48,11,0,32,11,0,42,11,36,0,72,13,4486,-1.1192,1872,113,2614,22,655,80,5,96,7,316,1102,154,374,1662,41,156,274,1309,82,25,102,357,1971,0.121,38,199,227,29,104,67,50,617.1899999999997,1517.1000000000008
00-0036442,Joe Burrow,QB,CIN,521,0.8255,9,482,32,4,49,13,1625,24,122,1,359,21,2197,0.1763,1400.9029999999996,128.7389999999999,9,76,13,1,21,25,0,66,25,76,0,127,30,4609,-1.0307,3246,180,1363,20,729,52,7,108,3,386,2275,275,358,2330,81,141,324,2226,33,37,100,333,2381,0.0767,16,196,229,18,122,48,22,532.29,1666.7800000000013
00-0033119,Jacoby Brissett,QB,ARI,104,0.7594,1,104,6,0,7,0,208,1,44,1,69,11,433,-0.3234,-235.10999999999984,-36.727,1,18,2,1,11,1,0,12,1,15,0,28,2,1093,-2.1863,462,18,631,3,80,13,0,30,1,113,414,49,119,434,11,50,62,249,13,6,21,74,290,0.1118,11,62,80,1,44,18,9,182,437.09999999999985
00-0039164,Anthony Richardson Sr.,QB,IND,152,0.6061,4,187,14,5,28,4,938,9,44,2,96,13,776,-0.2358,-212.08099999999996,-46.79799999999999,4,49,15,0,13,2,1,14,2,8,2,22,4,3218,2.8182,1458,158,1760,13,516,60,2,30,4,139,752,74,175,1058,31,86,103,587,26,16,61,155,954,0.0568,12,87,103,6,44,14,20,264.78000000000003,712.92
00-0039163,C.J. Stroud,QB,HOU,371,0.7542,8,368,20,6,42,4,1289,13,103,1,242,21,1664,-0.154,-155.5519999999999,-2.1799999999999984,8,61,16,0,21,14,2,35,14,36,0,63,16,4424,-0.9361,2359,166,2065,19,687,65,2,68,3,273,1397,220,290,1694,63,129,307,1588,45,21,24,345,1909,0.0996,20,180,233,25,103,52,37,561.5399999999998,1486.85
00-0036212,Tua Tagovailoa,QB,ATL,312,0.7979,6,325,13,3,29,3,842,7,29,2,225,7,1708,0.1245,651.0929999999998,87.407,6,44,12,1,7,9,0,22,9,41,1,59,16,2271,-2.8822,1337,45,934,10,384,28,2,36,3,151,883,188,190,1161,41,80,223,1460,48,11,77,273,1815,0.0526,7,81,97,9,29,21,7,227.47999999999996,887.9800000000004
00-0036971,Trevor Lawrence,QB,JAX,203,0.7088,2,223,13,3,32,2,956,9,36,1,128,10,846,0.0123,242.2510000000001,-1.6359999999999977,2,44,12,0,10,9,1,32,9,16,1,36,9,2658,0.8451,1540,66,1118,18,637,43,2,31,2,130,645,119,182,1211,29,76,115,601,24,16,86,183,1253,0.0634,5,77,86,5,36,18,13,195.4000000000001,694.2499999999999
00-0031280,,,,202,0.7992,5,198,6,3,27,7,923,10,27,0,127,21,1087,0.1036,391.8670000000001,43.07299999999996,5,30,7,1,21,8,0,14,8,19,0,32,8,2168,-1.2652,1221,73,947,12,477,40,5,39,3,145,864,106,148,1062,29,59,130,940,28,14,73,147,1211,0.0323,3,99,89,2,27,8,8,199.2999999999999,732.3799999999998
00-0039150,Bryce Young,QB,CAR,256,0.7357,2,287,11,5,30,4,894,10,65,0,162,32,964,-0.1787,-184.25099999999975,-17.745000000000033,2,39,8,0,32,11,1,32,11,32,1,60,11,3363,0.1563,1724,149,1639,18,569,49,4,67,0,241,1165,106,265,1257,36,125,162,855,29,23,105,209,1052,0.0755,11,137,146,5,65,29,37,347.72999999999996,1012.8499999999998
00-0038998,,,,24,0.6364,0,27,3,1,3,0,93,1,15,0,13,1,97,-0.4255,-95.30799999999999,-14.075999999999999,0,7,2,0,1,0,0,3,0,2,0,5,1,345,0.7436,168,12,177,1,36,5,0,4,0,28,109,16,25,47,2,16,22,59,1,3,65,22,62,0.1538,2,14,20,2,15,6,5,47.29999999999999,104.5
00-0027973,,,,115,0.7568,2,138,6,2,13,2,354,4,18,0,69,5,459,-0.2149,-114.43099999999998,-20.811000000000003,2,24,5,1,5,6,0,13,6,13,0,23,5,1062,-2.0625,580,24,482,6,172,13,2,28,2,92,547,57,104,553,13,50,61,341,9,6,24,79,371,0.0437,0,48,32,0,18,7,6,63.800000000000004,388.49999999999983
00-0035710,Daniel Jones,QB,IND,244,0.7891,6,249,16,1,19,2,540,4,70,4,158,17,944,-0.164,-123.32399999999991,-28.175999999999988,6,42,8,1,17,4,1,12,4,17,3,33,6,2509,-1.5953,1368,80,1141,9,294,33,2,60,5,190,937,118,216,1157,23,92,150,720,26,13,29,189,969,0.085,5,124,130,5,70,29,14,300.09,867.2999999999997
00-0034869,Sam Darnold,QB,SEA,390,0.7859,9,397,17,3,62,9,1858,13,99,1,288,30,1752,0.1241,913.4319999999996,67.374,9,60,16,0,30,21,3,54,21,64,4,99,26,4606,-0.5046,2810,174,1796,34,1182,69,9,108,2,278,1730,175,299,2119,45,132,298,1803,53,22,71,341,2263,0.0936,18,143,211,21,99,48,28,535.6100000000002,1579.1499999999987
00-0036355,Justin Herbert,QB,LAC,368,0.7675,7,373,18,2,54,11,1604,16,103,3,242,13,1675,0.1464,880.195,77.65499999999994,7,58,7,0,13,14,0,38,14,30,0,60,12,4335,-0.5615,2498,105,1837,28,899,66,8,52,4,279,1539,202,314,2188,53,137,231,1337,48,27,93,293,2079,0.0813,12,192,182,21,103,41,31,441.62000000000006,1383.3100000000027
00-0035289,,,,209,0.8038,10,225,6,3,22,3,615,3,56,3,149,21,1099,-0.1717,-131.10499999999988,-34.63,10,40,9,1,21,5,1,17,5,17,1,40,7,1847,-2.6961,975,46,872,9,299,24,1,44,7,191,963,103,188,914,22,77,134,786,39,17,150,148,887,0.0915,6,119,115,13,56,28,11,286.49000000000007,749.7300000000004
00-0030565,Geno Smith,QB,NYJ,446,0.8103,13,441,16,5,50,8,1392,17,105,2,293,16,2133,-0.0203,371.49300000000017,27.69100000000003,13,82,27,1,16,13,4,36,13,32,5,61,15,3996,-2.4931,2578,117,1418,29,860,68,8,81,3,250,1561,223,343,2200,61,135,289,1667,63,17,115,399,2421,0.0917,12,185,193,25,105,50,24,441.6999999999998,1573.8000000000006
00-0039732,Bo Nix,QB,DEN,404,0.7636,16,429,18,4,51,7,1562,12,56,1,252,18,2070,0.0223,506.2180000000003,14.508999999999997,16,67,21,0,18,18,1,37,18,49,1,77,23,4116,-1.6279,2066,149,2050,27,857,74,5,85,1,295,1653,185,334,2027,46,146,273,1491,82,31,59,343,1924,0.0423,6,205,181,8,56,24,48,465.83000000000015,1559.8399999999997
00-0033077,Dak Prescott,QB,DAL,200,0.7346,6,204,6,2,23,5,702,11,47,2,128,5,939,-0.0724,75.88899999999995,-7.937000000000003,6,45,15,0,5,7,2,19,7,17,2,32,7,2270,-0.9231,1278,74,992,12,356,31,3,45,3,166,916,96,152,782,30,85,150,1018,23,8,73,144,957,0.0734,5,61,105,12,47,20,6,255.22999999999996,736.0100000000006
00-0033537,,,,152,0.7784,3,145,7,0,11,1,270,4,70,0,83,8,594,-0.5102,-596.6099999999999,-67.709,3,25,8,0,8,4,0,11,4,11,0,18,4,1569,-2.8102,664,56,905,4,98,19,1,57,8,137,398,40,155,466,4,71,104,519,32,3,4,125,591,0.1574,11,96,115,1,70,33,21,265.4,591.7999999999998
00-0034855,Baker Mayfield,QB,TB,443,0.7897,12,459,21,3,58,12,1610,15,57,1,313,8,2430,0.1682,1114.4580000000008,124.164,12,76,21,0,8,25,3,53,25,61,2,84,29,3971,-2.0544,2386,142,1585,22,620,56,7,98,3,314,1889,207,363,2218,50,143,255,1814,62,31,206,335,2349,0.0702,18,214,171,17,57,40,42,410.11,1437.0799999999995
