id,name,pos,team,avoidedTackles,jukes,openFieldYards,powerSuccessRate,secondLevelYards,stuffedAttempts,success,winYards,yardsAfterContact,yardsBeforeContact,adjustedLineYards,adjustedLineYardsAvg,dvoa,dyar,epa,goalLineAttempts,goalLineTouchdowns,redZoneAttempts
16,,,,61,6,642,0.7407,595,68,171,899,861,870,1249.8268200000007,3.9677,-0.1548,201.79900000000012,-39.69000000000003,25,6,74
3,,,,55,8,358,0.5385,430,86,126,770,733,628,1191.2709300000008,3.7939,-0.2121,252.1899999999998,-30.714000000000045,21,8,53
24,,,,74,9,719,0.5854,524,79,163,997,936,835,1290.4658400000003,3.8753,-0.2378,472.22499999999974,-45.803000000000026,23,6,65
12,,,,74,10,751,0.5778,515,93,167,1048,988,701,1261.053240000001,3.6873,-0.1733,359.10699999999946,-51.52300000000001,24,4,84
25,,,,63,7,722,0.6739,481,87,168,904,881,797,1255.9969799999997,3.63,-0.1237,254.56499999999997,-52.47299999999997,27,11,81
2,,,,87,9,868,0.6852,620,84,207,1042,984,1067,1372.3656899999996,4.1461,-0.0361,108.12300000000002,-29.78399999999998,20,6,90
4,,,,88,8,1051,0.5208,551,109,170,1120,1049,914,1335.845279999999,3.6399,-0.1688,294.5379999999997,-55.28899999999997,27,3,78
1,,,,107,8,1000,0.6829,725,102,211,1464,1356,793,1548.2913900000005,4.0425,-0.0734,208.065,-1.531999999999994,25,5,78
6,,,,91,7,1047,0.7561,644,78,203,1348,1263,1054,1908.5985599999983,4.6325,0.0319,65.57800000000002,-7.0489999999999915,28,10,104
31,,,,78,8,1099,0.6071,603,111,203,1132,1086,1191,1484.2703400000003,3.6831,-0.0962,230.12600000000003,7.355000000000001,31,5,95
19,,,,90,8,864,0.7451,673,97,215,1328,1278,955,1863.3826799999997,4.3741,-0.0116,134.9460000000002,6.48400000000001,24,8,107
7,,,,82,13,916,0.6406,652,85,220,1301,1161,961,1473.9745200000004,4.1058,-0.0239,105.07899999999991,18.44999999999997,42,11,94
13,,,,86,6,962,0.6364,537,94,181,1084,1028,910,1329.1971300000012,3.5635,-0.2252,209.83800000000002,-37.25199999999999,16,3,57
14,,,,101,17,1099,0.5862,569,109,198,1526,1406,835,1725.5015999999991,3.9485,-0.1093,214.80500000000012,-56.15399999999999,26,5,88
15,,,,88,10,994,0.7838,750,97,216,1156,1125,1129,1754.9424000000001,4.3013,-0.0268,-161.7339999999999,3.1179999999999986,21,8,88
17,,,,104,12,828,0.7097,568,77,156,1197,1126,637,1341.1778999999985,4.0035,-0.0463,165.34299999999993,-41.70500000000001,17,4,69
5,,,,110,9,1321,0.6912,1004,82,303,1700,1617,1440,2466.2309999999993,5.085,0.1413,-259.8410000000004,64.86699999999998,36,10,126
20,,,,102,15,1050,0.6818,779,76,224,1255,1160,1244,1778.9279099999985,4.6086,0.0316,-62.687000000000026,18.356000000000016,28,8,70
18,,,,52,4,603,0.5882,583,72,144,893,820,768,1282.8335099999988,3.923,-0.2017,392.7779999999998,-82.12,15,3,62
21,,,,84,12,1228,0.6885,673,113,211,1486,1331,984,1584.1237200000003,3.7628,-0.1262,225.7059999999999,-1.239999999999989,28,7,95
23,,,,83,12,950,0.6829,597,101,173,1220,1126,836,1430.2899000000007,3.7739,-0.0744,241.8450000000002,-47.854000000000035,31,7,85
26,,,,65,4,912,0.5952,523,70,174,1063,1043,954,1470.1026599999996,4.2985,-0.0917,23.38100000000003,-38.225999999999985,10,2,52
28,,,,64,5,819,0.561,665,71,192,1109,1042,1011,1591.7687399999995,4.2905,-0.1256,275.526,-37.00099999999999,23,5,88
10,,,,89,10,736,0.6176,474,105,147,994,945,694,1233.2959799999996,3.5852,-0.2415,310.35500000000013,-47.95600000000002,13,2,54
8,,,,99,18,1311,0.6042,573,135,182,1314,1195,1010,1225.0150500000004,3.4028,-0.1064,174.24299999999994,-45.25799999999998,28,7,86
9,,,,93,4,1028,0.8261,706,70,217,1127,1108,1223,1619.4893399999994,4.4248,0.0146,-47.58500000000011,31.618999999999986,20,11,77
32,,,,82,8,1071,0.6735,777,89,210,1242,1193,1144,1674.4116600000002,4.2498,-0.0249,217.3680000000001,16.088,27,9,89
30,,,,58,7,727,0.7021,509,85,159,878,838,825,1080.5224799999999,3.6878,-0.1824,413.967,-24.719000000000005,27,9,74
29,,,,93,7,840,0.6531,751,73,201,1220,1185,1025,1627.20345,4.2709,-0.0505,110.21200000000005,-10.127000000000006,19,7,83
11,,,,70,5,766,0.7692,458,64,144,867,844,828,1038.0518700000007,3.7206,-0.1424,137.246,-11.187000000000015,17,6,65
27,,,,98,11,829,0.7234,727,90,208,1196,1071,1047,1686.9211799999994,4.1652,-0.0423,210.49,27.843999999999983,30,8,93
22,,,,94,9,801,0.75,759,99,222,1418,1330,729,1698.053130000001,4.1215,-0.0542,79.88099999999999,25.287000000000003,32,12,98
