id,name,pos,team,accurateThrows,adjustedCompletionPercentage,battedPasses,cleanPocketDropbacks,drops,explosiveInterceptions,explosiveThrows,explosiveTouchdowns,explosiveYards,highlightThrows,qbHits,spikes,successfulPlays,throwaways,yardsAfterCatch,dvoa,dyar,epa,turnover_battedPasses,brokenPasses,intWorthyThrows,pickSixes,turnover_throwaways,endZoneCompletions,endZoneInterceptions,endZoneThrows,endZoneTouchdowns,redZoneCompletions,redZoneInterceptions,redZoneThrows,redZoneTouchdowns,airYards,alex,catchableAirYards,droppedAirYards,prayerYards,twentyPlusCompletions,twentyPlusPassingYards,twentyPlusThrows,twentyPlusTouchdowns,closingCoverage,emptyRouteCoverage,manCoverage,manYards,openCoverage,singleHighRoutes,singleHighYards,stepSeparation,tightCoverage,twoHighRoutes,twoHighYards,wideOpen,zeroCoverageRoutes,zeroCoverageYards,zoneCoverage,zoneYards,adjustedSackRate,avoidedSacks,blitzes,pressures,qbFaultSacks,pressure_qbHits,sacks,scrambles,timeToPressure,timeToThrow
24,,,,352,0.7152,17,396,25,1,46,7,1530,5,102,5,232,17,1591,-0.0815,554.8859999999993,-51.672000000000004,17,84,17,1,17,6,3,30,6,23,3,57,7,4427,-0.4144,2313,244,2114,21,801,72,5,77,5,273,1236,171,360,1811,60,187,247,1328,27,19,87,353,1990,0.081,16,164,205,13,102,42,46,484.10000000000014,1455.8
9,,,,414,0.8313,9,407,23,2,58,13,1863,15,105,2,294,35,2178,0.3537,279.369,117.61200000000005,9,40,5,1,35,27,0,54,27,52,0,89,23,4315,-1.4856,2614,166,1701,30,1070,66,11,69,4,155,999,211,318,2472,83,112,294,1755,59,17,42,474,3270,0.0612,16,171,202,12,105,34,42,483.4,1522.4000000000012
26,,,,342,0.7371,13,381,21,6,37,6,1147,10,88,3,229,21,1794,-0.0531,182.744,-50.63899999999994,13,77,20,0,21,8,1,25,8,34,3,69,10,3798,-1.4337,1793,123,2005,15,604,54,4,50,4,129,451,196,260,1485,77,110,302,1531,53,23,37,456,2602,0.0891,13,149,186,18,88,45,39,451.2000000000001,1334.000000000001
16,,,,377,0.8004,6,365,21,2,45,3,1328,21,98,0,243,23,1856,0.0843,398.95700000000033,4.017999999999981,6,57,23,0,23,11,1,29,11,38,1,62,15,3428,-2.0491,2024,161,1404,20,633,52,1,21,2,209,1104,160,245,1324,124,137,292,1723,59,43,263,371,2206,0.0707,11,227,192,16,98,33,38,437.8999999999999,1341.9000000000005
30,,,,409,0.7813,11,403,21,1,55,11,1640,8,86,5,297,19,2148,0.0969,565.2319999999996,31.87199999999999,11,65,16,2,19,16,1,44,16,34,2,62,19,4474,-1.0792,2492,204,1982,16,555,61,5,75,5,186,1068,232,316,2153,73,130,295,1736,41,29,160,454,2981,0.0722,13,240,220,13,86,37,40,524.5,1480.1999999999998
2,,,,368,0.7243,8,410,21,6,49,11,1425,12,90,1,258,21,1623,-0.0138,405.68800000000016,-15.050999999999986,8,84,20,1,21,13,2,34,13,42,2,72,17,4586,-0.121,2416,71,2170,20,681,64,8,55,3,203,926,201,332,1896,69,151,277,1505,39,14,5,420,2480,0.1115,12,227,195,20,90,57,40,466.6,1399.5999999999997
8,,,,347,0.7614,7,355,27,1,43,7,1211,11,103,2,229,18,1646,-0.0551,342.4450000000006,-77.03300000000002,7,64,14,3,18,15,0,36,15,35,2,63,19,3640,-1.4312,1927,160,1713,21,654,65,5,40,2,228,995,209,347,1502,66,106,192,1168,47,23,173,334,1848,0.1088,13,159,197,19,103,53,24,491.50000000000006,1259.8999999999992
7,,,,389,0.7618,4,403,23,3,60,8,1700,10,78,1,279,20,2446,0.2688,326.3609999999995,78.3809999999999,4,71,13,1,20,18,2,44,18,54,4,88,27,4000,-1.2434,2163,178,1837,19,590,57,4,61,2,219,1221,211,350,2321,61,126,218,1522,59,38,117,387,2739,0.0637,16,129,181,9,78,34,39,470.79999999999995,1507.0000000000016
17,,,,394,0.8071,2,413,14,3,50,8,1366,7,75,1,283,17,2018,0.2201,332.12200000000024,67.75300000000001,2,53,16,0,17,18,3,34,18,48,3,69,24,3766,-1.4466,2081,90,1685,18,549,52,4,51,1,162,908,228,263,1903,51,115,313,1720,60,15,38,429,2753,0.0757,13,216,157,10,75,39,38,397.90000000000003,1374.5
14,,,,445,0.7535,12,473,28,2,57,3,1622,13,93,5,307,20,1950,0.0521,425.9589999999999,29.439999999999994,12,77,17,1,20,17,3,51,17,54,5,107,21,4909,-1.0558,2970,275,1939,29,869,72,3,70,6,251,1439,236,346,2256,94,164,304,1825,43,40,132,439,2774,0.0654,12,212,204,12,93,39,30,514.3999999999999,1723.600000000002
5,,,,375,0.7722,12,430,20,7,42,6,1317,2,53,2,252,24,1721,0.1256,529.7350000000002,43.453000000000046,12,61,19,2,24,9,4,31,9,43,3,68,14,3785,-1.5464,2274,105,1511,17,616,53,2,67,3,121,797,228,291,1674,53,101,259,1751,38,12,47,441,2675,0.0631,8,158,121,7,53,30,28,287.70000000000005,1367.5000000000005
15,,,,440,0.7398,9,489,22,5,46,8,1369,8,91,1,282,27,1702,-0.0649,354.6970000000005,-78.619,9,102,28,2,27,15,2,45,15,44,2,80,18,5059,-0.5984,2699,156,2360,26,867,78,4,76,1,165,843,226,321,1574,102,176,353,1976,39,27,157,536,2864,0.0551,13,212,188,11,91,32,35,437.70000000000005,1643.499999999999
19,,,,386,0.7822,6,410,20,3,42,6,1098,13,86,2,250,17,1636,0.1591,30.80900000000039,-38.869000000000035,6,64,22,1,17,16,1,31,16,34,2,57,19,3870,-1.6414,2093,115,1777,18,546,57,2,65,3,181,970,214,330,1860,49,116,240,1289,65,18,141,407,2320,0.0721,14,162,161,13,86,34,29,379.7000000000001,1404.7999999999993
23,,,,385,0.7974,16,415,15,3,37,6,1209,8,81,3,266,16,1702,0.0387,430.79799999999983,38.74699999999997,16,51,15,0,16,12,1,39,12,54,3,82,17,3923,-1.5305,2183,102,1740,20,673,58,3,55,3,119,603,219,307,1968,59,108,259,1298,67,24,151,471,2814,0.0706,6,130,156,17,81,36,32,389.63999999999993,1417.5999999999995
