id,name,pos,team,catchableTargets,contestedReceptions,contestedTargets,createdCatches,drops,explosiveReceptions,explosiveTouchdowns,explosiveYards,firstReadTargets,missedTackles,success,dvoa,dyar,epa,endZoneTargets,endZoneTouchdowns,redZoneTargets,redZoneTouchdowns,airYards,catchableAirYards,droppedAirYards,prayerYards,deepReceptions,deepTargets,deepTouchdowns,deepYards,backfieldRoutes,backfieldYards,closingCoverage,emptyRouteCoverage,emptyRouteYards,inlineRoutes,inlineYards,manCoverage,manYards,offlineRoutes,offlineYards,openCoverage,outWideRoutes,outWideYards,singleHighRoutes,singleHighYards,slotRoutes,slotYards,stepSeparation,tightCoverage,twoHighRoutes,twoHighYards,wideOpen,zeroCoverageRoutes,zeroCoverageYards,zoneCoverage,zoneYards
00-0037247,George Pickens,WR,DAL,103,11,23,7,5,22,5,667,114,20,87,0.2447,408.45900000000006,88.73899999999998,20,7,23,4,0,1022,39,525,10,22,2,320,0,0,25,0,0,0,0,207,607,0,0,36,529,1314,241,807,55,115,33,40,317,544,2,26,78,377,822
00-0036358,CeeDee Lamb,WR,DAL,84,8,18,3,8,16,1,548,95,8,64,0.0598,172.4959999999999,28.992000000000004,14,3,17,2,0,889,124,514,12,21,1,454,6,17,16,0,0,0,0,146,599,0,0,38,278,728,169,488,148,332,21,32,242,534,7,21,55,286,478
00-0034351,Dallas Goedert,TE,PHI,62,1,4,0,3,7,1,190,50,5,48,0.1303,115.41299999999994,36.12100000000001,5,3,15,10,0,341,16,242,4,6,1,114,2,5,14,0,0,55,73,141,92,103,204,38,59,91,204,274,196,218,8,15,180,299,5,31,18,274,499
00-0035243,,,,8,0,0,0,0,0,0,0,0,2,3,-0.2243,-3.894000000000002,-1.5150000000000001,0,0,1,0,0,-14,0,0,0,0,0,0,36,30,4,0,0,0,0,15,0,0,0,1,0,0,19,15,0,0,1,0,14,15,2,3,0,21,30
00-0037666,Jalen Tolbert,WR,MIA,19,3,8,2,0,2,1,69,19,2,14,-0.2439,-32.70100000000001,3.8550000000000004,5,1,4,0,0,162,0,246,2,5,1,69,2,0,7,0,0,0,0,101,50,0,0,8,135,150,126,119,115,53,6,12,117,84,1,9,0,151,153
00-0036912,DeVonta Smith,WR,PHI,86,6,16,8,5,14,2,481,84,3,61,0.0349,139.86399999999998,55.31600000000001,9,3,11,2,0,842,45,513,8,21,2,335,1,7,16,0,0,0,0,162,237,0,0,47,205,646,225,569,272,355,10,38,211,356,2,42,83,316,771
00-0036876,,,,7,0,0,0,0,0,0,0,5,0,6,-0.4693,-27.241,-1.866,0,0,1,0,0,27,0,41,0,1,0,0,1,1,2,0,0,19,12,33,6,35,15,5,9,5,50,10,27,7,0,2,35,30,0,6,0,58,34
00-0038041,Jake Ferguson,TE,DAL,85,7,12,3,2,2,1,49,58,7,48,-0.1882,-79.606,17.999,12,6,24,7,0,315,2,160,0,4,0,0,9,27,12,0,0,106,173,189,164,100,94,37,35,44,213,220,257,262,14,31,270,379,7,24,1,318,436
00-0037801,KaVontae Turpin,WR,DAL,31,2,2,1,4,5,1,219,20,4,20,0.147,78.70400000000002,16.723,4,1,5,1,0,201,19,138,3,5,1,150,8,7,7,0,0,0,0,85,158,0,0,13,54,131,99,203,172,258,6,4,125,192,8,10,1,149,238
00-0037741,Jahan Dotson,WR,ATL,19,2,4,1,1,4,1,149,25,0,12,-0.2692,-39.276,-15.058,3,0,5,0,0,216,4,339,4,10,1,149,3,4,7,0,0,0,0,150,110,1,0,8,225,227,172,57,146,31,3,16,167,165,1,36,40,225,152
00-0034844,Saquon Barkley,RB,PHI,42,0,0,1,4,2,1,88,7,6,19,-0.1105,7.810999999999999,-4.0280000000000005,1,0,7,1,0,-34,-11,65,1,3,1,47,331,251,7,0,0,0,0,136,123,3,7,29,32,13,186,145,18,2,2,2,160,111,10,38,17,248,150
00-0039530,,,,9,2,4,0,0,2,0,54,7,1,7,0.0784,13.947999999999999,-0.6429999999999998,1,1,2,1,0,57,0,50,0,1,0,0,3,2,1,0,0,32,18,26,13,38,4,5,2,0,40,39,21,66,2,4,50,47,1,6,4,70,77
00-0036997,Javonte Williams,RB,DAL,39,0,4,0,2,0,0,0,7,4,13,-0.4511,-94.02400000000002,-22.737,1,0,12,2,0,-71,5,4,0,0,0,0,388,129,11,0,0,0,0,169,33,19,0,20,11,0,192,36,15,8,4,8,222,101,7,19,0,264,104
00-0038547,,,,17,2,7,1,2,1,0,29,12,2,10,-0.1494,-11.392000000000003,3.641,1,0,2,0,0,60,5,105,0,3,0,0,0,0,4,0,0,89,37,54,12,33,35,4,9,29,74,34,35,31,4,8,80,98,3,12,0,112,120
00-0035676,A.J. Brown,WR,NE,89,17,31,7,5,14,4,405,103,10,64,0.018,136.10700000000006,33.679,8,4,13,3,0,909,77,516,8,22,4,263,1,0,15,0,0,0,0,152,486,0,0,42,385,856,202,599,57,147,19,44,199,314,1,42,90,291,517
00-0039894,Xavier Worthy,WR,KC,51,0,6,1,3,9,0,264,50,6,34,-0.1342,-4.359000000000006,14.827000000000002,5,0,6,1,0,413,11,531,4,17,0,137,8,27,2,0,0,0,0,115,163,0,0,21,263,409,192,380,107,96,24,18,169,146,7,17,6,263,369
00-0038544,Quentin Johnston,WR,LAC,54,6,10,1,3,13,4,437,64,11,37,-0.0127,75.039,23.909000000000006,9,4,15,4,0,574,55,415,9,19,3,319,2,0,7,2,0,0,0,170,300,0,0,33,380,554,232,489,61,181,15,27,192,196,2,17,50,271,435
00-0039915,Ladd McConkey,WR,LAC,71,1,8,0,3,8,2,248,63,9,52,-0.0398,69.78400000000002,7.232999999999994,12,5,15,4,0,533,27,513,3,14,2,83,1,0,7,1,0,0,0,212,342,6,9,42,181,339,273,405,332,441,21,27,222,358,9,24,26,307,447
00-0030506,Travis Kelce,TE,KC,83,2,10,0,6,9,2,264,62,6,63,0.1126,131.025,39.360999999999976,5,3,12,3,0,499,46,236,2,10,0,59,8,28,4,1,0,35,89,198,285,157,140,33,120,182,282,429,230,412,33,31,245,360,7,22,62,351,566
00-0033857,,,,34,0,2,0,0,3,0,81,24,5,29,0.045,58.82099999999999,2.6240000000000028,4,1,9,1,0,156,0,88,0,1,0,0,1,0,2,0,0,1,0,133,57,2,0,19,186,154,178,188,160,191,11,10,158,149,3,14,8,217,288
00-0038104,Tyquan Thornton,WR,KC,23,2,6,0,0,11,1,378,21,0,18,0.2946,118.95900000000002,26.247000000000007,9,4,4,2,0,539,0,456,8,23,1,312,0,0,1,0,0,0,0,93,140,0,0,11,151,239,118,240,80,199,12,10,108,198,3,5,0,138,298
00-0035662,,,,51,4,7,2,2,7,0,248,44,2,41,0.054,105.97000000000003,22.347,6,4,10,5,0,434,20,402,5,12,0,208,6,15,1,0,0,0,0,117,168,0,0,23,222,265,178,296,134,307,19,23,172,268,7,12,23,245,419
00-0030279,,,,93,10,26,4,3,6,1,165,86,6,66,-0.077,47.58199999999997,34.92199999999999,12,4,16,4,0,671,31,356,4,14,1,111,2,7,17,1,0,0,0,187,241,0,0,34,251,396,228,419,178,374,26,32,180,328,12,22,30,243,536
00-0034270,,,,10,0,1,0,2,2,0,54,7,2,4,-0.3428,-18.099,-3.6809999999999996,0,0,0,0,0,45,-1,0,0,0,0,0,1,17,0,0,0,14,36,29,3,17,0,6,11,0,39,3,34,48,1,1,34,98,2,4,0,48,98
00-0036893,,,,3,0,0,0,0,0,0,0,0,2,2,0.932,12.686,1.312,0,0,0,0,0,10,0,0,0,0,0,0,19,25,0,0,0,0,0,10,5,1,0,3,1,0,8,20,0,0,0,0,10,5,0,3,0,11,20
00-0040184,,,,6,1,3,0,1,0,0,0,7,0,4,-0.252,-10.37,-4.916,2,1,2,1,0,35,5,176,0,4,0,0,0,0,1,0,0,0,0,32,10,2,0,3,59,51,37,10,9,0,1,5,30,41,2,3,0,38,41
00-0037197,Isiah Pacheco,RB,DET,24,0,0,0,4,1,0,31,5,0,8,-0.3962,-39.574999999999996,-4.677999999999999,0,0,4,1,0,-21,-4,-6,0,0,0,0,221,101,1,0,0,0,0,66,17,2,0,16,12,0,122,28,6,0,3,3,114,68,3,5,5,175,84
00-0033923,Kareem Hunt,RB,FA,19,0,2,0,1,1,0,22,7,3,11,0.1648,39.80500000000001,1.3830000000000005,2,1,5,1,0,-10,0,10,0,0,0,0,278,143,0,1,0,1,0,121,42,3,0,11,7,0,157,68,7,0,7,3,122,62,4,16,13,174,101
