id,name,pos,team,avoidedTackles,jukes,openFieldYards,powerSuccessRate,secondLevelYards,stuffedAttempts,success,winYards,yardsAfterContact,yardsBeforeContact,adjustedLineYards,adjustedLineYardsAvg,dvoa,dyar,epa,goalLineAttempts,goalLineTouchdowns,redZoneAttempts
00-0036997,Javonte Williams,RB,DAL,59,1,457,0.75,359,29,115,724,717,484,1191.8715900000002,4.7296,0.1268,240.221,10.051000000000002,20,8,54
00-0037801,KaVontae Turpin,WR,DAL,4,1,25,0,30,2,7,50,46,43,0,0,-0.1753,17.795999999999996,-3.174,0,0,0
00-0034844,Saquon Barkley,RB,PHI,66,9,515,0.6,405,68,105,596,566,574,886.6065900000004,3.1665,-0.1557,-78.46899999999992,-29.85599999999998,14,1,43
00-0036389,Jalen Hurts,QB,PHI,4,0,183,0.6923,154,28,52,39,39,382,0,0,-0.2085,-31.996000000000002,13.692000000000005,12,5,27
00-0039746,Will Shipley,RB,PHI,0,0,20,0,7,4,4,17,17,32,34.57461000000001,2.4696,-0.5325,-22.642999999999997,-3.598,0,0,0
00-0035243,,,,7,2,49,0,27,2,9,69,69,48,92.49035999999998,4.6245,-0.0104,6.047000000000002,-1.6829999999999996,1,0,6
00-0033077,Dak Prescott,QB,DAL,0,0,66,0.7143,87,21,22,23,23,154,0,0,-0.0268,5.616,-13,7,1,12
00-0036265,,,,3,0,11,0,32,1,5,39,39,21,53.67588,4.473,0.3184,18.305,-0.17200000000000004,0,0,2
00-0037197,Isiah Pacheco,RB,DET,17,0,117,0.6667,142,11,41,277,277,185,507.12201000000005,4.2976,-0.0133,36.847000000000016,-15.392999999999992,0,0,20
00-0039894,Xavier Worthy,WR,KC,2,0,65,1,22,3,7,9,9,78,0,0,0.325,43.506,3.584,0,0,0
00-0036355,Justin Herbert,QB,LAC,2,0,316,0.8235,102,15,48,23,23,475,0,0,-0.0165,15.234000000000005,14.007999999999996,3,2,13
00-0040666,Omarion Hampton,RB,LAC,36,2,259,0.6429,117,30,52,319,308,237,479.3041200000002,3.8654,-0.036,27.832000000000008,-5.268000000000002,8,0,26
00-0033873,Patrick Mahomes,QB,KC,0,0,235,1,161,10,39,1,1,421,0,0,0.7721,18.866,24.932000000000002,2,1,15
00-0033923,Kareem Hunt,RB,FA,27,3,145,0.8261,202,22,78,350,338,273,694.4334599999996,4.2603,0.0656,126.30999999999992,8.190999999999999,15,7,38
00-0038573,,,,2,1,0,0,0,0,0,10,7,-2,0,0,-0.4048,-0.192,-0.622,0,0,0
00-0036893,,,,7,0,0,1,33,2,7,42,42,19,75.22773,5.0152,0.1559,17.181,-1.1129999999999995,0,0,1
00-0034270,,,,0,0,0,1,0,0,1,1,1,1,0,0,0.1946,5.983,0.539,0,0,0
00-0037263,Tyler Allgeier,RB,ARI,24,1,191,0.6087,173,30,57,302,304,210,504.6939899999999,3.5293,-0.0021,52.949000000000005,-14.589000000000002,10,4,32
00-0039361,Bucky Irving,RB,TB,38,2,160,0.6154,206,37,60,311,315,273,648.97647,3.7513,-0.2377,-108.31299999999995,-35.991,0,0,18
00-0039917,Michael Penix Jr.,QB,ATL,0,0,27,1,22,8,9,0,0,70,0,0,0,0,7.111999999999999,2,0,3
00-0034855,Baker Mayfield,QB,TB,0,0,252,1,102,10,32,3,3,379,0,0,-0.1002,0.4450000000000003,34.95200000000001,1,0,9
00-0038542,Brian Robinson Jr.,RB,ATL,96,18,701,0.4211,411,43,118,1036,902,576,1159.3710899999996,4.0396,0.0572,174.4690000000001,-16.861000000000015,10,1,35
00-0038951,Sean Tucker,RB,TB,16,1,127,0.7333,98,20,32,168,166,154,347.78214000000014,4.044,-0.0849,0.38400000000000156,-4.145999999999998,11,4,21
00-0037256,Rachaad White,RB,WAS,22,3,192,0.75,197,15,64,252,240,332,642.9275700000003,4.8707,0.1368,131.30100000000002,8.043,8,3,18
00-0040129,Emeka Egbuka,WR,TB,0,0,0,0,9,1,1,2,2,7,0,0,-0.289,1.1720000000000006,-0.735,0,0,0
00-0038597,Chase Brown,RB,CIN,53,4,394,0.7333,281,27,93,607,577,442,893.0784900000003,3.8495,0.1166,196.015,-7.572000000000001,12,2,36
00-0040162,Dylan Sampson,RB,CLE,21,0,56,1,43,18,17,159,159,16,169.24653,2.6038,-0.3989,-81.608,-16.823999999999998,0,0,7
00-0037267,,,,3,1,22,0.75,25,4,8,48,43,30,81.70103999999999,3.4042,-0.0781,0.7959999999999998,-3.0179999999999993,3,0,4
00-0040466,,,,5,0,14,0.5556,29,6,11,72,72,20,125.39553000000001,4.6443,-0.1856,-14.658,-0.31900000000000095,4,1,7
00-0040663,Harold Fannin Jr.,TE,CLE,1,0,0,0.6667,0,1,2,9,9,4,0,0,-0.3718,0.649,-1.7710000000000001,1,1,2
00-0036442,Joe Burrow,QB,CIN,0,0,0,1,17,1,7,2,2,39,0,0,0.2818,14.779,3.562,1,0,2
00-0026158,Joe Flacco,QB,CIN,0,0,25,0.7143,8,11,10,5,5,30,0,0,-0.1135,0.5489999999999995,5.423000000000001,3,1,7
00-0036223,J'Mari Taylor,RB,JAX,104,14,755,0.7143,402,49,143,1014,888,697,1361.6708399999998,4.2288,0.1498,338.7719999999999,12.878999999999996,23,7,70
00-0035710,Daniel Jones,QB,IND,0,0,90,0.9286,28,9,26,4,4,160,0,0,0.0655,24.218000000000004,16.868000000000002,6,4,16
00-0039040,De'Von Achane,RB,MIA,58,3,810,0,329,49,91,719,691,659,1000.03404,4.2018,0.124,194.162,13.672000000000006,5,0,32
00-0040128,Tyler Warren,TE,IND,2,1,0,0.5,0,2,3,10,8,0,0,0,0.15,23.297,-4.337000000000001,3,1,4
00-0040198,Ollie Gordon II,RB,MIA,11,1,72,0.6316,78,20,28,108,107,92,209.36526,2.9909,-0.208,-42.139,-9.568,6,2,19
00-0040179,DJ Giddens,RB,IND,4,0,22,0.5,54,4,11,59,59,37,104.10875999999999,4.0042,-0.0977,-1.320000000000002,-0.8619999999999999,1,0,5
00-0035021,,,,3,1,37,0,7,0,3,44,29,15,0,0,1.5576,30.081000000000003,3.911,0,0,2
00-0039880,Malik Washington,WR,MIA,8,1,46,0,47,2,8,53,46,64,0,0,0.269,54.118,0.11899999999999955,0,0,3
00-0036212,Tua Tagovailoa,QB,ATL,0,0,0,0,21,8,3,0,0,43,0,0,0,0,-7.471,0,0,2
00-0040476,,,,0,0,0,0,0,1,0,1,1,-1,-0.60066,-0.6007,-0.6544,-0.969,-0.795,0,0,0
00-0037013,,,,0,0,0,0,0,2,0,0,0,1,0,0,0,0,-0.239,0,0,0
