targets,yards_per_coverage_snap,draft_season,missed_tackles,catch_rate,team_name,tackles,coverage_percent,jersey_number,dropped_ints,player_game_count,eligible_season,grades_tackle,yards,receptions,forced_incompletion_rate,grades_coverage_defense,interceptions,snap_counts_coverage,grades_run_defense,snap_counts_pass_play,penalties,forced_incompletes,team,coverage_snaps_per_target,stops,declined_penalties,position,longest,missed_tackle_rate,grades_defense,yards_per_reception,grades_defense_penalty,player,franchise_id,yards_after_catch,avg_depth_of_target,pass_break_ups,qb_rating_against,coverage_snaps_per_reception,assists,grades_pass_rush_defense,player_id,touchdowns
0,0,2008,4,,MIA,2,3.1,93,0,17,2008,28.2,0,0,,63.5,0,13,85.9,414,0,0,MIA,,6,0,DI,,57.1,82.3,,89.9,Calais Campbell,17,0,,0,0,,1,66.2,4364,0
1,0.3,2010,3,100,PHI,2,8.2,55,0,12,2010,30,5,1,0,52.6,0,16,79.9,194,1,0,PHI,16,6,0,ED,5,60,79.3,5,65,Brandon Graham,24,8,-3,0,87.5,16,0,72.7,5538,0
2,0.1,2010,0,50,BUF,2,93.5,27,0,1,2010,80,4,1,0,65.9,0,29,60,31,0,0,BUF,14,0,0,S,4,0,67.6,4,90.6,Kareem Jackson,4,0,8.5,0,56.3,28,1,57.1,5545,0
0,0,2010,0,,HST,1,5.4,52,0,7,2010,74.5,0,0,,60.9,0,3,55.3,56,0,0,HST,,0,0,ED,,0,51.3,,83.8,Jerry Hughes,13,0,,0,0,,0,48.9,5556,0
0,0,2011,2,,BUF,3,5,40,0,16,2011,53.3,0,0,,69.9,0,13,65.5,262,2,0,BUF,,7,0,ED,,33.3,85.5,,47.2,Von Miller,4,0,,0,0,,1,84.5,6154,0
0,0,2011,1,,NO,4,2.3,94,0,17,2011,44.6,0,0,,73.6,1,8,54.5,349,1,0,NO,,7,0,ED,,14.3,57.4,,78.1,Cameron Jordan,20,0,,0,0,,2,54.3,6176,0
2,-1,2011,0,100,WAS,1,80,57,0,4,2011,73.2,-4,2,0,79.8,0,4,63.2,5,0,0,WAS,2,1,0,LB,2,0,86.2,-2,68.6,Nick Bellore,32,3,-3.5,0,79.2,2,0,60,6515,0
87,1,2012,5,66.7,MIN,42,99.8,02,0,16,2012,60.5,581,58,10.3,59.2,1,611,72.6,612,5,9,MIN,6.7,16,0,CB,27,9.1,62.2,10,88,Stephon Gilmore,18,250,8,9,99.8,10,8,58.8,7016,5
45,0.6,2012,3,68.9,WAS,28,84.1,54,0,20,2012,86.3,353,31,6.7,63.8,0,610,91.2,725,2,3,WAS,12.6,15,0,LB,32,7.1,88.3,11.4,70.8,Bobby Wagner,32,215,6,3,99.6,18.3,11,90.9,7050,1
92,1.3,2012,13,84.8,TB,49,80.8,54,0,18,2012,47.6,737,78,5.4,56.9,1,621,77.6,769,2,5,TB,6.4,24,0,LB,49,17.8,67.9,9.4,86.2,Lavonte David,30,425,4.6,4,106.4,7.5,11,65.4,7060,3
