targets,grades_pass_block,grades_offense,yards_after_contact,explosive,grades_pass_route,draft_season,elu_rush_mtf,breakaway_attempts,designed_yards,team_name,yprr,breakaway_percent,grades_pass,fumbles,first_downs,elusive_rating,jersey_number,breakaway_yards,player_game_count,eligible_season,total_touches,scramble_yards,yco_attempt,yards,grades_run_block,receptions,zone_attempts,scrambles,grades_run,penalties,attempts,elu_yco,elu_recv_mtf,team,declined_penalties,ypa,drops,position,grades_hands_fumble,longest,routes,player,franchise_id,rec_yards,gap_attempts,run_plays,avoided_tackles,grades_offense_penalty,player_id,touchdowns
54,60.5,85.3,1446,55,67,2018,80,32,2504,PHI,0.94,44.2,60,2,99,64,26,1107,20,2018,482,0,3.32,2504,67.6,46,245,0,84.7,1,436,1446,13,PHI,0,5.7,2,HB,86.3,78,375,Saquon Barkley,24,353,184,538,80,72.9,45791,18
23,61.2,94.1,1323,53,62.4,2016,87,30,2191,BLT,0.98,42.4,,3,105,87.8,22,930,19,2016,386,0,3.6,2191,55.5,19,205,0,93.5,2,367,1323,7,BLT,0,6,2,HB,73.1,87,197,Derrick Henry,3,193,160,442,87,34.3,10679,19
42,41,69.1,967,31,55.2,2022,60,9,1481,LA,0.49,13.1,,6,91,46,23,194,18,2022,389,0,2.75,1481,53.8,38,166,0,74.3,1,351,967,5,LA,0,4.2,1,HB,47.6,30,402,Kyren Williams,26,197,178,400,60,69.2,97118,14
44,55.3,92.3,1113,34,89.2,2019,78,12,1410,GB,1.44,22.2,,5,75,96.5,08,313,18,2019,358,0,3.49,1410,55.2,39,167,0,91.3,1,319,1113,21,GB,0,4.4,0,HB,61.8,38,265,Josh Jacobs,12,382,150,365,78,63.7,45953,16
70,51.6,92.8,920,34,82.2,2023,69,12,1456,ATL,1.11,17.3,,1,81,72.1,07,252,17,2023,365,0,3.03,1456,78.8,61,231,0,92.8,3,304,920,18,ATL,1,4.8,2,HB,91.6,37,389,Bijan Robinson,2,431,71,336,69,89.8,123126,14
30,43.4,57.1,813,31,36.9,2020,36,17,1431,IND,0.5,35.6,,4,71,35.1,28,510,14,2020,321,0,2.68,1431,44,18,154,0,64.1,2,303,813,6,IND,0,4.7,3,HB,55.7,70,270,Jonathan Taylor,14,136,149,367,36,63,57488,11
53,52.4,75.8,839,33,65.7,2017,42,13,1212,HST,1.23,28.1,54.9,1,60,47.5,28,340,16,2017,326,0,2.92,1212,74.5,39,190,0,76.5,3,287,839,11,HST,0,4.2,3,HB,87.5,59,272,Joe Mixon,13,334,94,311,42,29.5,11803,13
49,56.1,77.2,776,30,63.4,2021,61,11,1060,PIT,1.39,24.2,,0,51,72.1,22,256,18,2021,308,0,2.88,1060,65.9,39,192,0,77.5,1,269,776,16,PIT,0,3.9,5,HB,91.3,36,233,Najee Harris,25,324,76,309,61,55.6,57121,6
64,51.7,75.4,796,26,70.6,2017,46,9,1186,MIN,1.21,18.3,,5,50,48,33,217,18,2017,322,0,2.97,1186,40.1,54,162,0,76.5,1,268,796,6,MIN,0,4.4,3,HB,44.1,41,347,Aaron Jones,18,420,103,313,46,63.1,11937,5
73,23.1,90.1,868,46,74.8,2023,65,27,1517,DET,1.69,42.1,,1,76,77.6,26,638,18,2023,322,0,3.29,1517,72.5,58,173,0,91.4,4,264,868,11,DET,0,5.7,2,HB,86.5,70,347,Jahmyr Gibbs,11,587,85,284,65,6.4,122474,18
44,59.5,86.2,842,26,65.1,2022,46,14,1281,BUF,1.25,31,,1,63,53.2,04,397,19,2022,298,0,3.24,1281,30.8,38,134,0,88.6,1,260,842,3,BUF,0,4.9,3,HB,86.1,65,258,James Cook,4,322,125,298,46,55.9,83666,19
55,54.4,68.7,884,30,51.6,2019,38,13,1079,TEN,0.79,26.1,,2,53,47.4,20,282,16,2019,301,0,3.4,1079,74.1,41,99,0,73.5,2,260,884,4,TEN,1,4.2,8,HB,76.2,41,301,Tony Pollard,31,238,150,310,38,37.1,27126,5
50,28.3,61.3,623,18,59.5,2020,37,9,959,CHI,1.09,25.4,,2,43,36.7,04,244,17,2020,295,0,2.46,959,35.7,42,111,0,65.7,5,253,623,7,CHI,1,3.8,1,HB,75,56,353,D'Andre Swift,6,386,126,294,37,65.2,57212,6
52,56.9,75.4,865,26,39.5,2021,46,15,1195,CAR,0.51,28.2,,4,62,63.8,30,337,15,2021,293,0,3.46,1195,63.3,43,163,0,86.3,0,250,865,8,CAR,0,4.8,1,HB,52.3,38,336,Chuba Hubbard,5,171,81,275,46,89.2,57373,10
53,76.9,90.4,779,34,67.3,2017,62,16,1094,ARZ,1.54,31,,4,65,93.3,06,339,16,2017,283,0,3.3,1094,66.6,47,70,0,90.6,0,236,779,18,ARZ,0,4.6,2,HB,63.2,53,269,James Conner,1,414,162,278,62,88.9,11860,8
49,62.1,73.9,771,26,64.9,2020,45,9,1079,DAL,0.88,15.8,,3,53,63.5,23,170,16,2020,274,0,3.28,1079,54.3,39,150,0,74.4,0,235,771,8,DAL,0,4.6,3,HB,61.3,27,283,Rico Dowdle,9,249,69,276,45,88.8,40693,2
63,62.3,75.7,706,23,76.8,2023,45,10,990,CIN,1.06,23.7,,2,49,63.2,30,235,16,2023,283,0,3.08,990,61.1,54,128,0,73.8,2,229,706,13,CIN,1,4.3,3,HB,73.9,40,339,Chase Brown,7,360,95,249,45,36.5,77787,7
87,38.7,73.7,629,25,64.7,2017,41,10,950,NO,1.75,19.1,,1,52,45.7,41,181,14,2017,296,0,2.76,950,58,68,167,0,76.6,0,228,629,8,NO,0,4.2,7,HB,85.3,24,311,Alvin Kamara,20,543,47,265,41,87.6,11822,6
30,59.8,74.4,595,15,62,2017,31,3,845,KC,0.78,6.2,,0,50,40.1,29,52,16,2017,254,0,2.61,845,60.6,26,141,0,74.9,0,228,595,8,KC,0,3.7,0,HB,91,20,242,Kareem Hunt,16,189,80,255,31,88.8,11841,9
52,28.9,90.8,881,29,90.5,2024,57,15,1199,TB,1.62,34.9,,2,55,106.6,07,419,18,2024,273,0,3.93,1199,55.2,49,89,0,90,1,224,881,17,TB,0,5.4,1,HB,72.9,56,246,Bucky Irving,30,398,123,257,57,87.5,144970,8
29,46,71.5,670,22,70.1,2022,33,11,928,WAS,0.76,27.3,,2,54,48.7,08,253,17,2022,247,0,3,928,57.3,24,116,0,70.9,1,223,670,7,WAS,0,4.2,1,HB,70,40,237,Brian Robinson,32,181,100,292,33,90.7,57120,10
75,57.7,62,636,26,47.5,2022,36,11,876,NYJ,1.26,26.3,,6,38,59.5,20,230,16,2022,266,0,3.04,876,67.5,57,124,0,68.7,2,209,636,16,NYJ,0,4.2,8,HB,30,42,384,Breece Hall,22,483,82,233,36,40,97636,5
39,59.2,69.6,601,22,63.3,2021,40,7,801,NE,0.62,18.4,,7,40,60.5,38,147,15,2021,240,0,2.9,801,71.3,33,83,0,70.3,4,207,601,10,NE,1,3.9,1,HB,28.1,33,273,Rhamondre Stevenson,19,168,119,225,40,60,98689,7
36,69.6,66.6,611,27,54.5,2020,38,10,931,LAC,0.67,31.8,,0,49,53.3,27,296,14,2020,236,0,3,931,68.9,32,81,0,67.1,0,204,611,4,LAC,0,4.6,2,HB,90.8,61,227,J.K. Dobbins,27,153,120,229,38,87.3,57366,9
85,15.7,81.6,590,21,80.6,2023,32,10,907,MIA,1.45,31.5,,1,37,49.6,28,286,17,2023,281,0,2.91,907,40.4,78,121,0,82.8,1,203,590,16,MIA,1,4.5,1,HB,83.9,61,408,De'Von Achane,17,592,69,249,32,66.9,124305,6
50,35.1,58.4,546,18,40.6,2024,34,10,839,NYG,0.92,31.3,,4,39,55.6,29,263,17,2024,230,0,2.84,839,40,38,99,0,69.6,0,192,546,11,NYG,0,4.4,6,HB,29.8,45,310,Tyrone Tracy,21,284,81,234,34,89.7,84226,5
37,47.4,85.9,603,18,90.7,2019,42,5,803,DET,2.16,11.1,70.4,2,52,79.9,05,89,15,2019,228,0,3.14,803,60,36,124,0,80.1,1,192,603,16,DET,0,4.2,0,HB,68.1,21,158,David Montgomery,11,341,64,201,42,40.9,45719,12
0,,81.6,445,24,,2020,14,4,370,PHI,,12.1,71,10,74,15.9,01,100,19,2020,136,454,2.42,824,60.1,0,22,48,91.1,5,184,210,0,PHI,0,4.5,0,QB,56.4,44,0,Jalen Hurts,24,0,34,599,25,61.3,40291,19
0,,90.6,666,32,58.4,2024,18,5,357,WAS,0,11.6,84.7,5,64,42.8,05,119,20,2024,96,669,3.64,1026,60.5,0,25,87,90,2,183,219,0,WAS,1,5.6,0,QB,75.5,46,1,Jayden Daniels,32,0,41,497,51,90.8,97993,7
