targets,interception_touchdowns,draft_season,forced_fumbles,missed_tackles,catch_rate,team_name,tackles,jersey_number,snap_counts_offball,snap_counts_box,sacks,snap_counts_pass_rush,player_game_count,eligible_season,snap_counts_dl,grades_tackle,yards,receptions,grades_coverage_defense,hurries,interceptions,snap_counts_coverage,snap_counts_dl_over_t,snap_counts_dl_a_gap,fumble_recoveries,grades_run_defense,snap_counts_corner,hits,penalties,batted_passes,team,stops,declined_penalties,total_pressures,position,fumble_recovery_touchdowns,longest,snap_counts_slot,missed_tackle_rate,grades_defense,yards_per_reception,grades_defense_penalty,safeties,player,franchise_id,snap_counts_defense,yards_after_catch,snap_counts_dl_b_gap,pass_break_ups,qb_rating_against,snap_counts_run_defense,tackles_for_loss,assists,grades_pass_rush_defense,player_id,snap_counts_fs,touchdowns,snap_counts_dl_outside_t
0,0,2008,0,7,,ARZ,26,93,3,3,6,339,17,2008,521,35.5,0,0,69.2,18,0,2,217,6,0,69.2,0,9,1,2,ARZ,24,1,33,DI,0,,0,16.7,72.2,,73.1,0,Calais Campbell,1,524,0,258,0,0,183,3,9,65.1,4364,0,0,40
0,0,2010,0,3,,PHI,3,55,1,0,3,69,10,2010,119,29.8,0,0,60,8,0,0,33,0,0,59.9,0,0,0,0,PHI,6,0,11,ED,0,,1,37.5,58,,80.8,0,Brandon Graham,24,120,0,17,0,0,51,0,2,58.5,5538,0,0,69
0,0,2010,0,2,,TB,0,91,0,0,0,22,3,2010,38,20.3,0,0,61.8,0,0,3,1,0,0,28.7,0,0,0,1,TB,0,0,0,ED,0,,0,100,37.2,,77.1,0,Jason Pierre-Paul,30,38,0,0,0,0,13,0,0,57.4,5540,0,0,37
2,0,2011,0,4,100,WAS,14,24,3,2,10,289,17,2011,417,47.7,6,2,47.1,22,0,12,0,0,0,67.2,0,4,1,0,WAS,17,0,36,ED,0,6,1,20,64.4,3,70.4,0,Von Miller,32,420,5,0,0,79.2,119,0,2,62.4,6154,0,0,417
3,0,2011,1,3,100,NO,31,94,1,0,10,336,17,2011,588,73,21,3,76.9,21,0,18,4,0,1,82.1,0,5,0,2,NO,33,0,36,ED,0,12,1,7.1,76,7,88.3,0,Cameron Jordan,20,589,19,0,0,95.8,235,5,8,59.5,6176,0,0,584
0,0,2011,1,3,,PIT,54,97,2,2,4,532,18,2011,871,69.8,0,0,67.2,43,0,6,363,26,0,84.4,0,6,4,5,PIT,43,1,53,DI,0,,0,3.8,90.4,,50.4,0,Cameron Heyward,25,873,0,437,0,0,335,7,21,85.6,6183,0,0,45
0,0,2011,0,0,,WAS,0,57,8,8,0,0,2,2011,0,75,0,0,,0,0,0,0,0,0,46.8,0,0,0,0,WAS,0,0,0,LB,0,,0,0,39.7,,68.5,0,Nick Bellore,32,8,0,0,0,0,8,0,2,,6515,0,0,0
59,0,2012,0,8,74.6,WAS,107,54,1124,1087,5,77,17,2012,8,90.5,569,44,51.1,11,2,588,0,0,0,90.3,1,4,2,0,WAS,52,1,20,LB,0,69,36,4.8,78.6,12.9,48.5,0,Bobby Wagner,32,1132,421,0,2,107.2,467,3,51,92.4,7050,0,3,8
69,0,2012,2,19,85.5,TB,71,54,924,820,4,95,17,2012,99,48.3,549,59,45.1,10,1,576,0,0,2,66.2,9,2,3,0,TB,43,1,16,LB,0,24,95,15.6,52.6,9.3,86.6,0,Lavonte David,30,1023,297,0,2,132.4,352,4,32,48.6,7060,0,8,99
48,0,2012,2,17,93.8,NO,99,56,975,942,1,70,17,2012,104,67.1,364,45,70.3,11,0,517,0,0,1,88.9,1,1,2,1,NO,55,0,13,LB,0,22,32,11.2,81.4,8.1,70.5,0,Demario Davis,20,1079,277,0,2,112.2,492,6,36,57.4,7079,0,2,104
28,0,2012,0,12,75,MIN,42,22,720,228,1,44,15,2012,73,45.6,230,21,69,8,2,388,0,0,1,61.7,6,1,2,4,MIN,14,0,10,S,0,30,59,19.4,68.9,11,63.5,0,Harrison Smith,18,793,104,0,3,81,361,2,8,71.5,7641,427,1,73
40,0,2013,0,7,70,PIT,31,23,498,52,0,1,10,2013,0,50.6,396,28,58.6,0,0,329,0,0,1,54.2,422,0,0,0,PIT,8,0,0,CB,0,81,24,16.3,58.3,14.1,84.9,0,Darius Slay,25,498,166,0,3,126.7,168,1,5,60,7817,0,3,0
0,0,2013,1,4,,BLT,28,94,0,0,1,255,17,2013,523,53.2,0,0,59.9,9,0,3,0,127,1,60.4,0,0,1,1,BLT,23,0,10,DI,0,,0,9.8,64.7,,74.2,0,John Jenkins,3,523,0,396,0,0,265,2,9,66.3,7863,0,0,0
13,0,2013,0,8,69.2,BUF,45,21,430,281,1,4,11,2013,21,63.3,91,9,62.8,0,1,222,0,0,0,71.4,0,0,1,0,BUF,10,0,1,S,0,20,26,11.3,68.6,10.1,81.3,0,Jordan Poyer,4,451,65,0,2,82.5,225,1,18,71.7,8000,123,1,21
14,0,2013,0,8,64.3,LAC,43,23,528,113,1,12,14,2013,5,60.7,62,9,72.6,2,4,346,0,0,0,61,0,2,1,0,LAC,14,0,5,S,0,20,33,12.3,70.8,6.9,35.3,0,Tony Jefferson,27,533,43,0,3,34.5,175,1,14,71.7,8361,382,0,5
0,0,2014,1,5,,DAL,26,42,1,1,9,227,13,2014,371,54.1,0,0,62.9,29,0,4,9,0,2,70.6,0,2,4,4,DAL,27,1,40,ED,0,,0,14.7,79.2,,25.7,0,Jadeveon Clowney,9,372,0,3,0,0,141,4,3,80.6,8636,0,0,359
3,0,2014,3,4,100,LAC,21,52,2,2,6,296,13,2014,476,55.9,12,3,74.7,30,0,15,11,0,0,77.2,0,6,0,0,LAC,24,0,42,ED,0,6,0,13.3,79.2,4,88.1,1,Khalil Mack,27,478,3,4,0,83.3,167,2,5,67.5,8640,0,0,461
2,0,2014,5,16,100,SEA,36,00,13,13,10,487,19,2014,731,33,28,2,84.9,40,0,15,85,0,3,83.7,0,15,2,1,SEA,34,1,65,ED,2,15,0,24.2,82.1,14,82.2,0,DeMarcus Lawrence,29,744,21,28,0,118.8,242,5,14,64.5,8669,0,0,618
4,0,2014,0,3,50,BLT,14,53,19,17,2,338,15,2014,474,53.9,22,2,83.2,17,1,50,1,0,0,76.7,1,8,2,1,BLT,15,0,27,ED,0,13,1,15,63,11,57.4,0,Kyle Van Noy,3,493,11,0,1,27.1,105,2,3,51.8,8675,0,0,473
0,0,2014,1,2,,BUF,17,92,1,0,3,329,14,2014,513,57.2,0,0,60.2,16,1,0,56,87,0,63.5,0,6,1,0,BUF,14,0,25,DI,0,,0,8.7,72,,73.4,0,DaQuan Jones,4,514,0,353,0,0,185,2,4,72,8747,0,0,17
0,0,2014,0,3,,BLT,12,97,0,0,1,133,15,2014,295,37.8,0,0,60.3,3,0,4,99,1,0,63.7,0,3,1,0,BLT,12,0,7,DI,0,,0,14.3,58.6,,62.8,0,Brent Urban,3,295,0,152,0,0,158,2,6,51.1,8769,0,0,43
0,0,2014,0,4,,CLV,26,93,6,6,2,261,17,2014,505,39.3,0,0,62.6,14,0,1,73,52,0,64.4,0,3,4,4,CLV,20,0,19,DI,0,,0,10.8,61.9,,30.5,0,Shelby Harris,8,511,0,379,0,0,249,7,7,60.8,8869,0,0,1
0,0,2014,1,1,,HST,2,96,0,0,5,212,14,2014,240,55.7,0,0,60,13,0,0,161,0,0,54.4,0,3,2,3,HST,5,0,21,DI,0,,0,33.3,57.2,,31.7,0,Denico Autry,13,240,0,21,0,0,28,0,0,60.7,8982,0,0,58
0,0,2014,0,1,,KC,12,69,0,0,0,138,16,2014,308,66.2,0,0,66.5,4,0,1,1,79,0,55.6,0,0,0,0,KC,8,0,4,DI,0,,0,4.2,55.2,,85.3,0,Mike Pennel,16,308,0,228,0,0,169,1,11,51,9316,0,0,0
2,0,2015,0,3,50,DAL,9,13,2,2,3,248,17,2015,356,53.2,18,1,64.1,20,0,9,3,0,0,67.8,0,7,0,1,DAL,8,0,30,ED,0,18,0,18.8,77.6,18,87.8,0,Dante Fowler Jr.,9,358,10,6,1,81.3,101,1,4,72.8,9436,0,0,347
1,0,2015,0,10,100,SEA,41,99,20,20,9,640,20,2015,928,41.7,-1,1,68.7,43,0,17,296,4,0,71.6,0,17,4,1,SEA,42,0,69,DI,0,-1,0,14.5,76.1,-1,56.2,0,Leonard Williams,29,948,7,516,0,79.2,291,3,18,70.1,9439,0,0,112
0,0,2015,1,4,,JAX,19,91,14,14,6,485,17,2015,648,47.5,0,0,57.8,40,0,12,257,10,0,59.6,0,3,0,0,JAX,14,0,49,DI,0,,0,13.3,63.1,,87.8,0,Arik Armstead,15,662,0,374,0,0,165,2,7,61.8,9450,0,0,7
6,0,2015,0,3,83.3,LAC,12,48,8,5,2,202,16,2015,384,53.7,39,5,59.3,16,0,35,1,0,0,61.7,0,1,1,1,LAC,12,0,19,ED,0,19,3,15,54.8,7.8,66.7,0,Bud Dupree,27,392,34,1,0,93.8,155,0,5,50.8,9455,0,0,382
37,0,2015,1,16,78.4,BUF,47,45,486,448,1,42,13,2015,59,35,223,29,72.2,4,1,279,0,0,0,60.6,2,1,0,0,BUF,22,0,6,LB,0,24,34,20,69,7.7,84.8,0,Shaq Thompson,4,545,167,0,2,89.5,224,7,17,60.8,9458,2,1,59
0,0,2015,0,1,,HST,7,97,0,0,2,196,14,2015,282,59.2,0,0,57.2,10,0,0,94,0,0,35.4,0,2,3,0,HST,5,0,14,DI,0,,0,8.3,34.7,,18.2,0,Mario Edwards Jr.,13,282,0,187,0,0,86,1,4,51.7,9468,0,0,1
0,0,2015,0,3,,WAS,16,52,0,0,1,136,13,2015,283,53.3,0,0,90.4,11,0,1,12,0,0,64.3,0,5,0,0,WAS,11,0,17,ED,0,,0,11.1,66.9,,86.3,0,Preston Smith,32,283,0,3,0,0,146,2,8,57.7,9471,0,0,268
0,0,2015,0,2,,WAS,16,97,2,2,0,154,13,2015,318,50.8,0,0,60,7,0,0,2,144,0,47.1,0,1,0,0,WAS,13,0,8,DI,0,,0,7.4,54,,85.7,0,Eddie Goldman,32,320,0,172,0,0,166,4,9,64.7,9472,0,0,0
9,0,2015,0,1,100,SF,18,43,166,162,0,12,4,2015,6,82.9,79,9,59.9,0,0,64,0,0,0,58.9,1,0,0,0,SF,10,0,0,LB,0,19,3,3.7,57.6,8.8,80.1,0,Eric Kendricks,28,172,49,0,1,103.2,96,3,8,47.7,9478,0,0,6
20,0,2015,0,8,85,LAC,40,06,337,315,0,6,11,2015,1,55.3,192,17,50.5,0,0,167,0,0,0,67.7,1,0,1,0,LAC,17,0,0,LB,0,27,21,13.1,57.1,11.3,29.2,0,Denzel Perryman,27,338,125,0,3,106.7,165,4,13,53,9481,0,0,1
0,0,2015,0,0,,BUF,6,52,0,0,1,99,11,2015,202,72.6,0,0,60.1,4,0,1,26,6,0,29.4,0,0,1,1,BUF,4,0,5,DI,0,,0,0,34,,52.6,0,Jordan Phillips,4,202,0,170,0,0,102,1,1,61.2,9485,0,0,0
1,0,2015,5,10,100,HST,24,55,0,0,19,563,19,2015,819,49.2,10,1,54.7,64,0,3,8,0,1,60.8,0,9,1,2,HST,35,0,92,ED,0,10,0,20.4,89.9,10,86.3,0,Danielle Hunter,13,819,0,3,0,108.3,253,1,15,90.8,9521,0,0,808
0,0,2015,0,2,,PHI,7,52,0,0,2,92,5,2015,131,49,0,0,52.4,6,0,1,8,0,0,69.5,0,2,0,0,PHI,6,0,10,ED,0,,0,20,77.7,,83,0,Za'Darius Smith,24,131,0,4,0,0,38,2,1,74.4,9555,0,0,119
0,0,2015,1,5,,CHI,30,50,0,0,3,481,16,2015,734,60.5,0,0,68.9,13,0,3,71,62,0,42,0,7,2,4,CHI,16,0,23,DI,0,,0,10.9,56.9,,78,0,Grady Jarrett,6,734,0,588,0,0,250,0,11,63.4,9570,0,0,13
11,0,2015,0,4,72.7,SEA,22,37,324,89,0,5,9,2015,4,64,73,8,64.4,0,0,192,0,0,0,64.7,1,0,0,0,SEA,8,0,0,S,0,24,20,12.5,66.1,9.1,88.7,0,Quandre Diggs,29,328,33,0,1,90.3,131,0,6,55,9633,214,0,4
0,0,2015,0,1,,NYG,11,93,0,0,3,110,9,2015,242,63.8,0,0,60,4,0,0,48,15,0,48.9,0,1,1,1,NYG,10,0,8,DI,0,,0,5.6,51.2,,58.1,0,Rakeem Nunez-Roches,21,242,0,160,0,0,132,1,6,65.1,9650,0,0,19
0,0,2015,0,0,,NYG,0,47,5,5,0,1,1,2015,1,,0,0,61.9,0,0,3,0,0,0,61.2,0,0,0,0,NYG,0,0,0,LB,0,,0,,64.5,,71.1,0,Neville Hewitt,21,6,0,0,0,0,2,0,0,58.3,9836,0,0,1
68,0,2015,2,13,79.4,DEN,104,49,1152,1076,1,95,18,2015,19,75.9,511,54,55.2,13,0,654,0,0,0,88.8,1,4,0,0,DEN,60,0,18,LB,0,47,74,7.4,72.1,9.5,86.2,0,Alex Singleton,10,1171,350,0,4,107.8,422,1,58,62.8,9994,1,2,19
2,0,2016,5,14,50,BUF,24,97,1,1,5,399,17,2016,653,26.5,8,1,61.9,36,0,23,8,0,0,52,0,13,5,2,BUF,25,2,54,ED,0,8,0,33.3,74.6,8,43,0,Joey Bosa,4,654,5,4,0,60.4,232,5,4,85.5,10637,0,0,641
62,0,2016,0,5,72.6,PIT,69,05,1153,184,3,27,18,2016,19,86.6,466,45,58.8,4,1,695,0,0,0,81.4,160,1,7,0,PIT,25,3,8,S,0,43,359,5.4,64.5,10.4,47,0,Jalen Ramsey,25,1172,166,0,6,119.4,450,1,19,65.7,10639,450,6,19
0,0,2016,0,2,,IND,33,99,17,17,4,317,10,2016,452,70.7,0,0,69.4,21,0,2,122,8,0,56.3,0,11,0,0,IND,22,0,36,DI,0,,0,4.4,74,,86.7,0,DeForest Buckner,14,469,0,286,0,0,150,5,10,74.9,10641,0,0,36
1,0,2016,0,3,100,ATL,8,56,3,0,4,287,15,2016,457,44.8,15,1,51.9,23,0,23,1,0,0,60,0,9,2,0,ATL,10,0,36,ED,0,15,3,17.6,60.1,15,58,0,Leonard Floyd,2,460,18,1,0,118.8,150,1,6,61.8,10643,0,0,455
0,0,2016,0,0,,SF,0,30,1,0,0,0,1,2016,0,,0,0,60,0,0,1,0,0,0,,1,0,0,0,SF,0,0,0,CB,0,,0,,60.3,,64.2,0,Eli Apple,28,1,0,0,0,0,0,0,0,,10644,0,0,0
0,0,2016,0,6,,HST,26,90,1,1,5,468,19,2016,704,62.2,0,0,67.1,33,0,0,271,16,2,61.2,0,6,0,0,HST,25,0,44,DI,2,,0,13.6,70.8,,88.2,0,Sheldon Rankins,13,705,0,395,0,0,237,3,12,67.5,10646,0,0,22
0,0,2016,0,6,,DAL,18,95,0,0,4,462,17,2016,746,51.7,0,0,61.3,34,0,2,182,109,0,53.7,0,6,0,0,DAL,19,0,44,DI,0,,0,16.7,67.6,,87.8,0,Kenny Clark,9,746,0,449,0,0,282,4,12,72.4,10661,0,0,6
3,0,2016,0,0,66.7,JAX,9,90,0,0,1,182,13,2016,323,77.7,11,2,56.8,12,0,17,78,0,1,42.1,0,3,0,1,JAX,5,0,16,ED,0,8,0,0,45.9,5.5,87.2,0,Emmanuel Ogbah,15,323,9,15,0,72.9,124,2,4,51.7,10666,0,0,230
0,0,2016,0,6,,KC,19,95,0,0,7,495,17,2016,761,34,0,0,56.3,37,0,1,269,6,0,43.4,0,19,9,2,KC,23,2,63,DI,0,,0,20.7,70.5,,9.5,0,Chris Jones,16,761,0,385,0,0,265,6,4,90.7,10671,0,0,101
22,0,2016,0,2,72.7,IND,9,04,210,22,0,0,4,2016,1,54.2,195,16,34.2,0,0,141,0,0,1,51.4,176,0,4,0,IND,2,0,0,CB,0,31,12,15.4,36.1,12.2,82.4,0,Xavien Howard,14,211,62,0,0,139.2,70,0,2,,10672,0,3,1
0,0,2016,1,2,,JAX,10,99,0,0,1,114,15,2016,207,45.4,0,0,64.6,1,0,1,2,61,0,41.5,0,0,0,1,JAX,10,0,2,DI,0,,0,14.3,47.5,,83.4,0,Austin Johnson,15,207,0,144,0,0,92,0,2,54.8,10677,0,0,0
6,0,2016,0,6,83.3,TEN,17,53,17,15,6,410,17,2016,691,40.7,55,5,65,21,0,31,90,7,0,53.6,0,20,7,0,TEN,18,1,47,ED,0,23,2,21.4,50.8,11,17.9,0,Jihad Ward,31,708,36,61,1,144.4,267,0,5,56.4,10678,0,1,533
0,0,2016,0,5,,CAR,47,94,0,0,3,373,18,2016,702,59.2,0,0,73.1,22,0,2,124,113,1,60.9,0,6,2,3,CAR,36,0,31,DI,0,,0,7,63.7,,66.5,0,A'Shawn Robinson,5,702,0,436,0,0,327,1,19,62.5,10680,0,0,29
0,0,2016,0,0,,SEA,29,90,0,0,3,307,16,2016,492,78.8,0,0,69.6,16,0,2,78,6,0,57.4,0,5,0,0,SEA,18,0,24,DI,0,,0,0,62.3,,86.8,0,Jarran Reed,29,492,0,396,0,0,183,2,10,59.7,10683,0,0,12
8,0,2016,0,2,75,TB,9,45,116,99,0,14,12,2016,5,56.8,49,6,49,3,0,69,0,0,0,30.7,2,0,0,0,TB,5,0,3,LB,0,16,14,11.8,41.6,8.2,78.7,0,Deion Jones,30,121,12,0,0,90.1,38,0,6,69.3,10686,0,0,5
0,0,2016,0,0,,TB,0,97,0,0,0,12,2,2016,24,,0,0,,1,0,0,14,0,0,46,0,1,0,0,TB,0,0,2,DI,0,,0,,42.6,,75.1,0,Adam Gotsis,30,24,0,8,0,0,12,0,0,52,10697,0,0,2
38,0,2016,0,13,73.7,CHI,77,31,1197,210,0,12,19,2016,22,71,331,28,71.6,1,7,720,0,0,0,82.6,5,0,0,0,CHI,20,0,1,S,0,31,75,11,75.4,11.8,89,0,Kevin Byard,6,1219,123,0,2,86.5,487,6,28,49.1,10698,907,3,22
0,0,2016,0,6,,CLV,15,96,1,1,8,291,12,2016,472,28.4,0,0,52.8,14,0,2,140,12,1,57.2,0,6,2,0,CLV,19,0,28,DI,0,,0,25,74.5,,55.6,0,Maliek Collins,8,473,0,316,0,0,180,2,3,87.2,10701,0,0,4
0,0,2016,0,0,,NO,20,98,0,0,0,116,15,2016,326,77.6,0,0,60.4,3,0,1,126,0,0,63.9,0,0,2,2,NO,15,0,3,DI,0,,0,0,58.9,,45.3,0,Jonathan Bullard,20,326,0,130,0,0,209,3,6,52,10706,0,0,70
0,0,2016,1,2,,MIN,28,97,2,2,4,295,16,2016,535,74.3,0,0,67.8,24,0,4,41,99,1,57.3,0,3,2,0,MIN,20,0,31,DI,0,,0,4,68.5,,60.5,0,Javon Hargrave,18,537,0,395,0,0,238,1,20,70.8,10723,0,0,0
0,0,2016,0,2,,WAS,13,98,0,0,0,95,10,2016,203,46.6,0,0,61.4,2,0,2,38,20,0,49.4,0,1,1,0,WAS,7,0,3,DI,0,,0,13.3,47.4,,53.7,0,Sheldon Day,32,203,0,123,0,0,106,0,0,51.6,10737,0,0,22
25,0,2016,1,7,76,JAX,49,29,611,136,1,21,13,2016,51,69.7,212,19,60.6,3,1,416,0,0,0,67.3,5,1,3,1,JAX,13,1,5,S,0,27,61,10.4,62,11.2,28.4,0,Eric Murray,15,662,79,0,4,123.7,225,1,11,65.2,10740,409,3,51
0,0,2016,0,3,,ATL,42,90,1,1,1,325,17,2016,632,68.2,0,0,67.4,19,0,0,148,92,0,74.2,0,1,1,0,ATL,28,0,21,DI,0,,0,4.8,78.2,,75.9,0,David Onyemata,2,633,0,376,0,0,308,5,17,67.1,10754,0,0,16
0,0,2016,0,4,,CHI,27,97,0,0,1,240,19,2016,552,44.3,0,0,62.1,10,0,1,7,145,0,37.6,0,3,5,0,CHI,20,0,14,DI,0,,0,11.1,39.4,,25.2,0,Andrew Billings,6,552,0,400,0,0,311,3,5,61.2,10756,0,0,0
7,0,2016,0,4,85.7,BUF,11,36,14,8,0,168,14,2016,354,38.6,70,6,29.9,8,0,38,3,0,0,55.2,0,3,0,0,BUF,5,0,11,ED,0,22,6,19,43.2,11.7,85.7,0,Matthew Judon,4,368,47,5,0,108.3,162,0,6,46.2,10780,0,0,346
0,0,2016,0,0,,DET,0,79,1,1,0,12,1,2016,13,,0,0,60,0,0,1,4,1,0,60,0,0,0,0,DET,0,0,0,DI,0,,0,,64.7,,72.7,0,Quinton Jefferson,11,14,0,8,0,0,1,0,0,58.2,10781,0,0,0
0,0,2016,0,2,,DET,18,98,1,1,0,313,17,2016,582,59.8,0,0,62.1,17,0,3,11,240,0,61.7,0,3,2,0,DET,15,0,20,DI,0,,0,6.3,68.9,,64.9,0,DJ Reader,11,583,0,331,0,0,267,0,12,72.6,10800,0,0,0
23,0,2016,0,19,87,LV,61,52,647,622,0,17,17,2016,7,39.7,231,20,36.4,3,0,268,0,0,1,76.7,0,0,1,0,LV,38,0,3,LB,0,44,25,17.3,57.2,11.6,53.8,0,Elandon Roberts,23,654,105,0,1,137.5,369,5,30,43.8,10848,0,2,7
2,0,2016,0,1,50,DET,4,13,110,25,0,2,5,2016,3,58.1,7,1,66.2,0,0,80,0,0,0,65.2,1,0,0,0,DET,1,0,0,S,0,7,10,14.3,68.2,7,78.7,0,Jalen Mills,11,113,1,0,0,58.3,31,0,2,56.1,10867,74,0,3
