touchbacks,attempts_with_hangtime,draft_season,percent_returned,fair_catches,team_name,jersey_number,player_game_count,eligible_season,average_net_yards,yards,average_hangtime,total_net_yards,penalties,attempts,inside_twenties,out_of_bounds,team,average_yards_per_return,total_hangtime,declined_penalties,returns,position,long,blocks,average_yards_per_attempt,player,franchise_id,grades_punter,return_yards,downeds,player_id,snaps
1,48,2009,45.8,17,SF,07,17,2009,36.94,2073,4.14,1773,0,48,25,2,SF,12.7,198.56,0,22,P,55,0,43.19,Thomas Morstead,28,54.8,280,6,5088,48
0,41,2012,63.4,13,DAL,05,17,2012,42.63,1994,4.47,1748,0,41,14,1,DAL,9.5,183.4,0,26,P,65,0,48.63,Bryan Anger,9,68.7,246,1,7072,41
7,78,2012,48.7,21,TEN,03,17,2012,40.26,3646,4.36,3140,0,78,28,6,TEN,9.6,339.95,0,38,P,65,0,46.74,Johnny Hekker,31,64.5,366,6,7252,78
3,59,2013,42.4,17,CAR,06,18,2013,41.25,2805,4.39,2434,0,59,30,6,CAR,12.4,259.06,0,25,P,68,0,47.54,Sam Martin,5,77.2,311,8,7947,59
4,56,2013,44.6,18,WAS,10,17,2013,43.8,2647,4.23,2453,0,56,31,0,WAS,4.6,237.03,0,25,P,64,0,47.27,Tress Way,32,44,114,9,8358,56
1,12,2014,25,6,ARZ,39,5,2014,39.25,506,4.37,471,0,12,3,1,ARZ,5,52.46,0,3,P,49,1,42.17,Pat O'Donnell,1,60.3,15,1,8826,13
3,64,2015,46.9,17,ATL,13,16,2015,40.59,2889,4.4,2598,0,64,36,8,ATL,7.7,281.69,0,30,P,69,0,45.14,Bradley Pinion,2,75.9,231,6,9598,64
4,63,2016,38.1,21,TB,09,17,2016,40.16,2815,4.33,2530,0,63,31,4,TB,8.5,272.95,0,24,P,62,2,44.68,Riley Dixon,30,56.4,205,10,10862,65
3,44,2017,43.2,15,IND,08,15,2017,44.61,2146,4.43,1963,0,44,25,4,IND,6.5,194.92,0,19,P,59,0,48.77,Rigoberto Sanchez,14,76.7,123,3,12130,44
0,25,2017,60,4,ARZ,39,7,2017,43.08,1283,4.38,1077,0,25,10,2,ARZ,13.7,109.38,0,15,P,65,0,51.32,Matt Haack,1,74.8,206,4,12212,25
0,11,2017,63.6,3,NYG,15,4,2017,32.36,490,4.26,356,0,11,2,1,NYG,19.1,46.86,0,7,P,49,0,44.55,Cameron Johnston,21,54.8,134,0,12255,11
11,91,2018,45.1,17,CLV,13,17,2018,37.62,4165,4.42,3423,0,91,26,14,CLV,12.7,401.95,0,41,P,67,2,45.77,Corey Bojorquez,8,76.5,522,8,27626,93
0,1,2018,0,0,LV,08,1,2018,30,30,4.25,30,0,1,0,1,LV,,4.25,0,0,K,30,0,30,Daniel Carlson,23,60,0,0,28121,1
