targets,grades_pass_block,grades_offense,yards_after_catch_per_reception,grades_pass_route,draft_season,team_name,yprr,wide_snaps,fumbles,first_downs,jersey_number,inline_snaps,contested_targets,player_game_count,eligible_season,inline_rate,contested_catch_rate,yards,receptions,targeted_qb_rating,interceptions,caught_percent,drop_rate,grades_hands_drop,slot_rate,slot_snaps,penalties,wide_rate,pass_block_rate,team,declined_penalties,route_rate,drops,position,grades_hands_fumble,longest,pass_blocks,routes,pass_plays,yards_per_reception,player,positive_epa_percent,franchise_id,contested_receptions,yards_after_catch,avg_depth_of_target,epa,avoided_tackles,player_id,touchdowns
200,79.7,96.1,5.1,96.2,2023,LA,3.57,368,1,97,12,14,47,19,2023,2.3,63.8,2047,153,126.4,1,76.5,3.2,90.7,36.1,220,1,60.4,1.6,LA,0,94.3,5,WR,70,58,10,574,609,13.4,Puka Nacua,52,26,30,777,9.9,0.21,29,100632,12
182,,92.9,4.4,93.2,2023,SEA,3.42,452,3,90,11,0,31,20,2023,0,54.8,1992,136,120.5,5,74.7,2.9,90.6,23.9,147,4,73.6,0,SEA,1,94.8,4,WR,30.7,63,0,582,614,14.6,Jaxon Smith-Njigba,50.3,29,17,596,11.7,0.1,20,129758,12
182,,90.1,5.2,90.1,2021,CIN,2.23,445,1,73,01,0,33,16,2021,0,54.5,1412,125,90.3,7,68.7,4.6,83.9,32.6,218,2,66.5,0,CIN,2,94.5,6,WR,63.4,64,0,632,669,11.3,Ja'Marr Chase,46,7,18,648,8.9,-0.04,23,84270,8
163,34.4,81.7,4.6,84.8,2022,ARZ,1.78,67,0,63,85,210,36,17,2022,28,58.3,1239,126,120.7,0,77.3,0.8,91.3,62.8,470,5,8.9,1.6,ARZ,0,92.8,1,TE,85.1,31,12,695,749,9.8,Trey McBride,45.8,1,21,577,7,0,24,75916,11
162,79,90.7,5.1,90.6,2021,DET,2.48,258,1,71,14,0,24,17,2021,0,41.7,1401,117,110.6,4,72.2,4.1,86.4,55.7,331,1,43.4,0.8,DET,0,95.3,5,WR,69.9,52,5,566,594,12,Amon-Ra St. Brown,47.5,11,10,591,8.4,0.13,16,84470,11
151,,78,2.9,79.7,2022,NO,1.98,363,0,53,12,0,34,16,2022,0,47.1,1163,100,98.2,4,66.2,3.8,86.4,41.9,262,7,58.1,0,NO,3,93.9,4,WR,83.7,62,0,587,625,11.6,Chris Olave,45.9,20,16,292,12.3,-0.04,6,84355,9
140,69,80.5,5.2,80.2,2020,MIN,1.88,424,0,47,18,0,23,17,2020,0,47.8,1048,84,58.3,10,60,5.6,75.6,27,160,1,71.6,0.2,MIN,0,93.9,5,WR,82.7,50,1,556,592,12.5,Justin Jefferson,43,18,11,435,10.7,-0.19,13,61398,2
135,,84.8,2.3,83.9,2014,LA,1.9,452,0,61,17,0,34,17,2014,0,29.4,974,71,106.8,2,52.6,11.3,43.2,16.1,87,1,83.9,0,LA,0,95.2,9,WR,81.5,44,0,513,539,13.7,Davante Adams,51.5,26,10,161,14,0.17,2,8688,15
135,41.9,77.2,6.9,91.7,2017,SF,1.81,21,1,56,23,10,15,19,2017,1.6,60,1029,113,111.4,3,83.7,4.2,84.6,14.5,93,0,3.3,8.7,SF,0,88.3,5,HB,83.5,39,56,567,642,9.1,Christian McCaffrey,51.5,28,9,776,2.9,0.09,24,11763,9
134,,73.8,2.7,74.2,2018,DEN,1.53,608,0,56,14,0,35,19,2018,0,48.6,1087,81,96.8,3,60.4,9,59.4,18.8,141,1,81.2,0,DEN,1,94.8,8,WR,82.5,52,0,710,749,13.4,Courtland Sutton,44.7,10,17,220,13.1,0.02,9,48164,8
131,39.6,70.2,4.3,69.8,2022,NYG,1.87,183,1,39,17,0,22,16,2022,0,31.8,1014,92,96.7,2,70.2,3.2,89.1,67.9,399,4,31.1,0.2,NYG,1,92,3,WR,32,50,1,541,588,11,Wan'Dale Robinson,43.2,21,7,392,9,-0.02,16,101735,4
131,,85.9,5.1,87.2,2022,DAL,2.35,593,4,73,03,0,39,17,2022,0,56.4,1429,93,120.1,3,71,5.1,79.5,10.3,68,8,89.7,0,DAL,1,92.1,5,WR,22.6,45,0,609,661,15.4,George Pickens,51.1,9,22,478,12,0.16,21,99229,9
127,,80.9,3.3,83.4,2019,PHI,1.96,486,0,48,11,0,36,16,2019,0,47.2,1028,81,97.5,3,63.8,3.6,85.3,12.4,69,8,87.6,0,PHI,1,94.4,3,WR,82.5,45,0,524,555,12.7,A.J. Brown,44.8,24,17,268,12.2,0.04,10,48327,7
126,,79.3,3.9,79.2,2025,CAR,1.85,507,1,60,04,0,24,18,2025,0,33.3,1095,75,86.6,6,59.5,8.5,55.4,19.9,126,1,80.1,0,CAR,0,93.7,7,WR,81.8,43,0,593,633,14.6,Tetairoa McMillan,44.5,5,8,290,12.3,-0.09,8,158735,7
126,64.9,76,2.9,76.1,2013,LAC,1.62,308,2,51,13,0,25,18,2013,0,48,802,84,88.1,2,66.7,7.7,59.3,41.2,216,0,58.8,0.2,LAC,0,94.7,7,WR,29,31,1,496,524,9.5,Keenan Allen,47.9,27,12,242,8.4,0,10,7857,4
126,65.7,67.3,5.2,68.5,2025,TB,1.75,366,0,34,02,0,27,17,2025,0,29.6,938,63,77.4,4,50,11.3,49.6,37,216,4,62.8,0.2,TB,1,91.9,8,WR,81.3,77,1,536,583,14.9,Emeka Egbuka,42.8,30,8,330,13.2,-0.09,7,145055,6
124,68.1,85.9,4.5,85.5,2021,HST,2.27,434,1,49,12,0,34,16,2021,0,55.9,1138,74,102.8,1,59.7,1.3,88.9,20.4,111,3,79.6,0.2,HST,1,92.1,1,WR,51.3,57,1,502,545,15.4,Nico Collins,43.1,13,19,332,13,0,6,61441,6
