Player,DB,EPA,QBP,CPOE,TTT,Avg. Sep,Att,Cmp,Yds,TD,Int,Sack,Rating,YPA,aDOT,PA%,Deep%,TightWin%,Blitz%,xCmp,GP
Matthew Stafford,627,123.32888,171,0.01464,2.80026,3.15953,597,388,4707,46,8,23,109.19528,7.88442,9.0996,0.36045,0.12228,0.18593,0.33014,0.63528,17
Jared Goff,622,79.10559,212,0.01581,2.69874,3.51805,578,393,4564,34,8,38,105.48587,7.89619,6.79795,0.27814,0.06574,0.12457,0.29904,0.66412,17
Dak Prescott,658,81.07174,211,0.04445,2.81874,3.24862,600,404,4552,30,10,31,99.52778,7.58667,8.28198,0.27964,0.11,0.19667,0.29939,0.62888,17
Drake Maye,601,151.21952,232,0.09139,2.97342,3.35836,492,354,4394,31,8,47,113.48238,8.93089,9.09542,0.24459,0.09756,0.17276,0.3178,0.62813,17
Sam Darnold,517,31.73728,152,0.04307,2.86474,3.40111,477,323,4048,25,14,27,99.11338,8.48637,8.34262,0.27466,0.09224,0.13627,0.3501,0.63408,17
Trevor Lawrence,646,24.06563,215,-0.0273,2.86776,3.21398,560,341,4007,29,12,41,90.9747,7.15536,8.9657,0.24768,0.125,0.16429,0.29102,0.63623,17
Caleb Williams,638,28.80286,201,-0.06875,3.19586,3.82637,568,330,3942,27,7,24,90.12617,6.94014,8.43095,0.33229,0.10563,0.10563,0.34013,0.64973,17
Bo Nix,669,34.65532,185,-0.02067,2.86423,3.80678,612,388,3931,25,11,22,87.80637,6.4232,7.50762,0.26607,0.10948,0.11275,0.21525,0.65466,17
Justin Herbert,619,9.84223,268,0.0331,2.90194,3.22276,512,340,3727,26,13,54,94.09993,7.2793,7.99435,0.27302,0.11133,0.15625,0.31664,0.63096,16
Baker Mayfield,621,-0.56743,195,-0.01614,2.84617,3.31773,543,343,3693,26,11,36,90.58088,6.8011,8.11619,0.20451,0.09392,0.17495,0.28824,0.64782,17
Josh Allen,551,57.29042,163,0.01546,2.89192,3.68097,460,319,3668,25,10,40,102.1558,7.97391,7.13849,0.24864,0.10435,0.11522,0.3049,0.67801,16
Patrick Mahomes,590,65.2459,173,-0.02897,2.78883,3.60158,502,315,3587,22,11,34,89.62483,7.14542,7.83072,0.26102,0.11355,0.12948,0.21017,0.65646,14
Jordan Love,484,95.5609,173,0.03816,2.891,3.54039,439,291,3381,23,6,21,101.18166,7.70159,8.8254,0.28306,0.12984,0.16173,0.31818,0.62471,15
Jacoby Brissett,550,-24.25303,230,0.03367,2.94096,3.51442,485,315,3366,23,8,43,94.05928,6.94021,7.74631,0.28,0.08247,0.15876,0.21818,0.61582,13
Aaron Rodgers,539,-19.71018,116,-0.01374,2.59171,3.63087,498,327,3322,24,7,29,94.80422,6.67068,5.9493,0.20779,0.08233,0.14056,0.2115,0.67037,16
Jalen Hurts,526,6.41387,171,0.0309,2.97664,3.45222,454,294,3224,25,6,32,98.48568,7.10132,8.95061,0.23764,0.13216,0.17181,0.34981,0.61668,16
Cam Ward,618,-143.16756,230,-0.03047,2.99585,3.62269,540,323,3169,15,7,55,80.2392,5.86852,7.55154,0.22816,0.08148,0.12778,0.26699,0.62862,17
Daniel Jones,428,50.31355,151,0.03379,2.70055,3.25148,384,261,3101,19,8,22,100.18446,8.07552,8.2092,0.35748,0.08333,0.17188,0.33645,0.6459,13
C.J. Stroud,473,31.46109,154,0.00766,2.81939,3.43129,423,273,3041,19,8,23,92.91273,7.18913,8.00167,0.24524,0.09929,0.12293,0.3129,0.63773,14
Geno Smith,521,-87.24916,194,0.00772,2.80136,3.71129,448,302,3025,19,17,55,84.71912,6.75223,6.6139,0.26104,0.08929,0.14732,0.29175,0.66639,15
Bryce Young,538,-40.81423,202,-0.00289,2.83436,3.78824,478,304,3011,23,11,27,87.77894,6.29916,6.92514,0.25279,0.07113,0.12343,0.2881,0.63887,16
Tua Tagovailoa,424,-25.88551,124,-0.00317,2.65431,3.68603,384,260,2660,20,15,30,88.45486,6.92708,6.65491,0.25236,0.07292,0.13542,0.24292,0.68026,14
Lamar Jackson,371,-16.20815,136,-0.02226,3.01354,3.76095,302,192,2549,21,7,36,103.75276,8.4404,9.11831,0.26146,0.12914,0.11921,0.38275,0.65802,13
Joe Flacco,438,-75.93027,156,-0.00275,2.72836,3.082,416,251,2479,15,10,18,79.19671,5.95913,7.23597,0.1895,0.07933,0.16827,0.21005,0.60612,12
Tyler Shough,377,-18.68755,117,0.00647,2.68085,3.41329,327,221,2384,10,6,31,91.329,7.29052,8.28889,0.18568,0.11009,0.11927,0.23873,0.66937,11
Jaxson Dart,416,-4.92866,146,-0.02031,2.82153,3.5527,339,216,2272,15,5,35,91.70969,6.70206,8.30426,0.27163,0.11799,0.13864,0.3101,0.65747,13
Brock Purdy,312,40.52026,109,0.05072,3.16799,3.15342,284,197,2167,20,10,11,100.48415,7.63028,7.84254,0.27885,0.08803,0.15493,0.25321,0.64294,9
Mac Jones,313,21.21866,90,0.0297,2.71499,3.28109,289,201,2151,13,6,16,97.39764,7.44291,7.0014,0.16613,0.05536,0.16955,0.20767,0.66581,8
Michael Penix Jr.,301,-13.34004,96,-0.03197,2.79039,3.39877,276,166,1982,9,3,13,88.46618,7.18116,8.82178,0.20266,0.09783,0.13768,0.27575,0.63342,9
Joe Burrow,284,10.58676,91,0.02055,2.80236,3.38979,259,173,1809,17,5,17,100.68372,6.98456,7.60919,0.17254,0.10425,0.16216,0.22183,0.6474,8
Kirk Cousins,284,-15.57234,111,-0.01868,2.77831,3.60664,269,166,1721,10,5,13,84.81258,6.39777,6.89902,0.23592,0.0855,0.171,0.31338,0.63578,10
J.J. McCarthy,288,-51.48289,112,-0.05163,3.01847,3.58416,243,140,1632,11,12,27,72.59088,6.71605,9.3342,0.31597,0.12757,0.16461,0.30903,0.62776,10
