Player,Rts,Rec EPA,Tgt,Rec,Avg. Sep,YACOE,CROE,Yds,TD,aDOT,AyTgt,Catch%,xCatch,TightWin%,Deep%,YACR,Rating,EPA/Rt,EPA/Tgt,TgtRt,EzTgt,Drop,Pos,GP
Jaxon Smith-Njigba,482,80.51962,163,119,3.01757,99,0.08835,1793,10,12.17021,11.26374,0.73006,0.64171,0.14724,0.13497,4.83193,116.42382,0.16705,0.49399,0.33817,10,4,WR,17
Puka Nacua,456,115.90113,166,129,2.87988,177,0.11226,1715,10,10.27716,8.89361,0.77711,0.66485,0.1988,0.10241,5.65116,127.28414,0.25417,0.6982,0.36404,4,3,WR,16
George Pickens,604,82.67037,137,93,2.31223,200,0.08464,1429,9,13.74655,11.7227,0.67883,0.5942,0.26277,0.15328,5.22581,114.88747,0.13687,0.60343,0.22682,17,6,WR,17
Ja'Marr Chase,625,32.11455,185,125,3.17336,166,0.00119,1412,8,10.44935,8.42351,0.67568,0.67449,0.18378,0.1027,5.168,93.34459,0.05138,0.17359,0.296,7,7,WR,16
Amon-Ra St. Brown,565,44.07217,172,117,2.95,51,0.01652,1401,11,9.78929,8.34669,0.68023,0.66371,0.1686,0.07558,5.20513,101.91376,0.078,0.25623,0.30442,11,7,WR,17
Trey McBride,686,71.49588,169,126,3.0602,96,0.06932,1239,11,9.14219,6.87805,0.74556,0.67624,0.1716,0.04734,4.71429,116.4571,0.10422,0.42305,0.24636,19,2,TE,17
Zay Flowers,479,39.89054,118,86,3.57968,22,0.01834,1211,5,11.61959,9.92288,0.72881,0.71048,0.10169,0.15254,5.61628,112.64124,0.08328,0.33806,0.24635,5,4,WR,17
Chris Olave,578,26.66437,156,100,2.94506,-49,0.00028,1163,9,12.45719,11.63987,0.64103,0.64075,0.17949,0.17949,3.05,95.11218,0.04613,0.17093,0.2699,12,7,WR,16
Nico Collins,475,30.08721,120,71,2.31317,118,0.0498,1117,6,12.3592,12.90425,0.59167,0.54187,0.26667,0.16667,4.88732,103.36806,0.06334,0.25073,0.25263,14,1,WR,15
Jameson Williams,596,51.07359,102,65,3.18468,124,0.0057,1117,7,14.0017,12.37922,0.63725,0.63156,0.12745,0.17647,6.86154,119.60784,0.08569,0.50072,0.17114,3,7,WR,17
