game,mean,p99,p999,mean_rank,p99_rank,rank_shift
LAR+TB,66.08705882352943,174.93666654242355,294.6529848760345,1,1,0
CIN+BAL,65.41176470588236,174.6161227901273,293.3725757491367,2,2,0
DAL+NYG,64.10901960784315,171.66611597300948,293.6717444697644,3,3,0
DET+CHI,60.642352941176476,166.30127686017929,284.3522507342571,4,4,0
SEA+CAR,57.163529411764706,157.74503328593434,265.69711965196467,7,5,2
NE+DEN,57.24117647058825,152.50342919648605,250.6146986530479,6,6,0
MIN+NYJ,57.49411764705883,151.93342725721368,264.1108649513673,5,7,-2
SF+PHI,56.0078431372549,150.68925247673383,252.95911077069877,9,8,1
KC+LAC,57.07176470588235,147.0021938024886,241.81463730845033,8,9,-1
GB+HOU,52.91882352941176,144.23549982195144,242.61666775276478,10,10,0
ATL+NO,48.191764705882335,139.0979028227368,244.9258986882036,16,11,5
JAX+WAS,52.44470588235295,138.57060299988447,227.394546685879,11,12,-1
PIT+TEN,49.60941176470589,138.3653767528887,234.4944145832449,14,13,1
LV+ARI,49.17764705882353,132.14537588355182,216.553936441076,15,14,1
IND+CLE,51.536470588235304,131.82354457825068,220.75173473582117,12,15,-3
BUF+MIA,51.32941176470588,127.5738411083186,209.56596147100115,13,16,-3
