"Rank","Season","Player","Team","Pos.","Cov. Snaps","Tgts","Points Saved","PS Per Play","Points Above Avg","PAA Per Play","EPA","EPA/Tgt","Positive%","Boom%","Bust%"
"[object Object]","2024","Jordan Oladokun","Bowling Green","CB","375","46","49.17","0.132","34.07","0.091","-25.37","-0.551","30.4%","21.7%","32.6%"
"[object Object]","2024","Nohl Williams","California","CB","506","57","48.31","0.096","29.43","0.059","0.54","0.010","40.4%","26.3%","19.3%"
"[object Object]","2024","Davison Igbinosun","Ohio State","CB","427","46","46.81","0.111","27.78","0.066","-16.87","-0.367","39.1%","23.9%","19.6%"
"[object Object]","2024","Jahdae Barron","Texas","CB","518","51","42.62","0.083","20.48","0.040","-18.48","-0.362","35.3%","11.8%","25.5%"
"[object Object]","2024","Christian Gray","Notre Dame","CB","401","54","41.98","0.105","24.80","0.062","-5.76","-0.107","44.4%","31.5%","27.8%"
"[object Object]","2024","Trey Amos","Ole Miss","CB","474","54","39.80","0.085","22.33","0.048","-0.70","-0.013","38.9%","22.2%","11.1%"
"[object Object]","2024","Jermod McCoy","Tennessee","CB","364","62","39.18","0.108","24.71","0.068","-23.86","-0.385","35.5%","27.4%","30.6%"
"[object Object]","2024","Xavier Scott","Illinois","CB","440","63","38.63","0.088","22.14","0.051","-11.72","-0.186","36.5%","23.8%","17.5%"
"[object Object]","2024","D'Angelo Ponds","Indiana","CB","406","47","38.47","0.095","21.20","0.053","-16.31","-0.347","34.0%","14.9%","27.7%"
"[object Object]","2024","Chandler Rivers","Duke","CB","457","41","38.07","0.084","21.63","0.048","-12.70","-0.310","26.8%","22.0%","26.8%"
"[object Object]","2024","Mello Dotson","Kansas","CB","405","59","35.59","0.089","19.33","0.048","-7.38","-0.125","42.4%","32.2%","25.4%"
"[object Object]","2024","Al'zillion Hamilton","Fresno State","CB","473","73","34.63","0.074","17.99","0.038","-13.27","-0.182","34.2%","21.9%","19.2%"
"[object Object]","2024","Malaki Starks","Georgia","S","471","43","34.62","0.074","15.93","0.034","4.11","0.095","44.2%","25.6%","25.6%"
"[object Object]","2024","Terrence Spence","James Madison","CB","301","63","34.56","0.115","22.99","0.077","-23.97","-0.380","38.1%","25.4%","22.2%"
"[object Object]","2024","Ethan Robinson","Minnesota","CB","415","43","33.96","0.082","16.33","0.040","11.13","0.259","48.8%","30.2%","25.6%"
"[object Object]","2024","Keith Abney II","Arizona State","CB","467","74","33.52","0.072","14.58","0.031","11.00","0.149","45.9%","32.4%","17.6%"
"[object Object]","2024","Jacob Parrish","Kansas State","CB","354","56","33.41","0.095","19.78","0.056","-20.12","-0.359","30.4%","17.9%","25.0%"
"[object Object]","2024","Micah Robinson","Tulane","CB","290","41","33.23","0.116","21.24","0.074","-22.79","-0.556","34.1%","19.5%","29.3%"
"[object Object]","2024","O'Donnell Fortune","South Carolina","CB","370","48","32.57","0.089","17.85","0.049","-1.87","-0.039","39.6%","22.9%","18.8%"
"[object Object]","2024","Theran Johnson","Northwestern","CB","389","59","32.28","0.085","17.49","0.046","-16.38","-0.278","42.4%","22.0%","27.1%"
"[object Object]","2024","Braden Awls","Toledo","S","428","58","31.92","0.075","16.94","0.040","-13.19","-0.227","44.8%","22.4%","25.9%"
"[object Object]","2024","Jabbar Muhammad","Oregon","CB","401","52","30.85","0.078","13.48","0.034","-4.30","-0.083","30.8%","26.9%","28.8%"
"[object Object]","2024","Ethan O'Connor","Washington State","CB","427","52","30.53","0.072","15.34","0.036","-12.95","-0.249","38.5%","25.0%","19.2%"
"[object Object]","2024","Jonquis Hardaway","Kentucky","CB","276","43","30.40","0.111","18.26","0.066","-0.30","-0.007","41.9%","23.3%","18.6%"
"[object Object]","2024","Avery Smith","Toledo","CB","478","79","29.97","0.063","13.32","0.028","-16.57","-0.210","41.8%","21.5%","24.1%"
"[object Object]","2024","Justin Walley","Minnesota","CB","306","53","29.80","0.098","17.19","0.057","-19.18","-0.362","26.4%","22.6%","28.3%"
"[object Object]","2024","Kempton Shine","Virginia","CB","375","44","29.15","0.078","15.12","0.041","-11.29","-0.257","27.3%","9.1%","25.0%"
"[object Object]","2024","Avieon Terrell","Clemson","CB","457","59","29.08","0.064","10.86","0.024","-4.99","-0.084","33.9%","20.3%","16.9%"
"[object Object]","2024","Mansoor Delane","Virginia Tech","CB","355","61","28.82","0.082","15.74","0.045","0.80","0.013","37.7%","27.9%","26.2%"
"[object Object]","2024","Javan Robinson","Arizona State","CB","433","71","27.97","0.065","10.27","0.024","7.52","0.106","50.7%","28.2%","23.9%"
"[object Object]","2024","D.J. McKinney","Colorado","CB","454","50","27.97","0.062","10.97","0.024","-9.63","-0.193","40.0%","20.0%","22.0%"
"[object Object]","2024","Ahmari Harvey","Georgia Tech","CB","397","57","27.35","0.070","10.94","0.028","6.17","0.108","43.9%","26.3%","19.3%"
"[object Object]","2024","DJ Harvey","San Jose State","CB","387","52","26.50","0.069","13.85","0.036","-4.21","-0.081","36.5%","23.1%","21.2%"
"[object Object]","2024","John Saunders Jr.","Ole Miss","S","454","41","26.39","0.059","9.82","0.022","-0.68","-0.017","39.0%","26.8%","26.8%"
"[object Object]","2024","LaMareon James","TCU","CB","294","55","26.38","0.091","15.52","0.054","-0.25","-0.005","40.0%","20.0%","21.8%"
"[object Object]","2024","Leonard Moore","Notre Dame","CB","377","50","26.35","0.070","10.45","0.028","-22.32","-0.446","36.0%","26.0%","32.0%"
"[object Object]","2024","Cameron Oliver","UNLV","CB","418","49","26.34","0.064","11.17","0.027","-11.41","-0.233","36.7%","16.3%","26.5%"
"[object Object]","2024","Lardarius Webb Jr.","South Alabama","CB","443","45","26.31","0.060","9.73","0.022","-6.32","-0.140","44.4%","17.8%","15.6%"
"[object Object]","2024","Stephen Hall","Washington State","CB","499","65","26.29","0.053","7.93","0.016","13.07","0.201","44.6%","33.8%","4.6%"
"[object Object]","2024","Will Lee III","Texas A&M","CB","363","49","26.14","0.073","12.29","0.034","-15.77","-0.322","28.6%","24.5%","22.4%"
"[object Object]","2024","Josh Moten","Marshall","CB","353","42","25.79","0.073","12.93","0.037","-11.08","-0.264","40.5%","19.0%","33.3%"
"[object Object]","2024","Thaddeus Dixon","Washington","CB","351","41","25.66","0.073","11.70","0.033","-15.65","-0.382","29.3%","19.5%","24.4%"
"[object Object]","2024","Marques Sigle","Kansas State","S","409","42","25.36","0.062","9.27","0.023","-3.45","-0.082","40.5%","31.0%","23.8%"
"[object Object]","2024","Zy Alexander","LSU","CB","292","43","25.35","0.087","12.81","0.044","-5.65","-0.131","25.6%","16.3%","14.0%"
"[object Object]","2024","Jashon Prophete","Northern Illinois","S","355","44","25.21","0.072","10.47","0.030","-11.51","-0.262","36.4%","20.5%","34.1%"
"[object Object]","2024","Zemaiah Vaughn","Utah","CB","373","54","25.16","0.068","10.57","0.029","7.13","0.132","46.3%","27.8%","20.4%"
"[object Object]","2024","Kaleb Patterson","Illinois","CB","316","39","24.94","0.080","12.64","0.040","0.86","0.022","38.5%","25.6%","20.5%"
