name,bestball_note,n_clips
Travis Hunter,"“You draft no Wide Receivers in best ball and then finish the draft with: Stefon Diggs Travis Hunter Brandon Aiyuk Tank Dell Deebo Samuel Tyreek Hill And 2 other guys.” (@chessliam) | “let's talk Travis Hunter the WR even if he's WR4 on the depth chart, there's still a case to take the shot in round 12 https://t.co/r65",3
Greg Dulcich,"“If you're like me, and you're building a lot of four tight end rooms, Dulcich fits those structures perfectly, where you can end up with something like Dalton Kincaid, Jake Ferguson, Dalton Schultz, and Greg Dulcich.” (@coachspeakindex) | “A few tight end names @4for4_John keeps circling in early drafts • Tucker Kraft",4
Luther Burden III,“Colston Loveland goes at pick 47 - TE3 ADP Luther Burden goes at pick 43 - WR21 There’s a few specific scenarios where they BOTH pay off Here’s what the data from 2018-2025 says about that exact ask 👇 (mainly used @FantasyPtsData)” (@dhananizain) | “I think it's very possible that this year Luther Burden is going to b,6
Baker Mayfield,"“The disrespect I have seen for Baker Mayfield in the best ball drafting streets lately is going to be quite telling when he puts up big year in 2026 (116 ADP) Dealt with injuries, mainly on his throwing shoulder for all of 2025.” (@smitchell17) | “Rams wanted AJ Brown but couldn’t find a trade for Davante Adams (+ kne",4
Oscar Delp,"“This is your additional upside case for Chris Olave &amp; Jordyn Tyson (removing 1 WR increases their target probability) Also means drafting Oscar Delp could mean he sees more playing time than a typical 3rd rounder” (@dhananizain) | “You know, a player like Oscar Delp from Georgia, who was drafted in the third round",2
Caleb Williams,"“If we are speaking candid, Dak Prescott likely should go RIGHT after Drake Maye, rather than behind Jalen Hurts & Caleb Williams in best ball TWO Top 5 fantasy performances in the last 3 years and this offense may be at it's BEST yet” (@smitchell17) | “RT @SleeperJaguars: Four QBs tied for the most passes batted last ",3
Emeka Egbuka,"“For dynasty purposes, my ranks go: WR23 - Emeka Egbuka (WR11 ADP) + Another crack at clear WR1 role w/ no Evans, theoretical bounce-back from late 2025 woes in play or he and Baker after incredible start to his career.” (@ffdataroma) | “So annoying that Ladd McConkey, Luther Burden, and Emeka Egbuka are going right ne",2
Chig Okonkwo,“(111.1 ADP) - Nicholas Singleton (174.7 ADP) WR: - Carnell Tate (60.7 ADP) - Josh Downs (99.3 ADP) - Darnell Mooney (192.4 ADP) TE: - Isaiah Likely (133.4 ADP) - Chig Okonkwo (152.2 ADP) - Greg Dulcic (209.7 ADP)” (@smitchell17) | “RT @DeeZe: maxed old school runescape ironman chig okonkwo is training with one of the ,3
Tucker Kraft,“A few tight end names @4for4_John keeps circling in early drafts • Tucker Kraft • Mark Andrews • Hunter Henry • Greg Dulcich • Isaiah Likely Full TE rankings breakdown ⬇️ https://t.co/bZGGXWeLhc” (@4for4football) | “Brown (26.6 ADP) - Jaylen Waddle (49.8 ADP) - Chris Godwin (88.9 ADP) - Quentin Johnston (94.4 ADP) TE:,3
Isaiah Likely,“(111.1 ADP) - Nicholas Singleton (174.7 ADP) WR: - Carnell Tate (60.7 ADP) - Josh Downs (99.3 ADP) - Darnell Mooney (192.4 ADP) TE: - Isaiah Likely (133.4 ADP) - Chig Okonkwo (152.2 ADP) - Greg Dulcic (209.7 ADP)” (@smitchell17) | “A few tight end names @4for4_John keeps circling in early drafts • Tucker Kraft • Mark ,3
Rashee Rice,“If you anticipate Rashee Rice either A.) fucks up again or B.) gets suspended and misses a chunk of the season Why are you not taking Jalen Royals in EVERY draft?” (@smitchell17) | “Bonus value as his ADP continues to dip: Rashee Rice His outlook for Week 1 should not at all be affected by the current jail/knee issues,5
Zachariah Branch,"““Falcons third-round rookie receiver Zachariah Branch had a strong day fresh off his trip to Los Angeles for the NFLPA rookie premiere, which spanned May 14-16 and featured 42 draft picks.” (@32beatwriters) | “Tua Tagovailoa comping Rookie Zachariah Branch to Jaylen Waddle and it is like NONE of you care (but think Wa",3
Chris Olave,"“This is your additional upside case for Chris Olave &amp; Jordyn Tyson (removing 1 WR increases their target probability) Also means drafting Oscar Delp could mean he sees more playing time than a typical 3rd rounder” (@dhananizain) | “A few examples: * De'Von Achane 29 overall * Colston Loveland 26, Trey McBride 32 *",3
Darnell Mooney,“(111.1 ADP) - Nicholas Singleton (174.7 ADP) WR: - Carnell Tate (60.7 ADP) - Josh Downs (99.3 ADP) - Darnell Mooney (192.4 ADP) TE: - Isaiah Likely (133.4 ADP) - Chig Okonkwo (152.2 ADP) - Greg Dulcic (209.7 ADP)” (@smitchell17) | “Just dropping here to say once again - Darnell Mooney is severely mispriced at current ,2
George Pickens,"“Last year, CeeDee Lamb and George Pickens combined for the 2nd-most receiving yards out of any WR1/WR2 duo in the league (2,508) 👀 But who is a better draft pick at cost in 2026?” (@fantasypts) | “A few WR values @4for4_John keeps circling early in draft season: • Tee Higgins • George Pickens • Jaylen Waddle Full WR r",3
Aaron Jones Sr.,"“I think MIN would be a dream landing spot with Aaron Jones taking a pay cut, Jordan Mason on final year of contract and hasn't shown much as a Viking and only drafting a 6th rd Demond Claiborne.” (@smitchell17) | “Stroud (141.5 ADP) RB: - Cam Skattebo (44.8 ADP) - Jadarian Price (58.1 ADP) - Jaylen Warren (79.7 ADP) -",3
Demond Claiborne,"“I think MIN would be a dream landing spot with Aaron Jones taking a pay cut, Jordan Mason on final year of contract and hasn't shown much as a Viking and only drafting a 6th rd Demond Claiborne.” (@smitchell17) | “Until the Vikings add anything else of substantial value in this backfield, it is Demond Claiborne final ",3
Drake Maye,“My Current Favorite Best Ball Clicks @ ADP: QB: - Drake Maye (71.0 ADP) - Tyler Shough (113.1 ADP) - Michael Penix (213.7 ADP) RB: - KYLE MONANGAI (91.0 ADP) - Chris Rodriguez Jr.” (@smitchell17) | “RT @DLFootball: AJ Brown trade — dynasty values that changed overnight: Brown: low-end WR1 or elite WR2 with Drake Maye ,3
Chris Rodriguez Jr.,"““There was certainly plenty of interest in Jaguars rookie running back J'Mari Taylor right off the bat once he signed with the Jaguars in undrafted free agency, and he has done nothing to quiet down the hype since” If Chris Rodriguez Jr.” (@smitchell17) | “My Current Favorite Best Ball Clicks @ ADP: QB: - Drake Maye (",2
Carnell Tate,"“(111.1 ADP) - Nicholas Singleton (174.7 ADP) WR: - Carnell Tate (60.7 ADP) - Josh Downs (99.3 ADP) - Darnell Mooney (192.4 ADP) TE: - Isaiah Likely (133.4 ADP) - Chig Okonkwo (152.2 ADP) - Greg Dulcic (209.7 ADP)” (@smitchell17) | “Carnell Tate went 4th, and Jordyn Tyson went 8th, and their current ADP's are WR30/31 a",5
Josh Downs,"“(111.1 ADP) - Nicholas Singleton (174.7 ADP) WR: - Carnell Tate (60.7 ADP) - Josh Downs (99.3 ADP) - Darnell Mooney (192.4 ADP) TE: - Isaiah Likely (133.4 ADP) - Chig Okonkwo (152.2 ADP) - Greg Dulcic (209.7 ADP)” (@smitchell17) | “A few examples: * De'Von Achane 29 overall * Colston Loveland 26, Trey McBride 32 * Chr",2
Jalen Hurts,"“If we are speaking candid, Dak Prescott likely should go RIGHT after Drake Maye, rather than behind Jalen Hurts & Caleb Williams in best ball TWO Top 5 fantasy performances in the last 3 years and this offense may be at it's BEST yet” (@smitchell17) | “RT @DBro_FFB: Jalen Hurts over the last 3 years Passing Td rates o",3
Jadarian Price,“Seahawks RB thoughts/notes: Jadarian Price took a whole series with the 1st team O (different from previous sessions) If Price is not the lead RB by week 1 it would signal something went wrong given draft capital” (@dhananizain) | “Stroud (141.5 ADP) RB: - Cam Skattebo (44.8 ADP) - Jadarian Price (58.1 ADP) - Jaylen W,2
Jaylen Waddle,“A few WR values @4for4_John keeps circling early in draft season: • Tee Higgins • George Pickens • Jaylen Waddle Full WR rankings breakdown: https://t.co/vpIgys3Y5X” (@4for4football) | “Brown (26.6 ADP) - Jaylen Waddle (49.8 ADP) - Chris Godwin (88.9 ADP) - Quentin Johnston (94.4 ADP) TE: - Tucker Kraft (80.9 ADP) - H,5
Jalen McMillan,"“Have now seen two Buccaneer OTA previews and BOTH mentioned the top-3 WRs for TB being Egbuka (Z), Godwin (Slot), and Jalen McMillan (X) Why is Jalen McMillan still getting drafted with a ton of WR in ambiguous roles??” (@smitchell17) | “Jalen McMillan is now just ~30 spots ahead of Ted Hurst in ADP, a gap that’s prob",2
Colston Loveland,"“Colston Loveland goes at pick 47 - TE3 ADP Luther Burden goes at pick 43 - WR21 There’s a few specific scenarios where they BOTH pay off Here’s what the data from 2018-2025 says about that exact ask 👇 (mainly used @FantasyPtsData)” (@dhananizain) | “A few examples: * De'Von Achane 29 overall * Colston Loveland 26, Tre",4
Jordyn Tyson,"“This is your additional upside case for Chris Olave &amp; Jordyn Tyson (removing 1 WR increases their target probability) Also means drafting Oscar Delp could mean he sees more playing time than a typical 3rd rounder” (@dhananizain) | “Carnell Tate went 4th, and Jordyn Tyson went 8th, and their current ADP's are WR30/",2
Matthew Golden,"“There's an outcome where Matthew Golden is *just* a really good role player I'm also relentlessly drafting Matthew Golden in the 10th round, because that price feels too cheap in the consolidated Packers WR room https://t.co/qc3T4IBh8g” (@joshnorris) | “- Last year Matthew Golden got pushed up into the 70's of ADP as ",2
Nick Singleton,"“For Nick Singleton truthers - it sounds like the Titans are taking things slow for now: “Carmona and Coogan are finding their way behind the veterans, and I think they're easing in Nick Singleton to some degree.” (@dhananizain) | “I have auto-drafted Nick Singleton at 158 at least three times in the last 2 days and yo",2
A.J. Brown,“Rams wanted AJ Brown but couldn’t find a trade for Davante Adams (+ knee concern) Eagles drafted Lemon knowing they were moving AJ Brown Baker Mayfield and the Bucs mutually interested in extension - he’ll get at least $50m/yr” (@dhananizain) | “If AJ Brown is going to get more short/intermediate targets and move arou,5
Dak Prescott,"“If we are speaking candid, Dak Prescott likely should go RIGHT after Drake Maye, rather than behind Jalen Hurts & Caleb Williams in best ball TWO Top 5 fantasy performances in the last 3 years and this offense may be at it's BEST yet” (@smitchell17) | “Ryan Flournoy continually building chemistry with Dak Prescott” (@",2
