fn,n,tm,pos,m24r,m24y,z24r,z24y,sh24y,th24y,m25r,m25y,z25r,z25y,sh25y,th25y
Adam,Thielen,PIT,WR,96,2.771,180,1.756,2.025,2.192,77,0.883,140,0.843,0.76,0.926
Jonnu,Smith,PIT,TE,88,0.75,291,2.749,2.548,2,82,0.354,176,1,0.444,1.121
Rome,Odunze,CHI,WR,174,1.259,344,1.485,1.462,1.251,89,2.124,260,1.785,1.787,1.887
Josh,Palmer,BUF,WR,109,1.486,245,1.653,1.529,1.639,87,1.437,128,1.281,1.275,1.592
Tutu,Atwell,LA,WR,80,1.825,163,2.552,2.5,1.97,43,2.14,89,1.124,1.849,0.95
Amon-Ra,St. Brown,DET,WR,105,2.219,380,2.626,2.548,2.495,139,2.719,366,2.669,2.338,2.992
Garrett,Wilson,NYJ,WR,202,2.054,373,1.796,2.029,1.625,43,2.628,170,1.594,1.466,2.122
Quentin,Johnston,LAC,WR,96,1.042,261,2.241,1.585,2.373,145,1.945,305,1.361,1.964,1.105
Josh,Downs,IND,WR,114,2.491,222,2.306,2.614,1.984,96,1.156,244,1.77,1.497,1.7
Mack,Hollins,NE,WR,122,0.566,206,1.427,1.126,1.108,95,1.263,223,1.874,1.484,1.944
Juwan,Johnson,NO,TE,72,1.708,298,1.423,1.803,1.083,104,1.26,394,1.881,1.868,1.678
AJ,Barner,SEA,TE,40,1.025,138,1.42,1.383,1.264,76,1.421,246,1.618,1.761,1.296
Xavier,Worthy,KC,WR,157,1.478,307,1.322,1.531,1.091,112,1.607,248,1.419,1.868,0.847
Kendrick,Bourne,SF,WR,76,1,174,1.316,1.264,1.054,75,0.907,246,1.902,1.503,1.782
Van,Jefferson,TEN,WR,109,1.037,227,0.67,0.598,1.006,65,1.123,255,1.071,1.196,0.947
Jauan,Jennings,SF,WR,120,2.192,257,2.755,2.399,2.545,89,1.663,314,1.481,1.438,1.581
Ja'Tavion,Sanders,CAR,TE,103,0.631,173,1.543,0.894,1.468,50,0.36,150,1.1,0.5,1.32
Calvin,Austin,PIT,WR,110,1.355,234,1.667,1.339,1.686,93,1.731,179,1.101,1.463,1.208
Jalen,Nailor,MIN,WR,91,1.637,244,0.902,1.431,0.907,114,2.07,235,0.834,1.771,0.677
John,Metchie,NYJ,WR,72,0.931,132,1.394,1.316,0.898,55,2.436,179,0.782,1.145,1.148
KaVontae,Turpin,DAL,WR,58,3.534,130,1.608,2.573,1.747,66,1.106,164,1.97,1.97,1.478
Pat,Freiermuth,PIT,TE,113,1.327,287,1.666,1.393,1.75,96,0.99,185,2.005,0.864,2.255
Stefon,Diggs,NE,WR,60,1.633,180,2.094,2.211,1.768,116,2.707,271,2.546,2.777,2.237
Jake,Ferguson,DAL,TE,113,0.805,227,1.775,1.036,1.854,135,0.911,314,1.468,1.138,1.346
Davante,Adams,LA,WR,136,2.426,322,2.239,2.518,1.914,135,1.43,231,2.515,1.951,2.222
Jerry,Jeudy,CLV,WR,198,1.51,456,2.039,2.068,1.6,180,1.206,359,1.003,1.479,0.68
Darnell,Mooney,ATL,WR,140,2.864,331,1.749,1.809,2.291,119,0.95,292,1.13,1.212,0.887
Nico,Collins,HST,WR,74,4.081,247,2.761,3.667,2.375,117,2.598,316,2.348,3.164,1.808
Andrei,Iosivas,CIN,WR,204,1.152,306,0.745,0.731,1,155,1.161,334,0.737,1.256,0.569
Darius,Slayton,NYG,WR,140,1.314,311,1.251,1.318,1.136,110,0.736,266,1.707,1.905,0.795
Adonai,Mitchell,NYJ,WR,57,2.596,119,1.378,3.191,0.267,59,1.458,216,1.657,1.739,1.482
Marquez,Valdes-Scantling,PIT,WR,66,1.197,200,1.65,2.144,0.51,54,0.37,154,0.649,0.6,0.523
Drew,Sample,CIN,TE,57,0.088,130,0.785,0.259,0.784,47,0.872,139,0.439,0.259,0.792
Daniel,Bellinger,NYG,TE,44,0.75,96,0.958,0.958,0.75,62,0.823,127,1.85,2,0.691
Evan,Engram,DEN,TE,64,1.125,158,1.854,1.578,1.567,58,0.81,262,1.527,1.158,1.553
Trey,McBride,ARZ,TE,141,1.574,351,2.578,2.385,2.096,128,1.383,508,2.045,1.789,1.92
Ja'Marr,Chase,CIN,WR,239,1.598,418,3.115,2.937,2.042,176,1.568,416,2.63,2.48,2.178
Dontayvion,Wicks,GB,WR,73,1.219,168,1.94,1.669,1.664,61,2,145,1.448,1.878,1.184
Tommy,Tremble,CAR,TE,76,0.934,145,1.124,0.859,1.216,51,0.529,195,1.138,1.086,0.824
Dawson,Knox,BUF,TE,96,0.938,161,1.373,1.466,0.72,95,0.737,184,1.886,1.663,1.133
Cooper,Kupp,SEA,WR,113,2.097,201,2.294,1.832,2.585,92,1.783,276,1.529,2.005,1.052
Tucker,Kraft,GB,TE,101,1.267,261,2.138,1.869,1.931,64,4.25,120,1.75,3.205,1.562
Kayshon,Boutte,NE,WR,129,2.225,278,0.975,1.275,1.544,100,1.16,243,1.79,1.756,1.294
Dallas,Goedert,PHI,TE,54,3.074,145,2.269,3.319,1.194,111,0.847,297,1.673,1.46,1.41
Cedric,Tillman,CLV,WR,66,2.318,180,1.033,1.48,1.203,91,1.253,189,0.825,1.289,0.524
Christian,Watson,GB,WR,76,3.513,151,2.338,2.627,2.69,69,2.536,152,2.868,2.626,2.717
Kyle,Pitts,ATL,TE,116,0.871,273,1.769,2.069,0.915,132,2.333,359,1.694,1.958,1.711
Jalen,Coker,CAR,WR,77,3.013,168,1.405,2.244,1.415,65,2.631,190,1.042,1.741,1.152
Chris,Godwin,TB,WR,85,2.118,127,3.071,2.438,2.87,74,1.284,154,1.669,1.29,1.905
Terry,McLaurin,WAS,WR,165,1.715,319,2.473,2.421,1.795,71,0.831,166,3.084,2.488,2.262
Malik,Washington,MIA,WR,43,0.721,162,1.16,1.419,0.784,61,1.098,258,0.899,0.956,0.943
Michael,Pittman,IND,WR,138,1.645,284,2.018,1.874,1.765,126,1.214,364,1.692,1.268,1.841
Tre,Tucker,LV,WR,152,1.349,425,0.767,1.111,0.693,160,1.188,378,1.323,1.297,1.212
Troy,Franklin,DEN,WR,64,0.797,181,1.133,0.864,1.315,81,1.037,357,1.7,2.054,1.078
Zach,Ertz,WAS,TE,159,0.893,270,1.778,1.31,1.672,104,0.692,216,1.917,1.365,1.732
Davis,Allen,LA,TE,48,0.104,74,0.459,0.427,0.137,43,0.907,131,1.29,1.37,0.943
Drake,London,ATL,WR,127,3.157,362,2.323,2.544,2.488,97,1.113,245,3.249,2.655,2.557
Jalen,Tolbert,DAL,WR,147,1.299,340,1.141,1.351,1.058,75,0.52,167,0.982,0.982,0.65
Olamide,Zaccheaus,CHI,WR,103,1.67,156,2.115,1.915,1.811,74,0.784,220,1.159,1.261,0.75
Courtland,Sutton,DEN,WR,127,3.094,362,1.87,2.703,1.394,93,2.968,428,1.703,2.317,1.409
Alec,Pierce,IND,WR,117,1.735,275,2.207,1.668,2.284,115,1.948,315,2.448,2.723,1.778
Michael,Wilson,ARZ,WR,139,1.288,313,1.102,1.289,1.04,117,2.402,455,1.552,1.933,1.442
Zay,Flowers,BLT,WR,144,2.285,291,2.454,2.969,1.526,154,3,299,2.488,2.854,2.348
Sterling,Shepard,TB,WR,93,1.247,201,1.085,0.994,1.161,99,1.303,209,1.158,1.147,1.167
Khalil,Shakir,BUF,WR,122,1.672,228,2.675,2.205,2.38,132,1.667,253,1.929,2.109,1.301
Hunter,Henry,NE,TE,156,1.314,260,1.692,1.387,1.784,119,1.244,307,1.958,2.288,1.079
Dalton,Kincaid,BUF,TE,84,1.667,158,1.81,1.376,2.314,66,2.182,108,3.907,3.038,3.405
Jakobi,Meyers,JAX,WR,142,1.817,388,1.982,1.949,1.79,157,1.561,323,1.752,1.604,1.733
Gabe,Davis,BUF,WR,58,0.569,154,1.351,0.867,1.28,45,0.822,65,1.354,1.243,0.881
Noah,Gray,KC,TE,80,1.363,178,1.826,1.131,2.202,53,1,149,0.839,0.69,1
Brian,Thomas,JAX,WR,139,2.504,336,2.586,2.879,2.154,102,2.029,316,1.582,1.693,1.535
DeAndre,Hopkins,BLT,WR,119,1.664,201,1.95,2.126,1.344,80,1.988,105,1.629,2.475,0.944
Tim,Patrick,JAX,WR,74,0.946,223,1.453,1.349,1.177,53,1.547,81,1.296,1.494,1.113
Sam,LaPorta,DET,TE,76,2.513,314,1.685,2.076,1.413,47,1.021,175,2.451,1.706,2.6
T.J.,Hockenson,MIN,TE,57,2.807,204,1.446,2.133,1.359,107,0.449,242,1.541,1.349,1.02
Jaxon,Smith-Njigba,SEA,WR,136,2.75,423,1.745,1.655,2.26,105,4.286,354,3.76,3.81,3.678
Jaylen,Waddle,MIA,WR,112,1.848,299,1.816,1.6,1.844,67,1.388,292,2.798,2.989,1.887
Xavier,Hutchinson,HST,WR,83,0.482,147,0.524,0.445,0.531,96,1.354,261,1.119,1.497,0.786
Tee,Higgins,CIN,WR,147,2.122,264,2.148,1.956,2.268,140,2.329,343,1.516,2.181,1.451
Marvin,Harrison,ARZ,WR,150,1.947,343,1.703,1.891,1.577,63,2.222,278,1.683,2.023,1.374
Rashod,Bateman,BLT,WR,146,1.5,254,2.114,1.425,2.434,96,1.198,194,0.562,0.821,0.69
George,Pickens,DAL,WR,117,2.94,274,2.04,3.246,1.07,158,3.43,399,2.193,3.56,1.718
Ricky,Pearsall,SF,WR,88,2.023,175,1.234,1.857,0.992,53,2.528,196,2.01,2.826,1.113
Mike,Evans,TB,WR,117,2.504,241,2.929,3.2,2.056,53,1.755,149,1.846,1.69,1.849
Wan'Dale,Robinson,NYG,WR,165,1.055,367,1.417,1.455,1.088,149,1.503,354,2.232,2.007,1.86
Tyler,Lockett,LV,WR,120,1.467,370,1.122,1.328,1.079,97,0.505,244,0.869,0.844,0.822
Jordan,Addison,MIN,WR,121,1.347,323,2.068,2.239,1.561,103,0.922,275,1.796,1.039,1.923
Lil'Jordan,Humphrey,DEN,WR,68,0.515,173,1.491,1.403,0.835,46,0.13,93,1.613,1.139,0.974
Keon,Coleman,BUF,WR,116,2.078,173,1.821,2.487,0.764,89,1.315,186,1.543,1.335,1.618
Mike,Gesicki,CIN,TE,155,2.394,227,1.256,1.89,1.41,67,0.731,166,1.554,0.674,1.678
Deebo,Samuel,WAS,WR,119,1.664,260,1.773,1.804,1.565,116,2.267,293,1.584,1.574,1.921
Brenton,Strange,JAX,TE,74,1.378,178,1.713,1.769,1.317,80,2.1,195,1.851,1.921,1.865
Travis,Kelce,KC,TE,158,1.69,329,1.608,1.898,1.259,175,1.16,307,2.059,1.61,1.731
Demarcus,Robinson,SF,WR,157,1.089,292,1.103,1.101,1.034,63,0.698,172,1.349,1.277,0.948
