team,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,proe_season
TEN,7.5,10.4,1.9,-1.9,4.2,-3.0,8.9,15.1,7.5,,11.1,6.0,3.5,9.7,5.6,8.4,0.8,13.4,6.4
JAX,-1.4,9.3,7.3,-0.7,19.0,-1.0,10.8,,15.9,2.1,1.6,14.3,3.7,-4.1,-9.6,9.6,-1.3,-5.4,4.4
DAL,1.5,10.3,-1.6,-1.3,6.3,-11.9,-3.0,7.4,6.7,,17.9,14.6,5.4,11.9,-1.9,0.4,1.0,7.2,4.1
TB,0.3,3.7,5.5,-3.2,2.9,5.6,-2.6,16.3,,5.5,3.0,15.4,12.0,-12.5,1.8,7.7,-3.7,4.0,3.8
DEN,-3.9,-3.6,4.0,3.6,22.2,-12.7,-2.0,-0.2,5.1,-2.4,19.4,,1.8,14.6,7.5,10.2,-5.3,3.5,3.6
BAL,1.6,-0.2,-7.6,7.3,8.0,8.1,,0.1,1.6,7.8,-0.7,-6.6,5.8,12.7,-6.3,13.7,6.0,8.4,3.4
IND,5.7,7.5,2.3,3.6,-2.8,6.9,10.3,-5.8,14.4,-3.8,,-2.4,-1.9,3.8,1.4,4.8,5.1,-7.3,2.3
SF,-8.4,-5.8,4.3,-2.8,13.1,-1.6,7.7,1.8,3.7,8.6,14.4,12.9,-11.6,,-7.0,1.1,9.6,-6.7,2.1
LV,14.3,10.5,-2.4,-0.9,6.0,5.4,3.7,,-5.5,1.0,6.2,-9.3,-8.9,12.2,-12.3,3.9,7.2,-1.2,1.9
NYG,6.7,5.9,10.2,14.8,-4.0,3.6,3.8,0.3,-6.5,-0.4,-0.2,5.5,9.8,,-5.1,-8.6,-4.6,-11.4,1.5
LAC,13.1,6.7,6.6,-9.0,8.2,-2.0,7.8,5.3,-5.2,0.4,-9.0,,-4.6,4.7,4.7,4.1,-9.3,4.2,1.4
ARI,3.6,7.4,9.2,-5.8,-5.1,1.8,0.6,,5.8,-23.0,4.5,1.9,1.9,1.9,3.8,-5.0,5.8,9.7,1.3
WAS,6.3,2.7,-14.0,-9.1,-4.6,-4.2,3.7,14.8,-1.5,3.4,-12.7,,13.3,0.4,0.2,5.0,-1.4,14.0,1.2
CIN,4.5,7.7,-1.3,7.5,-0.3,2.2,0.0,-7.5,3.9,,3.0,6.8,-1.4,2.3,-6.1,-13.7,1.1,-1.5,0.9
KC,13.5,-8.6,-7.1,11.4,4.9,-1.2,-4.5,4.7,-4.5,,7.7,14.2,3.7,-4.2,-1.8,-6.5,4.6,-9.6,0.9
DET,0.5,-4.4,8.1,-7.7,9.1,11.6,8.7,,-1.9,-17.3,-7.1,-4.7,-0.1,2.7,7.9,7.3,-4.9,2.6,0.8
PIT,-17.8,-1.6,7.3,9.0,,6.2,10.4,8.7,12.6,4.8,-3.3,5.3,-14.3,-13.9,0.5,12.7,-2.0,-20.5,0.7
SEA,-3.9,0.4,-4.0,12.3,6.8,6.4,8.2,,-13.2,3.8,6.3,4.5,-1.7,-12.3,-11.4,3.7,-4.0,8.9,0.7
HOU,2.3,6.4,10.3,-5.2,-14.8,,0.1,12.9,1.6,1.8,7.8,1.7,-11.3,1.7,1.5,-14.1,3.7,-3.7,0.7
ATL,8.0,2.8,1.9,-7.2,,1.3,-10.6,-6.2,5.5,-5.5,1.0,0.2,1.6,9.7,14.0,-7.5,1.0,-2.5,0.3
NYJ,0.6,-8.1,-4.0,-3.3,4.2,-5.2,-1.6,8.3,,-4.1,8.0,0.3,-4.6,-14.2,11.4,16.8,-5.6,-4.1,-0.3
MIA,-2.4,-2.7,3.9,-6.0,-14.0,5.0,-7.7,-4.0,0.5,0.6,-8.3,,-0.5,-3.7,-1.5,9.1,15.6,5.5,-0.6
CHI,-10.8,-0.5,4.4,-7.4,,6.4,2.6,-9.1,9.7,5.8,-3.4,-12.0,-1.1,-4.2,2.3,-7.8,2.1,8.1,-0.6
NO,10.0,10.2,-4.2,0.1,1.7,1.1,-9.1,-3.5,-1.9,-5.9,,-6.8,-3.0,-11.3,-3.8,-0.6,2.2,4.3,-1.1
CAR,5.8,8.6,0.2,-5.5,15.0,3.0,5.1,-8.3,-3.6,-8.0,-0.4,-3.0,1.1,,1.8,-13.7,-6.9,-11.6,-1.6
CLE,2.7,10.2,-2.9,-0.9,6.7,0.2,-8.8,3.8,,-22.4,-8.9,4.2,-1.2,-10.7,-1.9,-4.6,-3.7,4.0,-1.7
NE,11.0,5.2,-6.7,-7.9,3.3,-4.1,11.4,3.3,7.9,4.5,-8.6,-1.9,-11.7,,-10.0,-16.3,-19.9,-7.9,-2.9
LAR,-2.6,-2.2,-9.4,3.3,4.5,-13.2,6.3,,-7.0,0.6,-8.1,-9.1,-20.4,10.7,-0.9,2.4,-18.2,11.7,-3.0
PHI,2.5,3.6,-0.1,-2.2,1.2,0.1,2.7,-5.9,,-2.8,-0.2,-2.2,-6.0,-5.9,0.4,-14.9,-9.6,-12.6,-3.1
GB,-2.6,10.0,-1.6,1.4,,4.7,6.4,3.2,-13.5,-8.2,-18.3,-7.1,-14.8,-6.3,0.7,-6.0,-17.7,3.7,-3.9
BUF,-8.3,-7.6,-6.2,-12.2,10.2,3.8,,-14.6,1.1,-12.1,-11.4,0.3,-7.1,9.2,-1.9,-3.0,-4.5,-20.0,-4.8
MIN,6.7,-9.5,-8.3,1.1,-3.1,,-2.3,2.6,-0.1,-1.8,-3.0,-9.9,0.7,2.7,-5.0,-24.1,-14.1,-34.0,-5.5
