name,pos,team,adp,proj_pg,p95,cv,spike,bye,w15_opp,w16_opp,w17_game,w17_blowup_rank,adv_pct,ceil_pct,merged_rank
Ja'Marr Chase,WR,CIN,3.0714905,19.87058823529412,46.65274537836923,1.0762539208439577,0.1595833333333333,6.0,CAR,IND,BAL@CIN,2,0.9928057553956836,0.9927536231884058,3.0
Jahmyr Gibbs,RB,DET,1.1574535,21.294117647058822,45.70525476523482,0.6616317716385075,0.1625833333333333,6.0,MIN,NYG,CHI@DET,4,1.0,0.9882352941176472,1.0
Justin Jefferson,WR,MIN,8.967708,17.15294117647059,41.24753786225933,0.9163445211924908,0.162,6.0,DET,WAS,MIN@NYJ,7,0.9640287769784172,0.9637681159420288,10.0
Puka Nacua,WR,LAR,3.923579,21.094117647058823,49.766031406579806,0.8673407767347314,0.1583333333333333,11.0,DAL,SEA,LAR@TB,1,1.0,1.0,2.0
Bijan Robinson,RB,ATL,2.0989115,20.605882352941173,46.03443243372247,0.7112397588905334,0.1633333333333333,11.0,WAS,TB,ATL@NO,11,0.9767441860465116,1.0,4.0
Amon-Ra St. Brown,WR,DET,7.1643257,18.958823529411767,44.9003119235876,0.8958204731221476,0.15675,6.0,MIN,NYG,CHI@DET,4,0.9784172661870504,0.9782608695652174,7.0
CeeDee Lamb,WR,DAL,10.389036,17.500000000000004,42.47455631989164,0.8941482640391039,0.1679166666666666,14.0,LAR,JAX,DAL@NYG,3,0.9712230215827338,0.9710144927536232,9.0
James Cook III,RB,BUF,11.130455,16.71764705882353,37.38039420622891,0.7189517002993508,0.1625833333333333,7.0,CHI,DEN,BUF@MIA,16,0.9418604651162792,0.9294117647058824,13.0
Jaxon Smith-Njigba,WR,SEA,5.4150596,19.435294117647057,46.64386303719955,0.9193279555289244,0.1578333333333333,11.0,PHI,LAR,CAR@SEA,5,0.9856115107913668,0.9855072463768116,5.0
Jonathan Taylor,RB,IND,8.428704,18.27058823529412,40.40383437756495,0.7096771614662609,0.16125,13.0,TEN,CIN,CLE@IND,15,0.9651162790697676,0.9647058823529412,8.0
Ashton Jeanty,RB,LV,12.128224,16.58823529411765,36.98722570415724,0.7040647640086178,0.1661666666666666,13.0,DEN,TEN,ARI@LV,14,0.9186046511627908,0.9058823529411764,14.0
Christian McCaffrey,RB,SF,6.256311,20.829411764705885,43.93432894571493,0.6505923241284697,0.1575,8.0,LAC,KC,PHI@SF,8,0.9883720930232558,0.976470588235294,6.0
Saquon Barkley,RB,PHI,13.358328,16.147058823529413,35.04688677883752,0.6973907767290477,0.1683333333333333,10.0,SEA,HOU,PHI@SF,8,0.872093023255814,0.8352941176470589,17.0
Omarion Hampton,RB,LAC,15.472762,16.623529411764707,36.710832010284285,0.7043293727696377,0.1679166666666666,7.0,SF,MIA,KC@LAC,9,0.9302325581395348,0.8823529411764706,16.0
Kenneth Walker III,RB,KC,14.764475,,,,,5.0,NE,SF,KC@LAC,9,,,11.0
Derrick Henry,RB,BAL,20.30244,16.11764705882353,37.12152989085424,0.7777102826256506,0.1695833333333333,13.0,PIT,CLE,BAL@CIN,2,0.8604651162790697,0.9176470588235294,18.0
Drake London,WR,ATL,17.398739,15.86470588235294,38.49618622559065,0.904431166045279,0.1649166666666666,11.0,WAS,TB,ATL@NO,11,0.9496402877697842,0.9565217391304348,15.0
Chase Brown,RB,CIN,16.945114,15.994117647058822,35.3278661788292,0.6922948313524009,0.1744166666666666,6.0,CAR,IND,BAL@CIN,2,0.8488372093023255,0.8588235294117647,22.0
Nico Collins,WR,HOU,22.560112,14.788235294117646,37.48112755121426,1.0456922251319574,0.1686666666666666,8.0,JAX,PHI,GB@HOU,10,0.935251798561151,0.9420289855072465,21.0
George Pickens,WR,DAL,24.32811,14.094117647058823,35.737763360721004,1.061277041547332,0.1684166666666666,14.0,LAR,JAX,DAL@NYG,3,0.8992805755395683,0.8985507246376812,28.0
De'Von Achane,RB,MIA,19.072338,17.58235294117647,40.297838433529456,0.7449945779157269,0.1653333333333333,6.0,GB,LAC,BUF@MIA,16,0.9534883720930232,0.9529411764705882,12.0
Josh Allen,QB,BUF,27.015394,22.335294117647063,41.93940530983989,0.4687252004127373,0.13475,7.0,CHI,DEN,BUF@MIA,16,1.0,1.0,19.0
Jeremiyah Love,RB,ARI,27.258656,16.51764705882353,36.77165349433925,0.7524634750112303,0.1691666666666666,14.0,NYJ,NO,ARI@LV,14,0.9069767441860463,0.8941176470588236,20.0
Trey McBride,TE,ARI,24.179825,14.988235294117649,35.92952665114753,0.8863888501563212,0.1688333333333333,14.0,NYJ,NO,ARI@LV,14,1.0,1.0,27.0
Brock Bowers,TE,LV,20.01768,14.18235294117647,34.09313496777692,0.9073419989362692,0.1745833333333333,13.0,DEN,TEN,ARI@LV,14,0.9807692307692308,0.9807692307692308,25.0
Rashee Rice,WR,KC,25.12171,16.094117647058823,38.05712345426958,1.0504201287964618,0.1634166666666666,5.0,NE,SF,KC@LAC,9,0.9568345323741008,0.9492753623188406,24.0
DeVonta Smith,WR,PHI,28.101109,14.041176470588235,34.807457724478084,1.0065017452781435,0.1695,10.0,SEA,HOU,PHI@SF,8,0.8920863309352518,0.8840579710144928,30.0
Tee Higgins,WR,CIN,35.447487,12.735294117647058,32.76772785736452,1.0714323194597288,0.1875,6.0,CAR,IND,BAL@CIN,2,0.8489208633093526,0.855072463768116,42.0
Josh Jacobs,RB,GB,43.47012,16.341176470588238,36.6886056372477,0.7324537185481808,0.1703333333333333,11.0,MIA,CHI,GB@HOU,10,0.8837209302325582,0.8705882352941177,39.0
Chris Olave,WR,NO,28.638472,14.24705882352941,35.76814061566254,0.9900687063068406,0.171,8.0,TB,ARI,ATL@NO,11,0.9136690647482014,0.9057971014492754,29.0
Malik Nabers,WR,NYG,37.554016,14.686666666666667,36.90637366054339,0.9626690297192888,0.1766666666666666,8.0,CLE,DET,DAL@NYG,3,0.9280575539568344,0.927536231884058,31.0
A.J. Brown,WR,NE,17.701973,14.676470588235292,37.30567635519588,0.9844139466033456,0.17425,11.0,KC,NYJ,DEN@NE,6,0.920863309352518,0.9347826086956522,23.0
Kyren Williams,RB,LAR,30.113329,14.511764705882356,33.52928619009516,0.7554038507115526,0.1820833333333333,11.0,DAL,SEA,LAR@TB,1,0.8255813953488372,0.8235294117647058,34.0
Emeka Egbuka,WR,TB,32.572506,12.823529411764708,33.07010758382478,1.005071493730227,0.1813333333333333,10.0,NO,ATL,LAR@TB,1,0.8561151079136691,0.8623188405797102,36.0
Zay Flowers,WR,BAL,32.1413,14.176470588235292,35.56503279987536,0.9549029468867294,0.1743333333333333,13.0,PIT,CLE,BAL@CIN,2,0.9064748201438848,0.8913043478260869,37.0
Breece Hall,RB,NYJ,31.94612,16.34705882352941,37.39884575593246,0.7386776163709503,0.1725833333333333,13.0,ARI,NE,MIN@NYJ,7,0.8953488372093024,0.9411764705882352,26.0
DJ Moore,WR,BUF,46.30887,12.188235294117648,31.14617067819413,0.9540326148906642,0.1835833333333333,7.0,CHI,DEN,BUF@MIA,16,0.8129496402877698,0.7971014492753623,48.0
Garrett Wilson,WR,NYJ,38.980015,15.017647058823528,36.83191738684096,0.9500064238734304,0.1658333333333333,13.0,ARI,NE,MIN@NYJ,7,0.9424460431654677,0.9202898550724636,33.0
Javonte Williams,RB,DAL,38.24001,15.441176470588236,35.07628697415312,0.7575940646991575,0.17525,14.0,LAR,JAX,DAL@NYG,3,0.8372093023255814,0.8470588235294118,35.0
Travis Etienne Jr.,RB,NO,36.58683,14.25294117647059,32.99253318548492,0.7366432701549392,0.1735,8.0,TB,ARI,ATL@NO,11,0.8023255813953488,0.8117647058823529,40.0
Colston Loveland,TE,CHI,39.75494,12.105882352941178,29.858790768503585,1.0063197815525424,0.1760833333333333,10.0,BUF,GB,CHI@DET,4,0.9423076923076924,0.9230769230769232,44.0
Ladd McConkey,WR,LAC,34.686108,12.9,33.43832503021339,1.080210704502947,0.1735,7.0,SF,MIA,KC@LAC,9,0.8633093525179856,0.8695652173913043,38.0
Jaylen Waddle,WR,DEN,47.38509,12.547058823529412,32.75634283124858,1.0141764252154248,0.1810833333333333,10.0,LV,BUF,DEN@NE,6,0.8273381294964028,0.8478260869565217,50.0
Davante Adams,WR,LAR,47.151356,13.86470588235294,34.76499180399819,1.015776511329994,0.1794166666666666,11.0,DAL,SEA,LAR@TB,1,0.8776978417266187,0.8768115942028986,43.0
Tetairoa McMillan,WR,CAR,42.8902,14.005882352941178,36.44918092127338,0.9386071970590908,0.1635833333333333,5.0,CIN,PIT,CAR@SEA,5,0.8848920863309353,0.9130434782608696,41.0
Luther Burden III,WR,CHI,41.94492,11.988235294117649,30.37068127829038,0.9648429600329752,0.1776666666666666,10.0,BUF,GB,CHI@DET,4,0.7985611510791367,0.7898550724637681,45.0
