name,position,posRank,ovrRank,adp,team,rankVsAdp,rankVsAdpPct
Jahmyr Gibbs,RB,RB1,1,1.3,DET,0.3,3.0000000000000004
Bijan Robinson,RB,RB2,2,1.8,ATL,-0.2,-1.9999999999999998
Ja'Marr Chase,WR,WR1,3,3.1,CIN,0.1,1.0000000000000009
Puka Nacua,WR,WR2,4,4,LAR,0,0
Jaxon Smith-Njigba,WR,WR3,5,5.2,SEA,0.2,2.0000000000000018
Amon-Ra St. Brown,WR,WR4,6,7.7,DET,1.7,17
Jonathan Taylor,RB,RB3,7,6.8,IND,-0.2,-2.0000000000000018
Christian McCaffrey,RB,RB4,8,7.2,SF,-0.8,-7.999999999999999
Justin Jefferson,WR,WR5,9,9.7,MIN,0.7,6.999999999999992
Ashton Jeanty,RB,RB5,10,11.5,LV,1.5,13.043478260869565
CeeDee Lamb,WR,WR6,11,9.6,DAL,-1.4,-14.000000000000004
James Cook,RB,RB6,12,11.2,BUF,-0.8,-7.1428571428571495
Kenneth Walker III,RB,RB7,13,16.7,KC,3.7,22.15568862275449
Saquon Barkley,RB,RB8,14,13.8,PHI,-0.2,-1.4492753623188355
De'Von Achane,RB,RB9,15,15.2,MIA,0.2,1.315789473684206
Brock Bowers,TE,TE1,16,20.1,LV,4.1,20.39800995024876
Jeremiyah Love,RB,RB10,17,23.1,ARI,6.1,26.406926406926413
Derrick Henry,RB,RB11,18,17.5,BAL,-0.5,-2.857142857142857
Drake London,WR,WR7,19,18.3,ATL,-0.7,-3.8251366120218537
Nico Collins,WR,WR8,20,23,HOU,3,13.043478260869565
George Pickens,WR,WR9,21,24.3,DAL,3.3,13.580246913580249
Omarion Hampton,RB,RB12,22,15.7,LAC,-6.3,-40.127388535031855
Chase Brown,RB,RB13,23,17,CIN,-6,-35.294117647058826
A.J. Brown,WR,WR10,24,20.6,NE,-3.4,-16.50485436893203
Trey McBride,TE,TE2,25,26.5,ARI,1.5,5.660377358490567
Rashee Rice,WR,WR11,26,30.3,KC,4.3,14.191419141914194
Breece Hall,RB,RB14,27,26.9,NYJ,-0.1,-0.3717472118959161
Chris Olave,WR,WR12,28,27.7,NO,-0.3,-1.0830324909747318
DeVonta Smith,WR,WR13,29,28,PHI,-1,-3.571428571428571
Tee Higgins,WR,WR14,30,34.5,CIN,4.5,13.043478260869565
Malik Nabers,WR,WR15,31,32.4,NYG,1.4,4.320987654320983
Josh Allen,QB,QB1,32,33,BUF,1,3.0303030303030303
Travis Etienne Jr.,RB,RB15,33,29.2,NO,-3.8,-13.013698630136988
Josh Jacobs,RB,RB16,34,39.1,GB,5.1,13.043478260869568
Zay Flowers,WR,WR16,35,34.3,BAL,-0.7,-2.0408163265306207
Garrett Wilson,WR,WR17,36,38.3,NYJ,2.3,6.005221932114876
Colston Loveland,TE,TE3,37,46.1,CHI,9.1,19.739696312364426
Luther Burden,WR,WR18,38,41.7,CHI,3.7,8.87290167865708
Ladd McConkey,WR,WR19,39,38,LAC,-1,-2.631578947368421
Jaylen Waddle,WR,WR20,40,49.4,DEN,9.4,19.028340080971656
Javonte Williams,RB,RB17,41,35.2,DAL,-5.8,-16.47727272727272
Kyren Williams,RB,RB18,42,31.5,LAR,-10.5,-33.33333333333333
Emeka Egbuka,WR,WR21,43,39.9,TB,-3.1,-7.7694235588972465
Tetairoa McMillan,WR,WR22,44,37.9,CAR,-6.1,-16.09498680738787
Mike Evans,WR,WR23,45,44.5,SF,-0.5,-1.1235955056179776
Bucky Irving,RB,RB19,46,53.4,TB,7.4,13.85767790262172
Davante Adams,WR,WR24,47,50.9,LAR,3.9,7.662082514734772
Jameson Williams,WR,WR25,48,48.2,DET,0.2,0.4149377593361055
D'Andre Swift,RB,RB20,49,51.8,CHI,2.8,5.4054054054054
Carnell Tate,WR,WR26,50,59.4,TEN,9.4,15.824915824915822
Bhayshul Tuten,RB,RB21,51,59.6,JAX,8.6,14.429530201342283
Cam Skattebo,RB,RB22,52,43.9,NYG,-8.1,-18.45102505694761
Terry McLaurin,WR,WR27,53,45.4,WAS,-7.6,-16.740088105726876
David Montgomery,RB,RB23,54,49.4,HOU,-4.6,-9.311740890688263
Jordyn Tyson,WR,WR28,55,62.9,NO,7.9,12.559618441971383
Jadarian Price,RB,RB24,56,58.8,SEA,2.8,4.761904761904757
Rome Odunze,WR,WR29,57,57,CHI,0,0
Jayden Daniels,QB,QB2,58,67.1,WAS,9.1,13.561847988077488
Lamar Jackson,QB,QB3,59,56.1,BAL,-2.9,-5.169340463458108
Quinshon Judkins,RB,RB25,60,55.2,CLE,-4.8,-8.695652173913038
TreVeyon Henderson,RB,RB26,61,48.8,NE,-12.2,-25.000000000000007
Drake Maye,QB,QB4,62,69.4,NE,7.4,10.662824207492802
Christian Watson,WR,WR30,63,56.9,GB,-6.1,-10.720562390158175
Brian Thomas,WR,WR31,64,63.5,JAX,-0.5,-0.7874015748031495
D.J. Moore,WR,WR32,65,54.7,BUF,-10.3,-18.829981718464346
Tyler Warren,TE,TE4,66,65.7,IND,-0.3,-0.4566210045662057
Joe Burrow,QB,QB5,67,65.2,CIN,-1.8,-2.760736196319014
Parker Washington,WR,WR33,68,69.7,JAX,1.7,2.4390243902439064
Makai Lemon,WR,WR34,69,72.4,PHI,3.4,4.69613259668509
Tucker Kraft,TE,TE5,70,82.4,GB,12.4,15.048543689320395
Marvin Harrison,WR,WR35,71,68,ARI,-3,-4.411764705882353
Jalen Hurts,QB,QB6,72,71.9,PHI,-0.1,-0.13908205841445662
Rhamondre Stevenson,RB,RB27,73,75.8,NE,2.8,3.693931398416883
Jayden Reed,WR,WR36,74,83.1,GB,9.1,10.950661853188922
Tony Pollard,RB,RB28,75,77.8,TEN,2.8,3.598971722365035
Jaylen Warren,RB,RB29,76,76.3,PIT,0.3,0.39318479685451796
Caleb Williams,QB,QB7,77,69.1,CHI,-7.9,-11.432706222865422
Trevor Lawrence,QB,QB8,78,86.5,JAX,8.5,9.826589595375722
Alec Pierce,WR,WR37,79,73.3,IND,-5.7,-7.776261937244206
Justin Herbert,QB,QB9,80,81.4,LAC,1.4,1.7199017199017268
Courtland Sutton,WR,WR38,81,80.7,DEN,-0.3,-0.37174721189590726
Chris Godwin,WR,WR39,82,89,TB,7,7.865168539325842
Chuba Hubbard,RB,RB30,83,70.7,CAR,-12.3,-17.397454031117395
Dak Prescott,QB,QB10,84,79.4,DAL,-4.6,-5.793450881612083
Brock Purdy,QB,QB11,85,98,SF,13,13.26530612244898
Patrick Mahomes,QB,QB12,86,90.1,KC,4.1,4.550499445061037
Jordan Addison,WR,WR40,87,86.3,MIN,-0.7,-0.8111239860950206
DK Metcalf,WR,WR41,88,76.9,PIT,-11.1,-14.434330299089718
Kyle Monangai,RB,RB31,89,91.6,CHI,2.6,2.8384279475982472
Harold Fannin,TE,TE6,90,96.4,CLE,6.4,6.639004149377599
Josh Downs,WR,WR42,91,95.8,IND,4.8,5.010438413361166
Michael Wilson,WR,WR43,92,92.2,ARI,0.2,0.21691973969631545
Ricky Pearsall,WR,WR44,93,100.9,SF,7.9,7.829534192269579
Kyle Pitts,TE,TE7,94,105.5,ATL,11.5,10.90047393364929
RJ Harvey,RB,RB32,95,85.1,DEN,-9.9,-11.633372502937728
Jaxson Dart,QB,QB13,96,95.8,NYG,-0.2,-0.208768267223385
Blake Corum,RB,RB33,97,93.7,LAR,-3.3,-3.521878335112057
J.K. Dobbins,RB,RB34,98,104,DEN,6,5.769230769230769
Bo Nix,QB,QB14,99,104.1,DEN,5.1,4.899135446685874
Jordan Love,QB,QB15,100,110.3,GB,10.3,9.338168631006344
KC Concepcion,WR,WR45,101,116,CLE,15,12.931034482758621
Xavier Worthy,WR,WR46,102,101.2,KC,-0.8,-0.7905138339920921
Matthew Stafford,QB,QB16,103,102.7,LAR,-0.3,-0.29211295034079565
Jakobi Meyers,WR,WR47,104,99.7,JAX,-4.3,-4.312938816449345
Sam LaPorta,TE,TE8,105,97.4,DET,-7.6,-7.802874743326482
Tyler Shough,QB,QB17,106,116.7,NO,10.7,9.168808911739506
Jared Goff,QB,QB18,107,107.1,DET,0.1,0.09337068160597042
Kyler Murray,QB,QB19,108,108.2,MIN,0.2,0.18484288354898598
Baker Mayfield,QB,QB20,109,117.7,TB,8.7,7.391673746813936
Rico Dowdle,RB,RB35,110,87.4,PIT,-22.6,-25.858123569794046
Quentin Johnston,WR,WR48,111,88.3,LAC,-22.7,-25.707814269535678
Matthew Golden,WR,WR49,112,109.4,GB,-2.6,-2.3765996343692817
Kenneth Gainwell,RB,RB36,113,105.8,TB,-7.2,-6.80529300567108
Rachaad White,RB,RB37,114,119.5,WAS,5.5,4.602510460251046
Michael Pittman Jr.,WR,WR50,115,104.4,PIT,-10.6,-10.153256704980837
