rank,name,team,position,adp,adpHalf,adpStd,adpPpr,passCatcher,volumeWr,volumeTe,topOffense
1,Jahmyr Gibbs,DET,RB,2,2,1,1,true,false,false,true
2,Bijan Robinson,ATL,RB,1,1,2,2,false,false,false,false
3,Puka Nacua,LAR,WR,4,4,4,4,false,true,false,false
4,Ja'Marr Chase,CIN,WR,3,3,3,3,false,true,false,true
5,Jaxon Smith-Njigba,SEA,WR,5,5,5,5,false,true,false,false
6,Amon-Ra St. Brown,DET,WR,8,8,8,8,false,true,false,true
7,Christian McCaffrey,SF,RB,6,6,7,6,true,false,false,false
8,Justin Jefferson,MIN,WR,9,9,10,10,false,true,false,false
9,Ashton Jeanty,LV,RB,12,12,12,9,false,false,false,false
10,Jonathan Taylor,IND,RB,7,7,6,7,false,false,false,false
11,James Cook III,BUF,RB,11,11,11,11,true,false,false,true
12,CeeDee Lamb,DAL,WR,10,10,9,12,false,true,false,false
13,Kenneth Walker III,KC,RB,20,20,16,17,false,false,false,true
14,Saquon Barkley,PHI,RB,14,14,13,13,false,false,false,true
15,Derrick Henry,BAL,RB,21,21,18,21,false,false,false,true
16,De'Von Achane,MIA,RB,13,13,14,15,true,false,false,false
17,Brock Bowers,LV,TE,15,15,20,19,false,false,true,false
18,Jeremiyah Love,ARI,RB,25,25,23,24,false,false,false,false
19,Drake London,ATL,WR,19,19,19,18,false,true,false,false
20,Trey McBride,ARI,TE,16,16,25,20,false,false,true,false
21,Omarion Hampton,LAC,RB,17,17,15,16,false,false,false,false
22,Chase Brown,CIN,RB,18,18,17,14,true,false,false,true
23,Rashee Rice,KC,WR,31,31,30,28,false,true,false,true
24,George Pickens,DAL,WR,26,26,24,25,false,false,false,false
25,Nico Collins,HOU,WR,23,23,22,22,false,false,false,false
26,A.J. Brown,NE,WR,24,24,21,23,false,true,false,false
27,Breece Hall,NYJ,RB,30,30,26,29,true,false,false,false
28,Chris Olave,NO,WR,27,27,27,27,false,true,false,false
29,DeVonta Smith,PHI,WR,32,32,28,30,false,true,false,true
30,Josh Jacobs,GB,RB,36,36,40,39,false,false,false,true
31,Josh Allen,BUF,QB,22,22,33,26,false,false,false,false
32,Tee Higgins,CIN,WR,37,37,35,38,false,false,false,true
33,Colston Loveland,CHI,TE,35,35,46,42,false,false,true,false
34,Travis Etienne Jr.,NO,RB,33,33,29,31,true,false,false,false
35,Zay Flowers,BAL,WR,39,39,34,35,false,false,false,true
36,Jaylen Waddle,DEN,WR,58,58,49,48,false,true,false,false
37,Garrett Wilson,NYJ,WR,42,42,39,37,false,true,false,false
38,Malik Nabers,NYG,WR,29,29,32,33,false,true,false,false
39,Luther Burden III,CHI,WR,45,45,42,43,false,false,false,false
40,Javonte Williams,DAL,RB,34,34,36,34,false,false,false,false
41,Ladd McConkey,LAC,WR,44,44,37,36,false,true,false,false
