name,position,posRank,ovrRank,adp,team,rankVsAdp,rankVsAdpPct,tier
Jeremiyah Love,RB,RB1,1,1,ARI,0,0,
Carnell Tate,WR,WR1,2,2.5,TEN,0.5,5,
Jordyn Tyson,WR,WR2,3,3.7,NO,0.7000000000000002,7.000000000000002,
Fernando Mendoza,QB,QB1,4,2.5,LV,-1.5,-15,
Makai Lemon,WR,WR3,5,4.8,PHI,-0.20000000000000018,-2.0000000000000018,
KC Concepcion,WR,WR4,6,6.3,CLE,0.2999999999999998,2.9999999999999982,
Jadarian Price,RB,RB2,7,3.8,SEA,-3.2,-32,
Omar Cooper Jr.,WR,WR5,8,8.2,NYJ,0.1999999999999993,1.9999999999999927,
Ty Simpson,QB,QB2,9,8.3,LAR,-0.6999999999999993,-6.999999999999992,
Denzel Boston,WR,WR6,10,10,CLE,0,0,
Kenyon Sadiq,TE,TE1,11,8.3,NYJ,-2.6999999999999993,-26.99999999999999,
Antonio Williams,WR,WR7,12,15.5,WAS,3.5,22.58064516129032,
Jonah Coleman,RB,RB3,13,10.2,DEN,-2.8000000000000007,-27.450980392156872,
Chris Bell,WR,WR8,14,18.7,MIA,4.699999999999999,25.133689839572188,
Germie Bernard,WR,WR9,15,16.3,PIT,1.3000000000000007,7.97546012269939,
Eli Stowers,TE,TE2,16,15.5,PHI,-0.5,-3.225806451612903,
Nicholas Singleton,RB,RB4,17,17.7,TEN,0.6999999999999993,3.9548022598870016,
Elijah Sarratt,WR,WR10,18,25.8,BAL,7.800000000000001,30.232558139534888,
De'Zhaun Stribling,WR,WR11,19,20.2,SF,1.1999999999999993,5.940594059405938,
Zachariah Branch,WR,WR12,20,19.5,ATL,-0.5,-2.564102564102564,
Malachi Fields,WR,WR13,21,23.5,NYG,2.5,10.638297872340425,
Eli Raridon,TE,TE3,22,37.3,NE,15.299999999999997,41.018766756032164,
Kaytron Allen,RB,RB5,23,19.8,WAS,-3.1999999999999993,-16.16161616161616,
Oscar Delp,TE,TE4,24,37.2,NO,13.200000000000003,35.48387096774194,
Drew Allar,QB,QB3,25,32.2,PIT,7.200000000000003,22.360248447204974,
Max Klare,TE,TE5,26,34.8,LAR,8.799999999999997,25.28735632183907,
Carson Beck,QB,QB4,27,19.8,ARI,-7.199999999999999,-36.36363636363636,
Skyler Bell,WR,WR14,28,31.2,BUF,3.1999999999999993,10.256410256410255,
Emmett Johnson,RB,RB6,29,15.3,KC,-13.7,-89.54248366013071,
Ja'Kobi Lane,WR,WR15,30,32.2,BAL,2.200000000000003,6.832298136645972,
Ted Hurst III,WR,WR16,31,24.5,TB,-6.5,-26.53061224489796,
Chris Brazzell II,WR,WR17,32,26.7,CAR,-5.300000000000001,-19.850187265917608,
Justin Joly,TE,TE6,33,37,DEN,4,10.81081081081081,
Taylen Green,QB,QB5,34,46.3,CLE,12.299999999999997,26.565874730021594,
Brenen Thompson,WR,WR18,35,35.2,LAC,0.20000000000000284,0.5681818181818262,
Mike Washington Jr.,RB,RB7,36,17.8,LV,-18.2,-102.24719101123594,
Cole Payton,QB,QB6,37,42.3,PHI,5.299999999999997,12.529550827423162,
Cyrus Allen,WR,WR19,38,52.7,KC,14.700000000000003,27.89373814041746,
Kaelon Black,RB,RB8,39,28.3,SF,-10.7,-37.80918727915194,
Cade Klubnik,QB,QB7,40,37,NYJ,-3,-8.108108108108109,
Demond Claiborne,RB,RB9,41,29.3,MIN,-11.7,-39.931740614334466,
Kevin Coleman Jr.,WR,WR20,42,42.3,MIA,0.29999999999999716,0.7092198581560216,
Eli Heidenreich,RB,RB10,43,39.3,PIT,-3.700000000000003,-9.41475826972011,
Bryce Lance,WR,WR21,44,37.7,NO,-6.299999999999997,-16.710875331564978,
Jack Endries,TE,TE7,45,59,CIN,14,23.728813559322035,
Caleb Douglas,WR,WR22,46,38.8,MIA,-7.200000000000003,-18.556701030927844,
Seth McGowan,RB,RB11,47,40,IND,-7,-17.5,
Adam Randall,RB,RB12,48,36,BAL,-12,-33.33333333333333,
Zavion Thomas,WR,WR23,49,37.4,CHI,-11.600000000000001,-31.01604278074867,
Deion Burks,WR,WR24,50,43,IND,-7,-16.27906976744186,
Tanner Koziol,TE,TE8,51,56,JAC,5,8.928571428571429,
Sam Roush,TE,TE9,52,47.5,CHI,-4.5,-9.473684210526317,
Nate Boerkircher,TE,TE10,53,61,JAC,8,13.114754098360656,
Garrett Nussmeier,QB,QB8,54,38.8,KC,-15.200000000000003,-39.17525773195877,
Colbie Young,WR,WR25,55,60.8,CIN,5.799999999999997,9.539473684210522,
Eric McAlister,WR,WR26,56,47,,-9,-19.148936170212767,
Jaydn Ott,RB,RB13,57,65.5,KC,8.5,12.977099236641221,
Will Kacmarek,TE,TE11,58,62.7,MIA,4.700000000000003,7.496012759170659,
Kaden Wetjen,WR,WR27,59,67.5,PIT,8.5,12.592592592592592,
Michael Trigg,TE,TE12,60,46.3,DAL,-13.700000000000003,-29.589632829373656,
Dae'Quan Wright,TE,TE13,61,86,PHI,25,29.069767441860467,
