Rank,Team,Total,Total Tier,Pass Def,Pass Def Tier,Run Def,Run Def Tier
1,CLE,88%,Elite,87%,Elite,86%,Elite
2,SEA,88%,Elite,78%,Good,93%,Elite
3,LAR,86%,Elite,79%,Good,87%,Elite
4,HOU,84%,Elite,79%,Good,80%,Elite
5,DEN,82%,Elite,84%,Elite,82%,Elite
6,JAX,69%,Good,64%,Average,64%,Average
7,LAC,68%,Good,65%,Average,64%,Average
8,MIN,68%,Good,75%,Good,57%,Average
9,PHI,65%,Average,63%,Average,60%,Average
10,NO,64%,Average,54%,Average,70%,Good
11,KC,63%,Average,59%,Average,61%,Average
12,DET,62%,Average,61%,Average,55%,Average
13,NE,59%,Average,58%,Average,51%,Average
14,PIT,57%,Average,61%,Average,54%,Average
15,TB,52%,Average,47%,Below Avg,64%,Average
16,ATL,51%,Average,55%,Average,47%,Below Avg
17,BAL,51%,Average,37%,Below Avg,65%,Average
18,GB,49%,Below Avg,59%,Average,39%,Below Avg
19,BUF,44%,Below Avg,56%,Average,30%,Below Avg
20,TEN,41%,Below Avg,32%,Below Avg,63%,Average
21,IND,38%,Below Avg,27%,Poor,50%,Average
22,CAR,35%,Below Avg,34%,Below Avg,37%,Below Avg
23,CHI,34%,Below Avg,28%,Poor,38%,Below Avg
24,LV,34%,Below Avg,31%,Below Avg,46%,Below Avg
25,MIA,32%,Below Avg,19%,Poor,50%,Average
26,NYG,28%,Poor,53%,Average,6%,Poor
27,NYJ,26%,Poor,15%,Poor,51%,Average
28,SF,26%,Poor,23%,Poor,33%,Below Avg
29,ARI,25%,Poor,26%,Poor,35%,Below Avg
30,DAL,23%,Poor,29%,Poor,36%,Below Avg
31,WAS,23%,Poor,22%,Poor,38%,Below Avg
32,CIN,19%,Poor,19%,Poor,25%,Poor
