FPOE Rank,Player,2025 FP/G
1,Jahmyr Gibbs DET,21.6
2,Jonathan Taylor IND,21.3
3,Bijan Robinson ATL,21.8
4,De'Von Achane MIA,20.2
5,James Cook BUF,17.8
6,Derrick Henry BAL,16.4
7,Rhamondre Stevenson NE,12.8
8,TreVeyon Henderson NE,12.1
9,Kyren Williams LAR,15.5
10,Breece Hall NYJ,13.0
11,D'Andre Swift CHI,14.3
12,RJ Harvey DEN,12.2
13,Josh Jacobs GB,15.8
14,Travis Etienne JAX,14.9
15,Jaylen Warren PIT,13.6
16,David Montgomery DET,9.8
17,Jordan Mason MIN,8.1
18,Kenneth Gainwell PIT,13.0
19,Zach Charbonnet SEA,11.3
20,Cam Skattebo NYG,16.0
21,Jacory Croskey-Merritt WAS,8.3
22,Christian McCaffrey SF,24.5
23,Rico Dowdle CAR,12.7
24,Kenneth Walker SEA,11.3
25,Omarion Hampton LAC,15.1
26,J.K. Dobbins DEN,11.6
27,Chris Rodriguez WAS,7.7
28,Kareem Hunt KC,8.6
29,Tyrone Tracy NYG,10.7
30,Tyler Allgeier ATL,7.2
31,Blake Corum LAR,7.2
32,Chase Brown CIN,16.6
33,Kyle Monangai CHI,8.6
34,Devin Singletary NYG,6.4
35,Javonte Williams DAL,15.2
36,Bucky Irving TB,13.8
36,Emanuel Wilson GB,5.6
38,Rachaad White TB,8.4
39,Saquon Barkley PHI,14.5
40,Aaron Jones MIN,9.9
41,Tony Pollard TEN,10.9
42,Kimani Vidal LAC,9.1
43,Ashton Jeanty LV,14.4
44,Chuba Hubbard CAR,8.4
45,Isiah Pacheco KC,6.7
46,Nick Chubb HOU,5.9
47,Quinshon Judkins CLE,12.1
48,Alvin Kamara NO,9.2
49,Woody Marks HOU,9.1
