FPOE Rank,Player,2025 FP/G
1,George Kittle SF,14.7
2,Dallas Goedert PHI,12.3
3,Colston Loveland CHI,10.3
4,AJ Barner SEA,8.7
5,Juwan Johnson NO,10.6
6,Brock Bowers LV,14.7
6,Brenton Strange JAX,9.8
8,Dawson Knox BUF,6.5
9,Pat Freiermuth PIT,7.6
10,Trey McBride ARI,18.6
11,Kyle Pitts ATL,12.4
12,Travis Kelce KC,11.4
13,David Njoku CLE,7.8
14,Hunter Henry NE,10.5
15,Harold Fannin CLE,11.7
16,Tommy Tremble CAR,4.3
17,Elijah Higgins ARI,3.4
18,Oronde Gadsden LAC,8.8
19,Cole Kmet CHI,4.9
20,Cade Otton TB,8.2
21,T.J. Hockenson MIN,7.5
22,Dalton Schultz HOU,10.4
23,Jake Ferguson DAL,11.1
24,Tyler Warren IND,11.1
25,Jonnu Smith PIT,5.0
26,Chig Okonkwo TEN,7.3
27,Mark Andrews BAL,7.7
28,Zach Ertz WAS,9.7
29,Theo Johnson NYG,8.5
30,Mason Taylor NYJ,6.8
31,Evan Engram DEN,6.4
