FPOE Rank,Player,2025 FP/G
1,Puka Nacua LAR,23.4
2,Jaxon Smith-Njigba SEA,21.2
3,Jameson Williams DET,12.9
4,Zay Flowers BAL,14.3
5,Stefon Diggs NE,12.4
6,Tee Higgins CIN,14.1
7,Kayshon Boutte NE,8.9
8,Quentin Johnston LAC,13.2
9,George Pickens DAL,17.2
10,Jalen Coker CAR,8.2
11,Khalil Shakir BUF,10.4
12,Michael Pittman IND,11.9
13,Isaac TeSlaa DET,5.4
14,Jaylen Waddle MIA,12.1
15,Kendrick Bourne SF,6.6
16,Amon-Ra St. Brown DET,19.1
17,Tez Johnson TB,6.2
18,Ryan Flournoy DAL,7.6
19,Jauan Jennings SF,11.6
20,DJ Moore CHI,10.1
21,Drake London ATL,16.8
22,Alec Pierce IND,12.2
23,Jayden Higgins HOU,7.6
24,Rashee Rice KC,18.8
25,Jordan Addison MIN,9.7
26,Tre Harris LAC,4.3
27,Marquise Brown KC,8.6
28,A.J. Brown PHI,14.7
29,Tetairoa McMillan CAR,12.6
30,DK Metcalf PIT,12.5
31,Mack Hollins NE,8.1
32,Pat Bryant DEN,5.8
32,JuJu Smith-Schuster KC,4.3
34,Jakobi Meyers JAX,11.0
35,Keon Coleman BUF,8.5
36,Rashod Bateman BAL,4.3
37,Parker Washington JAX,11.5
37,Josh Downs IND,8.7
39,Cooper Kupp SEA,7.3
40,Deebo Samuel WAS,11.8
41,Ja'Marr Chase CIN,19.6
42,Marvin Mims DEN,6.3
43,Jalen Nailor MIN,5.9
44,Brandin Cooks BUF,4.0
45,Romeo Doubs GB,10.3
46,Malik Washington MIA,6.9
47,Calvin Austin PIT,6.2
48,Nico Collins HOU,15.1
49,Xavier Hutchinson HOU,6.1
50,Tre Tucker LV,9.5
51,Wan'Dale Robinson NYG,13.6
52,Jalen Tolbert DAL,3.9
53,Courtland Sutton DEN,12.9
54,Ladd McConkey LAC,11.3
55,Cedric Tillman CLE,5.0
56,Michael Wilson ARI,13.0
57,DeVonta Smith PHI,11.9
58,David Sills ATL,4.1
59,Jahan Dotson PHI,3.4
60,Rashid Shaheed SEA,8.7
61,Chris Olave NO,16.8
62,Andrei Iosivas CIN,6.0
63,Van Jefferson TEN,5.0
64,Sterling Shepard TB,6.3
65,Marvin Harrison ARI,10.7
66,Olamide Zaccheaus CHI,6.1
67,Darius Slayton NYG,7.1
68,Keenan Allen LAC,10.8
69,Davante Adams LAR,15.9
70,Christian Kirk HOU,5.3
71,Troy Franklin DEN,10.4
72,Xavier Legette CAR,6.0
73,Ricky Pearsall SF,9.8
74,Tyler Lockett LV,4.0
75,Isaiah Bond CLE,3.6
76,Brian Thomas JAX,9.9
77,Chimere Dike TEN,7.5
78,Rome Odunze CHI,12.2
79,CeeDee Lamb DAL,15.4
80,Elic Ayomanor TEN,7.3
81,Xavier Worthy KC,7.8
82,Adonai Mitchell NYJ,5.5
83,Emeka Egbuka TB,11.5
84,Justin Jefferson MIN,11.8
85,Darnell Mooney ATL,5.5
86,Jerry Jeudy CLE,7.1
