player,adp
bijan robinson,1.8
jahmyr gibbs,1.3
ja'marr chase,3.1
puka nacua,4
jaxon smith-njigba,5.2
jonathan taylor,6.8
christian mccaffrey,7.2
ceedee lamb,9.6
amon-ra st. brown,7.7
justin jefferson,9.7
james cook,11.2
ashton jeanty,11.5
de'von achane,15.2
saquon barkley,13.8
kenneth walker iii,16.7
omarion hampton,15.7
malik nabers,32.4
derrick henry,17.5
drake london,18.3
trey mcbride,26.5
chase brown,17
rashee rice,30.3
brock bowers,20.1
george pickens,24.3
nico collins,23
josh jacobs,39.1
jeremiyah love,23.1
a.j. brown,20.6
devonta smith,28
josh allen,33
travis etienne jr.,29.2
breece hall,26.9
tetairoa mcmillan,37.9
kyren williams,31.5
tee higgins,34.5
chris olave,27.7
garrett wilson,38.3
javonte williams,35.2
emeka egbuka,39.9
zay flowers,34.3
ladd mcconkey,38
luther burden,41.7
bucky irving,53.4
mike evans,44.5
colston loveland,46.1
jameson williams,48.2
treveyon henderson,48.8
jaylen waddle,49.4
d.j. moore,54.7
terry mclaurin,45.4
david montgomery,49.4
davante adams,50.9
lamar jackson,56.1
cam skattebo,43.9
quinshon judkins,55.2
bhayshul tuten,59.6
rome odunze,57
christian watson,56.9
d'andre swift,51.8
carnell tate,59.4
brian thomas,63.5
joe burrow,65.2
jayden daniels,67.1
marvin harrison,68
jordyn tyson,62.9
alec pierce,73.3
jalen hurts,71.9
jadarian price,58.8
tyler warren,65.7
caleb williams,69.1
drake maye,69.4
chuba hubbard,70.7
parker washington,69.7
makai lemon,72.4
rj harvey,85.1
rhamondre stevenson,75.8
dk metcalf,76.9
courtland sutton,80.7
dak prescott,79.4
jaylen warren,76.3
michael wilson,92.2
jordan addison,86.3
kyle monangai,91.6
trevor lawrence,86.5
harold fannin,96.4
justin herbert,81.4
tucker kraft,82.4
jaxson dart,95.8
jakobi meyers,99.7
rico dowdle,87.4
chris godwin,89
patrick mahomes,90.1
tony pollard,77.8
ricky pearsall,100.9
jayden reed,83.1
j.k. dobbins,104
bo nix,104.1
brock purdy,98
blake corum,93.7
romeo doubs,114.6
kyle pitts,105.5
matthew stafford,102.7
jared goff,107.1
sam laporta,97.4
michael pittman jr.,104.4
kyler murray,108.2
jordan love,110.3
wan'dale robinson,116.9
quentin johnston,88.3
kc concepcion,116
jacory croskey-merritt,120
baker mayfield,117.7
matthew golden,109.4
xavier worthy,101.2
josh downs,95.8
kenneth gainwell,105.8
oronde gadsden,143.4
tyler shough,116.7
george kittle,117.5
jordan mason,124.6
chris rodriguez,117.5
jayden higgins,124.6
jalen coker,134.8
rachaad white,119.5
malik willis,131.4
jake ferguson,126.5
khalil shakir,128.3
zach charbonnet,166
travis kelce,121.2
aaron jones,121.5
omar cooper,141.4
sam darnold,140.6
dalton kincaid,129.6
dallas goedert,135.6
jalen mcmillan,147.8
tyler allgeier,157
c.j. stroud,142.4
woody marks,144.2
isaiah likely,131.4
jonathon brooks,109.5
kenyon sadiq,154.2
daniel jones,144.6
cam ward,136.3
mark andrews,127.2
rashid shaheed,140.1
jonah coleman,150.1
tyrone tracy,130.7
denzel boston,160.5
bryce young,154.8
jauan jennings,147.4
brenton strange,155.2
keaton mitchell,137
brandon aiyuk,189.1
juwan johnson,157
mike washington,195.8
stefon diggs,132.9
tyjae spears,161.6
hunter henry,149.4
chig okonkwo,150.1
travis hunter,137.8
jacoby brissett,198.7
jalen nailor,152.2
braelon allen,207.6
fernando mendoza,168.5
isiah pacheco,147.4
jerry jeudy,185
t.j. hockenson,163.3
geno smith,180.2
isaac teslaa,170.4
deebo samuel,165.1
brian robinson,167.4
dylan sampson,169.6
emmett johnson,184.2
aj barner,175.1
dalton schultz,170
tre' harris,174.6
calvin ridley,186.8
tank bigsby,173.4
dontayvion wicks,200.5
adonai mitchell,198.9
eli stowers,193.3
tyreek hill,210.8
nicholas singleton,182
kayshon boutte,211.8
tre tucker,155.6
christian kirk,213.6
gunnar helm,178.4
malik washington,194.1
germie bernard,179.7
emanuel wilson,195.9
cade otton,184.8
tank dell,189.6
sean tucker,173.6
alvin kamara,186
darnell mooney,194.7
de'zhaun stribling,166.6
kaytron allen,198.9
aaron rodgers,172.2
james conner,214
antonio williams,159.8
chris brazzell,211.9
david njoku,203.2
ryan flournoy,170.6
pat freiermuth,190
tua tagovailoa,207.7
elijah sarratt,210.4
ray davis,202.2
mason taylor,215.9
jordan james,210.4
kimani vidal,213.1
terrance ferguson,204.7
chris bell,205.6
tory horton,212.7
ted hurst,183
zachariah branch,186.9
pat bryant,213.2
troy franklin,210.9
michael penix,214.2
skyler bell,214.9
mike gesicki,208.3
shedeur sanders,214.8
cooper kupp,206.9
ja'kobi lane,214.6
kaelon black,213.8
demond claiborne,214.8
malachi fields,209.7
greg dulcich,194.2
devaughn vele,215.5
jaydon blue,214.9
jack bech,214.9
justice hill,213.9
keon coleman,213.9
hollywood brown,215.8
colby parkinson,213.9
jake tonges,213.7
rashod bateman,214
jaylin noel,214.9
kirk cousins,215.5
deshaun watson,212.7
chris brooks,214.9
brenen thompson,215.8
adam randall,215.6
chimere dike,215.4
andrei iosivas,215.3
theo johnson,215.5
lequint allen,215.9
max klare,215.9
dawson knox,215.7
carson beck,215.4
jaylen wright,215.7
caleb douglas,215.7
darius slayton,215.7
darnell washington,214.2
taylen green,216
evan engram,215
ty johnson,215.8
justin joly,215.9
malik davis,215.1
tyquan thornton,214.4
michael mayer,215.3
elijah arroyo,215.8
justin fields,215.9
bryce lance,215.9
oscar delp,215.9
dj giddens,215.8
ollie gordon,215.8
kendrick bourne,215.9
cole kmet,215.8
jahan dotson,215.8
kyle williams,215.9
elic ayomanor,215.8
ja'tavion sanders,215.5
samaje perine,215.4
jalen tolbert,215.8
jahdae walker,216
marshawn lloyd,207.6
najee harris,215.7
demario douglas,216
mack hollins,215.9
kavontae turpin,215.9
marvin mims jr.,215.9
theo wease,216
jaylin lane,216
zavion thomas,215.6
jack endries,216
isaiah davis,216
jerome ford,216
j.j. mccarthy,215.9
tez johnson,215.9
eli raridon,215.7
devin neal,216
kaleb johnson,215.9
seth mcgowan,216
tai felton,216
treylon burks,215.9
mac jones,216
tutu atwell,215.9
trey benson,216
kevin coleman,216
kalif raymond,215.9
tahj brooks,215.9
deion burks,216
savion williams,215.9
holton ahlers,216
shane buechele,216
olamide zaccheaus,216
will kacmarek,216
noah gray,216
charlie kolar,216
joe royer,216
anthony richardson,215.9
konata mumpfield,216
rasheen ali,216
xavier legette,215.9
luke musgrave,216
cj daniels,216
xavier hutchinson,216
calvin austin iii,216
john metchie iii,216
isaiah bond,216
noah fant,216
keandre lambert-smith,216
will shipley,216
joe flacco,216
emari demercado,216
trevor etienne,216
isaiah williams,216
joshua palmer,216
jalen royals,215.9
josh oliver,216
demarcus robinson,216
tyler higbee,216
tanner koziol,216
colbie young,216
mitchell evans,216
matthew hibner,216
tommy tremble,216
will howard,216
dont'e thornton,216
tyrell shavers,216
drew allar,216
cade klubnik,216
marlin klein,216
george holani,215.7
greg dortch,215.9
nick westbrook-ikhine,215.9
nate boerkircher,216
audric estime,216
isaac guerendo,216
jam miller,216
tyler badie,216
brashard smith,216
kyle juszczyk,216
jalen milroe,216
ty simpson,216
marcus mariota,216
mason rudolph,216
devontez walker,215.9
jarquez hunter,216
luke mccaffrey,216
cyrus allen,216
seydou traore,216
cedric tillman,216
dyami brown,216
raheim sanders,216
kendrick law,216
sione vaki,216
tyler conklin,216
marquez valdes-scantling,216
deandre hopkins,216
jeff caldwell,216
seth henigan,216
j'mari taylor,216
sammis reyes,216
jahmal banks,216
josiah deguara,216
micah bernard,216
kenyan drake,216
dt sherffield,216
gus edwards,216
giles jackson,216
zack kuntz,216
c.j. uzomah,216
austin mack,216
pete guerriero,216
mason kinsey,216
elijah cooks,216
raleigh webb,216
devine ozigbo,216
keelan doss,216
thyrick pitts,216
lucky jackson,216
jakobie keeney-james,216
bryant koback,216
donald parham jr.,216
mason tipton,216
jack velling,216
chris carson,216
dezmon patmon,216
mason pline,216
zay jones,216
eric mcalister,216
clyde edwards-helaire,216
jaylon moore,216
deven thompkins,216
eli pancol,216
michael gallup,216
daijun edwards,216
paul richardson,216
justin watson,216
miles kitselman,216
jake briningstool,216
marcus yarns,216
beaux collins,216
jordan hudson,216
darrell henderson jr.,216
hassan hall,216
armani rogers,216
phillip dorsett,216
cam camper,216
rodney smith,216
neal johnson,216
stephen anderson,216
cole hardy,216
laquon treadwell,216
sam pitz,216
jamaal williams,216
hendon hooker,216
quintez cephus,216
demetric felton,216
d'ernest johnson,216
michael woods,216
geoff swaim,216
gerrid doaks,216
mario williams,216
tarik cohen,216
james o'shaughnessy,216
sean mckeon,216
derrick gore,216
d.j. montgomery,216
davon booth,216
junior bergen,216
tommy sweeney,216
anthony hankerson,216
sal cannella,216
hayden rucci,216
jerick mckinnon,216
isaiah mckenzie,216
ryan tannehill,216
anthony mcfarland,216
dorian thompson-robinson,216
greg desrosiers,216
joseph manjack iv,216
ben mason,216
mitchell wilcox,216
wesley grimes,216
dj turner,216
allen lazard,216
payton thorne,216
corey clement,216
sarodorick thompson,216
emmanuel henderson,216
jermaine burton,216
kenny golladay,216
j.j. taylor,216
noah cain,216
chase cota,216
richard rodgers,216
zander horvath,216
qadree ollison,216
khadarel hodge,216
nate sudfeld,216
rocky lombardi,216
dede westbrook,216
john wolford,216
cody schrader,216
juju smith-schuster,216
anthony firkser,216
ja'mori maclin,216
clive walford,216
alex bullock,216
tyree jackson,216
treyvhon saunders,216
john ross,216
phillip lindsay,216
penny hart,216
jalon calhoun,216
kenny pickett,216
jamycal hasty,216
trevon wesco,216
jalon daniels,216
dalvin cook,216
duke williams,216
pharaoh brown,216
corey kiner,216
ke'shawn vaughn,216
roman hemby,216
joe reed,216
marlon mack,216
cj williams,216
cam grandy,216
nate mccrary,216
jake funk,216
anthony tyus,216
o.j. howard,216
jeff wilson jr.,216
jason huntley,216
river cracraft,216
deandre washington,216
giovanni ricci,216
brayden willis,216
jadon janke,216
sean mannion,216
desmond reid,216
malik heath,216
jalen virgil,216
trace mcsorley,216
zach pascal,216
bailey gaither,216
tre nixon,216
raheem blackshear,216
richie james jr.,216
spencer brown,216
benny snell,216
lawrence keys,216
shedrick jackson,216
demeer blankumsee,216
pierre strong jr.,216
garrett nussmeier,216
melvin gordon iii,216
taylor elgersma,216
sam brown,216
lee smith,216
tru edwards,216
isaac rex,216
joseph ngata,216
tyrie cleveland,216
blake bell,216
daniel arias,216
xavier gipson,216
cam sims,216
brandon powell,216
cephus johnson,216
jason bean,216
chris moore,216
patrick laird,216
josh williams,216
hunter bryant,216
justin johnson,216
isaiah neyor,216
kellen mond,216
zack annexstad,216
jamaal pritchett,216
rivaldo fairweather,216
teagan quitoriano,216
zaire mitchell-paden,216
jeff smith,216
greg bell,216
deon jackson,216
andre baccellia,216
brenden rice,216
john fitzpatrick,216
dae'quan wright,216
jonathan mingo,216
chris evans,216
trey burton,216
malcolm brown,216
austin stogner,216
jalin hyatt,216
reid sinnett,216
haynes king,216
austin jones,216
abram smith,216
casey washington,216
jacob hollister,216
harrison bryant,216
trey palmer,216
kyle mccord,216
kobe hudson,216
kelly akharaiyi,216
matthew caldwell,216
jashaun corbin,216
samori toure,216
darren waller,216
cornelius johnson,216
matt corral,216
david bell,216
brennan presley,216
chester rogers,216
greg ward,216
t.j. luther,216
quez watkins,216
brian hoyer,216
dontae fleming,216
michael bandy,216
chris conley,216
erick all,216
drew plitt,216
ameer abdullah,216
dylan parham,216
mac dalena,216
carlos washington,216
marquise goodwin,216
jacob kibodi,216
deejay dallas,216
john michael gyllenborg,216
e.j. jenkins,216
hunter renfrow,216
dillon johnson,216
cooper rush,216
chris oladokun,216
caullin lacy,216
eric tomlinson,216
royce freeman,216
tayvion robinson,216
cole fotheringham,216
jack plummer,216
eli heidenreich,215.8
nyheim miller-hines,216
zamir white,216
tyler davis,216
johnny mundt,216
noah whittington,216
patrick ricard,216
sincere mccormick,216
daylen baldwin,216
graham mertz,216
aj mccarron,216
riley leonard,216
jacob eason,216
dontae mcmillan,216
matt barkley,216
nikola kalinic,216
tucker fisk,216
shaquan davis,216
devin leary,216
will pauling,216
eric rivers,216
chris collier,216
elijah dotson,216
je'quan burton,216
j.p. holtz,216
rashard higgins,216
emani bailey,216
antoine green,216
joe mixon,215.9
mohamed ibrahim,216
cedrick wilson,216
davion davis,216
salvon ahmed,216
jordan murray,216
chris blair,216
octavion smith jr.,216
john copenhaver,216
jason cabinda,216
chris hilton jr.,216
cordarrelle patterson,216
montorie foster,216
jalen wydermyer,216
sam scott,216
jack westover,216
devon allen,216
jordan waters,216
robbie chosen,216
alex mcgough,216
trenton irwin,216
juwann winfree,216
ronnie bell,216
jerjuan newton,216
rahsul faison,216
ellis merriweather,216
jalen richard,216
tanner mclachlan,216
brandon dillon,216
malik rutherford,216
nsimba webster,216
deonte harty,216
snoop conner,216
kedon slovis,216
p.j. walker,216
miller moss,216
dan villari,216
equanimeous st. brown,216
ayir asante,216
braxton berrios,216
makai polk,216
nathaniel peat,216
jesper horsted,216
taiwan jones,216
lorenzo lingard,216
ricky seals-jones,216
chase roberts,216
donavon greene,216
luke lachey,216
nathan peterman,216
corey davis,216
robbie ouzts,216
jake browning,216
sam pinckney,216
sterling shepard,216
desmond ridder,216
travis homer,216
caden prieskorn,216
bernhard seikovits,216
randall cobb,216
michael ezeike,216
tejhaun palmer,216
john kelly,216
treyton welch,216
racey mcmath,216
elijah moore,216
case keenum,216
dai'jean dixon,216
dax milne,216
derek parish,216
jesse matthews,216
david wells,216
squirrel white,216
mccallan castles,216
seth williams,216
la'michael pettway,216
ainias smith,216
chris pierce,216
michael jacobson,216
albert okwuegbunam,216
kole taylor,216
brenden bates,216
justyn ross,216
jamal agnew,216
andrew beck,216
dymere miller,216
dewayne mcbride,216
cj dippre,216
alec ingold,216
dallen bentley,216
zach gentry,216
mike harley,216
erik krommenhoek,216
stanley morgan,216
jalen reagor,216
ej williams,216
andre roberts,216
mel brown,216
stevo klotz,216
brandin cooks,216
john stephens,216
chip trayanum,216
myles gaskin,216
trayveon williams,216
jacolby george,216
stetson bennett,216
tahj washington,216
tyler boyd,216
brandon smith,216
trishton jackson,216
colson yankoff,216
xazavian valladay,216
gabe davis,216
chandler brayboy,216
tay martin,216
daewood davis,216
sage surratt,216
bauer sharp,216
joshua simon,216
roc taylor,216
sincere brown,216
kaden davis,216
adam prentice,216
dontrell hilliard,216
keilahn harris,216
blake jarwin,216
xavier grimble,216
jaxon janke,216
matt breida,216
dylan drummond,216
moliki matavao,216
keenan allen,215.8
kelvin harmon,216
austin allen,216
keleki latu,216
diontae johnson,216
c.j. ham,216
joey aguilar,216
cody thompson,216
collin johnson,216
johnny johnson,216
michael thomas,216
josh ali,216
malik benson,215.9
antwane wells,216
tyrion davis-price,216
