sleeperId,name,position,team,age,status,bodyPart,notes,startDate,depthChartOrder,searchRank,beneficiaries,defaultTimeline
9226,De'Von Achane,RB,MIA,24,Questionable,Shoulder,Surgery,,1,10,Jaylen Wright; Ollie Gordon II,Summer
11632,Malik Nabers,WR,NYG,22,Questionable,Knee - ACL,Surgery,,1,19,Darius Slayton; Darnell Mooney,Week 1
11584,Bucky Irving,RB,TB,23,Questionable,Shoulder,Surgery,,1,22,Kenneth Gainwell; Sean Tucker,Summer
4046,Patrick Mahomes,QB,KC,30,Questionable,Knee - ACL,Surgery,,1,26,Justin Fields,Week 1
10229,Rashee Rice,WR,KC,26,Questionable,Knee,,,1,33,Xavier Worthy; Tyquan Thornton,Summer
11563,Bo Nix,QB,DEN,26,Questionable,Ankle,Surgery,,1,34,Jarrett Stidham,Summer
12526,Tetairoa McMillan,WR,CAR,23,Questionable,Ankle,Soreness,,1,37,Jalen Coker; Xavier Legette,Summer
9499,Bryce Ford-Wheaton,WR,,26,Questionable,Achilles,,,,44,,Summer
12512,Quinshon Judkins,RB,CLE,22,Questionable,Ankle,Surgery,,1,45,Dylan Sampson; Raheim Sanders,Summer
12506,Harold Fannin,TE,CLE,21,Questionable,Undisclosed,,,1,63,Harold Fannin Jr.,Summer
13281,Jordyn Tyson,WR,NO,21,Questionable,Undisclosed,,,2,70,Devaughn Vele; Mason Tipton,Summer
9484,Tucker Kraft,TE,GB,25,Questionable,Knee - ACL,Surgery,,1,71,Luke Musgrave,Week 1
13294,Makai Lemon,WR,PHI,22,Questionable,Hamstring,,,2,77,Dontayvion Wicks; Hollywood Brown,Summer
10859,Sam LaPorta,TE,DET,25,Questionable,Back,Surgery,,1,79,Brock Wright,Summer
8142,Alec Pierce,WR,IND,26,Questionable,Ankle,Surgery,,1,88,Josh Downs; Nick Westbrook-Ikhine,Summer
4137,James Conner,RB,ARI,31,Questionable,Foot,,,3,92,Trey Benson; Bam Knight,Summer
12533,Jacory Croskey-Merritt,RB,WAS,25,Questionable,Undisclosed,,,1,95,Rachaad White; Kaytron Allen,Summer
4217,George Kittle,TE,SF,32,Questionable,Achilles,Surgery,,1,99,Jake Tonges,Summer
9753,Zach Charbonnet,RB,SEA,25,Questionable,Knee - ACL,Surgery,,2,101,Jadarian Price; George Holani,Week 1
8924,Thomas Odukoya,TE,,28,Questionable,Undisclosed,,,,104,,Summer
5870,Daniel Jones,QB,IND,29,Questionable,Achilles,Surgery,,1,109,Anthony Richardson Sr.,Summer
13330,Kenyon Sadiq,TE,NYJ,21,Questionable,Undisclosed,,,1,109,Mason Taylor,Summer
11589,Trey Benson,RB,ARI,23,Questionable,Knee - Meniscus,Surgery,,4,114,Bam Knight; Corey Kiner,Summer
11624,Xavier Worthy,WR,KC,23,Questionable,Shoulder - Labrum,,,2,122,Tyquan Thornton; Jalen Royals,Summer
11603,AJ Barner,TE,SEA,24,Questionable,Undisclosed,,,1,126,Elijah Arroyo,Summer
13349,Eli Stowers,TE,PHI,23,Questionable,Lower Body,,,2,140,Grant Calcaterra,Summer
10219,Chris Rodriguez,RB,JAX,26,Questionable,Foot,,,2,143,Bhayshul Tuten; Chris Rodriguez Jr.,Summer
3321,Tyreek Hill,WR,,31,Questionable,Knee - ACL,Surgery,,,145,,Week 1
4234,Noah Brown,WR,,30,Questionable,Ribs,,,,150,,Summer
12530,Travis Hunter,WR,JAX,23,Questionable,Knee,Surgery,,4,157,Josh Cameron; CJ Williams,Summer
11627,Troy Franklin,WR,DEN,23,Questionable,Hamstring,,,3,171,Pat Bryant; Marvin Mims Jr.,Summer
8698,Jake Tonges,TE,SF,26,Questionable,Foot,,,2,178,Luke Farrell,Summer
9757,Kendre Miller,RB,NO,24,Questionable,Knee - ACL,Surgery,,3,180,Ty Chandler; Audric Estime,Week 1
9502,Tank Dell,WR,HOU,26,Questionable,Knee - ACL + MCL,Surgery,,3,187,Xavier Hutchinson; Jaylin Noel,Week 1
11559,Michael Penix,QB,ATL,26,Questionable,Knee - ACL,Surgery,,2,199,Michael Penix Jr.,Week 1
12497,Tory Horton,WR,SEA,23,Questionable,Shin,Surgery,,3,199,Jake Bobo; Emmanuel Henderson Jr.,Summer
7571,Rashod Bateman,WR,BAL,26,Questionable,Personal,,,2,203,Devontez Walker; Ja'Kobi Lane,Summer
13311,Chris Bell,WR,MIA,22,Questionable,Knee - ACL,Surgery,,1,203,Kevin Coleman Jr.; Theo Wease Jr.,Week 1
4018,Joe Mixon,RB,,29,Questionable,Foot,,,,212,,Summer
7528,Najee Harris,RB,,27,Questionable,Achilles,,,,219,,Summer
6659,Craig Reynolds,RB,,29,Questionable,Undisclosed,,,,244,,Summer
2505,Darren Waller,TE,,33,Questionable,Groin,,,,249,,Summer
7527,Mac Jones,QB,SF,27,Questionable,Undisclosed,,,2,249,Kurtis Rourke,Summer
6040,Tyree Jackson,TE,,28,Questionable,Undisclosed,,,,251,,Summer
6845,Zack Moss,RB,,27,Questionable,Neck,,,,260,,Summer
11511,John Stephens,TE,,26,Questionable,Undisclosed,,,,272,,Summer
1339,Zach Ertz,TE,,35,Questionable,Knee - ACL,Surgery,,,275,,Week 1
6151,Miles Sanders,RB,,28,Questionable,Knee,Surgery,,,290,,Summer
6943,Gabe Davis,WR,,26,Questionable,Knee - ACL,Surgery,,,322,,Week 1
13222,Montana Lemonious-Craig,WR,,23,Questionable,Lower Body,,,,330,,Summer
5915,Andy Isabella,WR,,28,Questionable,Ankle,,,,336,,Summer
6945,Antonio Gibson,RB,,27,Questionable,Knee - ACL,Surgery,,,367,,Week 1
4218,Trent Taylor,WR,,31,Questionable,Undisclosed,,,,372,,Summer
7427,Tyler Mabry,TE,,28,Questionable,Undisclosed,,,,378,,Summer
5987,Alexander Mattison,RB,,27,Questionable,Neck,Surgery,,,382,,Summer
2749,Raheem Mostert,RB,,33,Questionable,Knee,,,,384,,Summer
4171,Josh Reynolds,WR,,31,Questionable,Hip,,,,394,,Summer
5010,Will Dissly,TE,,29,Questionable,Undisclosed,,,,397,,Summer
13303,Cade Klubnik,QB,NYJ,22,Questionable,Back,,,2,398,Brady Cook,Summer
13129,Jermaine Terry,TE,,,Questionable,Undisclosed,,,,452,,Summer
13005,Anthony Torres,TE,,26,Questionable,Ankle,,,,487,,Summer
11024,Grant DuBose,WR,,24,Questionable,Shoulder,,,,497,,Summer
4198,Jamal Agnew,WR,,30,Questionable,Undisclosed,,,,534,,Summer
5323,Equanimeous St. Brown,WR,,28,Questionable,Foot,,,,576,,Summer
6126,Irv Smith,TE,,27,Questionable,Ankle,Sprain,,,621,,Summer
7597,Kenny Yeboah,TE,,27,Questionable,Knee,,,,640,,Summer
7729,Dez Fitzpatrick,WR,,27,Questionable,Undisclosed,,,,688,,Summer
6234,Deonte Harty,WR,,27,Questionable,Knee,,,,694,,Summer
1901,Isaiah Crowell,RB,,29,Questionable,,,,,782,,Summer
2750,DeAndre Carter,WR,,32,Questionable,Knee,,,,999,,Summer
5973,Josh Oliver,TE,MIN,29,Questionable,Ankle,,,2,999,Ben Yurosek,Summer
6074,Donald Parham,TE,,28,Questionable,Achilles,Surgery,,,999,,Summer
6149,Darius Slayton,WR,NYG,29,Questionable,Abdomen,,,2,999,Darnell Mooney; Calvin Austin III,Summer
6699,Gunner Olszewski,WR,NYG,29,IR,Achilles,Surgery,,10,999,,Summer
7233,Andre Baccellia,WR,,29,Questionable,Neck,,,,999,,Summer
7568,Brevin Jordan,TE,HOU,25,Questionable,Knee,,,5,999,Layne Pryor,Summer
7670,Joshua Palmer,WR,BUF,26,Questionable,Ankle,,,5,999,Keon Coleman; Skyler Bell,Summer
7891,Brock Wright,TE,DET,27,Questionable,Neck,,,2,999,Tyler Conklin,Summer
8143,Jerome Ford,RB,WAS,26,Questionable,Shoulder,,,4,999,Jeremy McNichols; Robert Henry Jr.,Summer
8484,Ko Kieft,TE,TB,28,Questionable,Leg,Fracture,,4,999,Bauer Sharp,Summer
8799,Zaire Mitchell-Paden,TE,NO,26,Questionable,Knee,,,3,999,Treyton Welch,Summer
9481,Luke Musgrave,TE,GB,25,Questionable,Undisclosed,,,2,999,Josh Whyle,Summer
9492,Trey Palmer,WR,NO,25,Questionable,Ankle,,,10,999,Ronnie Bell; Damien Alford,Summer
9497,Jalin Hyatt,WR,NYG,24,Questionable,Illness,,,11,999,Braxton Berrios; Beaux Collins,Summer
10216,Kenny McIntosh,RB,SEA,26,Questionable,Knee - ACL,,,5,999,Velus Jones Jr.; Jacardia Wright,Week 1
10225,Jonathan Mingo,WR,DAL,25,Questionable,Groin,Strain,,6,999,Tyler Johnson; Anthony Smith,Summer
10228,Charlie Jones,WR,CIN,27,Questionable,Ankle,,,8,999,Ke'Shawn Williams; Jordan Moore,Summer
10235,Roschon Johnson,RB,CHI,25,Questionable,Thumb,,,4,999,Brittain Brown; Salvon Ahmed,Summer
11371,Julian Hill,TE,NE,25,IR,Knee,,,3,999,,Summer
11377,Tyrell Shavers,WR,BUF,26,Questionable,Knee - ACL,Surgery,,6,999,Mecole Hardman Jr.; Trent Sherfield,Week 1
11568,Blake Watson,RB,,26,Questionable,Undisclosed,,,,999,,Summer
11592,Erick All,TE,CIN,25,Questionable,Knee - ACL,Surgery,,2,999,Mike Gesicki,Week 1
11651,Isaac Guerendo,RB,SF,25,Questionable,Pectoral,,,5,999,Patrick Taylor Jr.; Jordan Mims,Summer
11748,Bub Means,WR,NO,25,Questionable,Lower Leg,,,4,999,Ja'Lynn Polk; Kevin Austin Jr.,Summer
11895,Mason Tipton,WR,NO,25,Questionable,Groin,,,8,999,Bryce Lance; Barion Brown,Summer
11943,Michael Wiley,RB,,24,Questionable,Undisclosed,,,,999,,Summer
11989,D.J. Williams,RB,,25,Questionable,Undisclosed,,,,999,,Summer
12062,Cam Grandy,TE,CIN,26,Questionable,Chest,,,6,999,Josh Kattus,Summer
12532,Ja'Corey Brooks,WR,,24,Questionable,Undisclosed,,,,999,,Summer
12700,Gavin Bartholomew,TE,MIN,23,Questionable,Back,,,4,999,Bryson Nesbit,Summer
12715,Thomas Fidone,TE,NYG,23,Questionable,Foot,,,3,999,Isaiah Likely,Summer
12725,Luke Lachey,TE,,24,Questionable,Undisclosed,,,,999,,Summer
12735,Caleb Lohner,TE,DEN,24,Questionable,Lower Body,Surgery,,6,999,,Summer
