id,playerName,position,season,predictorScore,percentile,tier,projectedFpg,draftCapital,breakoutAge,predictorFavorites,team,actualFpg,difference,modelType
8306165,Christian McCaffrey,RB,2026,20.7,,RB1,20.7,4,24.5,5.05,SF,N/A,N/A,projections
7664616,Justin Jefferson,WR,2023,20.3,,WR1,20.3,N/A,21.7,N/A,MIN,20.3,0.05,projections
8306157,Bijan Robinson,RB,2026,19.8,,RB2,19.8,1,22.0,5.51,ATL,N/A,N/A,projections
7664460,CeeDee Lamb,WR,2024,19.8,,WR1,19.8,N/A,23.8,N/A,DAL,16.5,-3.30,projections
7664304,Puka Nacua,WR,2026,19.3,,WR1,19.3,1,23.5,6.08,LA,N/A,N/A,projections
8306438,Christian McCaffrey,RB,2022,19.2,,RB1,19.2,N/A,18.2,N/A,CAR,21.0,-1.77,projections
8306302,Christian McCaffrey,RB,2024,19.0,,RB1,19.0,N/A,24.6,N/A,SF,12.2,6.83,projections
8306349,Saquon Barkley,RB,2024,19.0,,RB2,19.0,N/A,16.1,N/A,PHI,22.3,-3.32,projections
8306297,Bijan Robinson,RB,2024,18.9,,RB3,18.9,N/A,14.7,N/A,ATL,20.1,-1.20,projections
8306371,Christian McCaffrey,RB,2023,18.8,,RB1,18.8,N/A,21.0,N/A,CAR,24.6,-5.76,projections
8306277,Saquon Barkley,RB,2025,18.8,,RB1,18.8,N/A,22.3,N/A,PHI,14.6,4.19,projections
7664721,Justin Jefferson,WR,2022,18.8,,WR1,18.8,N/A,19.5,N/A,MIN,21.7,2.90,projections
7664606,Ja'Marr Chase,WR,2023,18.7,,WR2,18.7,N/A,20.4,N/A,CIN,16.4,-2.31,projections
8306178,Jahmyr Gibbs,RB,2026,18.5,,RB3,18.5,2,21.6,5.29,DET,N/A,N/A,projections
7664551,Tyreek Hill,WR,2024,18.4,,WR2,18.4,N/A,23.6,N/A,MIA,12.8,-5.64,projections
7664267,Jaxon Smith-Njigba,WR,2026,18.3,,WR2,18.3,4,21.2,5.83,SEA,N/A,N/A,projections
7664451,Amon-Ra St. Brown,WR,2024,18.3,,WR3,18.3,N/A,20.7,N/A,DET,18.7,0.42,projections
7664258,Ja'Marr Chase,WR,2026,18.2,,WR3,18.2,2,19.7,6.00,CIN,N/A,N/A,projections
8306298,Breece Hall,RB,2024,18.1,,RB4,18.1,N/A,17.1,N/A,NYJ,15.2,2.91,projections
7664375,Ja'Marr Chase,WR,2025,17.9,,WR1,17.9,N/A,23.7,N/A,CIN,19.7,1.75,projections
7664508,Justin Jefferson,WR,2024,17.9,,WR4,17.9,N/A,20.3,N/A,MIN,18.7,0.81,projections
8306383,Derrick Henry,RB,2023,17.6,,RB2,17.6,N/A,19.1,N/A,TEN,14.5,3.12,projections
7664684,Cooper Kupp,WR,2022,17.6,,WR2,17.6,N/A,25.9,N/A,LA,22.5,4.87,projections
7664217,Amon-Ra St. Brown,WR,2026,17.5,,WR4,17.5,3,19.1,5.91,DET,N/A,N/A,projections
7664690,Davante Adams,WR,2022,17.5,,WR3,17.5,N/A,21.5,N/A,LV,19.7,2.22,projections
8306228,Bijan Robinson,RB,2025,17.4,,RB2,17.4,N/A,20.1,N/A,ATL,22.0,-4.63,projections
8306468,Jonathan Taylor,RB,2022,17.4,,RB2,17.4,N/A,22.1,N/A,IND,13.6,3.85,projections
7664491,Ja'Marr Chase,WR,2024,17.4,,WR5,17.4,N/A,16.4,N/A,CIN,23.7,6.33,projections
7664420,Puka Nacua,WR,2025,17.3,,WR2,17.3,N/A,18.8,N/A,LA,23.5,6.19,projections
7664658,Tyreek Hill,WR,2023,17.3,,WR3,17.3,N/A,20.1,N/A,MIA,23.6,6.33,projections
8306242,De'Von Achane,RB,2025,17.2,,RB3,17.2,N/A,17.6,N/A,MIA,20.2,-3.00,projections
8306163,Chase Brown,RB,2026,17.1,,RB4,17.1,8,16.6,4.56,CIN,N/A,N/A,projections
7664575,Cooper Kupp,WR,2023,16.9,,WR4,16.9,N/A,22.5,N/A,LA,13.7,-3.23,projections
7664564,Amon-Ra St. Brown,WR,2023,16.7,,WR6,16.7,N/A,16.7,N/A,DET,20.7,4.00,projections
8306585,Trey McBride,TE,2025,16.7,,TE1,16.7,N/A,15.2,N/A,ARI,18.6,1.89,projections
7664568,CeeDee Lamb,WR,2023,16.7,,WR5,16.7,N/A,17.7,N/A,DAL,23.8,7.05,projections
8306237,Christian McCaffrey,RB,2025,16.7,,RB4,16.7,N/A,12.2,N/A,SF,24.5,-7.78,projections
8306223,Alvin Kamara,RB,2025,16.7,,RB5,16.7,N/A,19.0,N/A,NO,9.3,7.40,projections
8306430,Alvin Kamara,RB,2022,16.6,,RB3,16.6,N/A,18.1,N/A,NO,14.4,2.24,projections
8306251,Jahmyr Gibbs,RB,2025,16.6,,RB6,16.6,N/A,21.4,N/A,DET,21.6,-5.02,projections
7664395,Justin Jefferson,WR,2025,16.4,,WR3,16.4,N/A,18.7,N/A,MIN,11.9,-4.52,projections
7664582,Davante Adams,WR,2023,16.4,,WR7,16.4,N/A,19.7,N/A,LV,15.6,-0.80,projections
7664247,Drake London,WR,2026,16.3,,WR5,16.3,6,16.9,4.64,ATL,N/A,N/A,projections
8306328,Jonathan Taylor,RB,2024,16.3,,RB5,16.3,N/A,15.6,N/A,IND,17.6,-1.32,projections
8306155,Ashton Jeanty,RB,2026,16.2,,RB5,16.2,11,14.5,4.18,LV,N/A,N/A,projections
8306433,Austin Ekeler,RB,2022,16.2,,RB4,16.2,N/A,21.7,N/A,LAC,22.1,-5.86,projections
7664445,A.J. Brown,WR,2024,16.2,,WR6,16.2,N/A,17.2,N/A,PHI,16.7,0.48,projections
7664337,Amon-Ra St. Brown,WR,2025,16.2,,WR4,16.2,N/A,18.7,N/A,DET,19.1,2.90,projections
8306233,Bucky Irving,RB,2025,16.1,,RB7,16.1,N/A,14.4,N/A,TB,14.0,2.06,projections
