,,,,,,,,2025 QB SUPPORT SCORE (Week 1-18),,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Team,EPA/DB,EPA/DB Rank,Team Separation,Team Sep/Route,Sep/Route Rank,WR + TE EPA/Play,WR + TE EPA Rank,WR/TE Rank,RB EPA/Play,RB Rank,PFF PBLK,PFF Rank,ESPN PBWR Rank,OL Pass Block Rank,DEF EPA/DB,Pass D Rank,DEF EPA/Rush,Rush D Rank,PS Motion + PA Rate,System Friendliness,SUPPORT SCORE W/ DEF,SUPPORT SCORE
,,,,,,,,LAR,0.235,3,169.89,0.0787,1,0.342,5,2.2,0.048,2,63.6,21,5,13.0,-0.051,6,-0.121,4,37.42%,8,6.02,6.29
,,,,,,,,NE,0.308,1,119.58,0.0583,2,0.513,1,1.7,-0.049,12,72.7,5,13,9.0,-0.018,10,-0.077,16,32.14%,19.5,8.60,7.59
,,,,,,,,CHI,0.122,9,76.11,0.0356,15,0.231,9,13.2,0.049,1,72.3,6,1,3.5,0.088,19,-0.042,21,28.50%,6.5,10.25,8.07
,,,,,,,,SEA,0.137,8,77.94,0.0527,4,0.289,7,4.9,-0.06,17,64.2,20,12,16.0,-0.065,5,-0.206,1,35.73%,7.5,8.77,9.83
,,,,,,,,DEN,0.097,13,96.21,0.0440,9,0.188,16,11.1,-0.058,15,78.8,1,8,4.5,-0.035,9,-0.105,8,30.73%,14.5,9.66,10.02
,,,,,,,,GB,0.273,2,91.94,0.0516,6,0.414,2,4.8,-0.071,23,62.2,25,6,15.5,0.116,22,-0.064,18,29.29%,12.5,13.11,10.99
,,,,,,,,BUF,0.230,4,13.97,0.0064,30,0.347,4,22.2,0.023,4,73.4,4,4,4.0,-0.049,8,0.049,31,35.64%,5,13.57,12.34
,,,,,,,,BAL,0.036,22,72.88,0.0431,10,0.179,19,12.7,0.019,5,62.8,24,7,15.5,0.101,21,-0.115,6,29.96%,14.5,12.97,13.04
,,,,,,,,DET,0.167,7,92.02,0.0451,8,0.367,3,6.5,-0.019,9,63.0,23,31,27.0,0.040,14,-0.037,23,33.47%,9.5,14.58,13.35
,,,,,,,,IND,0.104,11,58.07,0.0300,18,0.207,12,16.2,0.04,3,74.6,3,27,15.0,0.078,17,-0.101,10,35.27%,8.5,13.27,13.37
,,,,,,,,SF,0.175,6,73.83,0.0386,14,0.294,6,11.6,-0.062,19,66.7,18,10,14.0,0.154,25,-0.069,17,29.27%,14,15.06,13.42
,,,,,,,,PHI,0.092,15,82.90,0.0420,11,0.214,11,11.0,-0.059,16,72.3,6,17,11.5,-0.017,11,-0.104,9,29.65%,26.5,12.98,13.98
,,,,,,,,DAL,0.177,5,104.71,0.0420,12,0.26,8,10.8,0.008,6,53.7,30,19,24.5,0.239,30,0.034,29,34.43%,12,17.61,14.61
,,,,,,,,MIN,-0.115,28,100.59,0.0575,3,0.056,28,10.5,-0.063,20,69.1,14,25,19.5,-0.088,2,-0.085,14,29.98%,15,13.65,14.83
,,,,,,,,TB,0.064,18,102.36,0.0497,7,0.111,26,12.7,-0.077,24,69.3,12,15,13.5,0.087,18,-0.117,5,29.34%,18.5,14.37,14.94
,,,,,,,,ARI,0.042,20,133.36,0.0523,5,0.223,10,6.5,-0.105,27,60.5,27,21,24.0,0.176,26,-0.038,22,29.83%,21.5,17.93,16.05
,,,,,,,,KC,0.093,14,30.32,0.0138,26,0.202,14,22.4,-0.053,14,71.5,9,2,5.5,0.054,15,-0.100,11,29.54%,21,15.32,16.28
,,,,,,,,WAS,0.085,16,33.21,0.0177,24,0.197,15,21.3,0,7,71.7,8,18,13.0,0.239,30,0.026,28,30.00%,14.5,18.66,16.36
,,,,,,,,PIT,0.046,19,-40.79,-0.0196,32,0.18,18,27.8,-0.025,11,74.7,2,3,2.5,0.060,16,-0.035,24,30.81%,20,17.46,17.36
,,,,,,,,JAX,0.110,10,20.74,0.0087,27,0.205,13,22.8,-0.081,25,70.9,11,9,10.0,-0.067,4,-0.106,7,29.80%,16.5,15.73,18.24
,,,,,,,,MIA,-0.016,26,33.04,0.0219,20,0.149,23,20.9,-0.002,8,54.9,28,24,26.0,0.178,27,-0.046,19,29.61%,5.5,19.77,18.83
,,,,,,,,CAR,0.007,25,55.14,0.0271,19,0.151,22,19.9,-0.05,13,67.6,17,23,20.0,0.125,24,-0.025,27,28.77%,25.5,20.92,20.08
,,,,,,,,HOU,0.083,17,87.99,0.0410,13,0.184,17,14.2,-0.139,30,63.3,22,30,26.0,-0.097,1,-0.129,3,32.12%,22.5,17.12,20.57
,,,,,,,,ATL,0.041,21,15.72,0.0081,28,0.128,24,26.8,-0.06,17,68.2,16,14,15.0,0.032,13,-0.028,26,23.04%,16.5,20.38,20.74
,,,,,,,,CIN,0.012,24,77.87,0.0321,16,0.106,27,19.3,-0.02,10,61.1,26,28,27.0,0.182,28,0.034,29,30.07%,24.5,22.66,21.46
,,,,,,,,NYG,0.099,12,10.41,0.0054,31,0.156,21,28.0,-0.065,22,71.1,10,11,10.5,0.088,19,0.109,32,28.00%,23.5,22.08,21.48
,,,,,,,,TEN,-0.165,31,41.99,0.0181,23,0.022,30,25.1,-0.09,26,69.2,13,16,14.5,0.201,29,-0.043,20,21.96%,28,22.71,22.45
,,,,,,,,NO,-0.032,27,41.03,0.0184,22,0.112,25,22.9,-0.142,31,65.0,19,29,24.0,0.018,12,-0.136,2,33.14%,18,20.32,23.31
,,,,,,,,LAC,0.021,23,49.69,0.0214,21,0.158,20,20.7,-0.064,21,49.7,31,32,31.5,-0.051,6,-0.098,12,28.54%,19,20.92,23.72
,,,,,,,,CLE,-0.212,32,67.08,0.0309,17,-0.096,32,21.5,-0.118,29,49.7,31,20,25.5,-0.088,2,-0.078,15,28.32%,24,20.90,23.83
,,,,,,,,NYJ,-0.137,30,16.58,0.0078,29,0.004,31,29.6,-0.112,28,68.3,15,26,20.5,0.291,32,-0.034,25,28.40%,18.5,25.84,25.05
,,,,,,,,LV,-0.130,29,22.88,0.0143,25,0.038,29,26.2,-0.281,32,53.9,29,22,25.5,0.121,23,-0.090,13,28.12%,17,24.05,25.19
,Team,Route,Separation Score,Total Separation,Team Separation,Team Sep/Route,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0,,,,Correlation to Support Score,,,,,,,,,,,,,,,,,,,,,,
,,,,0,,,,Metric,RS2,,,,,,,,,,,,,,,,,,,,,
,,,,0,,,,EPA/DB - Supp Score,0.591,,,,,,,,,,,,,,,,,,,,,
,,,,0,,,,EPA/DB - Supp Score,0.328,,,,,,,,,,,,,,,,,,,,,
