Team,Total,Pass Block,Run Block
1CHI,94%Elite,92%Elite,95%Elite
2BUF,93%Elite,94%Elite,92%Elite
3DEN,89%Elite,89%Elite,89%Elite
4LAR,80%Good,61%Average,98%Elite
5PIT,78%Good,97%Elite,60%Average
6JAX,73%Good,76%Good,71%Good
7IND,72%Good,56%Average,87%Elite
8SF,72%Good,58%Average,85%Elite
9NE,69%Good,74%Good,63%Average
10PHI,66%Good,71%Good,61%Average
11KC,63%Average,84%Elite,42%Below Avg
12BAL,62%Average,56%Average,68%Good
13MIN,61%Average,44%Below Avg,79%Good
14SEA,61%Average,53%Average,69%Good
15NYG,59%Average,68%Good,50%Average
16ATL,55%Average,56%Average,53%Average
17GB,52%Average,55%Average,48%Below Avg
18CAR,50%Average,39%Below Avg,61%Average
19DAL,50%Average,26%Poor,74%Good
20TEN,47%Below Avg,61%Average,32%Below Avg
21TB,46%Below Avg,63%Average,29%Poor
22WAS,46%Below Avg,61%Average,31%Below Avg
23DET,41%Below Avg,19%Poor,63%Average
24NYJ,41%Below Avg,37%Below Avg,45%Below Avg
25ARI,34%Below Avg,31%Below Avg,37%Below Avg
26CIN,33%Below Avg,19%Poor,47%Below Avg
27CLE,23%Poor,24%Poor,23%Poor
28MIA,23%Poor,19%Poor,26%Poor
29NO,23%Poor,26%Poor,19%Poor
30LV,22%Poor,23%Poor,21%Poor
31HOU,19%Poor,21%Poor,18%Poor
32LAC,2%Poor,2%Poor,2%Poor
